@RELATION HistUtility
@ATTRIBUTE open0 NUMERIC
@ATTRIBUTE close0 NUMERIC
@ATTRIBUTE high0 NUMERIC
@ATTRIBUTE low0 NUMERIC
@ATTRIBUTE volumeto0 NUMERIC
@ATTRIBUTE open1 NUMERIC
@ATTRIBUTE close1 NUMERIC
@ATTRIBUTE high1 NUMERIC
@ATTRIBUTE low1 NUMERIC
@ATTRIBUTE volumeto1 NUMERIC
@ATTRIBUTE open2 NUMERIC
@ATTRIBUTE close2 NUMERIC
@ATTRIBUTE high2 NUMERIC
@ATTRIBUTE low2 NUMERIC
@ATTRIBUTE volumeto2 NUMERIC
@ATTRIBUTE open3 NUMERIC
@ATTRIBUTE close3 NUMERIC
@ATTRIBUTE high3 NUMERIC
@ATTRIBUTE low3 NUMERIC
@ATTRIBUTE volumeto3 NUMERIC
@ATTRIBUTE open4 NUMERIC
@ATTRIBUTE close4 NUMERIC
@ATTRIBUTE high4 NUMERIC
@ATTRIBUTE low4 NUMERIC
@ATTRIBUTE volumeto4 NUMERIC
@ATTRIBUTE next_close NUMERIC

@DATA
0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.329 
0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.3566 
0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.3753 
0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.3691 
0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3.91, 0.3445, 5.97, 0.05969, 242955.79, 0.3491 
0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3.91, 0.3445, 5.97, 0.05969, 242955.79, 0.3419, 0.3225, 0.352, 0.2915, 144122.48, 0.6332 
0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3.91, 0.3445, 5.97, 0.05969, 242955.79, 0.3419, 0.3225, 0.352, 0.2915, 144122.48, 0.3043, 0.329, 0.329, 0.2794, 174797.86, 0.973 
0, 0, 0, 0, 0, 3.91, 0.3445, 5.97, 0.05969, 242955.79, 0.3419, 0.3225, 0.352, 0.2915, 144122.48, 0.3043, 0.329, 0.329, 0.2794, 174797.86, 0.3312, 0.3566, 0.405, 0.3131, 149493.18, 1.3 
3.91, 0.3445, 5.97, 0.05969, 242955.79, 0.3419, 0.3225, 0.352, 0.2915, 144122.48, 0.3043, 0.329, 0.329, 0.2794, 174797.86, 0.3312, 0.3566, 0.405, 0.3131, 149493.18, 0.3575, 0.3753, 0.3886, 0.3385, 120118.78, 1.23 
0.3419, 0.3225, 0.352, 0.2915, 144122.48, 0.3043, 0.329, 0.329, 0.2794, 174797.86, 0.3312, 0.3566, 0.405, 0.3131, 149493.18, 0.3575, 0.3753, 0.3886, 0.3385, 120118.78, 0.376, 0.3691, 0.376, 0.3422, 190367.25, 1.03 
0.3043, 0.329, 0.329, 0.2794, 174797.86, 0.3312, 0.3566, 0.405, 0.3131, 149493.18, 0.3575, 0.3753, 0.3886, 0.3385, 120118.78, 0.376, 0.3691, 0.376, 0.3422, 190367.25, 0.3888, 0.3491, 0.3888, 0.324, 162040.91, 0.9374 
0.3312, 0.3566, 0.405, 0.3131, 149493.18, 0.3575, 0.3753, 0.3886, 0.3385, 120118.78, 0.376, 0.3691, 0.376, 0.3422, 190367.25, 0.3888, 0.3491, 0.3888, 0.324, 162040.91, 0.3476, 0.6332, 0.6332, 0.3161, 558308.26, 0.6963 
0.3575, 0.3753, 0.3886, 0.3385, 120118.78, 0.376, 0.3691, 0.376, 0.3422, 190367.25, 0.3888, 0.3491, 0.3888, 0.324, 162040.91, 0.3476, 0.6332, 0.6332, 0.3161, 558308.26, 0.6324, 0.973, 1.05, 0.6239, 1037260.04, 0.6509 
0.376, 0.3691, 0.376, 0.3422, 190367.25, 0.3888, 0.3491, 0.3888, 0.324, 162040.91, 0.3476, 0.6332, 0.6332, 0.3161, 558308.26, 0.6324, 0.973, 1.05, 0.6239, 1037260.04, 0.9603, 1.3, 1.67, 0.9603, 1649213.45, 0.4682 
0.3888, 0.3491, 0.3888, 0.324, 162040.91, 0.3476, 0.6332, 0.6332, 0.3161, 558308.26, 0.6324, 0.973, 1.05, 0.6239, 1037260.04, 0.9603, 1.3, 1.67, 0.9603, 1649213.45, 1.29, 1.23, 1.36, 1.1, 618660.5, 0.4261 
0.3476, 0.6332, 0.6332, 0.3161, 558308.26, 0.6324, 0.973, 1.05, 0.6239, 1037260.04, 0.9603, 1.3, 1.67, 0.9603, 1649213.45, 1.29, 1.23, 1.36, 1.1, 618660.5, 1.23, 1.03, 1.27, 0.7789, 753833.21, 0.4778 
0.6324, 0.973, 1.05, 0.6239, 1037260.04, 0.9603, 1.3, 1.67, 0.9603, 1649213.45, 1.29, 1.23, 1.36, 1.1, 618660.5, 1.23, 1.03, 1.27, 0.7789, 753833.21, 1.03, 0.9374, 1.06, 0.8365, 378777.63, 0.4785 
0.9603, 1.3, 1.67, 0.9603, 1649213.45, 1.29, 1.23, 1.36, 1.1, 618660.5, 1.23, 1.03, 1.27, 0.7789, 753833.21, 1.03, 0.9374, 1.06, 0.8365, 378777.63, 0.9336, 0.6963, 0.9336, 0.6367, 494600.29, 0.4437 
1.29, 1.23, 1.36, 1.1, 618660.5, 1.23, 1.03, 1.27, 0.7789, 753833.21, 1.03, 0.9374, 1.06, 0.8365, 378777.63, 0.9336, 0.6963, 0.9336, 0.6367, 494600.29, 0.6949, 0.6509, 0.8638, 0.647, 294830.47, 0.4136 
1.23, 1.03, 1.27, 0.7789, 753833.21, 1.03, 0.9374, 1.06, 0.8365, 378777.63, 0.9336, 0.6963, 0.9336, 0.6367, 494600.29, 0.6949, 0.6509, 0.8638, 0.647, 294830.47, 0.6515, 0.4682, 0.693, 0.2993, 827743.74, 0.4173 
1.03, 0.9374, 1.06, 0.8365, 378777.63, 0.9336, 0.6963, 0.9336, 0.6367, 494600.29, 0.6949, 0.6509, 0.8638, 0.647, 294830.47, 0.6515, 0.4682, 0.693, 0.2993, 827743.74, 0.4673, 0.4261, 0.4779, 0.3893, 230668.35, 0.3905 
0.9336, 0.6963, 0.9336, 0.6367, 494600.29, 0.6949, 0.6509, 0.8638, 0.647, 294830.47, 0.6515, 0.4682, 0.693, 0.2993, 827743.74, 0.4673, 0.4261, 0.4779, 0.3893, 230668.35, 0.4257, 0.4778, 0.5243, 0.4257, 246913.2, 0.3822 
0.6949, 0.6509, 0.8638, 0.647, 294830.47, 0.6515, 0.4682, 0.693, 0.2993, 827743.74, 0.4673, 0.4261, 0.4779, 0.3893, 230668.35, 0.4257, 0.4778, 0.5243, 0.4257, 246913.2, 0.4788, 0.4785, 0.5018, 0.453, 181522.28, 0.369 
0.6515, 0.4682, 0.693, 0.2993, 827743.74, 0.4673, 0.4261, 0.4779, 0.3893, 230668.35, 0.4257, 0.4778, 0.5243, 0.4257, 246913.2, 0.4788, 0.4785, 0.5018, 0.453, 181522.28, 0.4786, 0.4437, 0.4788, 0.4236, 162348.28, 0.3444 
0.4673, 0.4261, 0.4779, 0.3893, 230668.35, 0.4257, 0.4778, 0.5243, 0.4257, 246913.2, 0.4788, 0.4785, 0.5018, 0.453, 181522.28, 0.4786, 0.4437, 0.4788, 0.4236, 162348.28, 0.4329, 0.4136, 0.4514, 0.3791, 144065.37, 0.3356 
0.4257, 0.4778, 0.5243, 0.4257, 246913.2, 0.4788, 0.4785, 0.5018, 0.453, 181522.28, 0.4786, 0.4437, 0.4788, 0.4236, 162348.28, 0.4329, 0.4136, 0.4514, 0.3791, 144065.37, 0.4133, 0.4173, 0.4259, 0.395, 174714.36, 0.3207 
0.4788, 0.4785, 0.5018, 0.453, 181522.28, 0.4786, 0.4437, 0.4788, 0.4236, 162348.28, 0.4329, 0.4136, 0.4514, 0.3791, 144065.37, 0.4133, 0.4173, 0.4259, 0.395, 174714.36, 0.4195, 0.3905, 0.4254, 0.3873, 128335.09, 0.3229 
0.4786, 0.4437, 0.4788, 0.4236, 162348.28, 0.4329, 0.4136, 0.4514, 0.3791, 144065.37, 0.4133, 0.4173, 0.4259, 0.395, 174714.36, 0.4195, 0.3905, 0.4254, 0.3873, 128335.09, 0.3929, 0.3822, 0.4388, 0.313, 265815.45, 0.3254 
0.4329, 0.4136, 0.4514, 0.3791, 144065.37, 0.4133, 0.4173, 0.4259, 0.395, 174714.36, 0.4195, 0.3905, 0.4254, 0.3873, 128335.09, 0.3929, 0.3822, 0.4388, 0.313, 265815.45, 0.383, 0.369, 0.4155, 0.3457, 211556.67, 0.3212 
0.4133, 0.4173, 0.4259, 0.395, 174714.36, 0.4195, 0.3905, 0.4254, 0.3873, 128335.09, 0.3929, 0.3822, 0.4388, 0.313, 265815.45, 0.383, 0.369, 0.4155, 0.3457, 211556.67, 0.3679, 0.3444, 0.3679, 0.3225, 142284.78, 0.3178 
0.4195, 0.3905, 0.4254, 0.3873, 128335.09, 0.3929, 0.3822, 0.4388, 0.313, 265815.45, 0.383, 0.369, 0.4155, 0.3457, 211556.67, 0.3679, 0.3444, 0.3679, 0.3225, 142284.78, 0.3494, 0.3356, 0.3557, 0.3241, 223770.94, 0.3187 
