@RELATION HistUtility
@ATTRIBUTE open0 NUMERIC
@ATTRIBUTE close0 NUMERIC
@ATTRIBUTE high0 NUMERIC
@ATTRIBUTE low0 NUMERIC
@ATTRIBUTE volumeto0 NUMERIC
@ATTRIBUTE open1 NUMERIC
@ATTRIBUTE close1 NUMERIC
@ATTRIBUTE high1 NUMERIC
@ATTRIBUTE low1 NUMERIC
@ATTRIBUTE volumeto1 NUMERIC
@ATTRIBUTE open2 NUMERIC
@ATTRIBUTE close2 NUMERIC
@ATTRIBUTE high2 NUMERIC
@ATTRIBUTE low2 NUMERIC
@ATTRIBUTE volumeto2 NUMERIC
@ATTRIBUTE open3 NUMERIC
@ATTRIBUTE close3 NUMERIC
@ATTRIBUTE high3 NUMERIC
@ATTRIBUTE low3 NUMERIC
@ATTRIBUTE volumeto3 NUMERIC
@ATTRIBUTE open4 NUMERIC
@ATTRIBUTE close4 NUMERIC
@ATTRIBUTE high4 NUMERIC
@ATTRIBUTE low4 NUMERIC
@ATTRIBUTE volumeto4 NUMERIC
@ATTRIBUTE next_close NUMERIC

@DATA
0.06814, 0.07424, 0.08473, 0.05995, 1442359.39, 0.0704, 0.06286, 0.07066, 0.05625, 2471864.35, 0.06154, 0.06905, 0.06927, 0.05542, 3147876.06, 0.06898, 0.06804, 0.06963, 0.05893, 1963205.12, 0.06853, 0.06371, 0.1248, 0.04369, 1607183.23, 0.08827 
0.0704, 0.06286, 0.07066, 0.05625, 2471864.35, 0.06154, 0.06905, 0.06927, 0.05542, 3147876.06, 0.06898, 0.06804, 0.06963, 0.05893, 1963205.12, 0.06853, 0.06371, 0.1248, 0.04369, 1607183.23, 0.06944, 0.08051, 0.08101, 0.06646, 7854449.04, 0.08733 
0.06154, 0.06905, 0.06927, 0.05542, 3147876.06, 0.06898, 0.06804, 0.06963, 0.05893, 1963205.12, 0.06853, 0.06371, 0.1248, 0.04369, 1607183.23, 0.06944, 0.08051, 0.08101, 0.06646, 7854449.04, 0.08431, 0.07584, 0.08483, 0.07079, 2934364.92, 0.0836 
0.06898, 0.06804, 0.06963, 0.05893, 1963205.12, 0.06853, 0.06371, 0.1248, 0.04369, 1607183.23, 0.06944, 0.08051, 0.08101, 0.06646, 7854449.04, 0.08431, 0.07584, 0.08483, 0.07079, 2934364.92, 0.07626, 0.07824, 0.08351, 0.0704, 3914484.29, 0.08341 
0.06853, 0.06371, 0.1248, 0.04369, 1607183.23, 0.06944, 0.08051, 0.08101, 0.06646, 7854449.04, 0.08431, 0.07584, 0.08483, 0.07079, 2934364.92, 0.07626, 0.07824, 0.08351, 0.0704, 3914484.29, 0.08664, 0.08677, 0.08685, 0.07804, 5526396.63, 0.08048 
0.06944, 0.08051, 0.08101, 0.06646, 7854449.04, 0.08431, 0.07584, 0.08483, 0.07079, 2934364.92, 0.07626, 0.07824, 0.08351, 0.0704, 3914484.29, 0.08664, 0.08677, 0.08685, 0.07804, 5526396.63, 0.08176, 0.08078, 0.08176, 0.07334, 7829313.13, 0.0688 
0.08431, 0.07584, 0.08483, 0.07079, 2934364.92, 0.07626, 0.07824, 0.08351, 0.0704, 3914484.29, 0.08664, 0.08677, 0.08685, 0.07804, 5526396.63, 0.08176, 0.08078, 0.08176, 0.07334, 7829313.13, 0.08382, 0.08827, 0.08847, 0.07613, 6020894.42, 0.07915 
0.07626, 0.07824, 0.08351, 0.0704, 3914484.29, 0.08664, 0.08677, 0.08685, 0.07804, 5526396.63, 0.08176, 0.08078, 0.08176, 0.07334, 7829313.13, 0.08382, 0.08827, 0.08847, 0.07613, 6020894.42, 0.08745, 0.08733, 0.08861, 0.07594, 4711167.67, 0.07697 
0.08664, 0.08677, 0.08685, 0.07804, 5526396.63, 0.08176, 0.08078, 0.08176, 0.07334, 7829313.13, 0.08382, 0.08827, 0.08847, 0.07613, 6020894.42, 0.08745, 0.08733, 0.08861, 0.07594, 4711167.67, 0.08895, 0.0836, 0.08915, 0.07739, 9284538.41, 0.07898 
0.08176, 0.08078, 0.08176, 0.07334, 7829313.13, 0.08382, 0.08827, 0.08847, 0.07613, 6020894.42, 0.08745, 0.08733, 0.08861, 0.07594, 4711167.67, 0.08895, 0.0836, 0.08915, 0.07739, 9284538.41, 0.07854, 0.08341, 0.08367, 0.07236, 3343820.2, 0.07596 
0.08382, 0.08827, 0.08847, 0.07613, 6020894.42, 0.08745, 0.08733, 0.08861, 0.07594, 4711167.67, 0.08895, 0.0836, 0.08915, 0.07739, 9284538.41, 0.07854, 0.08341, 0.08367, 0.07236, 3343820.2, 0.08371, 0.08048, 0.08421, 0.07182, 1728981.48, 0.07819 
0.08745, 0.08733, 0.08861, 0.07594, 4711167.67, 0.08895, 0.0836, 0.08915, 0.07739, 9284538.41, 0.07854, 0.08341, 0.08367, 0.07236, 3343820.2, 0.08371, 0.08048, 0.08421, 0.07182, 1728981.48, 0.07624, 0.0688, 0.07628, 0.06774, 844720.28, 0.1081 
0.08895, 0.0836, 0.08915, 0.07739, 9284538.41, 0.07854, 0.08341, 0.08367, 0.07236, 3343820.2, 0.08371, 0.08048, 0.08421, 0.07182, 1728981.48, 0.07624, 0.0688, 0.07628, 0.06774, 844720.28, 0.0745, 0.07915, 0.08263, 0.0743, 2191465.97, 0.08738 
0.07854, 0.08341, 0.08367, 0.07236, 3343820.2, 0.08371, 0.08048, 0.08421, 0.07182, 1728981.48, 0.07624, 0.0688, 0.07628, 0.06774, 844720.28, 0.0745, 0.07915, 0.08263, 0.0743, 2191465.97, 0.07613, 0.07697, 0.07932, 0.07051, 1264957.37, 0.08422 
0.08371, 0.08048, 0.08421, 0.07182, 1728981.48, 0.07624, 0.0688, 0.07628, 0.06774, 844720.28, 0.0745, 0.07915, 0.08263, 0.0743, 2191465.97, 0.07613, 0.07697, 0.07932, 0.07051, 1264957.37, 0.07898, 0.07898, 0.07898, 0.07231, 1635852.63, 0.07865 
0.07624, 0.0688, 0.07628, 0.06774, 844720.28, 0.0745, 0.07915, 0.08263, 0.0743, 2191465.97, 0.07613, 0.07697, 0.07932, 0.07051, 1264957.37, 0.07898, 0.07898, 0.07898, 0.07231, 1635852.63, 0.07596, 0.07596, 0.076, 0.07026, 1836080.19, 0.08706 
0.0745, 0.07915, 0.08263, 0.0743, 2191465.97, 0.07613, 0.07697, 0.07932, 0.07051, 1264957.37, 0.07898, 0.07898, 0.07898, 0.07231, 1635852.63, 0.07596, 0.07596, 0.076, 0.07026, 1836080.19, 0.07865, 0.07819, 0.07873, 0.07279, 920173.82, 0.08668 
0.07613, 0.07697, 0.07932, 0.07051, 1264957.37, 0.07898, 0.07898, 0.07898, 0.07231, 1635852.63, 0.07596, 0.07596, 0.076, 0.07026, 1836080.19, 0.07865, 0.07819, 0.07873, 0.07279, 920173.82, 0.07981, 0.1081, 0.1344, 0.07486, 30838716.08, 0.08158 
0.07898, 0.07898, 0.07898, 0.07231, 1635852.63, 0.07596, 0.07596, 0.076, 0.07026, 1836080.19, 0.07865, 0.07819, 0.07873, 0.07279, 920173.82, 0.07981, 0.1081, 0.1344, 0.07486, 30838716.08, 0.1047, 0.08738, 0.1442, 0.05907, 7380922.16, 0.08412 
0.07596, 0.07596, 0.076, 0.07026, 1836080.19, 0.07865, 0.07819, 0.07873, 0.07279, 920173.82, 0.07981, 0.1081, 0.1344, 0.07486, 30838716.08, 0.1047, 0.08738, 0.1442, 0.05907, 7380922.16, 0.08825, 0.08422, 0.09968, 0.07438, 2055882.73, 0.07006 
0.07865, 0.07819, 0.07873, 0.07279, 920173.82, 0.07981, 0.1081, 0.1344, 0.07486, 30838716.08, 0.1047, 0.08738, 0.1442, 0.05907, 7380922.16, 0.08825, 0.08422, 0.09968, 0.07438, 2055882.73, 0.08382, 0.07865, 0.08389, 0.07657, 1646680.85, 0.06377 
0.07981, 0.1081, 0.1344, 0.07486, 30838716.08, 0.1047, 0.08738, 0.1442, 0.05907, 7380922.16, 0.08825, 0.08422, 0.09968, 0.07438, 2055882.73, 0.08382, 0.07865, 0.08389, 0.07657, 1646680.85, 0.0837, 0.08706, 0.08924, 0.08161, 270597.66, 0.06871 
0.1047, 0.08738, 0.1442, 0.05907, 7380922.16, 0.08825, 0.08422, 0.09968, 0.07438, 2055882.73, 0.08382, 0.07865, 0.08389, 0.07657, 1646680.85, 0.0837, 0.08706, 0.08924, 0.08161, 270597.66, 0.08595, 0.08668, 0.08668, 0.08121, 373587.11, 0.07209 
0.08825, 0.08422, 0.09968, 0.07438, 2055882.73, 0.08382, 0.07865, 0.08389, 0.07657, 1646680.85, 0.0837, 0.08706, 0.08924, 0.08161, 270597.66, 0.08595, 0.08668, 0.08668, 0.08121, 373587.11, 0.08647, 0.08158, 0.08655, 0.08106, 866947.52, 0.07634 
0.08382, 0.07865, 0.08389, 0.07657, 1646680.85, 0.0837, 0.08706, 0.08924, 0.08161, 270597.66, 0.08595, 0.08668, 0.08668, 0.08121, 373587.11, 0.08647, 0.08158, 0.08655, 0.08106, 866947.52, 0.08174, 0.08412, 0.08461, 0.08109, 1064925.84, 0.0734 
0.0837, 0.08706, 0.08924, 0.08161, 270597.66, 0.08595, 0.08668, 0.08668, 0.08121, 373587.11, 0.08647, 0.08158, 0.08655, 0.08106, 866947.52, 0.08174, 0.08412, 0.08461, 0.08109, 1064925.84, 0.07622, 0.07006, 0.07633, 0.05172, 11241935.52, 0.07477 
0.08595, 0.08668, 0.08668, 0.08121, 373587.11, 0.08647, 0.08158, 0.08655, 0.08106, 866947.52, 0.08174, 0.08412, 0.08461, 0.08109, 1064925.84, 0.07622, 0.07006, 0.07633, 0.05172, 11241935.52, 0.07008, 0.06377, 0.0743, 0.05192, 2154371.9, 0.07378 
0.08647, 0.08158, 0.08655, 0.08106, 866947.52, 0.08174, 0.08412, 0.08461, 0.08109, 1064925.84, 0.07622, 0.07006, 0.07633, 0.05172, 11241935.52, 0.07008, 0.06377, 0.0743, 0.05192, 2154371.9, 0.06369, 0.06871, 0.07439, 0.06358, 1218845.85, 0.07121 
0.08174, 0.08412, 0.08461, 0.08109, 1064925.84, 0.07622, 0.07006, 0.07633, 0.05172, 11241935.52, 0.07008, 0.06377, 0.0743, 0.05192, 2154371.9, 0.06369, 0.06871, 0.07439, 0.06358, 1218845.85, 0.06659, 0.07209, 0.07522, 0.06161, 3885598.25, 0.07232 
0.07622, 0.07006, 0.07633, 0.05172, 11241935.52, 0.07008, 0.06377, 0.0743, 0.05192, 2154371.9, 0.06369, 0.06871, 0.07439, 0.06358, 1218845.85, 0.06659, 0.07209, 0.07522, 0.06161, 3885598.25, 0.07519, 0.07634, 0.0783, 0.06508, 2998857.8, 0.07021 
0.07008, 0.06377, 0.0743, 0.05192, 2154371.9, 0.06369, 0.06871, 0.07439, 0.06358, 1218845.85, 0.06659, 0.07209, 0.07522, 0.06161, 3885598.25, 0.07519, 0.07634, 0.0783, 0.06508, 2998857.8, 0.07463, 0.0734, 0.075, 0.07181, 1485166.93, 0.07033 
0.06369, 0.06871, 0.07439, 0.06358, 1218845.85, 0.06659, 0.07209, 0.07522, 0.06161, 3885598.25, 0.07519, 0.07634, 0.0783, 0.06508, 2998857.8, 0.07463, 0.0734, 0.075, 0.07181, 1485166.93, 0.07386, 0.07477, 0.07525, 0.06326, 3443672.77, 0.06711 
0.06659, 0.07209, 0.07522, 0.06161, 3885598.25, 0.07519, 0.07634, 0.0783, 0.06508, 2998857.8, 0.07463, 0.0734, 0.075, 0.07181, 1485166.93, 0.07386, 0.07477, 0.07525, 0.06326, 3443672.77, 0.07562, 0.07378, 0.07566, 0.06962, 4441187.56, 0.07198 
