@RELATION HistUtility
@ATTRIBUTE open0 NUMERIC
@ATTRIBUTE close0 NUMERIC
@ATTRIBUTE high0 NUMERIC
@ATTRIBUTE low0 NUMERIC
@ATTRIBUTE volumeto0 NUMERIC
@ATTRIBUTE open1 NUMERIC
@ATTRIBUTE close1 NUMERIC
@ATTRIBUTE high1 NUMERIC
@ATTRIBUTE low1 NUMERIC
@ATTRIBUTE volumeto1 NUMERIC
@ATTRIBUTE open2 NUMERIC
@ATTRIBUTE close2 NUMERIC
@ATTRIBUTE high2 NUMERIC
@ATTRIBUTE low2 NUMERIC
@ATTRIBUTE volumeto2 NUMERIC
@ATTRIBUTE open3 NUMERIC
@ATTRIBUTE close3 NUMERIC
@ATTRIBUTE high3 NUMERIC
@ATTRIBUTE low3 NUMERIC
@ATTRIBUTE volumeto3 NUMERIC
@ATTRIBUTE open4 NUMERIC
@ATTRIBUTE close4 NUMERIC
@ATTRIBUTE high4 NUMERIC
@ATTRIBUTE low4 NUMERIC
@ATTRIBUTE volumeto4 NUMERIC
@ATTRIBUTE next_close NUMERIC

@DATA
0.0861, 0.0846, 0.088, 0.08101, 20815.42, 0.0846, 0.086, 0.09, 0.08308, 27737.54, 0.086, 0.0843, 0.0881, 0.0823, 14525.66, 0.08487, 0.08139, 0.08487, 0.07894, 42379.67, 0.08139, 0.08176, 0.08547, 0.08093, 86113.67, 0.08554 
0.0846, 0.086, 0.09, 0.08308, 27737.54, 0.086, 0.0843, 0.0881, 0.0823, 14525.66, 0.08487, 0.08139, 0.08487, 0.07894, 42379.67, 0.08139, 0.08176, 0.08547, 0.08093, 86113.67, 0.08176, 0.08357, 0.08418, 0.0801, 124123.99, 0.07001 
0.086, 0.0843, 0.0881, 0.0823, 14525.66, 0.08487, 0.08139, 0.08487, 0.07894, 42379.67, 0.08139, 0.08176, 0.08547, 0.08093, 86113.67, 0.08176, 0.08357, 0.08418, 0.0801, 124123.99, 0.08357, 0.08129, 0.08484, 0.08072, 97980.82, 0.07281 
0.08487, 0.08139, 0.08487, 0.07894, 42379.67, 0.08139, 0.08176, 0.08547, 0.08093, 86113.67, 0.08176, 0.08357, 0.08418, 0.0801, 124123.99, 0.08357, 0.08129, 0.08484, 0.08072, 97980.82, 0.08129, 0.08468, 0.08659, 0.08025, 134690.11, 0.07514 
0.08139, 0.08176, 0.08547, 0.08093, 86113.67, 0.08176, 0.08357, 0.08418, 0.0801, 124123.99, 0.08357, 0.08129, 0.08484, 0.08072, 97980.82, 0.08129, 0.08468, 0.08659, 0.08025, 134690.11, 0.08468, 0.08677, 0.0887, 0.08121, 231127.29, 0.07037 
0.08176, 0.08357, 0.08418, 0.0801, 124123.99, 0.08357, 0.08129, 0.08484, 0.08072, 97980.82, 0.08129, 0.08468, 0.08659, 0.08025, 134690.11, 0.08468, 0.08677, 0.0887, 0.08121, 231127.29, 0.08677, 0.08629, 0.08774, 0.08423, 146195.56, 0.07345 
0.08357, 0.08129, 0.08484, 0.08072, 97980.82, 0.08129, 0.08468, 0.08659, 0.08025, 134690.11, 0.08468, 0.08677, 0.0887, 0.08121, 231127.29, 0.08677, 0.08629, 0.08774, 0.08423, 146195.56, 0.08629, 0.08554, 0.08733, 0.08294, 152341.77, 0.07499 
0.08129, 0.08468, 0.08659, 0.08025, 134690.11, 0.08468, 0.08677, 0.0887, 0.08121, 231127.29, 0.08677, 0.08629, 0.08774, 0.08423, 146195.56, 0.08629, 0.08554, 0.08733, 0.08294, 152341.77, 0.08554, 0.07001, 0.08554, 0.06921, 496668.12, 0.07667 
0.08468, 0.08677, 0.0887, 0.08121, 231127.29, 0.08677, 0.08629, 0.08774, 0.08423, 146195.56, 0.08629, 0.08554, 0.08733, 0.08294, 152341.77, 0.08554, 0.07001, 0.08554, 0.06921, 496668.12, 0.07001, 0.07281, 0.07853, 0.06883, 178002.52, 0.07449 
0.08677, 0.08629, 0.08774, 0.08423, 146195.56, 0.08629, 0.08554, 0.08733, 0.08294, 152341.77, 0.08554, 0.07001, 0.08554, 0.06921, 496668.12, 0.07001, 0.07281, 0.07853, 0.06883, 178002.52, 0.07281, 0.07514, 0.07744, 0.07143, 103325.38, 0.07543 
