@RELATION HistUtility
@ATTRIBUTE open0 NUMERIC
@ATTRIBUTE close0 NUMERIC
@ATTRIBUTE high0 NUMERIC
@ATTRIBUTE low0 NUMERIC
@ATTRIBUTE volumeto0 NUMERIC
@ATTRIBUTE open1 NUMERIC
@ATTRIBUTE close1 NUMERIC
@ATTRIBUTE high1 NUMERIC
@ATTRIBUTE low1 NUMERIC
@ATTRIBUTE volumeto1 NUMERIC
@ATTRIBUTE open2 NUMERIC
@ATTRIBUTE close2 NUMERIC
@ATTRIBUTE high2 NUMERIC
@ATTRIBUTE low2 NUMERIC
@ATTRIBUTE volumeto2 NUMERIC
@ATTRIBUTE open3 NUMERIC
@ATTRIBUTE close3 NUMERIC
@ATTRIBUTE high3 NUMERIC
@ATTRIBUTE low3 NUMERIC
@ATTRIBUTE volumeto3 NUMERIC
@ATTRIBUTE open4 NUMERIC
@ATTRIBUTE close4 NUMERIC
@ATTRIBUTE high4 NUMERIC
@ATTRIBUTE low4 NUMERIC
@ATTRIBUTE volumeto4 NUMERIC
@ATTRIBUTE next_close NUMERIC

@DATA
0.04762, 0.04491, 0.04835, 0.04451, 360676.47, 0.04471, 0.04353, 0.04551, 0.0428, 150980.81, 0.04307, 0.04496, 0.04516, 0.04307, 218446.87, 0.04473, 0.04363, 0.04493, 0.04278, 100884.86, 0.04422, 0.04422, 0.04547, 0.04369, 107689.26, 0.04666 
0.04471, 0.04353, 0.04551, 0.0428, 150980.81, 0.04307, 0.04496, 0.04516, 0.04307, 218446.87, 0.04473, 0.04363, 0.04493, 0.04278, 100884.86, 0.04422, 0.04422, 0.04547, 0.04369, 107689.26, 0.04457, 0.04431, 0.0451, 0.04345, 122768.66, 0.03862 
0.04307, 0.04496, 0.04516, 0.04307, 218446.87, 0.04473, 0.04363, 0.04493, 0.04278, 100884.86, 0.04422, 0.04422, 0.04547, 0.04369, 107689.26, 0.04457, 0.04431, 0.0451, 0.04345, 122768.66, 0.04402, 0.04363, 0.04422, 0.04297, 77202.36, 0.04376 
0.04473, 0.04363, 0.04493, 0.04278, 100884.86, 0.04422, 0.04422, 0.04547, 0.04369, 107689.26, 0.04457, 0.04431, 0.0451, 0.04345, 122768.66, 0.04402, 0.04363, 0.04422, 0.04297, 77202.36, 0.0437, 0.04561, 0.04568, 0.04357, 188435.23, 0.05271 
0.04422, 0.04422, 0.04547, 0.04369, 107689.26, 0.04457, 0.04431, 0.0451, 0.04345, 122768.66, 0.04402, 0.04363, 0.04422, 0.04297, 77202.36, 0.0437, 0.04561, 0.04568, 0.04357, 188435.23, 0.04595, 0.04901, 0.05101, 0.04582, 1385591.24, 0.04715 
0.04457, 0.04431, 0.0451, 0.04345, 122768.66, 0.04402, 0.04363, 0.04422, 0.04297, 77202.36, 0.0437, 0.04561, 0.04568, 0.04357, 188435.23, 0.04595, 0.04901, 0.05101, 0.04582, 1385591.24, 0.04888, 0.04709, 0.04927, 0.04583, 407703.92, 0.04933 
0.04402, 0.04363, 0.04422, 0.04297, 77202.36, 0.0437, 0.04561, 0.04568, 0.04357, 188435.23, 0.04595, 0.04901, 0.05101, 0.04582, 1385591.24, 0.04888, 0.04709, 0.04927, 0.04583, 407703.92, 0.04673, 0.04666, 0.04798, 0.04488, 327874.91, 0.04997 
0.0437, 0.04561, 0.04568, 0.04357, 188435.23, 0.04595, 0.04901, 0.05101, 0.04582, 1385591.24, 0.04888, 0.04709, 0.04927, 0.04583, 407703.92, 0.04673, 0.04666, 0.04798, 0.04488, 327874.91, 0.04403, 0.03862, 0.04452, 0.03738, 466424.35, 0.05108 
0.04595, 0.04901, 0.05101, 0.04582, 1385591.24, 0.04888, 0.04709, 0.04927, 0.04583, 407703.92, 0.04673, 0.04666, 0.04798, 0.04488, 327874.91, 0.04403, 0.03862, 0.04452, 0.03738, 466424.35, 0.03888, 0.04376, 0.04957, 0.03826, 1572674.17, 0.04918 
0.04888, 0.04709, 0.04927, 0.04583, 407703.92, 0.04673, 0.04666, 0.04798, 0.04488, 327874.91, 0.04403, 0.03862, 0.04452, 0.03738, 466424.35, 0.03888, 0.04376, 0.04957, 0.03826, 1572674.17, 0.04387, 0.05271, 0.06092, 0.04324, 4301968.71, 0.05014 
