@RELATION HistUtility
@ATTRIBUTE open0 NUMERIC
@ATTRIBUTE close0 NUMERIC
@ATTRIBUTE high0 NUMERIC
@ATTRIBUTE low0 NUMERIC
@ATTRIBUTE volumeto0 NUMERIC
@ATTRIBUTE open1 NUMERIC
@ATTRIBUTE close1 NUMERIC
@ATTRIBUTE high1 NUMERIC
@ATTRIBUTE low1 NUMERIC
@ATTRIBUTE volumeto1 NUMERIC
@ATTRIBUTE open2 NUMERIC
@ATTRIBUTE close2 NUMERIC
@ATTRIBUTE high2 NUMERIC
@ATTRIBUTE low2 NUMERIC
@ATTRIBUTE volumeto2 NUMERIC
@ATTRIBUTE open3 NUMERIC
@ATTRIBUTE close3 NUMERIC
@ATTRIBUTE high3 NUMERIC
@ATTRIBUTE low3 NUMERIC
@ATTRIBUTE volumeto3 NUMERIC
@ATTRIBUTE open4 NUMERIC
@ATTRIBUTE close4 NUMERIC
@ATTRIBUTE high4 NUMERIC
@ATTRIBUTE low4 NUMERIC
@ATTRIBUTE volumeto4 NUMERIC
@ATTRIBUTE next_close NUMERIC

@DATA
0.1169, 0.122, 0.1265, 0.1162, 297247.69, 0.1157, 0.119, 0.1218, 0.1148, 278549.98, 0.1165, 0.1091, 0.1181, 0.1072, 485702.4, 0.109, 0.111, 0.1117, 0.1079, 206705.84, 0.1118, 0.1106, 0.115, 0.1099, 213959.09, 0.1659 
0.1157, 0.119, 0.1218, 0.1148, 278549.98, 0.1165, 0.1091, 0.1181, 0.1072, 485702.4, 0.109, 0.111, 0.1117, 0.1079, 206705.84, 0.1118, 0.1106, 0.115, 0.1099, 213959.09, 0.1205, 0.1207, 0.1295, 0.1183, 599967.95, 0.1719 
0.1165, 0.1091, 0.1181, 0.1072, 485702.4, 0.109, 0.111, 0.1117, 0.1079, 206705.84, 0.1118, 0.1106, 0.115, 0.1099, 213959.09, 0.1205, 0.1207, 0.1295, 0.1183, 599967.95, 0.1264, 0.1288, 0.1308, 0.1253, 461981.83, 0.1763 
0.109, 0.111, 0.1117, 0.1079, 206705.84, 0.1118, 0.1106, 0.115, 0.1099, 213959.09, 0.1205, 0.1207, 0.1295, 0.1183, 599967.95, 0.1264, 0.1288, 0.1308, 0.1253, 461981.83, 0.1295, 0.1364, 0.1472, 0.1264, 1702100.32, 0.1572 
0.1118, 0.1106, 0.115, 0.1099, 213959.09, 0.1205, 0.1207, 0.1295, 0.1183, 599967.95, 0.1264, 0.1288, 0.1308, 0.1253, 461981.83, 0.1295, 0.1364, 0.1472, 0.1264, 1702100.32, 0.151, 0.1845, 0.2015, 0.1482, 5935677.63, 0.157 
0.1205, 0.1207, 0.1295, 0.1183, 599967.95, 0.1264, 0.1288, 0.1308, 0.1253, 461981.83, 0.1295, 0.1364, 0.1472, 0.1264, 1702100.32, 0.151, 0.1845, 0.2015, 0.1482, 5935677.63, 0.1739, 0.1661, 0.1871, 0.1618, 2980110.87, 0.1375 
0.1264, 0.1288, 0.1308, 0.1253, 461981.83, 0.1295, 0.1364, 0.1472, 0.1264, 1702100.32, 0.151, 0.1845, 0.2015, 0.1482, 5935677.63, 0.1739, 0.1661, 0.1871, 0.1618, 2980110.87, 0.1723, 0.1659, 0.1727, 0.159, 1297420.83, 0.1611 
0.1295, 0.1364, 0.1472, 0.1264, 1702100.32, 0.151, 0.1845, 0.2015, 0.1482, 5935677.63, 0.1739, 0.1661, 0.1871, 0.1618, 2980110.87, 0.1723, 0.1659, 0.1727, 0.159, 1297420.83, 0.1643, 0.1719, 0.1831, 0.1643, 1134880.24, 0.1501 
0.151, 0.1845, 0.2015, 0.1482, 5935677.63, 0.1739, 0.1661, 0.1871, 0.1618, 2980110.87, 0.1723, 0.1659, 0.1727, 0.159, 1297420.83, 0.1643, 0.1719, 0.1831, 0.1643, 1134880.24, 0.1751, 0.1763, 0.193, 0.1743, 1587398.79, 0.1524 
0.1739, 0.1661, 0.1871, 0.1618, 2980110.87, 0.1723, 0.1659, 0.1727, 0.159, 1297420.83, 0.1643, 0.1719, 0.1831, 0.1643, 1134880.24, 0.1751, 0.1763, 0.193, 0.1743, 1587398.79, 0.1657, 0.1572, 0.168, 0.1523, 855292.03, 0.1414 
