@RELATION HistUtility
@ATTRIBUTE open0 NUMERIC
@ATTRIBUTE close0 NUMERIC
@ATTRIBUTE high0 NUMERIC
@ATTRIBUTE low0 NUMERIC
@ATTRIBUTE volumeto0 NUMERIC
@ATTRIBUTE open1 NUMERIC
@ATTRIBUTE close1 NUMERIC
@ATTRIBUTE high1 NUMERIC
@ATTRIBUTE low1 NUMERIC
@ATTRIBUTE volumeto1 NUMERIC
@ATTRIBUTE open2 NUMERIC
@ATTRIBUTE close2 NUMERIC
@ATTRIBUTE high2 NUMERIC
@ATTRIBUTE low2 NUMERIC
@ATTRIBUTE volumeto2 NUMERIC
@ATTRIBUTE open3 NUMERIC
@ATTRIBUTE close3 NUMERIC
@ATTRIBUTE high3 NUMERIC
@ATTRIBUTE low3 NUMERIC
@ATTRIBUTE volumeto3 NUMERIC
@ATTRIBUTE open4 NUMERIC
@ATTRIBUTE close4 NUMERIC
@ATTRIBUTE high4 NUMERIC
@ATTRIBUTE low4 NUMERIC
@ATTRIBUTE volumeto4 NUMERIC
@ATTRIBUTE next_close NUMERIC

@DATA
0.8067, 0.8492, 1.71, 0.8053, 201978.53, 0.8449, 0.8237, 0.8575, 0.7945, 273259.1, 0.8174, 0.8193, 0.8305, 0.7726, 255406.54, 0.7731, 0.7458, 0.824, 0.7408, 182327.54, 0.7464, 0.7532, 0.772, 0.737, 171307.66, 0.7494 
0.8449, 0.8237, 0.8575, 0.7945, 273259.1, 0.8174, 0.8193, 0.8305, 0.7726, 255406.54, 0.7731, 0.7458, 0.824, 0.7408, 182327.54, 0.7464, 0.7532, 0.772, 0.737, 171307.66, 0.7552, 0.7803, 0.7803, 0.7358, 288401.57, 0.7278 
0.8174, 0.8193, 0.8305, 0.7726, 255406.54, 0.7731, 0.7458, 0.824, 0.7408, 182327.54, 0.7464, 0.7532, 0.772, 0.737, 171307.66, 0.7552, 0.7803, 0.7803, 0.7358, 288401.57, 0.7816, 0.7552, 0.7904, 0.7533, 169185.35, 0.7172 
0.7731, 0.7458, 0.824, 0.7408, 182327.54, 0.7464, 0.7532, 0.772, 0.737, 171307.66, 0.7552, 0.7803, 0.7803, 0.7358, 288401.57, 0.7816, 0.7552, 0.7904, 0.7533, 169185.35, 0.7955, 0.7346, 0.8351, 0.7042, 278521.7, 0.7128 
0.7464, 0.7532, 0.772, 0.737, 171307.66, 0.7552, 0.7803, 0.7803, 0.7358, 288401.57, 0.7816, 0.7552, 0.7904, 0.7533, 169185.35, 0.7955, 0.7346, 0.8351, 0.7042, 278521.7, 0.7314, 0.7307, 0.7452, 0.7208, 277719.97, 0.708 
0.7552, 0.7803, 0.7803, 0.7358, 288401.57, 0.7816, 0.7552, 0.7904, 0.7533, 169185.35, 0.7955, 0.7346, 0.8351, 0.7042, 278521.7, 0.7314, 0.7307, 0.7452, 0.7208, 277719.97, 0.7298, 0.7265, 0.7383, 0.7239, 207165.41, 0.715 
0.7816, 0.7552, 0.7904, 0.7533, 169185.35, 0.7955, 0.7346, 0.8351, 0.7042, 278521.7, 0.7314, 0.7307, 0.7452, 0.7208, 277719.97, 0.7298, 0.7265, 0.7383, 0.7239, 207165.41, 0.717, 0.7494, 0.765, 0.717, 385793.97, 0.7215 
0.7955, 0.7346, 0.8351, 0.7042, 278521.7, 0.7314, 0.7307, 0.7452, 0.7208, 277719.97, 0.7298, 0.7265, 0.7383, 0.7239, 207165.41, 0.717, 0.7494, 0.765, 0.717, 385793.97, 0.7472, 0.7278, 0.753, 0.7187, 196191.8, 0.7406 
0.7314, 0.7307, 0.7452, 0.7208, 277719.97, 0.7298, 0.7265, 0.7383, 0.7239, 207165.41, 0.717, 0.7494, 0.765, 0.717, 385793.97, 0.7472, 0.7278, 0.753, 0.7187, 196191.8, 0.7295, 0.7172, 0.7471, 0.6932, 528685.94, 0.7497 
0.7298, 0.7265, 0.7383, 0.7239, 207165.41, 0.717, 0.7494, 0.765, 0.717, 385793.97, 0.7472, 0.7278, 0.753, 0.7187, 196191.8, 0.7295, 0.7172, 0.7471, 0.6932, 528685.94, 0.7193, 0.7128, 0.7265, 0.6998, 336111.3, 0.7441 
