@RELATION HistUtility
@ATTRIBUTE open0 NUMERIC
@ATTRIBUTE close0 NUMERIC
@ATTRIBUTE high0 NUMERIC
@ATTRIBUTE low0 NUMERIC
@ATTRIBUTE volumeto0 NUMERIC
@ATTRIBUTE open1 NUMERIC
@ATTRIBUTE close1 NUMERIC
@ATTRIBUTE high1 NUMERIC
@ATTRIBUTE low1 NUMERIC
@ATTRIBUTE volumeto1 NUMERIC
@ATTRIBUTE open2 NUMERIC
@ATTRIBUTE close2 NUMERIC
@ATTRIBUTE high2 NUMERIC
@ATTRIBUTE low2 NUMERIC
@ATTRIBUTE volumeto2 NUMERIC
@ATTRIBUTE open3 NUMERIC
@ATTRIBUTE close3 NUMERIC
@ATTRIBUTE high3 NUMERIC
@ATTRIBUTE low3 NUMERIC
@ATTRIBUTE volumeto3 NUMERIC
@ATTRIBUTE open4 NUMERIC
@ATTRIBUTE close4 NUMERIC
@ATTRIBUTE high4 NUMERIC
@ATTRIBUTE low4 NUMERIC
@ATTRIBUTE volumeto4 NUMERIC
@ATTRIBUTE next_close NUMERIC

@DATA
0.0211, 0.0211, 0.02209, 0.02064, 261310.01, 0.02088, 0.02062, 0.02166, 0.02029, 404596.67, 0.02065, 0.02233, 0.02279, 0.01889, 428040.81, 0.02263, 0.02632, 0.02777, 0.02079, 455838.45, 0.02653, 0.02686, 0.02852, 0.02381, 440770.47, 0.02074 
0.02088, 0.02062, 0.02166, 0.02029, 404596.67, 0.02065, 0.02233, 0.02279, 0.01889, 428040.81, 0.02263, 0.02632, 0.02777, 0.02079, 455838.45, 0.02653, 0.02686, 0.02852, 0.02381, 440770.47, 0.02669, 0.02603, 0.02768, 0.02544, 321618.55, 0.02088 
0.02065, 0.02233, 0.02279, 0.01889, 428040.81, 0.02263, 0.02632, 0.02777, 0.02079, 455838.45, 0.02653, 0.02686, 0.02852, 0.02381, 440770.47, 0.02669, 0.02603, 0.02768, 0.02544, 321618.55, 0.02607, 0.02647, 0.02779, 0.02581, 390441.18, 0.02118 
0.02263, 0.02632, 0.02777, 0.02079, 455838.45, 0.02653, 0.02686, 0.02852, 0.02381, 440770.47, 0.02669, 0.02603, 0.02768, 0.02544, 321618.55, 0.02607, 0.02647, 0.02779, 0.02581, 390441.18, 0.02667, 0.02587, 0.0274, 0.02574, 239892.68, 0.02047 
0.02653, 0.02686, 0.02852, 0.02381, 440770.47, 0.02669, 0.02603, 0.02768, 0.02544, 321618.55, 0.02607, 0.02647, 0.02779, 0.02581, 390441.18, 0.02667, 0.02587, 0.0274, 0.02574, 239892.68, 0.0258, 0.0246, 0.02626, 0.02414, 533362.11, 0.02645 
0.02669, 0.02603, 0.02768, 0.02544, 321618.55, 0.02607, 0.02647, 0.02779, 0.02581, 390441.18, 0.02667, 0.02587, 0.0274, 0.02574, 239892.68, 0.0258, 0.0246, 0.02626, 0.02414, 533362.11, 0.02442, 0.02389, 0.02547, 0.02369, 387400.45, 0.02719 
0.02607, 0.02647, 0.02779, 0.02581, 390441.18, 0.02667, 0.02587, 0.0274, 0.02574, 239892.68, 0.0258, 0.0246, 0.02626, 0.02414, 533362.11, 0.02442, 0.02389, 0.02547, 0.02369, 387400.45, 0.02254, 0.02074, 0.02254, 0.02049, 383529.17, 0.02682 
0.02667, 0.02587, 0.0274, 0.02574, 239892.68, 0.0258, 0.0246, 0.02626, 0.02414, 533362.11, 0.02442, 0.02389, 0.02547, 0.02369, 387400.45, 0.02254, 0.02074, 0.02254, 0.02049, 383529.17, 0.02088, 0.02088, 0.02132, 0.02063, 220212.97, 0.02634 
0.0258, 0.0246, 0.02626, 0.02414, 533362.11, 0.02442, 0.02389, 0.02547, 0.02369, 387400.45, 0.02254, 0.02074, 0.02254, 0.02049, 383529.17, 0.02088, 0.02088, 0.02132, 0.02063, 220212.97, 0.02093, 0.02118, 0.02187, 0.02068, 135617.98, 0.02685 
0.02442, 0.02389, 0.02547, 0.02369, 387400.45, 0.02254, 0.02074, 0.02254, 0.02049, 383529.17, 0.02088, 0.02088, 0.02132, 0.02063, 220212.97, 0.02093, 0.02118, 0.02187, 0.02068, 135617.98, 0.02122, 0.02047, 0.0216, 0.01965, 148988, 0.02609 
0.02254, 0.02074, 0.02254, 0.02049, 383529.17, 0.02088, 0.02088, 0.02132, 0.02063, 220212.97, 0.02093, 0.02118, 0.02187, 0.02068, 135617.98, 0.02122, 0.02047, 0.0216, 0.01965, 148988, 0.02156, 0.02645, 0.03114, 0.02149, 222973.07, 0.02676 
0.02088, 0.02088, 0.02132, 0.02063, 220212.97, 0.02093, 0.02118, 0.02187, 0.02068, 135617.98, 0.02122, 0.02047, 0.0216, 0.01965, 148988, 0.02156, 0.02645, 0.03114, 0.02149, 222973.07, 0.02633, 0.02719, 0.02785, 0.02436, 218390.42, 0.02626 
0.02093, 0.02118, 0.02187, 0.02068, 135617.98, 0.02122, 0.02047, 0.0216, 0.01965, 148988, 0.02156, 0.02645, 0.03114, 0.02149, 222973.07, 0.02633, 0.02719, 0.02785, 0.02436, 218390.42, 0.02702, 0.02682, 0.02768, 0.02617, 202046.04, 0.02465 
0.02122, 0.02047, 0.0216, 0.01965, 148988, 0.02156, 0.02645, 0.03114, 0.02149, 222973.07, 0.02633, 0.02719, 0.02785, 0.02436, 218390.42, 0.02702, 0.02682, 0.02768, 0.02617, 202046.04, 0.02654, 0.02634, 0.02965, 0.02621, 157703.9, 0.02487 
0.02156, 0.02645, 0.03114, 0.02149, 222973.07, 0.02633, 0.02719, 0.02785, 0.02436, 218390.42, 0.02702, 0.02682, 0.02768, 0.02617, 202046.04, 0.02654, 0.02634, 0.02965, 0.02621, 157703.9, 0.02627, 0.02685, 0.02801, 0.02607, 187693.17, 0.02424 
0.02633, 0.02719, 0.02785, 0.02436, 218390.42, 0.02702, 0.02682, 0.02768, 0.02617, 202046.04, 0.02654, 0.02634, 0.02965, 0.02621, 157703.9, 0.02627, 0.02685, 0.02801, 0.02607, 187693.17, 0.02694, 0.02609, 0.02797, 0.02473, 196419.46, 0.02615 
0.02702, 0.02682, 0.02768, 0.02617, 202046.04, 0.02654, 0.02634, 0.02965, 0.02621, 157703.9, 0.02627, 0.02685, 0.02801, 0.02607, 187693.17, 0.02694, 0.02609, 0.02797, 0.02473, 196419.46, 0.02617, 0.02676, 0.02708, 0.02578, 197576.47, 0.02698 
0.02654, 0.02634, 0.02965, 0.02621, 157703.9, 0.02627, 0.02685, 0.02801, 0.02607, 187693.17, 0.02694, 0.02609, 0.02797, 0.02473, 196419.46, 0.02617, 0.02676, 0.02708, 0.02578, 197576.47, 0.02665, 0.02626, 0.02684, 0.02593, 199608.09, 0.02763 
0.02627, 0.02685, 0.02801, 0.02607, 187693.17, 0.02694, 0.02609, 0.02797, 0.02473, 196419.46, 0.02617, 0.02676, 0.02708, 0.02578, 197576.47, 0.02665, 0.02626, 0.02684, 0.02593, 199608.09, 0.0262, 0.02465, 0.02666, 0.0242, 198692.74, 0.02652 
0.02694, 0.02609, 0.02797, 0.02473, 196419.46, 0.02617, 0.02676, 0.02708, 0.02578, 197576.47, 0.02665, 0.02626, 0.02684, 0.02593, 199608.09, 0.0262, 0.02465, 0.02666, 0.0242, 198692.74, 0.02474, 0.02487, 0.02642, 0.02461, 139740.38, 0.02707 
0.02617, 0.02676, 0.02708, 0.02578, 197576.47, 0.02665, 0.02626, 0.02684, 0.02593, 199608.09, 0.0262, 0.02465, 0.02666, 0.0242, 198692.74, 0.02474, 0.02487, 0.02642, 0.02461, 139740.38, 0.02482, 0.02424, 0.0252, 0.02372, 176177.49, 0.02765 
0.02665, 0.02626, 0.02684, 0.02593, 199608.09, 0.0262, 0.02465, 0.02666, 0.0242, 198692.74, 0.02474, 0.02487, 0.02642, 0.02461, 139740.38, 0.02482, 0.02424, 0.0252, 0.02372, 176177.49, 0.02421, 0.02615, 0.02673, 0.02415, 190311.14, 0.02763 
0.0262, 0.02465, 0.02666, 0.0242, 198692.74, 0.02474, 0.02487, 0.02642, 0.02461, 139740.38, 0.02482, 0.02424, 0.0252, 0.02372, 176177.49, 0.02421, 0.02615, 0.02673, 0.02415, 190311.14, 0.0262, 0.02698, 0.02782, 0.02459, 194824.38, 0.02769 
0.02474, 0.02487, 0.02642, 0.02461, 139740.38, 0.02482, 0.02424, 0.0252, 0.02372, 176177.49, 0.02421, 0.02615, 0.02673, 0.02415, 190311.14, 0.0262, 0.02698, 0.02782, 0.02459, 194824.38, 0.02698, 0.02763, 0.02899, 0.02627, 201428.26, 0.02729 
