@RELATION HistUtility
@ATTRIBUTE open0 NUMERIC
@ATTRIBUTE close0 NUMERIC
@ATTRIBUTE high0 NUMERIC
@ATTRIBUTE low0 NUMERIC
@ATTRIBUTE volumeto0 NUMERIC
@ATTRIBUTE open1 NUMERIC
@ATTRIBUTE close1 NUMERIC
@ATTRIBUTE high1 NUMERIC
@ATTRIBUTE low1 NUMERIC
@ATTRIBUTE volumeto1 NUMERIC
@ATTRIBUTE open2 NUMERIC
@ATTRIBUTE close2 NUMERIC
@ATTRIBUTE high2 NUMERIC
@ATTRIBUTE low2 NUMERIC
@ATTRIBUTE volumeto2 NUMERIC
@ATTRIBUTE open3 NUMERIC
@ATTRIBUTE close3 NUMERIC
@ATTRIBUTE high3 NUMERIC
@ATTRIBUTE low3 NUMERIC
@ATTRIBUTE volumeto3 NUMERIC
@ATTRIBUTE open4 NUMERIC
@ATTRIBUTE close4 NUMERIC
@ATTRIBUTE high4 NUMERIC
@ATTRIBUTE low4 NUMERIC
@ATTRIBUTE volumeto4 NUMERIC
@ATTRIBUTE next_close NUMERIC

@DATA
0.0005223, 0.000525, 0.000525, 0.0004752, 511472.54, 0.0005011, 0.0004708, 0.0005011, 0.0004708, 9313.26, 0.0004573, 0.0004673, 0.0004833, 0.0004304, 7527.33, 0.0004694, 0.0004719, 0.0004761, 0.0004483, 10107.96, 0.0004782, 0.0004696, 0.0004893, 0.0004696, 14053.66, 0.0007812 
0.0005011, 0.0004708, 0.0005011, 0.0004708, 9313.26, 0.0004573, 0.0004673, 0.0004833, 0.0004304, 7527.33, 0.0004694, 0.0004719, 0.0004761, 0.0004483, 10107.96, 0.0004782, 0.0004696, 0.0004893, 0.0004696, 14053.66, 0.0005249, 0.0005411, 0.0005497, 0.0005249, 43568.26, 0.0007709 
0.0004573, 0.0004673, 0.0004833, 0.0004304, 7527.33, 0.0004694, 0.0004719, 0.0004761, 0.0004483, 10107.96, 0.0004782, 0.0004696, 0.0004893, 0.0004696, 14053.66, 0.0005249, 0.0005411, 0.0005497, 0.0005249, 43568.26, 0.0005808, 0.0005767, 0.0005808, 0.000546, 1930.86, 0.0009861 
0.0004694, 0.0004719, 0.0004761, 0.0004483, 10107.96, 0.0004782, 0.0004696, 0.0004893, 0.0004696, 14053.66, 0.0005249, 0.0005411, 0.0005497, 0.0005249, 43568.26, 0.0005808, 0.0005767, 0.0005808, 0.000546, 1930.86, 0.0005665, 0.0006491, 0.0007789, 0.0005585, 4203.71, 0.000803 
0.0004782, 0.0004696, 0.0004893, 0.0004696, 14053.66, 0.0005249, 0.0005411, 0.0005497, 0.0005249, 43568.26, 0.0005808, 0.0005767, 0.0005808, 0.000546, 1930.86, 0.0005665, 0.0006491, 0.0007789, 0.0005585, 4203.71, 0.000751, 0.0008092, 0.0008383, 0.0007242, 11530.58, 0.0008421 
0.0005249, 0.0005411, 0.0005497, 0.0005249, 43568.26, 0.0005808, 0.0005767, 0.0005808, 0.000546, 1930.86, 0.0005665, 0.0006491, 0.0007789, 0.0005585, 4203.71, 0.000751, 0.0008092, 0.0008383, 0.0007242, 11530.58, 0.0007606, 0.0007529, 0.0007803, 0.0007004, 5353.65, 0.0007295 
0.0005808, 0.0005767, 0.0005808, 0.000546, 1930.86, 0.0005665, 0.0006491, 0.0007789, 0.0005585, 4203.71, 0.000751, 0.0008092, 0.0008383, 0.0007242, 11530.58, 0.0007606, 0.0007529, 0.0007803, 0.0007004, 5353.65, 0.0008143, 0.0007812, 0.0008143, 0.0007457, 1912.8, 0.0008384 
0.0005665, 0.0006491, 0.0007789, 0.0005585, 4203.71, 0.000751, 0.0008092, 0.0008383, 0.0007242, 11530.58, 0.0007606, 0.0007529, 0.0007803, 0.0007004, 5353.65, 0.0008143, 0.0007812, 0.0008143, 0.0007457, 1912.8, 0.0008683, 0.0007709, 0.0008683, 0.0007644, 2925.42, 0.0007455 
0.000751, 0.0008092, 0.0008383, 0.0007242, 11530.58, 0.0007606, 0.0007529, 0.0007803, 0.0007004, 5353.65, 0.0008143, 0.0007812, 0.0008143, 0.0007457, 1912.8, 0.0008683, 0.0007709, 0.0008683, 0.0007644, 2925.42, 0.0008255, 0.0009861, 0.001018, 0.0007889, 11210.82, 0.0008056 
0.0007606, 0.0007529, 0.0007803, 0.0007004, 5353.65, 0.0008143, 0.0007812, 0.0008143, 0.0007457, 1912.8, 0.0008683, 0.0007709, 0.0008683, 0.0007644, 2925.42, 0.0008255, 0.0009861, 0.001018, 0.0007889, 11210.82, 0.0009169, 0.000803, 0.0009444, 0.0007073, 3144.46, 0.0007796 
