@RELATION HistUtility
@ATTRIBUTE open0 NUMERIC
@ATTRIBUTE close0 NUMERIC
@ATTRIBUTE high0 NUMERIC
@ATTRIBUTE low0 NUMERIC
@ATTRIBUTE volumeto0 NUMERIC
@ATTRIBUTE open1 NUMERIC
@ATTRIBUTE close1 NUMERIC
@ATTRIBUTE high1 NUMERIC
@ATTRIBUTE low1 NUMERIC
@ATTRIBUTE volumeto1 NUMERIC
@ATTRIBUTE open2 NUMERIC
@ATTRIBUTE close2 NUMERIC
@ATTRIBUTE high2 NUMERIC
@ATTRIBUTE low2 NUMERIC
@ATTRIBUTE volumeto2 NUMERIC
@ATTRIBUTE open3 NUMERIC
@ATTRIBUTE close3 NUMERIC
@ATTRIBUTE high3 NUMERIC
@ATTRIBUTE low3 NUMERIC
@ATTRIBUTE volumeto3 NUMERIC
@ATTRIBUTE open4 NUMERIC
@ATTRIBUTE close4 NUMERIC
@ATTRIBUTE high4 NUMERIC
@ATTRIBUTE low4 NUMERIC
@ATTRIBUTE volumeto4 NUMERIC
@ATTRIBUTE next_close NUMERIC

@DATA
0.116, 0.1169, 0.1182, 0.114, 908450.7, 0.1166, 0.1205, 0.1218, 0.1151, 1012158.66, 0.1196, 0.1171, 0.1196, 0.1131, 918245.11, 0.1105, 0.1108, 0.1224, 0.1047, 1988297.06, 0.1115, 0.1112, 0.1208, 0.1096, 1327429.87, 0.1136 
0.1166, 0.1205, 0.1218, 0.1151, 1012158.66, 0.1196, 0.1171, 0.1196, 0.1131, 918245.11, 0.1105, 0.1108, 0.1224, 0.1047, 1988297.06, 0.1115, 0.1112, 0.1208, 0.1096, 1327429.87, 0.1115, 0.1134, 0.1143, 0.1104, 711318.58, 0.1135 
0.1196, 0.1171, 0.1196, 0.1131, 918245.11, 0.1105, 0.1108, 0.1224, 0.1047, 1988297.06, 0.1115, 0.1112, 0.1208, 0.1096, 1327429.87, 0.1115, 0.1134, 0.1143, 0.1104, 711318.58, 0.1135, 0.1126, 0.1158, 0.1116, 626443.29, 0.1146 
0.1105, 0.1108, 0.1224, 0.1047, 1988297.06, 0.1115, 0.1112, 0.1208, 0.1096, 1327429.87, 0.1115, 0.1134, 0.1143, 0.1104, 711318.58, 0.1135, 0.1126, 0.1158, 0.1116, 626443.29, 0.1186, 0.1151, 0.1224, 0.1117, 863435.58, 0.1156 
0.1115, 0.1112, 0.1208, 0.1096, 1327429.87, 0.1115, 0.1134, 0.1143, 0.1104, 711318.58, 0.1135, 0.1126, 0.1158, 0.1116, 626443.29, 0.1186, 0.1151, 0.1224, 0.1117, 863435.58, 0.1147, 0.1151, 0.1165, 0.114, 590796.82, 0.1138 
0.1115, 0.1134, 0.1143, 0.1104, 711318.58, 0.1135, 0.1126, 0.1158, 0.1116, 626443.29, 0.1186, 0.1151, 0.1224, 0.1117, 863435.58, 0.1147, 0.1151, 0.1165, 0.114, 590796.82, 0.1149, 0.1153, 0.1194, 0.114, 949345.36, 0.1135 
0.1135, 0.1126, 0.1158, 0.1116, 626443.29, 0.1186, 0.1151, 0.1224, 0.1117, 863435.58, 0.1147, 0.1151, 0.1165, 0.114, 590796.82, 0.1149, 0.1153, 0.1194, 0.114, 949345.36, 0.1137, 0.1136, 0.1155, 0.1129, 602678.07, 0.113 
0.1186, 0.1151, 0.1224, 0.1117, 863435.58, 0.1147, 0.1151, 0.1165, 0.114, 590796.82, 0.1149, 0.1153, 0.1194, 0.114, 949345.36, 0.1137, 0.1136, 0.1155, 0.1129, 602678.07, 0.1131, 0.1135, 0.1167, 0.1113, 1113748.68, 0.1115 
0.1147, 0.1151, 0.1165, 0.114, 590796.82, 0.1149, 0.1153, 0.1194, 0.114, 949345.36, 0.1137, 0.1136, 0.1155, 0.1129, 602678.07, 0.1131, 0.1135, 0.1167, 0.1113, 1113748.68, 0.1138, 0.1146, 0.1155, 0.1135, 534681.93, 0.1105 
0.1149, 0.1153, 0.1194, 0.114, 949345.36, 0.1137, 0.1136, 0.1155, 0.1129, 602678.07, 0.1131, 0.1135, 0.1167, 0.1113, 1113748.68, 0.1138, 0.1146, 0.1155, 0.1135, 534681.93, 0.1149, 0.1156, 0.1184, 0.1146, 698095.7, 0.109 
0.1137, 0.1136, 0.1155, 0.1129, 602678.07, 0.1131, 0.1135, 0.1167, 0.1113, 1113748.68, 0.1138, 0.1146, 0.1155, 0.1135, 534681.93, 0.1149, 0.1156, 0.1184, 0.1146, 698095.7, 0.1151, 0.1138, 0.1152, 0.1132, 669879.83, 0.1083 
0.1131, 0.1135, 0.1167, 0.1113, 1113748.68, 0.1138, 0.1146, 0.1155, 0.1135, 534681.93, 0.1149, 0.1156, 0.1184, 0.1146, 698095.7, 0.1151, 0.1138, 0.1152, 0.1132, 669879.83, 0.1137, 0.1135, 0.1145, 0.111, 911996.43, 0.1032 
0.1138, 0.1146, 0.1155, 0.1135, 534681.93, 0.1149, 0.1156, 0.1184, 0.1146, 698095.7, 0.1151, 0.1138, 0.1152, 0.1132, 669879.83, 0.1137, 0.1135, 0.1145, 0.111, 911996.43, 0.1136, 0.113, 0.1149, 0.1128, 637071.49, 0.1049 
0.1149, 0.1156, 0.1184, 0.1146, 698095.7, 0.1151, 0.1138, 0.1152, 0.1132, 669879.83, 0.1137, 0.1135, 0.1145, 0.111, 911996.43, 0.1136, 0.113, 0.1149, 0.1128, 637071.49, 0.1126, 0.1115, 0.1134, 0.111, 652011.87, 0.104 
0.1151, 0.1138, 0.1152, 0.1132, 669879.83, 0.1137, 0.1135, 0.1145, 0.111, 911996.43, 0.1136, 0.113, 0.1149, 0.1128, 637071.49, 0.1126, 0.1115, 0.1134, 0.111, 652011.87, 0.1115, 0.1105, 0.1118, 0.1097, 1336311.86, 0.1086 
0.1137, 0.1135, 0.1145, 0.111, 911996.43, 0.1136, 0.113, 0.1149, 0.1128, 637071.49, 0.1126, 0.1115, 0.1134, 0.111, 652011.87, 0.1115, 0.1105, 0.1118, 0.1097, 1336311.86, 0.1108, 0.109, 0.1124, 0.1087, 591749.8, 0.1095 
0.1136, 0.113, 0.1149, 0.1128, 637071.49, 0.1126, 0.1115, 0.1134, 0.111, 652011.87, 0.1115, 0.1105, 0.1118, 0.1097, 1336311.86, 0.1108, 0.109, 0.1124, 0.1087, 591749.8, 0.109, 0.1083, 0.1111, 0.1072, 774322.44, 0.1123 
0.1126, 0.1115, 0.1134, 0.111, 652011.87, 0.1115, 0.1105, 0.1118, 0.1097, 1336311.86, 0.1108, 0.109, 0.1124, 0.1087, 591749.8, 0.109, 0.1083, 0.1111, 0.1072, 774322.44, 0.1057, 0.1032, 0.1075, 0.1011, 777997.64, 0.1103 
0.1115, 0.1105, 0.1118, 0.1097, 1336311.86, 0.1108, 0.109, 0.1124, 0.1087, 591749.8, 0.109, 0.1083, 0.1111, 0.1072, 774322.44, 0.1057, 0.1032, 0.1075, 0.1011, 777997.64, 0.1032, 0.1049, 0.1059, 0.1016, 866463.89, 0.1068 
0.1108, 0.109, 0.1124, 0.1087, 591749.8, 0.109, 0.1083, 0.1111, 0.1072, 774322.44, 0.1057, 0.1032, 0.1075, 0.1011, 777997.64, 0.1032, 0.1049, 0.1059, 0.1016, 866463.89, 0.1054, 0.104, 0.1059, 0.1014, 820943.72, 0.1076 
0.109, 0.1083, 0.1111, 0.1072, 774322.44, 0.1057, 0.1032, 0.1075, 0.1011, 777997.64, 0.1032, 0.1049, 0.1059, 0.1016, 866463.89, 0.1054, 0.104, 0.1059, 0.1014, 820943.72, 0.1046, 0.1086, 0.1182, 0.1043, 2081280.1, 0.1056 
0.1057, 0.1032, 0.1075, 0.1011, 777997.64, 0.1032, 0.1049, 0.1059, 0.1016, 866463.89, 0.1054, 0.104, 0.1059, 0.1014, 820943.72, 0.1046, 0.1086, 0.1182, 0.1043, 2081280.1, 0.1088, 0.1095, 0.1105, 0.1074, 790566.79, 0.1042 
0.1032, 0.1049, 0.1059, 0.1016, 866463.89, 0.1054, 0.104, 0.1059, 0.1014, 820943.72, 0.1046, 0.1086, 0.1182, 0.1043, 2081280.1, 0.1088, 0.1095, 0.1105, 0.1074, 790566.79, 0.1092, 0.1123, 0.1127, 0.1087, 881506.07, 0.1029 
0.1054, 0.104, 0.1059, 0.1014, 820943.72, 0.1046, 0.1086, 0.1182, 0.1043, 2081280.1, 0.1088, 0.1095, 0.1105, 0.1074, 790566.79, 0.1092, 0.1123, 0.1127, 0.1087, 881506.07, 0.1139, 0.1103, 0.1142, 0.1094, 611539.03, 0.1024 
0.1046, 0.1086, 0.1182, 0.1043, 2081280.1, 0.1088, 0.1095, 0.1105, 0.1074, 790566.79, 0.1092, 0.1123, 0.1127, 0.1087, 881506.07, 0.1139, 0.1103, 0.1142, 0.1094, 611539.03, 0.1098, 0.1068, 0.1195, 0.104, 2389674.86, 0.103 
0.1088, 0.1095, 0.1105, 0.1074, 790566.79, 0.1092, 0.1123, 0.1127, 0.1087, 881506.07, 0.1139, 0.1103, 0.1142, 0.1094, 611539.03, 0.1098, 0.1068, 0.1195, 0.104, 2389674.86, 0.1076, 0.1076, 0.1084, 0.1063, 882730.4, 0.1046 
0.1092, 0.1123, 0.1127, 0.1087, 881506.07, 0.1139, 0.1103, 0.1142, 0.1094, 611539.03, 0.1098, 0.1068, 0.1195, 0.104, 2389674.86, 0.1076, 0.1076, 0.1084, 0.1063, 882730.4, 0.1085, 0.1056, 0.1121, 0.1034, 1791775.36, 0.1007 
0.1139, 0.1103, 0.1142, 0.1094, 611539.03, 0.1098, 0.1068, 0.1195, 0.104, 2389674.86, 0.1076, 0.1076, 0.1084, 0.1063, 882730.4, 0.1085, 0.1056, 0.1121, 0.1034, 1791775.36, 0.1042, 0.1042, 0.106, 0.1034, 764650.95, 0.08658 
0.1098, 0.1068, 0.1195, 0.104, 2389674.86, 0.1076, 0.1076, 0.1084, 0.1063, 882730.4, 0.1085, 0.1056, 0.1121, 0.1034, 1791775.36, 0.1042, 0.1042, 0.106, 0.1034, 764650.95, 0.1031, 0.1029, 0.1038, 0.1024, 731607.51, 0.08211 
0.1076, 0.1076, 0.1084, 0.1063, 882730.4, 0.1085, 0.1056, 0.1121, 0.1034, 1791775.36, 0.1042, 0.1042, 0.106, 0.1034, 764650.95, 0.1031, 0.1029, 0.1038, 0.1024, 731607.51, 0.1033, 0.1024, 0.1036, 0.1019, 326528.84, 0.07966 
0.1085, 0.1056, 0.1121, 0.1034, 1791775.36, 0.1042, 0.1042, 0.106, 0.1034, 764650.95, 0.1031, 0.1029, 0.1038, 0.1024, 731607.51, 0.1033, 0.1024, 0.1036, 0.1019, 326528.84, 0.1026, 0.103, 0.1046, 0.1025, 393574.01, 0.07891 
0.1042, 0.1042, 0.106, 0.1034, 764650.95, 0.1031, 0.1029, 0.1038, 0.1024, 731607.51, 0.1033, 0.1024, 0.1036, 0.1019, 326528.84, 0.1026, 0.103, 0.1046, 0.1025, 393574.01, 0.1025, 0.1046, 0.1097, 0.1007, 1352685.27, 0.08019 
0.1031, 0.1029, 0.1038, 0.1024, 731607.51, 0.1033, 0.1024, 0.1036, 0.1019, 326528.84, 0.1026, 0.103, 0.1046, 0.1025, 393574.01, 0.1025, 0.1046, 0.1097, 0.1007, 1352685.27, 0.104, 0.1007, 0.1047, 0.1003, 581725.39, 0.06243 
0.1033, 0.1024, 0.1036, 0.1019, 326528.84, 0.1026, 0.103, 0.1046, 0.1025, 393574.01, 0.1025, 0.1046, 0.1097, 0.1007, 1352685.27, 0.104, 0.1007, 0.1047, 0.1003, 581725.39, 0.09123, 0.08658, 0.0914, 0.08319, 973540.7, 0.05339 
0.1026, 0.103, 0.1046, 0.1025, 393574.01, 0.1025, 0.1046, 0.1097, 0.1007, 1352685.27, 0.104, 0.1007, 0.1047, 0.1003, 581725.39, 0.09123, 0.08658, 0.0914, 0.08319, 973540.7, 0.08516, 0.08211, 0.08539, 0.07991, 692443.03, 0.06274 
0.1025, 0.1046, 0.1097, 0.1007, 1352685.27, 0.104, 0.1007, 0.1047, 0.1003, 581725.39, 0.09123, 0.08658, 0.0914, 0.08319, 973540.7, 0.08516, 0.08211, 0.08539, 0.07991, 692443.03, 0.08122, 0.07966, 0.08189, 0.07888, 501719.51, 0.05703 
0.104, 0.1007, 0.1047, 0.1003, 581725.39, 0.09123, 0.08658, 0.0914, 0.08319, 973540.7, 0.08516, 0.08211, 0.08539, 0.07991, 692443.03, 0.08122, 0.07966, 0.08189, 0.07888, 501719.51, 0.07936, 0.07891, 0.08314, 0.07819, 458791.94, 0.06089 
0.09123, 0.08658, 0.0914, 0.08319, 973540.7, 0.08516, 0.08211, 0.08539, 0.07991, 692443.03, 0.08122, 0.07966, 0.08189, 0.07888, 501719.51, 0.07936, 0.07891, 0.08314, 0.07819, 458791.94, 0.0794, 0.08019, 0.08294, 0.07929, 901835.44, 0.05442 
0.08516, 0.08211, 0.08539, 0.07991, 692443.03, 0.08122, 0.07966, 0.08189, 0.07888, 501719.51, 0.07936, 0.07891, 0.08314, 0.07819, 458791.94, 0.0794, 0.08019, 0.08294, 0.07929, 901835.44, 0.06854, 0.06243, 0.06887, 0.0606, 837282.12, 0.05866 
0.08122, 0.07966, 0.08189, 0.07888, 501719.51, 0.07936, 0.07891, 0.08314, 0.07819, 458791.94, 0.0794, 0.08019, 0.08294, 0.07929, 901835.44, 0.06854, 0.06243, 0.06887, 0.0606, 837282.12, 0.05761, 0.05339, 0.05765, 0.04953, 867828.98, 0.06048 
0.07936, 0.07891, 0.08314, 0.07819, 458791.94, 0.0794, 0.08019, 0.08294, 0.07929, 901835.44, 0.06854, 0.06243, 0.06887, 0.0606, 837282.12, 0.05761, 0.05339, 0.05765, 0.04953, 867828.98, 0.05539, 0.06274, 0.07693, 0.05516, 1968893.52, 0.05914 
0.0794, 0.08019, 0.08294, 0.07929, 901835.44, 0.06854, 0.06243, 0.06887, 0.0606, 837282.12, 0.05761, 0.05339, 0.05765, 0.04953, 867828.98, 0.05539, 0.06274, 0.07693, 0.05516, 1968893.52, 0.05902, 0.05703, 0.06334, 0.0569, 662172.53, 0.06668 
0.06854, 0.06243, 0.06887, 0.0606, 837282.12, 0.05761, 0.05339, 0.05765, 0.04953, 867828.98, 0.05539, 0.06274, 0.07693, 0.05516, 1968893.52, 0.05902, 0.05703, 0.06334, 0.0569, 662172.53, 0.05733, 0.06089, 0.06459, 0.05603, 1136922.38, 0.06593 
0.05761, 0.05339, 0.05765, 0.04953, 867828.98, 0.05539, 0.06274, 0.07693, 0.05516, 1968893.52, 0.05902, 0.05703, 0.06334, 0.0569, 662172.53, 0.05733, 0.06089, 0.06459, 0.05603, 1136922.38, 0.05403, 0.05442, 0.05484, 0.05299, 439025.48, 0.06083 
0.05539, 0.06274, 0.07693, 0.05516, 1968893.52, 0.05902, 0.05703, 0.06334, 0.0569, 662172.53, 0.05733, 0.06089, 0.06459, 0.05603, 1136922.38, 0.05403, 0.05442, 0.05484, 0.05299, 439025.48, 0.05662, 0.05866, 0.06343, 0.05498, 826054.42, 0.0654 
0.05902, 0.05703, 0.06334, 0.0569, 662172.53, 0.05733, 0.06089, 0.06459, 0.05603, 1136922.38, 0.05403, 0.05442, 0.05484, 0.05299, 439025.48, 0.05662, 0.05866, 0.06343, 0.05498, 826054.42, 0.05537, 0.06048, 0.06256, 0.05491, 758838.09, 0.06324 
0.05733, 0.06089, 0.06459, 0.05603, 1136922.38, 0.05403, 0.05442, 0.05484, 0.05299, 439025.48, 0.05662, 0.05866, 0.06343, 0.05498, 826054.42, 0.05537, 0.06048, 0.06256, 0.05491, 758838.09, 0.06098, 0.05914, 0.06121, 0.05582, 401884.02, 0.05819 
0.05403, 0.05442, 0.05484, 0.05299, 439025.48, 0.05662, 0.05866, 0.06343, 0.05498, 826054.42, 0.05537, 0.06048, 0.06256, 0.05491, 758838.09, 0.06098, 0.05914, 0.06121, 0.05582, 401884.02, 0.06596, 0.06668, 0.06988, 0.06562, 679358.13, 0.06073 
0.05662, 0.05866, 0.06343, 0.05498, 826054.42, 0.05537, 0.06048, 0.06256, 0.05491, 758838.09, 0.06098, 0.05914, 0.06121, 0.05582, 401884.02, 0.06596, 0.06668, 0.06988, 0.06562, 679358.13, 0.06704, 0.06593, 0.0697, 0.06563, 497409.55, 0.06029 
0.05537, 0.06048, 0.06256, 0.05491, 758838.09, 0.06098, 0.05914, 0.06121, 0.05582, 401884.02, 0.06596, 0.06668, 0.06988, 0.06562, 679358.13, 0.06704, 0.06593, 0.0697, 0.06563, 497409.55, 0.06175, 0.06083, 0.06415, 0.05886, 486712.76, 0.0528 
0.06098, 0.05914, 0.06121, 0.05582, 401884.02, 0.06596, 0.06668, 0.06988, 0.06562, 679358.13, 0.06704, 0.06593, 0.0697, 0.06563, 497409.55, 0.06175, 0.06083, 0.06415, 0.05886, 486712.76, 0.06368, 0.0654, 0.06804, 0.06292, 681382.41, 0.05237 
0.06596, 0.06668, 0.06988, 0.06562, 679358.13, 0.06704, 0.06593, 0.0697, 0.06563, 497409.55, 0.06175, 0.06083, 0.06415, 0.05886, 486712.76, 0.06368, 0.0654, 0.06804, 0.06292, 681382.41, 0.0646, 0.06324, 0.06464, 0.06253, 291066.63, 0.05205 
0.06704, 0.06593, 0.0697, 0.06563, 497409.55, 0.06175, 0.06083, 0.06415, 0.05886, 486712.76, 0.06368, 0.0654, 0.06804, 0.06292, 681382.41, 0.0646, 0.06324, 0.06464, 0.06253, 291066.63, 0.05904, 0.05819, 0.05993, 0.05726, 280529.36, 0.05228 
0.06175, 0.06083, 0.06415, 0.05886, 486712.76, 0.06368, 0.0654, 0.06804, 0.06292, 681382.41, 0.0646, 0.06324, 0.06464, 0.06253, 291066.63, 0.05904, 0.05819, 0.05993, 0.05726, 280529.36, 0.05935, 0.06073, 0.06124, 0.05931, 392406.26, 0.05031 
0.06368, 0.0654, 0.06804, 0.06292, 681382.41, 0.0646, 0.06324, 0.06464, 0.06253, 291066.63, 0.05904, 0.05819, 0.05993, 0.05726, 280529.36, 0.05935, 0.06073, 0.06124, 0.05931, 392406.26, 0.05748, 0.06029, 0.0607, 0.05711, 299622.85, 0.04965 
0.0646, 0.06324, 0.06464, 0.06253, 291066.63, 0.05904, 0.05819, 0.05993, 0.05726, 280529.36, 0.05935, 0.06073, 0.06124, 0.05931, 392406.26, 0.05748, 0.06029, 0.0607, 0.05711, 299622.85, 0.05622, 0.0528, 0.0567, 0.05228, 340756.75, 0.05061 
0.05904, 0.05819, 0.05993, 0.05726, 280529.36, 0.05935, 0.06073, 0.06124, 0.05931, 392406.26, 0.05748, 0.06029, 0.0607, 0.05711, 299622.85, 0.05622, 0.0528, 0.0567, 0.05228, 340756.75, 0.05182, 0.05237, 0.05357, 0.05069, 349059.59, 0.04789 
0.05935, 0.06073, 0.06124, 0.05931, 392406.26, 0.05748, 0.06029, 0.0607, 0.05711, 299622.85, 0.05622, 0.0528, 0.0567, 0.05228, 340756.75, 0.05182, 0.05237, 0.05357, 0.05069, 349059.59, 0.05299, 0.05205, 0.05403, 0.05095, 292575.63, 0.04633 
0.05748, 0.06029, 0.0607, 0.05711, 299622.85, 0.05622, 0.0528, 0.0567, 0.05228, 340756.75, 0.05182, 0.05237, 0.05357, 0.05069, 349059.59, 0.05299, 0.05205, 0.05403, 0.05095, 292575.63, 0.05404, 0.05228, 0.0545, 0.05192, 278484.55, 0.04474 
0.05622, 0.0528, 0.0567, 0.05228, 340756.75, 0.05182, 0.05237, 0.05357, 0.05069, 349059.59, 0.05299, 0.05205, 0.05403, 0.05095, 292575.63, 0.05404, 0.05228, 0.0545, 0.05192, 278484.55, 0.05045, 0.05031, 0.05083, 0.05007, 198834.24, 0.04466 
0.05182, 0.05237, 0.05357, 0.05069, 349059.59, 0.05299, 0.05205, 0.05403, 0.05095, 292575.63, 0.05404, 0.05228, 0.0545, 0.05192, 278484.55, 0.05045, 0.05031, 0.05083, 0.05007, 198834.24, 0.04935, 0.04965, 0.05003, 0.04911, 208060.26, 0.04733 
0.05299, 0.05205, 0.05403, 0.05095, 292575.63, 0.05404, 0.05228, 0.0545, 0.05192, 278484.55, 0.05045, 0.05031, 0.05083, 0.05007, 198834.24, 0.04935, 0.04965, 0.05003, 0.04911, 208060.26, 0.05089, 0.05061, 0.05124, 0.05005, 225173.75, 0.0486 
0.05404, 0.05228, 0.0545, 0.05192, 278484.55, 0.05045, 0.05031, 0.05083, 0.05007, 198834.24, 0.04935, 0.04965, 0.05003, 0.04911, 208060.26, 0.05089, 0.05061, 0.05124, 0.05005, 225173.75, 0.04799, 0.04789, 0.04862, 0.04753, 299762.52, 0.04914 
