@RELATION HistUtility
@ATTRIBUTE open0 NUMERIC
@ATTRIBUTE close0 NUMERIC
@ATTRIBUTE high0 NUMERIC
@ATTRIBUTE low0 NUMERIC
@ATTRIBUTE volumeto0 NUMERIC
@ATTRIBUTE open1 NUMERIC
@ATTRIBUTE close1 NUMERIC
@ATTRIBUTE high1 NUMERIC
@ATTRIBUTE low1 NUMERIC
@ATTRIBUTE volumeto1 NUMERIC
@ATTRIBUTE open2 NUMERIC
@ATTRIBUTE close2 NUMERIC
@ATTRIBUTE high2 NUMERIC
@ATTRIBUTE low2 NUMERIC
@ATTRIBUTE volumeto2 NUMERIC
@ATTRIBUTE open3 NUMERIC
@ATTRIBUTE close3 NUMERIC
@ATTRIBUTE high3 NUMERIC
@ATTRIBUTE low3 NUMERIC
@ATTRIBUTE volumeto3 NUMERIC
@ATTRIBUTE open4 NUMERIC
@ATTRIBUTE close4 NUMERIC
@ATTRIBUTE high4 NUMERIC
@ATTRIBUTE low4 NUMERIC
@ATTRIBUTE volumeto4 NUMERIC
@ATTRIBUTE next_close NUMERIC

@DATA
0.3077, 0.3092, 0.3121, 0.3033, 233063.22, 0.2932, 0.306, 0.3116, 0.2906, 357443.52, 0.2995, 0.302, 0.3113, 0.298, 395990.03, 0.3018, 0.3066, 0.3108, 0.3012, 345936.75, 0.3088, 0.312, 0.3129, 0.3035, 256922.24, 0.4118 
0.2932, 0.306, 0.3116, 0.2906, 357443.52, 0.2995, 0.302, 0.3113, 0.298, 395990.03, 0.3018, 0.3066, 0.3108, 0.3012, 345936.75, 0.3088, 0.312, 0.3129, 0.3035, 256922.24, 0.3401, 0.3489, 0.3526, 0.3348, 526061.39, 0.4092 
0.2995, 0.302, 0.3113, 0.298, 395990.03, 0.3018, 0.3066, 0.3108, 0.3012, 345936.75, 0.3088, 0.312, 0.3129, 0.3035, 256922.24, 0.3401, 0.3489, 0.3526, 0.3348, 526061.39, 0.3654, 0.3572, 0.366, 0.3426, 396674.1, 0.4249 
0.3018, 0.3066, 0.3108, 0.3012, 345936.75, 0.3088, 0.312, 0.3129, 0.3035, 256922.24, 0.3401, 0.3489, 0.3526, 0.3348, 526061.39, 0.3654, 0.3572, 0.366, 0.3426, 396674.1, 0.3592, 0.3744, 0.3785, 0.3559, 630357.54, 0.3822 
0.3088, 0.312, 0.3129, 0.3035, 256922.24, 0.3401, 0.3489, 0.3526, 0.3348, 526061.39, 0.3654, 0.3572, 0.366, 0.3426, 396674.1, 0.3592, 0.3744, 0.3785, 0.3559, 630357.54, 0.4146, 0.4101, 0.4407, 0.4056, 688958.74, 0.386 
0.3401, 0.3489, 0.3526, 0.3348, 526061.39, 0.3654, 0.3572, 0.366, 0.3426, 396674.1, 0.3592, 0.3744, 0.3785, 0.3559, 630357.54, 0.4146, 0.4101, 0.4407, 0.4056, 688958.74, 0.3865, 0.3884, 0.393, 0.3703, 387148.81, 0.3622 
0.3654, 0.3572, 0.366, 0.3426, 396674.1, 0.3592, 0.3744, 0.3785, 0.3559, 630357.54, 0.4146, 0.4101, 0.4407, 0.4056, 688958.74, 0.3865, 0.3884, 0.393, 0.3703, 387148.81, 0.403, 0.4118, 0.4195, 0.402, 315467.91, 0.3975 
0.3592, 0.3744, 0.3785, 0.3559, 630357.54, 0.4146, 0.4101, 0.4407, 0.4056, 688958.74, 0.3865, 0.3884, 0.393, 0.3703, 387148.81, 0.403, 0.4118, 0.4195, 0.402, 315467.91, 0.408, 0.4092, 0.4168, 0.4044, 303221.17, 0.3979 
0.4146, 0.4101, 0.4407, 0.4056, 688958.74, 0.3865, 0.3884, 0.393, 0.3703, 387148.81, 0.403, 0.4118, 0.4195, 0.402, 315467.91, 0.408, 0.4092, 0.4168, 0.4044, 303221.17, 0.4168, 0.4249, 0.449, 0.4119, 614632.88, 0.4149 
0.3865, 0.3884, 0.393, 0.3703, 387148.81, 0.403, 0.4118, 0.4195, 0.402, 315467.91, 0.408, 0.4092, 0.4168, 0.4044, 303221.17, 0.4168, 0.4249, 0.449, 0.4119, 614632.88, 0.3992, 0.3822, 0.3992, 0.3712, 419863.51, 0.3841 
0.403, 0.4118, 0.4195, 0.402, 315467.91, 0.408, 0.4092, 0.4168, 0.4044, 303221.17, 0.4168, 0.4249, 0.449, 0.4119, 614632.88, 0.3992, 0.3822, 0.3992, 0.3712, 419863.51, 0.3836, 0.386, 0.391, 0.3773, 309973.56, 0.3946 
0.408, 0.4092, 0.4168, 0.4044, 303221.17, 0.4168, 0.4249, 0.449, 0.4119, 614632.88, 0.3992, 0.3822, 0.3992, 0.3712, 419863.51, 0.3836, 0.386, 0.391, 0.3773, 309973.56, 0.3657, 0.3622, 0.3745, 0.3602, 334396.22, 0.4203 
0.4168, 0.4249, 0.449, 0.4119, 614632.88, 0.3992, 0.3822, 0.3992, 0.3712, 419863.51, 0.3836, 0.386, 0.391, 0.3773, 309973.56, 0.3657, 0.3622, 0.3745, 0.3602, 334396.22, 0.3921, 0.3975, 0.4074, 0.3882, 523083.56, 0.4181 
0.3992, 0.3822, 0.3992, 0.3712, 419863.51, 0.3836, 0.386, 0.391, 0.3773, 309973.56, 0.3657, 0.3622, 0.3745, 0.3602, 334396.22, 0.3921, 0.3975, 0.4074, 0.3882, 523083.56, 0.3824, 0.3979, 0.4275, 0.3796, 747763.8, 0.4595 
0.3836, 0.386, 0.391, 0.3773, 309973.56, 0.3657, 0.3622, 0.3745, 0.3602, 334396.22, 0.3921, 0.3975, 0.4074, 0.3882, 523083.56, 0.3824, 0.3979, 0.4275, 0.3796, 747763.8, 0.4083, 0.4149, 0.4216, 0.4029, 481676.85, 0.443 
0.3657, 0.3622, 0.3745, 0.3602, 334396.22, 0.3921, 0.3975, 0.4074, 0.3882, 523083.56, 0.3824, 0.3979, 0.4275, 0.3796, 747763.8, 0.4083, 0.4149, 0.4216, 0.4029, 481676.85, 0.3991, 0.3841, 0.3991, 0.3819, 365896.35, 0.4739 
0.3921, 0.3975, 0.4074, 0.3882, 523083.56, 0.3824, 0.3979, 0.4275, 0.3796, 747763.8, 0.4083, 0.4149, 0.4216, 0.4029, 481676.85, 0.3991, 0.3841, 0.3991, 0.3819, 365896.35, 0.3977, 0.3946, 0.4012, 0.3923, 164671.27, 0.4524 
0.3824, 0.3979, 0.4275, 0.3796, 747763.8, 0.4083, 0.4149, 0.4216, 0.4029, 481676.85, 0.3991, 0.3841, 0.3991, 0.3819, 365896.35, 0.3977, 0.3946, 0.4012, 0.3923, 164671.27, 0.4028, 0.4203, 0.4254, 0.4016, 332471.84, 0.4522 
0.4083, 0.4149, 0.4216, 0.4029, 481676.85, 0.3991, 0.3841, 0.3991, 0.3819, 365896.35, 0.3977, 0.3946, 0.4012, 0.3923, 164671.27, 0.4028, 0.4203, 0.4254, 0.4016, 332471.84, 0.407, 0.4181, 0.4185, 0.397, 287286.85, 0.472 
0.3991, 0.3841, 0.3991, 0.3819, 365896.35, 0.3977, 0.3946, 0.4012, 0.3923, 164671.27, 0.4028, 0.4203, 0.4254, 0.4016, 332471.84, 0.407, 0.4181, 0.4185, 0.397, 287286.85, 0.4223, 0.4595, 0.4998, 0.4219, 1577038.54, 0.4156 
0.3977, 0.3946, 0.4012, 0.3923, 164671.27, 0.4028, 0.4203, 0.4254, 0.4016, 332471.84, 0.407, 0.4181, 0.4185, 0.397, 287286.85, 0.4223, 0.4595, 0.4998, 0.4219, 1577038.54, 0.4572, 0.443, 0.4623, 0.4357, 421478.8, 0.3941 
0.4028, 0.4203, 0.4254, 0.4016, 332471.84, 0.407, 0.4181, 0.4185, 0.397, 287286.85, 0.4223, 0.4595, 0.4998, 0.4219, 1577038.54, 0.4572, 0.443, 0.4623, 0.4357, 421478.8, 0.4714, 0.4739, 0.4825, 0.4694, 328414.79, 0.3965 
0.407, 0.4181, 0.4185, 0.397, 287286.85, 0.4223, 0.4595, 0.4998, 0.4219, 1577038.54, 0.4572, 0.443, 0.4623, 0.4357, 421478.8, 0.4714, 0.4739, 0.4825, 0.4694, 328414.79, 0.4678, 0.4524, 0.4723, 0.4476, 309059.84, 0.3683 
0.4223, 0.4595, 0.4998, 0.4219, 1577038.54, 0.4572, 0.443, 0.4623, 0.4357, 421478.8, 0.4714, 0.4739, 0.4825, 0.4694, 328414.79, 0.4678, 0.4524, 0.4723, 0.4476, 309059.84, 0.4514, 0.4522, 0.4627, 0.4417, 363810.54, 0.3941 
0.4572, 0.443, 0.4623, 0.4357, 421478.8, 0.4714, 0.4739, 0.4825, 0.4694, 328414.79, 0.4678, 0.4524, 0.4723, 0.4476, 309059.84, 0.4514, 0.4522, 0.4627, 0.4417, 363810.54, 0.453, 0.472, 0.4757, 0.4522, 300571.41, 0.3752 
0.4714, 0.4739, 0.4825, 0.4694, 328414.79, 0.4678, 0.4524, 0.4723, 0.4476, 309059.84, 0.4514, 0.4522, 0.4627, 0.4417, 363810.54, 0.453, 0.472, 0.4757, 0.4522, 300571.41, 0.4277, 0.4156, 0.4453, 0.4112, 529787.73, 0.391 
0.4678, 0.4524, 0.4723, 0.4476, 309059.84, 0.4514, 0.4522, 0.4627, 0.4417, 363810.54, 0.453, 0.472, 0.4757, 0.4522, 300571.41, 0.4277, 0.4156, 0.4453, 0.4112, 529787.73, 0.4157, 0.3941, 0.4223, 0.3886, 395985.95, 0.4069 
0.4514, 0.4522, 0.4627, 0.4417, 363810.54, 0.453, 0.472, 0.4757, 0.4522, 300571.41, 0.4277, 0.4156, 0.4453, 0.4112, 529787.73, 0.4157, 0.3941, 0.4223, 0.3886, 395985.95, 0.3936, 0.3965, 0.3965, 0.3892, 244427.27, 0.4162 
0.453, 0.472, 0.4757, 0.4522, 300571.41, 0.4277, 0.4156, 0.4453, 0.4112, 529787.73, 0.4157, 0.3941, 0.4223, 0.3886, 395985.95, 0.3936, 0.3965, 0.3965, 0.3892, 244427.27, 0.3842, 0.3683, 0.3842, 0.3661, 231624.12, 0.436 
0.4277, 0.4156, 0.4453, 0.4112, 529787.73, 0.4157, 0.3941, 0.4223, 0.3886, 395985.95, 0.3936, 0.3965, 0.3965, 0.3892, 244427.27, 0.3842, 0.3683, 0.3842, 0.3661, 231624.12, 0.3841, 0.3941, 0.3985, 0.3767, 283515.58, 0.4003 
0.4157, 0.3941, 0.4223, 0.3886, 395985.95, 0.3936, 0.3965, 0.3965, 0.3892, 244427.27, 0.3842, 0.3683, 0.3842, 0.3661, 231624.12, 0.3841, 0.3941, 0.3985, 0.3767, 283515.58, 0.3853, 0.3752, 0.3933, 0.3708, 287034.98, 0.4068 
0.3936, 0.3965, 0.3965, 0.3892, 244427.27, 0.3842, 0.3683, 0.3842, 0.3661, 231624.12, 0.3841, 0.3941, 0.3985, 0.3767, 283515.58, 0.3853, 0.3752, 0.3933, 0.3708, 287034.98, 0.3775, 0.391, 0.403, 0.3764, 442317.88, 0.4052 
0.3842, 0.3683, 0.3842, 0.3661, 231624.12, 0.3841, 0.3941, 0.3985, 0.3767, 283515.58, 0.3853, 0.3752, 0.3933, 0.3708, 287034.98, 0.3775, 0.391, 0.403, 0.3764, 442317.88, 0.3954, 0.4069, 0.436, 0.3954, 488753.16, 0.3965 
0.3841, 0.3941, 0.3985, 0.3767, 283515.58, 0.3853, 0.3752, 0.3933, 0.3708, 287034.98, 0.3775, 0.391, 0.403, 0.3764, 442317.88, 0.3954, 0.4069, 0.436, 0.3954, 488753.16, 0.4027, 0.4162, 0.4316, 0.3987, 682993.88, 0.4092 
0.3853, 0.3752, 0.3933, 0.3708, 287034.98, 0.3775, 0.391, 0.403, 0.3764, 442317.88, 0.3954, 0.4069, 0.436, 0.3954, 488753.16, 0.4027, 0.4162, 0.4316, 0.3987, 682993.88, 0.4256, 0.436, 0.442, 0.4215, 503917.75, 0.4031 
0.3775, 0.391, 0.403, 0.3764, 442317.88, 0.3954, 0.4069, 0.436, 0.3954, 488753.16, 0.4027, 0.4162, 0.4316, 0.3987, 682993.88, 0.4256, 0.436, 0.442, 0.4215, 503917.75, 0.4171, 0.4003, 0.4217, 0.3896, 429057.47, 0.4024 
0.3954, 0.4069, 0.436, 0.3954, 488753.16, 0.4027, 0.4162, 0.4316, 0.3987, 682993.88, 0.4256, 0.436, 0.442, 0.4215, 503917.75, 0.4171, 0.4003, 0.4217, 0.3896, 429057.47, 0.4008, 0.4068, 0.4083, 0.3954, 348547.4, 0.4271 
0.4027, 0.4162, 0.4316, 0.3987, 682993.88, 0.4256, 0.436, 0.442, 0.4215, 503917.75, 0.4171, 0.4003, 0.4217, 0.3896, 429057.47, 0.4008, 0.4068, 0.4083, 0.3954, 348547.4, 0.4103, 0.4052, 0.4135, 0.402, 244219.55, 0.3916 
0.4256, 0.436, 0.442, 0.4215, 503917.75, 0.4171, 0.4003, 0.4217, 0.3896, 429057.47, 0.4008, 0.4068, 0.4083, 0.3954, 348547.4, 0.4103, 0.4052, 0.4135, 0.402, 244219.55, 0.4019, 0.3965, 0.4065, 0.3933, 243524.74, 0.389 
0.4171, 0.4003, 0.4217, 0.3896, 429057.47, 0.4008, 0.4068, 0.4083, 0.3954, 348547.4, 0.4103, 0.4052, 0.4135, 0.402, 244219.55, 0.4019, 0.3965, 0.4065, 0.3933, 243524.74, 0.3994, 0.4092, 0.4142, 0.3958, 309641.18, 0.4036 
0.4008, 0.4068, 0.4083, 0.3954, 348547.4, 0.4103, 0.4052, 0.4135, 0.402, 244219.55, 0.4019, 0.3965, 0.4065, 0.3933, 243524.74, 0.3994, 0.4092, 0.4142, 0.3958, 309641.18, 0.4074, 0.4031, 0.4292, 0.4013, 639411.42, 0.3767 
0.4103, 0.4052, 0.4135, 0.402, 244219.55, 0.4019, 0.3965, 0.4065, 0.3933, 243524.74, 0.3994, 0.4092, 0.4142, 0.3958, 309641.18, 0.4074, 0.4031, 0.4292, 0.4013, 639411.42, 0.4046, 0.4024, 0.4057, 0.3989, 178150.94, 0.3877 
0.4019, 0.3965, 0.4065, 0.3933, 243524.74, 0.3994, 0.4092, 0.4142, 0.3958, 309641.18, 0.4074, 0.4031, 0.4292, 0.4013, 639411.42, 0.4046, 0.4024, 0.4057, 0.3989, 178150.94, 0.3989, 0.4271, 0.4342, 0.3939, 711001.96, 0.3965 
