@RELATION HistUtility
@ATTRIBUTE open0 NUMERIC
@ATTRIBUTE close0 NUMERIC
@ATTRIBUTE high0 NUMERIC
@ATTRIBUTE low0 NUMERIC
@ATTRIBUTE volumeto0 NUMERIC
@ATTRIBUTE open1 NUMERIC
@ATTRIBUTE close1 NUMERIC
@ATTRIBUTE high1 NUMERIC
@ATTRIBUTE low1 NUMERIC
@ATTRIBUTE volumeto1 NUMERIC
@ATTRIBUTE open2 NUMERIC
@ATTRIBUTE close2 NUMERIC
@ATTRIBUTE high2 NUMERIC
@ATTRIBUTE low2 NUMERIC
@ATTRIBUTE volumeto2 NUMERIC
@ATTRIBUTE open3 NUMERIC
@ATTRIBUTE close3 NUMERIC
@ATTRIBUTE high3 NUMERIC
@ATTRIBUTE low3 NUMERIC
@ATTRIBUTE volumeto3 NUMERIC
@ATTRIBUTE open4 NUMERIC
@ATTRIBUTE close4 NUMERIC
@ATTRIBUTE high4 NUMERIC
@ATTRIBUTE low4 NUMERIC
@ATTRIBUTE volumeto4 NUMERIC
@ATTRIBUTE next_close NUMERIC

@DATA
0.1706, 0.1714, 0.1757, 0.1686, 1415497.18, 0.1701, 0.1704, 0.176, 0.1691, 1684960.9, 0.1696, 0.1651, 0.1696, 0.1635, 1114356.86, 0.1679, 0.1717, 0.1751, 0.1668, 1614907.04, 0.1731, 0.1814, 0.188, 0.1725, 3626656.66, 0.1628 
0.1701, 0.1704, 0.176, 0.1691, 1684960.9, 0.1696, 0.1651, 0.1696, 0.1635, 1114356.86, 0.1679, 0.1717, 0.1751, 0.1668, 1614907.04, 0.1731, 0.1814, 0.188, 0.1725, 3626656.66, 0.1802, 0.1743, 0.1844, 0.1682, 1943503.43, 0.179 
0.1696, 0.1651, 0.1696, 0.1635, 1114356.86, 0.1679, 0.1717, 0.1751, 0.1668, 1614907.04, 0.1731, 0.1814, 0.188, 0.1725, 3626656.66, 0.1802, 0.1743, 0.1844, 0.1682, 1943503.43, 0.1746, 0.1768, 0.178, 0.1719, 1337246.05, 0.1777 
0.1679, 0.1717, 0.1751, 0.1668, 1614907.04, 0.1731, 0.1814, 0.188, 0.1725, 3626656.66, 0.1802, 0.1743, 0.1844, 0.1682, 1943503.43, 0.1746, 0.1768, 0.178, 0.1719, 1337246.05, 0.1782, 0.1784, 0.1806, 0.1756, 1616097.84, 0.1723 
0.1731, 0.1814, 0.188, 0.1725, 3626656.66, 0.1802, 0.1743, 0.1844, 0.1682, 1943503.43, 0.1746, 0.1768, 0.178, 0.1719, 1337246.05, 0.1782, 0.1784, 0.1806, 0.1756, 1616097.84, 0.1779, 0.1803, 0.1818, 0.1773, 1209027.54, 0.1821 
0.1802, 0.1743, 0.1844, 0.1682, 1943503.43, 0.1746, 0.1768, 0.178, 0.1719, 1337246.05, 0.1782, 0.1784, 0.1806, 0.1756, 1616097.84, 0.1779, 0.1803, 0.1818, 0.1773, 1209027.54, 0.1789, 0.1807, 0.1855, 0.1732, 2639372.88, 0.1883 
0.1746, 0.1768, 0.178, 0.1719, 1337246.05, 0.1782, 0.1784, 0.1806, 0.1756, 1616097.84, 0.1779, 0.1803, 0.1818, 0.1773, 1209027.54, 0.1789, 0.1807, 0.1855, 0.1732, 2639372.88, 0.1709, 0.1628, 0.1811, 0.1534, 5287132.41, 0.2152 
0.1782, 0.1784, 0.1806, 0.1756, 1616097.84, 0.1779, 0.1803, 0.1818, 0.1773, 1209027.54, 0.1789, 0.1807, 0.1855, 0.1732, 2639372.88, 0.1709, 0.1628, 0.1811, 0.1534, 5287132.41, 0.1638, 0.179, 0.1929, 0.1607, 8200890.67, 0.2083 
0.1779, 0.1803, 0.1818, 0.1773, 1209027.54, 0.1789, 0.1807, 0.1855, 0.1732, 2639372.88, 0.1709, 0.1628, 0.1811, 0.1534, 5287132.41, 0.1638, 0.179, 0.1929, 0.1607, 8200890.67, 0.1797, 0.1777, 0.1839, 0.1735, 2645979.43, 0.2372 
0.1789, 0.1807, 0.1855, 0.1732, 2639372.88, 0.1709, 0.1628, 0.1811, 0.1534, 5287132.41, 0.1638, 0.179, 0.1929, 0.1607, 8200890.67, 0.1797, 0.1777, 0.1839, 0.1735, 2645979.43, 0.178, 0.1723, 0.1789, 0.17, 2256062.43, 0.2325 
0.1709, 0.1628, 0.1811, 0.1534, 5287132.41, 0.1638, 0.179, 0.1929, 0.1607, 8200890.67, 0.1797, 0.1777, 0.1839, 0.1735, 2645979.43, 0.178, 0.1723, 0.1789, 0.17, 2256062.43, 0.1814, 0.1821, 0.1863, 0.1695, 3373299.05, 0.2617 
0.1638, 0.179, 0.1929, 0.1607, 8200890.67, 0.1797, 0.1777, 0.1839, 0.1735, 2645979.43, 0.178, 0.1723, 0.1789, 0.17, 2256062.43, 0.1814, 0.1821, 0.1863, 0.1695, 3373299.05, 0.1816, 0.1883, 0.1891, 0.1778, 2416105.69, 0.2696 
0.1797, 0.1777, 0.1839, 0.1735, 2645979.43, 0.178, 0.1723, 0.1789, 0.17, 2256062.43, 0.1814, 0.1821, 0.1863, 0.1695, 3373299.05, 0.1816, 0.1883, 0.1891, 0.1778, 2416105.69, 0.188, 0.2152, 0.221, 0.1848, 17363667.71, 0.2529 
0.178, 0.1723, 0.1789, 0.17, 2256062.43, 0.1814, 0.1821, 0.1863, 0.1695, 3373299.05, 0.1816, 0.1883, 0.1891, 0.1778, 2416105.69, 0.188, 0.2152, 0.221, 0.1848, 17363667.71, 0.2124, 0.2083, 0.2139, 0.2, 4800023.84, 0.2743 
0.1814, 0.1821, 0.1863, 0.1695, 3373299.05, 0.1816, 0.1883, 0.1891, 0.1778, 2416105.69, 0.188, 0.2152, 0.221, 0.1848, 17363667.71, 0.2124, 0.2083, 0.2139, 0.2, 4800023.84, 0.2078, 0.2372, 0.2452, 0.204, 14959405.27, 0.2695 
