@RELATION HistUtility
@ATTRIBUTE open0 NUMERIC
@ATTRIBUTE close0 NUMERIC
@ATTRIBUTE high0 NUMERIC
@ATTRIBUTE low0 NUMERIC
@ATTRIBUTE volumeto0 NUMERIC
@ATTRIBUTE open1 NUMERIC
@ATTRIBUTE close1 NUMERIC
@ATTRIBUTE high1 NUMERIC
@ATTRIBUTE low1 NUMERIC
@ATTRIBUTE volumeto1 NUMERIC
@ATTRIBUTE open2 NUMERIC
@ATTRIBUTE close2 NUMERIC
@ATTRIBUTE high2 NUMERIC
@ATTRIBUTE low2 NUMERIC
@ATTRIBUTE volumeto2 NUMERIC
@ATTRIBUTE open3 NUMERIC
@ATTRIBUTE close3 NUMERIC
@ATTRIBUTE high3 NUMERIC
@ATTRIBUTE low3 NUMERIC
@ATTRIBUTE volumeto3 NUMERIC
@ATTRIBUTE open4 NUMERIC
@ATTRIBUTE close4 NUMERIC
@ATTRIBUTE high4 NUMERIC
@ATTRIBUTE low4 NUMERIC
@ATTRIBUTE volumeto4 NUMERIC
@ATTRIBUTE next_close NUMERIC

@DATA
0.7295, 0.7288, 0.7484, 0.7145, 374474.04, 0.6911, 0.6904, 0.7265, 0.6802, 393033.95, 0.6759, 0.7403, 0.803, 0.6668, 1962811.53, 0.7396, 0.7396, 0.7842, 0.7154, 1379100.4, 0.7448, 0.7168, 0.7478, 0.7126, 793084.96, 0.9547 
0.6911, 0.6904, 0.7265, 0.6802, 393033.95, 0.6759, 0.7403, 0.803, 0.6668, 1962811.53, 0.7396, 0.7396, 0.7842, 0.7154, 1379100.4, 0.7448, 0.7168, 0.7478, 0.7126, 793084.96, 0.7813, 0.7661, 0.7895, 0.7497, 745797.46, 0.9666 
0.6759, 0.7403, 0.803, 0.6668, 1962811.53, 0.7396, 0.7396, 0.7842, 0.7154, 1379100.4, 0.7448, 0.7168, 0.7478, 0.7126, 793084.96, 0.7813, 0.7661, 0.7895, 0.7497, 745797.46, 0.8023, 0.8104, 0.8309, 0.7915, 422326.4, 0.9956 
0.7396, 0.7396, 0.7842, 0.7154, 1379100.4, 0.7448, 0.7168, 0.7478, 0.7126, 793084.96, 0.7813, 0.7661, 0.7895, 0.7497, 745797.46, 0.8023, 0.8104, 0.8309, 0.7915, 422326.4, 0.8149, 0.8108, 0.8844, 0.8041, 541267.39, 0.9203 
0.7448, 0.7168, 0.7478, 0.7126, 793084.96, 0.7813, 0.7661, 0.7895, 0.7497, 745797.46, 0.8023, 0.8104, 0.8309, 0.7915, 422326.4, 0.8149, 0.8108, 0.8844, 0.8041, 541267.39, 0.8979, 1.06, 1.142, 0.8793, 4740949.06, 0.9333 
0.7813, 0.7661, 0.7895, 0.7497, 745797.46, 0.8023, 0.8104, 0.8309, 0.7915, 422326.4, 0.8149, 0.8108, 0.8844, 0.8041, 541267.39, 0.8979, 1.06, 1.142, 0.8793, 4740949.06, 0.9985, 0.947, 1.11, 0.9322, 1855463.41, 0.8601 
0.8023, 0.8104, 0.8309, 0.7915, 422326.4, 0.8149, 0.8108, 0.8844, 0.8041, 541267.39, 0.8979, 1.06, 1.142, 0.8793, 4740949.06, 0.9985, 0.947, 1.11, 0.9322, 1855463.41, 0.9826, 0.9547, 0.9992, 0.9264, 838727.68, 0.9475 
0.8149, 0.8108, 0.8844, 0.8041, 541267.39, 0.8979, 1.06, 1.142, 0.8793, 4740949.06, 0.9985, 0.947, 1.11, 0.9322, 1855463.41, 0.9826, 0.9547, 0.9992, 0.9264, 838727.68, 0.9458, 0.9666, 1.005, 0.9458, 669244.91, 0.9303 
0.8979, 1.06, 1.142, 0.8793, 4740949.06, 0.9985, 0.947, 1.11, 0.9322, 1855463.41, 0.9826, 0.9547, 0.9992, 0.9264, 838727.68, 0.9458, 0.9666, 1.005, 0.9458, 669244.91, 0.9846, 0.9956, 1.054, 0.9674, 1100257.8, 0.9355 
0.9985, 0.947, 1.11, 0.9322, 1855463.41, 0.9826, 0.9547, 0.9992, 0.9264, 838727.68, 0.9458, 0.9666, 1.005, 0.9458, 669244.91, 0.9846, 0.9956, 1.054, 0.9674, 1100257.8, 0.9353, 0.9203, 0.9587, 0.8713, 504487.77, 0.8919 
