@RELATION HistUtility
@ATTRIBUTE open0 NUMERIC
@ATTRIBUTE close0 NUMERIC
@ATTRIBUTE high0 NUMERIC
@ATTRIBUTE low0 NUMERIC
@ATTRIBUTE volumeto0 NUMERIC
@ATTRIBUTE open1 NUMERIC
@ATTRIBUTE close1 NUMERIC
@ATTRIBUTE high1 NUMERIC
@ATTRIBUTE low1 NUMERIC
@ATTRIBUTE volumeto1 NUMERIC
@ATTRIBUTE open2 NUMERIC
@ATTRIBUTE close2 NUMERIC
@ATTRIBUTE high2 NUMERIC
@ATTRIBUTE low2 NUMERIC
@ATTRIBUTE volumeto2 NUMERIC
@ATTRIBUTE open3 NUMERIC
@ATTRIBUTE close3 NUMERIC
@ATTRIBUTE high3 NUMERIC
@ATTRIBUTE low3 NUMERIC
@ATTRIBUTE volumeto3 NUMERIC
@ATTRIBUTE open4 NUMERIC
@ATTRIBUTE close4 NUMERIC
@ATTRIBUTE high4 NUMERIC
@ATTRIBUTE low4 NUMERIC
@ATTRIBUTE volumeto4 NUMERIC
@ATTRIBUTE next_close NUMERIC

@DATA
519.66, 529.86, 534.08, 517.57, 19111969.11, 529.86, 518.92, 530.02, 515.69, 12153999.14, 518.92, 513.62, 519.12, 507.75, 18728058.54, 513.62, 431.47, 513.72, 426.46, 58768665.85, 431.68, 441, 455.03, 426.12, 18671646.19, 439.55 
529.86, 518.92, 530.02, 515.69, 12153999.14, 518.92, 513.62, 519.12, 507.75, 18728058.54, 513.62, 431.47, 513.72, 426.46, 58768665.85, 431.68, 441, 455.03, 426.12, 18671646.19, 441, 449.93, 451.11, 440.28, 9470666.41, 441.99 
518.92, 513.62, 519.12, 507.75, 18728058.54, 513.62, 431.47, 513.72, 426.46, 58768665.85, 431.68, 441, 455.03, 426.12, 18671646.19, 441, 449.93, 451.11, 440.28, 9470666.41, 449.93, 438.99, 454.26, 436.34, 11254615.28, 449.57 
513.62, 431.47, 513.72, 426.46, 58768665.85, 431.68, 441, 455.03, 426.12, 18671646.19, 441, 449.93, 451.11, 440.28, 9470666.41, 449.93, 438.99, 454.26, 436.34, 11254615.28, 438.99, 463.11, 509.8, 432.5, 65292700.48, 451.07 
431.68, 441, 455.03, 426.12, 18671646.19, 441, 449.93, 451.11, 440.28, 9470666.41, 449.93, 438.99, 454.26, 436.34, 11254615.28, 438.99, 463.11, 509.8, 432.5, 65292700.48, 463.11, 458.99, 474.4, 447.85, 16410383.7, 452.57 
441, 449.93, 451.11, 440.28, 9470666.41, 449.93, 438.99, 454.26, 436.34, 11254615.28, 438.99, 463.11, 509.8, 432.5, 65292700.48, 463.11, 458.99, 474.4, 447.85, 16410383.7, 459.13, 450.87, 459.52, 446.99, 17608046.61, 444.87 
449.93, 438.99, 454.26, 436.34, 11254615.28, 438.99, 463.11, 509.8, 432.5, 65292700.48, 463.11, 458.99, 474.4, 447.85, 16410383.7, 459.13, 450.87, 459.52, 446.99, 17608046.61, 450.87, 439.55, 459.2, 432.65, 22679368.52, 444.95 
438.99, 463.11, 509.8, 432.5, 65292700.48, 463.11, 458.99, 474.4, 447.85, 16410383.7, 459.13, 450.87, 459.52, 446.99, 17608046.61, 450.87, 439.55, 459.2, 432.65, 22679368.52, 439.55, 441.99, 447.1, 434.01, 14289026.18, 442.73 
463.11, 458.99, 474.4, 447.85, 16410383.7, 459.13, 450.87, 459.52, 446.99, 17608046.61, 450.87, 439.55, 459.2, 432.65, 22679368.52, 439.55, 441.99, 447.1, 434.01, 14289026.18, 442.07, 449.57, 453.61, 438.15, 9039725.68, 441.13 
459.13, 450.87, 459.52, 446.99, 17608046.61, 450.87, 439.55, 459.2, 432.65, 22679368.52, 439.55, 441.99, 447.1, 434.01, 14289026.18, 442.07, 449.57, 453.61, 438.15, 9039725.68, 449.57, 451.07, 459.02, 448.21, 13046808.2, 438.48 
450.87, 439.55, 459.2, 432.65, 22679368.52, 439.55, 441.99, 447.1, 434.01, 14289026.18, 442.07, 449.57, 453.61, 438.15, 9039725.68, 449.57, 451.07, 459.02, 448.21, 13046808.2, 451.07, 452.57, 454.64, 444.75, 9146964.06, 441.15 
439.55, 441.99, 447.1, 434.01, 14289026.18, 442.07, 449.57, 453.61, 438.15, 9039725.68, 449.57, 451.07, 459.02, 448.21, 13046808.2, 451.07, 452.57, 454.64, 444.75, 9146964.06, 452.57, 444.87, 454.29, 439.22, 11825085.48, 416.51 
442.07, 449.57, 453.61, 438.15, 9039725.68, 449.57, 451.07, 459.02, 448.21, 13046808.2, 451.07, 452.57, 454.64, 444.75, 9146964.06, 452.57, 444.87, 454.29, 439.22, 11825085.48, 444.87, 444.95, 453.26, 441.7, 10689614.19, 422.16 
449.57, 451.07, 459.02, 448.21, 13046808.2, 451.07, 452.57, 454.64, 444.75, 9146964.06, 452.57, 444.87, 454.29, 439.22, 11825085.48, 444.87, 444.95, 453.26, 441.7, 10689614.19, 444.95, 442.73, 448.28, 441.51, 7517283.3, 425.36 
451.07, 452.57, 454.64, 444.75, 9146964.06, 452.57, 444.87, 454.29, 439.22, 11825085.48, 444.87, 444.95, 453.26, 441.7, 10689614.19, 444.95, 442.73, 448.28, 441.51, 7517283.3, 442.73, 441.13, 446.19, 437.7, 10031527.61, 425 
452.57, 444.87, 454.29, 439.22, 11825085.48, 444.87, 444.95, 453.26, 441.7, 10689614.19, 444.95, 442.73, 448.28, 441.51, 7517283.3, 442.73, 441.13, 446.19, 437.7, 10031527.61, 441.13, 438.48, 441.6, 436.03, 7293205.65, 463.8 
444.87, 444.95, 453.26, 441.7, 10689614.19, 444.95, 442.73, 448.28, 441.51, 7517283.3, 442.73, 441.13, 446.19, 437.7, 10031527.61, 441.13, 438.48, 441.6, 436.03, 7293205.65, 438.48, 441.15, 441.8, 437.04, 5575762.88, 479.96 
444.95, 442.73, 448.28, 441.51, 7517283.3, 442.73, 441.13, 446.19, 437.7, 10031527.61, 441.13, 438.48, 441.6, 436.03, 7293205.65, 438.48, 441.15, 441.8, 437.04, 5575762.88, 441.15, 416.51, 441.46, 412.62, 16236282.9, 569.53 
442.73, 441.13, 446.19, 437.7, 10031527.61, 441.13, 438.48, 441.6, 436.03, 7293205.65, 438.48, 441.15, 441.8, 437.04, 5575762.88, 441.15, 416.51, 441.46, 412.62, 16236282.9, 416.5, 422.16, 423.99, 414.48, 6854500.29, 561.85 
441.13, 438.48, 441.6, 436.03, 7293205.65, 438.48, 441.15, 441.8, 437.04, 5575762.88, 441.15, 416.51, 441.46, 412.62, 16236282.9, 416.5, 422.16, 423.99, 414.48, 6854500.29, 422.11, 425.36, 431.6, 408.98, 14584239.2, 631.45 
