@RELATION HistUtility
@ATTRIBUTE open0 NUMERIC
@ATTRIBUTE close0 NUMERIC
@ATTRIBUTE high0 NUMERIC
@ATTRIBUTE low0 NUMERIC
@ATTRIBUTE volumeto0 NUMERIC
@ATTRIBUTE open1 NUMERIC
@ATTRIBUTE close1 NUMERIC
@ATTRIBUTE high1 NUMERIC
@ATTRIBUTE low1 NUMERIC
@ATTRIBUTE volumeto1 NUMERIC
@ATTRIBUTE open2 NUMERIC
@ATTRIBUTE close2 NUMERIC
@ATTRIBUTE high2 NUMERIC
@ATTRIBUTE low2 NUMERIC
@ATTRIBUTE volumeto2 NUMERIC
@ATTRIBUTE open3 NUMERIC
@ATTRIBUTE close3 NUMERIC
@ATTRIBUTE high3 NUMERIC
@ATTRIBUTE low3 NUMERIC
@ATTRIBUTE volumeto3 NUMERIC
@ATTRIBUTE open4 NUMERIC
@ATTRIBUTE close4 NUMERIC
@ATTRIBUTE high4 NUMERIC
@ATTRIBUTE low4 NUMERIC
@ATTRIBUTE volumeto4 NUMERIC
@ATTRIBUTE next_close NUMERIC

@DATA
0.002195, 0.002195, 0.002328, 0.002195, 1373349.61, 0.002188, 0.001724, 0.002255, 0.001592, 12418981.64, 0.001711, 0.001711, 0.001843, 0.001645, 5031072.82, 0.001614, 0.001428, 0.001614, 0.001366, 2916068.4, 0.001438, 0.001375, 0.0015, 0.001313, 1511273.01, 0.001363 
0.002188, 0.001724, 0.002255, 0.001592, 12418981.64, 0.001711, 0.001711, 0.001843, 0.001645, 5031072.82, 0.001614, 0.001428, 0.001614, 0.001366, 2916068.4, 0.001438, 0.001375, 0.0015, 0.001313, 1511273.01, 0.001379, 0.001316, 0.001504, 0.001316, 994208.99, 0.001359 
0.001711, 0.001711, 0.001843, 0.001645, 5031072.82, 0.001614, 0.001428, 0.001614, 0.001366, 2916068.4, 0.001438, 0.001375, 0.0015, 0.001313, 1511273.01, 0.001379, 0.001316, 0.001504, 0.001316, 994208.99, 0.001318, 0.001381, 0.001444, 0.001256, 1257185.27, 0.001363 
0.001614, 0.001428, 0.001614, 0.001366, 2916068.4, 0.001438, 0.001375, 0.0015, 0.001313, 1511273.01, 0.001379, 0.001316, 0.001504, 0.001316, 994208.99, 0.001318, 0.001381, 0.001444, 0.001256, 1257185.27, 0.001455, 0.001521, 0.001587, 0.001389, 1504479.75, 0.001367 
0.001438, 0.001375, 0.0015, 0.001313, 1511273.01, 0.001379, 0.001316, 0.001504, 0.001316, 994208.99, 0.001318, 0.001381, 0.001444, 0.001256, 1257185.27, 0.001455, 0.001521, 0.001587, 0.001389, 1504479.75, 0.001514, 0.001514, 0.001646, 0.001514, 619480.02, 0.001361 
0.001379, 0.001316, 0.001504, 0.001316, 994208.99, 0.001318, 0.001381, 0.001444, 0.001256, 1257185.27, 0.001455, 0.001521, 0.001587, 0.001389, 1504479.75, 0.001514, 0.001514, 0.001646, 0.001514, 619480.02, 0.001512, 0.001446, 0.001578, 0.001381, 612205.11, 0.001294 
0.001318, 0.001381, 0.001444, 0.001256, 1257185.27, 0.001455, 0.001521, 0.001587, 0.001389, 1504479.75, 0.001514, 0.001514, 0.001646, 0.001514, 619480.02, 0.001512, 0.001446, 0.001578, 0.001381, 612205.11, 0.001428, 0.001363, 0.001428, 0.001298, 975585.72, 0.001295 
0.001455, 0.001521, 0.001587, 0.001389, 1504479.75, 0.001514, 0.001514, 0.001646, 0.001514, 619480.02, 0.001512, 0.001446, 0.001578, 0.001381, 612205.11, 0.001428, 0.001363, 0.001428, 0.001298, 975585.72, 0.001359, 0.001359, 0.001423, 0.001294, 670220.81, 0.001293 
0.001514, 0.001514, 0.001646, 0.001514, 619480.02, 0.001512, 0.001446, 0.001578, 0.001381, 612205.11, 0.001428, 0.001363, 0.001428, 0.001298, 975585.72, 0.001359, 0.001359, 0.001423, 0.001294, 670220.81, 0.001363, 0.001363, 0.001428, 0.001363, 384476.07, 0.001291 
0.001512, 0.001446, 0.001578, 0.001381, 612205.11, 0.001428, 0.001363, 0.001428, 0.001298, 975585.72, 0.001359, 0.001359, 0.001423, 0.001294, 670220.81, 0.001363, 0.001363, 0.001428, 0.001363, 384476.07, 0.001367, 0.001367, 0.001367, 0.001302, 493981.58, 0.001294 
