@RELATION HistUtility
@ATTRIBUTE open0 NUMERIC
@ATTRIBUTE close0 NUMERIC
@ATTRIBUTE high0 NUMERIC
@ATTRIBUTE low0 NUMERIC
@ATTRIBUTE volumeto0 NUMERIC
@ATTRIBUTE open1 NUMERIC
@ATTRIBUTE close1 NUMERIC
@ATTRIBUTE high1 NUMERIC
@ATTRIBUTE low1 NUMERIC
@ATTRIBUTE volumeto1 NUMERIC
@ATTRIBUTE open2 NUMERIC
@ATTRIBUTE close2 NUMERIC
@ATTRIBUTE high2 NUMERIC
@ATTRIBUTE low2 NUMERIC
@ATTRIBUTE volumeto2 NUMERIC
@ATTRIBUTE open3 NUMERIC
@ATTRIBUTE close3 NUMERIC
@ATTRIBUTE high3 NUMERIC
@ATTRIBUTE low3 NUMERIC
@ATTRIBUTE volumeto3 NUMERIC
@ATTRIBUTE open4 NUMERIC
@ATTRIBUTE close4 NUMERIC
@ATTRIBUTE high4 NUMERIC
@ATTRIBUTE low4 NUMERIC
@ATTRIBUTE volumeto4 NUMERIC
@ATTRIBUTE next_close NUMERIC

@DATA
0.04379, 0.0426, 0.04551, 0.04227, 130572.91, 0.04215, 0.03941, 0.04248, 0.037, 322740.79, 0.03928, 0.03947, 0.04038, 0.03895, 56996.14, 0.04001, 0.03974, 0.04172, 0.03961, 59431.81, 0.03993, 0.04165, 0.04185, 0.0396, 99032.93, 0.03875 
0.04215, 0.03941, 0.04248, 0.037, 322740.79, 0.03928, 0.03947, 0.04038, 0.03895, 56996.14, 0.04001, 0.03974, 0.04172, 0.03961, 59431.81, 0.03993, 0.04165, 0.04185, 0.0396, 99032.93, 0.04138, 0.04066, 0.04224, 0.0404, 62276.46, 0.03701 
0.03928, 0.03947, 0.04038, 0.03895, 56996.14, 0.04001, 0.03974, 0.04172, 0.03961, 59431.81, 0.03993, 0.04165, 0.04185, 0.0396, 99032.93, 0.04138, 0.04066, 0.04224, 0.0404, 62276.46, 0.04073, 0.04086, 0.04165, 0.04027, 57409.73, 0.03673 
0.04001, 0.03974, 0.04172, 0.03961, 59431.81, 0.03993, 0.04165, 0.04185, 0.0396, 99032.93, 0.04138, 0.04066, 0.04224, 0.0404, 62276.46, 0.04073, 0.04086, 0.04165, 0.04027, 57409.73, 0.04123, 0.04023, 0.0415, 0.04017, 38831.34, 0.0366 
0.03993, 0.04165, 0.04185, 0.0396, 99032.93, 0.04138, 0.04066, 0.04224, 0.0404, 62276.46, 0.04073, 0.04086, 0.04165, 0.04027, 57409.73, 0.04123, 0.04023, 0.0415, 0.04017, 38831.34, 0.04012, 0.03986, 0.04105, 0.03926, 72163, 0.03822 
0.04138, 0.04066, 0.04224, 0.0404, 62276.46, 0.04073, 0.04086, 0.04165, 0.04027, 57409.73, 0.04123, 0.04023, 0.0415, 0.04017, 38831.34, 0.04012, 0.03986, 0.04105, 0.03926, 72163, 0.03955, 0.03876, 0.03962, 0.03758, 88309.75, 0.03825 
0.04073, 0.04086, 0.04165, 0.04027, 57409.73, 0.04123, 0.04023, 0.0415, 0.04017, 38831.34, 0.04012, 0.03986, 0.04105, 0.03926, 72163, 0.03955, 0.03876, 0.03962, 0.03758, 88309.75, 0.03657, 0.03875, 0.03906, 0.03515, 93565.03, 0.03741 
0.04123, 0.04023, 0.0415, 0.04017, 38831.34, 0.04012, 0.03986, 0.04105, 0.03926, 72163, 0.03955, 0.03876, 0.03962, 0.03758, 88309.75, 0.03657, 0.03875, 0.03906, 0.03515, 93565.03, 0.03869, 0.03701, 0.03901, 0.0365, 59172.41, 0.03783 
0.04012, 0.03986, 0.04105, 0.03926, 72163, 0.03955, 0.03876, 0.03962, 0.03758, 88309.75, 0.03657, 0.03875, 0.03906, 0.03515, 93565.03, 0.03869, 0.03701, 0.03901, 0.0365, 59172.41, 0.03716, 0.03673, 0.03735, 0.03648, 32104.84, 0.03513 
0.03955, 0.03876, 0.03962, 0.03758, 88309.75, 0.03657, 0.03875, 0.03906, 0.03515, 93565.03, 0.03869, 0.03701, 0.03901, 0.0365, 59172.41, 0.03716, 0.03673, 0.03735, 0.03648, 32104.84, 0.03672, 0.0366, 0.03742, 0.03635, 29823.47, 0.03628 
