@RELATION HistUtility
@ATTRIBUTE open0 NUMERIC
@ATTRIBUTE close0 NUMERIC
@ATTRIBUTE high0 NUMERIC
@ATTRIBUTE low0 NUMERIC
@ATTRIBUTE volumeto0 NUMERIC
@ATTRIBUTE open1 NUMERIC
@ATTRIBUTE close1 NUMERIC
@ATTRIBUTE high1 NUMERIC
@ATTRIBUTE low1 NUMERIC
@ATTRIBUTE volumeto1 NUMERIC
@ATTRIBUTE open2 NUMERIC
@ATTRIBUTE close2 NUMERIC
@ATTRIBUTE high2 NUMERIC
@ATTRIBUTE low2 NUMERIC
@ATTRIBUTE volumeto2 NUMERIC
@ATTRIBUTE open3 NUMERIC
@ATTRIBUTE close3 NUMERIC
@ATTRIBUTE high3 NUMERIC
@ATTRIBUTE low3 NUMERIC
@ATTRIBUTE volumeto3 NUMERIC
@ATTRIBUTE open4 NUMERIC
@ATTRIBUTE close4 NUMERIC
@ATTRIBUTE high4 NUMERIC
@ATTRIBUTE low4 NUMERIC
@ATTRIBUTE volumeto4 NUMERIC
@ATTRIBUTE next_close NUMERIC

@DATA
0.1781, 0.1829, 0.1832, 0.1738, 66339.61, 0.1745, 0.1736, 0.1764, 0.1702, 47365.02, 0.1686, 0.1638, 0.1686, 0.1618, 45816.07, 0.1645, 0.1643, 0.168, 0.1614, 52908.47, 0.1665, 0.1625, 0.1666, 0.1573, 64715.49, 0.1668 
0.1745, 0.1736, 0.1764, 0.1702, 47365.02, 0.1686, 0.1638, 0.1686, 0.1618, 45816.07, 0.1645, 0.1643, 0.168, 0.1614, 52908.47, 0.1665, 0.1625, 0.1666, 0.1573, 64715.49, 0.1816, 0.1733, 0.1826, 0.1626, 287683.6, 0.1656 
0.1686, 0.1638, 0.1686, 0.1618, 45816.07, 0.1645, 0.1643, 0.168, 0.1614, 52908.47, 0.1665, 0.1625, 0.1666, 0.1573, 64715.49, 0.1816, 0.1733, 0.1826, 0.1626, 287683.6, 0.186, 0.1773, 0.1918, 0.1758, 93761.04, 0.1661 
0.1645, 0.1643, 0.168, 0.1614, 52908.47, 0.1665, 0.1625, 0.1666, 0.1573, 64715.49, 0.1816, 0.1733, 0.1826, 0.1626, 287683.6, 0.186, 0.1773, 0.1918, 0.1758, 93761.04, 0.1742, 0.1707, 0.1814, 0.159, 142251.9, 0.1595 
0.1665, 0.1625, 0.1666, 0.1573, 64715.49, 0.1816, 0.1733, 0.1826, 0.1626, 287683.6, 0.186, 0.1773, 0.1918, 0.1758, 93761.04, 0.1742, 0.1707, 0.1814, 0.159, 142251.9, 0.1975, 0.1735, 0.2, 0.1653, 138595.65, 0.1459 
0.1816, 0.1733, 0.1826, 0.1626, 287683.6, 0.186, 0.1773, 0.1918, 0.1758, 93761.04, 0.1742, 0.1707, 0.1814, 0.159, 142251.9, 0.1975, 0.1735, 0.2, 0.1653, 138595.65, 0.1631, 0.167, 0.1702, 0.1512, 79223.68, 0.1363 
0.186, 0.1773, 0.1918, 0.1758, 93761.04, 0.1742, 0.1707, 0.1814, 0.159, 142251.9, 0.1975, 0.1735, 0.2, 0.1653, 138595.65, 0.1631, 0.167, 0.1702, 0.1512, 79223.68, 0.1806, 0.1668, 0.1833, 0.1635, 40546.04, 0.1491 
0.1742, 0.1707, 0.1814, 0.159, 142251.9, 0.1975, 0.1735, 0.2, 0.1653, 138595.65, 0.1631, 0.167, 0.1702, 0.1512, 79223.68, 0.1806, 0.1668, 0.1833, 0.1635, 40546.04, 0.1854, 0.1656, 0.186, 0.1616, 77374.02, 0.1411 
0.1975, 0.1735, 0.2, 0.1653, 138595.65, 0.1631, 0.167, 0.1702, 0.1512, 79223.68, 0.1806, 0.1668, 0.1833, 0.1635, 40546.04, 0.1854, 0.1656, 0.186, 0.1616, 77374.02, 0.1774, 0.1661, 0.1775, 0.1483, 59778.61, 0.1454 
0.1631, 0.167, 0.1702, 0.1512, 79223.68, 0.1806, 0.1668, 0.1833, 0.1635, 40546.04, 0.1854, 0.1656, 0.186, 0.1616, 77374.02, 0.1774, 0.1661, 0.1775, 0.1483, 59778.61, 0.1544, 0.1595, 0.1633, 0.1535, 64916.5, 0.1396 
0.1806, 0.1668, 0.1833, 0.1635, 40546.04, 0.1854, 0.1656, 0.186, 0.1616, 77374.02, 0.1774, 0.1661, 0.1775, 0.1483, 59778.61, 0.1544, 0.1595, 0.1633, 0.1535, 64916.5, 0.1615, 0.1459, 0.1624, 0.1384, 70090.08, 0.1469 
0.1854, 0.1656, 0.186, 0.1616, 77374.02, 0.1774, 0.1661, 0.1775, 0.1483, 59778.61, 0.1544, 0.1595, 0.1633, 0.1535, 64916.5, 0.1615, 0.1459, 0.1624, 0.1384, 70090.08, 0.1284, 0.1363, 0.1377, 0.1244, 66344.84, 0.1515 
0.1774, 0.1661, 0.1775, 0.1483, 59778.61, 0.1544, 0.1595, 0.1633, 0.1535, 64916.5, 0.1615, 0.1459, 0.1624, 0.1384, 70090.08, 0.1284, 0.1363, 0.1377, 0.1244, 66344.84, 0.1632, 0.1491, 0.1646, 0.1478, 1511095.02, 0.1479 
0.1544, 0.1595, 0.1633, 0.1535, 64916.5, 0.1615, 0.1459, 0.1624, 0.1384, 70090.08, 0.1284, 0.1363, 0.1377, 0.1244, 66344.84, 0.1632, 0.1491, 0.1646, 0.1478, 1511095.02, 0.1465, 0.1411, 0.1514, 0.1388, 63175.2, 0.1469 
0.1615, 0.1459, 0.1624, 0.1384, 70090.08, 0.1284, 0.1363, 0.1377, 0.1244, 66344.84, 0.1632, 0.1491, 0.1646, 0.1478, 1511095.02, 0.1465, 0.1411, 0.1514, 0.1388, 63175.2, 0.1453, 0.1454, 0.1515, 0.1436, 71305.72, 0.1484 
0.1284, 0.1363, 0.1377, 0.1244, 66344.84, 0.1632, 0.1491, 0.1646, 0.1478, 1511095.02, 0.1465, 0.1411, 0.1514, 0.1388, 63175.2, 0.1453, 0.1454, 0.1515, 0.1436, 71305.72, 0.1374, 0.1396, 0.1408, 0.1336, 54836.19, 0.1554 
0.1632, 0.1491, 0.1646, 0.1478, 1511095.02, 0.1465, 0.1411, 0.1514, 0.1388, 63175.2, 0.1453, 0.1454, 0.1515, 0.1436, 71305.72, 0.1374, 0.1396, 0.1408, 0.1336, 54836.19, 0.1492, 0.1469, 0.1536, 0.1442, 56411.78, 0.1524 
0.1465, 0.1411, 0.1514, 0.1388, 63175.2, 0.1453, 0.1454, 0.1515, 0.1436, 71305.72, 0.1374, 0.1396, 0.1408, 0.1336, 54836.19, 0.1492, 0.1469, 0.1536, 0.1442, 56411.78, 0.1613, 0.1515, 0.1653, 0.1487, 468530.13, 0.1517 
0.1453, 0.1454, 0.1515, 0.1436, 71305.72, 0.1374, 0.1396, 0.1408, 0.1336, 54836.19, 0.1492, 0.1469, 0.1536, 0.1442, 56411.78, 0.1613, 0.1515, 0.1653, 0.1487, 468530.13, 0.1446, 0.1479, 0.1489, 0.1404, 184682.27, 0.1504 
0.1374, 0.1396, 0.1408, 0.1336, 54836.19, 0.1492, 0.1469, 0.1536, 0.1442, 56411.78, 0.1613, 0.1515, 0.1653, 0.1487, 468530.13, 0.1446, 0.1479, 0.1489, 0.1404, 184682.27, 0.1544, 0.1469, 0.1554, 0.1432, 168416.74, 0.1354 
0.1492, 0.1469, 0.1536, 0.1442, 56411.78, 0.1613, 0.1515, 0.1653, 0.1487, 468530.13, 0.1446, 0.1479, 0.1489, 0.1404, 184682.27, 0.1544, 0.1469, 0.1554, 0.1432, 168416.74, 0.1471, 0.1484, 0.1485, 0.1392, 120401.68, 0.1397 
0.1613, 0.1515, 0.1653, 0.1487, 468530.13, 0.1446, 0.1479, 0.1489, 0.1404, 184682.27, 0.1544, 0.1469, 0.1554, 0.1432, 168416.74, 0.1471, 0.1484, 0.1485, 0.1392, 120401.68, 0.1506, 0.1554, 0.1566, 0.1491, 63637.26, 0.1319 
0.1446, 0.1479, 0.1489, 0.1404, 184682.27, 0.1544, 0.1469, 0.1554, 0.1432, 168416.74, 0.1471, 0.1484, 0.1485, 0.1392, 120401.68, 0.1506, 0.1554, 0.1566, 0.1491, 63637.26, 0.149, 0.1524, 0.1527, 0.148, 87915.44, 0.1281 
0.1544, 0.1469, 0.1554, 0.1432, 168416.74, 0.1471, 0.1484, 0.1485, 0.1392, 120401.68, 0.1506, 0.1554, 0.1566, 0.1491, 63637.26, 0.149, 0.1524, 0.1527, 0.148, 87915.44, 0.1514, 0.1517, 0.1553, 0.1462, 52739.08, 0.134 
0.1471, 0.1484, 0.1485, 0.1392, 120401.68, 0.1506, 0.1554, 0.1566, 0.1491, 63637.26, 0.149, 0.1524, 0.1527, 0.148, 87915.44, 0.1514, 0.1517, 0.1553, 0.1462, 52739.08, 0.1518, 0.1504, 0.1539, 0.1487, 40516.42, 0.1303 
0.1506, 0.1554, 0.1566, 0.1491, 63637.26, 0.149, 0.1524, 0.1527, 0.148, 87915.44, 0.1514, 0.1517, 0.1553, 0.1462, 52739.08, 0.1518, 0.1504, 0.1539, 0.1487, 40516.42, 0.1273, 0.1354, 0.1397, 0.1262, 90617.19, 0.1284 
0.149, 0.1524, 0.1527, 0.148, 87915.44, 0.1514, 0.1517, 0.1553, 0.1462, 52739.08, 0.1518, 0.1504, 0.1539, 0.1487, 40516.42, 0.1273, 0.1354, 0.1397, 0.1262, 90617.19, 0.1345, 0.1397, 0.1419, 0.1321, 39117.76, 0.1399 
0.1514, 0.1517, 0.1553, 0.1462, 52739.08, 0.1518, 0.1504, 0.1539, 0.1487, 40516.42, 0.1273, 0.1354, 0.1397, 0.1262, 90617.19, 0.1345, 0.1397, 0.1419, 0.1321, 39117.76, 0.1383, 0.1319, 0.14, 0.1266, 85092.46, 0.1241 
0.1518, 0.1504, 0.1539, 0.1487, 40516.42, 0.1273, 0.1354, 0.1397, 0.1262, 90617.19, 0.1345, 0.1397, 0.1419, 0.1321, 39117.76, 0.1383, 0.1319, 0.14, 0.1266, 85092.46, 0.1222, 0.1281, 0.1297, 0.1203, 56843.5, 0.1313 
0.1273, 0.1354, 0.1397, 0.1262, 90617.19, 0.1345, 0.1397, 0.1419, 0.1321, 39117.76, 0.1383, 0.1319, 0.14, 0.1266, 85092.46, 0.1222, 0.1281, 0.1297, 0.1203, 56843.5, 0.1426, 0.134, 0.1439, 0.1338, 28980.43, 0.124 
0.1345, 0.1397, 0.1419, 0.1321, 39117.76, 0.1383, 0.1319, 0.14, 0.1266, 85092.46, 0.1222, 0.1281, 0.1297, 0.1203, 56843.5, 0.1426, 0.134, 0.1439, 0.1338, 28980.43, 0.1252, 0.1303, 0.1326, 0.1226, 668390.05, 0.1247 
0.1383, 0.1319, 0.14, 0.1266, 85092.46, 0.1222, 0.1281, 0.1297, 0.1203, 56843.5, 0.1426, 0.134, 0.1439, 0.1338, 28980.43, 0.1252, 0.1303, 0.1326, 0.1226, 668390.05, 0.1324, 0.1284, 0.1344, 0.1257, 227583.05, 0.1271 
0.1222, 0.1281, 0.1297, 0.1203, 56843.5, 0.1426, 0.134, 0.1439, 0.1338, 28980.43, 0.1252, 0.1303, 0.1326, 0.1226, 668390.05, 0.1324, 0.1284, 0.1344, 0.1257, 227583.05, 0.129, 0.1399, 0.1429, 0.1277, 324523.08, 0.126 
0.1426, 0.134, 0.1439, 0.1338, 28980.43, 0.1252, 0.1303, 0.1326, 0.1226, 668390.05, 0.1324, 0.1284, 0.1344, 0.1257, 227583.05, 0.129, 0.1399, 0.1429, 0.1277, 324523.08, 0.1364, 0.1241, 0.1367, 0.1235, 249177.49, 0.1279 
0.1252, 0.1303, 0.1326, 0.1226, 668390.05, 0.1324, 0.1284, 0.1344, 0.1257, 227583.05, 0.129, 0.1399, 0.1429, 0.1277, 324523.08, 0.1364, 0.1241, 0.1367, 0.1235, 249177.49, 0.1285, 0.1313, 0.135, 0.1275, 325218.22, 0.1335 
0.1324, 0.1284, 0.1344, 0.1257, 227583.05, 0.129, 0.1399, 0.1429, 0.1277, 324523.08, 0.1364, 0.1241, 0.1367, 0.1235, 249177.49, 0.1285, 0.1313, 0.135, 0.1275, 325218.22, 0.1246, 0.124, 0.1298, 0.1227, 282558.4, 0.133 
0.129, 0.1399, 0.1429, 0.1277, 324523.08, 0.1364, 0.1241, 0.1367, 0.1235, 249177.49, 0.1285, 0.1313, 0.135, 0.1275, 325218.22, 0.1246, 0.124, 0.1298, 0.1227, 282558.4, 0.1222, 0.1247, 0.1273, 0.1219, 165728.61, 0.1287 
0.1364, 0.1241, 0.1367, 0.1235, 249177.49, 0.1285, 0.1313, 0.135, 0.1275, 325218.22, 0.1246, 0.124, 0.1298, 0.1227, 282558.4, 0.1222, 0.1247, 0.1273, 0.1219, 165728.61, 0.1272, 0.1271, 0.1395, 0.126, 289981.23, 0.126 
0.1285, 0.1313, 0.135, 0.1275, 325218.22, 0.1246, 0.124, 0.1298, 0.1227, 282558.4, 0.1222, 0.1247, 0.1273, 0.1219, 165728.61, 0.1272, 0.1271, 0.1395, 0.126, 289981.23, 0.1254, 0.126, 0.1294, 0.1243, 191176.69, 0.124 
0.1246, 0.124, 0.1298, 0.1227, 282558.4, 0.1222, 0.1247, 0.1273, 0.1219, 165728.61, 0.1272, 0.1271, 0.1395, 0.126, 289981.23, 0.1254, 0.126, 0.1294, 0.1243, 191176.69, 0.1262, 0.1279, 0.1286, 0.1254, 151836.18, 0.1268 
0.1222, 0.1247, 0.1273, 0.1219, 165728.61, 0.1272, 0.1271, 0.1395, 0.126, 289981.23, 0.1254, 0.126, 0.1294, 0.1243, 191176.69, 0.1262, 0.1279, 0.1286, 0.1254, 151836.18, 0.126, 0.1335, 0.1339, 0.1257, 272222.59, 0.1242 
0.1272, 0.1271, 0.1395, 0.126, 289981.23, 0.1254, 0.126, 0.1294, 0.1243, 191176.69, 0.1262, 0.1279, 0.1286, 0.1254, 151836.18, 0.126, 0.1335, 0.1339, 0.1257, 272222.59, 0.134, 0.133, 0.134, 0.1274, 275841.92, 0.1227 
0.1254, 0.126, 0.1294, 0.1243, 191176.69, 0.1262, 0.1279, 0.1286, 0.1254, 151836.18, 0.126, 0.1335, 0.1339, 0.1257, 272222.59, 0.134, 0.133, 0.134, 0.1274, 275841.92, 0.1283, 0.1287, 0.1292, 0.1233, 214756.96, 0.1234 
0.1262, 0.1279, 0.1286, 0.1254, 151836.18, 0.126, 0.1335, 0.1339, 0.1257, 272222.59, 0.134, 0.133, 0.134, 0.1274, 275841.92, 0.1283, 0.1287, 0.1292, 0.1233, 214756.96, 0.1219, 0.126, 0.1277, 0.1201, 238238.43, 0.12 
0.126, 0.1335, 0.1339, 0.1257, 272222.59, 0.134, 0.133, 0.134, 0.1274, 275841.92, 0.1283, 0.1287, 0.1292, 0.1233, 214756.96, 0.1219, 0.126, 0.1277, 0.1201, 238238.43, 0.1241, 0.124, 0.1266, 0.1211, 502352.18, 0.121 
0.134, 0.133, 0.134, 0.1274, 275841.92, 0.1283, 0.1287, 0.1292, 0.1233, 214756.96, 0.1219, 0.126, 0.1277, 0.1201, 238238.43, 0.1241, 0.124, 0.1266, 0.1211, 502352.18, 0.1291, 0.1268, 0.1302, 0.125, 367527.22, 0.1238 
0.1283, 0.1287, 0.1292, 0.1233, 214756.96, 0.1219, 0.126, 0.1277, 0.1201, 238238.43, 0.1241, 0.124, 0.1266, 0.1211, 502352.18, 0.1291, 0.1268, 0.1302, 0.125, 367527.22, 0.1243, 0.1242, 0.125, 0.1226, 177588.03, 0.1232 
0.1219, 0.126, 0.1277, 0.1201, 238238.43, 0.1241, 0.124, 0.1266, 0.1211, 502352.18, 0.1291, 0.1268, 0.1302, 0.125, 367527.22, 0.1243, 0.1242, 0.125, 0.1226, 177588.03, 0.1244, 0.1227, 0.1262, 0.1201, 267980.39, 0.1195 
0.1241, 0.124, 0.1266, 0.1211, 502352.18, 0.1291, 0.1268, 0.1302, 0.125, 367527.22, 0.1243, 0.1242, 0.125, 0.1226, 177588.03, 0.1244, 0.1227, 0.1262, 0.1201, 267980.39, 0.1272, 0.1234, 0.1293, 0.1233, 282186.83, 0.1281 
0.1291, 0.1268, 0.1302, 0.125, 367527.22, 0.1243, 0.1242, 0.125, 0.1226, 177588.03, 0.1244, 0.1227, 0.1262, 0.1201, 267980.39, 0.1272, 0.1234, 0.1293, 0.1233, 282186.83, 0.1192, 0.12, 0.1211, 0.1169, 313563.49, 0.1296 
0.1243, 0.1242, 0.125, 0.1226, 177588.03, 0.1244, 0.1227, 0.1262, 0.1201, 267980.39, 0.1272, 0.1234, 0.1293, 0.1233, 282186.83, 0.1192, 0.12, 0.1211, 0.1169, 313563.49, 0.1196, 0.121, 0.1217, 0.1186, 295001.21, 0.1296 
