@RELATION HistUtility
@ATTRIBUTE open0 NUMERIC
@ATTRIBUTE close0 NUMERIC
@ATTRIBUTE high0 NUMERIC
@ATTRIBUTE low0 NUMERIC
@ATTRIBUTE volumeto0 NUMERIC
@ATTRIBUTE open1 NUMERIC
@ATTRIBUTE close1 NUMERIC
@ATTRIBUTE high1 NUMERIC
@ATTRIBUTE low1 NUMERIC
@ATTRIBUTE volumeto1 NUMERIC
@ATTRIBUTE open2 NUMERIC
@ATTRIBUTE close2 NUMERIC
@ATTRIBUTE high2 NUMERIC
@ATTRIBUTE low2 NUMERIC
@ATTRIBUTE volumeto2 NUMERIC
@ATTRIBUTE open3 NUMERIC
@ATTRIBUTE close3 NUMERIC
@ATTRIBUTE high3 NUMERIC
@ATTRIBUTE low3 NUMERIC
@ATTRIBUTE volumeto3 NUMERIC
@ATTRIBUTE open4 NUMERIC
@ATTRIBUTE close4 NUMERIC
@ATTRIBUTE high4 NUMERIC
@ATTRIBUTE low4 NUMERIC
@ATTRIBUTE volumeto4 NUMERIC
@ATTRIBUTE next_close NUMERIC

@DATA
10.63, 10.53, 10.66, 10.49, 12993451.38, 10.5, 10.38, 10.58, 10.25, 10710263.26, 10.29, 10.31, 10.41, 10.21, 10636768.34, 9.74, 9.3, 9.83, 9.21, 8091002.23, 9.38, 9.5, 9.61, 9.29, 9701881.27, 9.73 
10.5, 10.38, 10.58, 10.25, 10710263.26, 10.29, 10.31, 10.41, 10.21, 10636768.34, 9.74, 9.3, 9.83, 9.21, 8091002.23, 9.38, 9.5, 9.61, 9.29, 9701881.27, 9.53, 9.58, 9.66, 9.49, 10147966.97, 9.81 
10.29, 10.31, 10.41, 10.21, 10636768.34, 9.74, 9.3, 9.83, 9.21, 8091002.23, 9.38, 9.5, 9.61, 9.29, 9701881.27, 9.53, 9.58, 9.66, 9.49, 10147966.97, 9.6, 9.5, 9.62, 9.44, 8192783.09, 9.78 
9.74, 9.3, 9.83, 9.21, 8091002.23, 9.38, 9.5, 9.61, 9.29, 9701881.27, 9.53, 9.58, 9.66, 9.49, 10147966.97, 9.6, 9.5, 9.62, 9.44, 8192783.09, 10.01, 10.34, 10.4, 9.59, 16813927.56, 9.79 
9.38, 9.5, 9.61, 9.29, 9701881.27, 9.53, 9.58, 9.66, 9.49, 10147966.97, 9.6, 9.5, 9.62, 9.44, 8192783.09, 10.01, 10.34, 10.4, 9.59, 16813927.56, 10.3, 10, 10.3, 9.92, 12027554.4, 9.74 
9.53, 9.58, 9.66, 9.49, 10147966.97, 9.6, 9.5, 9.62, 9.44, 8192783.09, 10.01, 10.34, 10.4, 9.59, 16813927.56, 10.3, 10, 10.3, 9.92, 12027554.4, 9.99, 9.99, 10.1, 9.87, 14181893.41, 9.79 
9.6, 9.5, 9.62, 9.44, 8192783.09, 10.01, 10.34, 10.4, 9.59, 16813927.56, 10.3, 10, 10.3, 9.92, 12027554.4, 9.99, 9.99, 10.1, 9.87, 14181893.41, 9.86, 9.73, 9.9, 9.68, 12062288.1, 9.73 
10.01, 10.34, 10.4, 9.59, 16813927.56, 10.3, 10, 10.3, 9.92, 12027554.4, 9.99, 9.99, 10.1, 9.87, 14181893.41, 9.86, 9.73, 9.9, 9.68, 12062288.1, 9.71, 9.81, 9.81, 9.61, 10664271.87, 9.71 
10.3, 10, 10.3, 9.92, 12027554.4, 9.99, 9.99, 10.1, 9.87, 14181893.41, 9.86, 9.73, 9.9, 9.68, 12062288.1, 9.71, 9.81, 9.81, 9.61, 10664271.87, 9.84, 9.78, 9.84, 9.74, 9509531.26, 9.7 
9.99, 9.99, 10.1, 9.87, 14181893.41, 9.86, 9.73, 9.9, 9.68, 12062288.1, 9.71, 9.81, 9.81, 9.61, 10664271.87, 9.84, 9.78, 9.84, 9.74, 9509531.26, 9.81, 9.79, 9.83, 9.74, 9619963.95, 9.67 
