@RELATION HistUtility
@ATTRIBUTE open0 NUMERIC
@ATTRIBUTE close0 NUMERIC
@ATTRIBUTE high0 NUMERIC
@ATTRIBUTE low0 NUMERIC
@ATTRIBUTE volumeto0 NUMERIC
@ATTRIBUTE open1 NUMERIC
@ATTRIBUTE close1 NUMERIC
@ATTRIBUTE high1 NUMERIC
@ATTRIBUTE low1 NUMERIC
@ATTRIBUTE volumeto1 NUMERIC
@ATTRIBUTE open2 NUMERIC
@ATTRIBUTE close2 NUMERIC
@ATTRIBUTE high2 NUMERIC
@ATTRIBUTE low2 NUMERIC
@ATTRIBUTE volumeto2 NUMERIC
@ATTRIBUTE open3 NUMERIC
@ATTRIBUTE close3 NUMERIC
@ATTRIBUTE high3 NUMERIC
@ATTRIBUTE low3 NUMERIC
@ATTRIBUTE volumeto3 NUMERIC
@ATTRIBUTE open4 NUMERIC
@ATTRIBUTE close4 NUMERIC
@ATTRIBUTE high4 NUMERIC
@ATTRIBUTE low4 NUMERIC
@ATTRIBUTE volumeto4 NUMERIC
@ATTRIBUTE next_close NUMERIC

@DATA
1.51, 1.5, 1.51, 1.48, 268589.9, 1.48, 1.47, 1.5, 1.46, 571545.85, 1.46, 1.44, 1.47, 1.43, 134571.53, 1.46, 1.46, 1.49, 1.46, 566648.6, 1.47, 1.49, 1.5, 1.46, 361096.05, 1.28 
1.48, 1.47, 1.5, 1.46, 571545.85, 1.46, 1.44, 1.47, 1.43, 134571.53, 1.46, 1.46, 1.49, 1.46, 566648.6, 1.47, 1.49, 1.5, 1.46, 361096.05, 1.48, 1.47, 1.5, 1.46, 177102.23, 1.29 
1.46, 1.44, 1.47, 1.43, 134571.53, 1.46, 1.46, 1.49, 1.46, 566648.6, 1.47, 1.49, 1.5, 1.46, 361096.05, 1.48, 1.47, 1.5, 1.46, 177102.23, 1.47, 1.48, 1.5, 1.46, 373428.41, 1.3 
1.46, 1.46, 1.49, 1.46, 566648.6, 1.47, 1.49, 1.5, 1.46, 361096.05, 1.48, 1.47, 1.5, 1.46, 177102.23, 1.47, 1.48, 1.5, 1.46, 373428.41, 1.49, 1.51, 1.53, 1.47, 802957.66, 1.27 
1.47, 1.49, 1.5, 1.46, 361096.05, 1.48, 1.47, 1.5, 1.46, 177102.23, 1.47, 1.48, 1.5, 1.46, 373428.41, 1.49, 1.51, 1.53, 1.47, 802957.66, 1.5, 1.49, 1.52, 1.48, 501638.37, 1.32 
1.48, 1.47, 1.5, 1.46, 177102.23, 1.47, 1.48, 1.5, 1.46, 373428.41, 1.49, 1.51, 1.53, 1.47, 802957.66, 1.5, 1.49, 1.52, 1.48, 501638.37, 1.48, 1.49, 1.5, 1.47, 745773.85, 1.3 
1.47, 1.48, 1.5, 1.46, 373428.41, 1.49, 1.51, 1.53, 1.47, 802957.66, 1.5, 1.49, 1.52, 1.48, 501638.37, 1.48, 1.49, 1.5, 1.47, 745773.85, 1.41, 1.28, 1.41, 1.27, 365180.72, 1.31 
1.49, 1.51, 1.53, 1.47, 802957.66, 1.5, 1.49, 1.52, 1.48, 501638.37, 1.48, 1.49, 1.5, 1.47, 745773.85, 1.41, 1.28, 1.41, 1.27, 365180.72, 1.29, 1.29, 1.31, 1.27, 448324.38, 1.27 
1.5, 1.49, 1.52, 1.48, 501638.37, 1.48, 1.49, 1.5, 1.47, 745773.85, 1.41, 1.28, 1.41, 1.27, 365180.72, 1.29, 1.29, 1.31, 1.27, 448324.38, 1.29, 1.3, 1.31, 1.29, 400878.97, 1.27 
1.48, 1.49, 1.5, 1.47, 745773.85, 1.41, 1.28, 1.41, 1.27, 365180.72, 1.29, 1.29, 1.31, 1.27, 448324.38, 1.29, 1.3, 1.31, 1.29, 400878.97, 1.3, 1.27, 1.31, 1.26, 474433.38, 1.3 
1.41, 1.28, 1.41, 1.27, 365180.72, 1.29, 1.29, 1.31, 1.27, 448324.38, 1.29, 1.3, 1.31, 1.29, 400878.97, 1.3, 1.27, 1.31, 1.26, 474433.38, 1.34, 1.32, 1.41, 1.3, 981116.53, 1.3 
1.29, 1.29, 1.31, 1.27, 448324.38, 1.29, 1.3, 1.31, 1.29, 400878.97, 1.3, 1.27, 1.31, 1.26, 474433.38, 1.34, 1.32, 1.41, 1.3, 981116.53, 1.31, 1.3, 1.31, 1.28, 407963.1, 1.28 
