@RELATION HistUtility
@ATTRIBUTE open0 NUMERIC
@ATTRIBUTE close0 NUMERIC
@ATTRIBUTE high0 NUMERIC
@ATTRIBUTE low0 NUMERIC
@ATTRIBUTE volumeto0 NUMERIC
@ATTRIBUTE open1 NUMERIC
@ATTRIBUTE close1 NUMERIC
@ATTRIBUTE high1 NUMERIC
@ATTRIBUTE low1 NUMERIC
@ATTRIBUTE volumeto1 NUMERIC
@ATTRIBUTE open2 NUMERIC
@ATTRIBUTE close2 NUMERIC
@ATTRIBUTE high2 NUMERIC
@ATTRIBUTE low2 NUMERIC
@ATTRIBUTE volumeto2 NUMERIC
@ATTRIBUTE open3 NUMERIC
@ATTRIBUTE close3 NUMERIC
@ATTRIBUTE high3 NUMERIC
@ATTRIBUTE low3 NUMERIC
@ATTRIBUTE volumeto3 NUMERIC
@ATTRIBUTE open4 NUMERIC
@ATTRIBUTE close4 NUMERIC
@ATTRIBUTE high4 NUMERIC
@ATTRIBUTE low4 NUMERIC
@ATTRIBUTE volumeto4 NUMERIC
@ATTRIBUTE next_close NUMERIC

@DATA
0.3691, 0.3916, 0.4108, 0.3662, 733365.52, 0.3905, 0.3752, 0.3911, 0.374, 324427.67, 0.3723, 0.3999, 0.4014, 0.3722, 457563.78, 0.3767, 0.3585, 0.3839, 0.3447, 633059.71, 0.3599, 0.3624, 0.3767, 0.3594, 344984.23, 0.3595 
0.3905, 0.3752, 0.3911, 0.374, 324427.67, 0.3723, 0.3999, 0.4014, 0.3722, 457563.78, 0.3767, 0.3585, 0.3839, 0.3447, 633059.71, 0.3599, 0.3624, 0.3767, 0.3594, 344984.23, 0.3634, 0.3708, 0.3826, 0.3599, 392045.48, 0.3704 
0.3723, 0.3999, 0.4014, 0.3722, 457563.78, 0.3767, 0.3585, 0.3839, 0.3447, 633059.71, 0.3599, 0.3624, 0.3767, 0.3594, 344984.23, 0.3634, 0.3708, 0.3826, 0.3599, 392045.48, 0.3714, 0.363, 0.3779, 0.3613, 359470.5, 0.3746 
0.3767, 0.3585, 0.3839, 0.3447, 633059.71, 0.3599, 0.3624, 0.3767, 0.3594, 344984.23, 0.3634, 0.3708, 0.3826, 0.3599, 392045.48, 0.3714, 0.363, 0.3779, 0.3613, 359470.5, 0.3815, 0.3687, 0.3819, 0.3571, 376536.14, 0.3912 
0.3599, 0.3624, 0.3767, 0.3594, 344984.23, 0.3634, 0.3708, 0.3826, 0.3599, 392045.48, 0.3714, 0.363, 0.3779, 0.3613, 359470.5, 0.3815, 0.3687, 0.3819, 0.3571, 376536.14, 0.3671, 0.3839, 0.3947, 0.3637, 422165.88, 0.3929 
0.3634, 0.3708, 0.3826, 0.3599, 392045.48, 0.3714, 0.363, 0.3779, 0.3613, 359470.5, 0.3815, 0.3687, 0.3819, 0.3571, 376536.14, 0.3671, 0.3839, 0.3947, 0.3637, 422165.88, 0.3834, 0.3776, 0.3885, 0.3732, 328063.25, 0.3768 
0.3714, 0.363, 0.3779, 0.3613, 359470.5, 0.3815, 0.3687, 0.3819, 0.3571, 376536.14, 0.3671, 0.3839, 0.3947, 0.3637, 422165.88, 0.3834, 0.3776, 0.3885, 0.3732, 328063.25, 0.3726, 0.3595, 0.3727, 0.3566, 304776.15, 0.389 
0.3815, 0.3687, 0.3819, 0.3571, 376536.14, 0.3671, 0.3839, 0.3947, 0.3637, 422165.88, 0.3834, 0.3776, 0.3885, 0.3732, 328063.25, 0.3726, 0.3595, 0.3727, 0.3566, 304776.15, 0.3585, 0.3704, 0.3752, 0.3583, 299636.62, 0.3823 
0.3671, 0.3839, 0.3947, 0.3637, 422165.88, 0.3834, 0.3776, 0.3885, 0.3732, 328063.25, 0.3726, 0.3595, 0.3727, 0.3566, 304776.15, 0.3585, 0.3704, 0.3752, 0.3583, 299636.62, 0.3716, 0.3746, 0.391, 0.3661, 354812.13, 0.3798 
0.3834, 0.3776, 0.3885, 0.3732, 328063.25, 0.3726, 0.3595, 0.3727, 0.3566, 304776.15, 0.3585, 0.3704, 0.3752, 0.3583, 299636.62, 0.3716, 0.3746, 0.391, 0.3661, 354812.13, 0.3757, 0.3912, 0.3942, 0.375, 435899.07, 0.3668 
0.3726, 0.3595, 0.3727, 0.3566, 304776.15, 0.3585, 0.3704, 0.3752, 0.3583, 299636.62, 0.3716, 0.3746, 0.391, 0.3661, 354812.13, 0.3757, 0.3912, 0.3942, 0.375, 435899.07, 0.3896, 0.3929, 0.406, 0.3874, 410800.05, 0.3677 
0.3585, 0.3704, 0.3752, 0.3583, 299636.62, 0.3716, 0.3746, 0.391, 0.3661, 354812.13, 0.3757, 0.3912, 0.3942, 0.375, 435899.07, 0.3896, 0.3929, 0.406, 0.3874, 410800.05, 0.3921, 0.3768, 0.3983, 0.3669, 570590.8, 0.3737 
0.3716, 0.3746, 0.391, 0.3661, 354812.13, 0.3757, 0.3912, 0.3942, 0.375, 435899.07, 0.3896, 0.3929, 0.406, 0.3874, 410800.05, 0.3921, 0.3768, 0.3983, 0.3669, 570590.8, 0.3771, 0.389, 0.4006, 0.377, 356949.44, 0.3691 
0.3757, 0.3912, 0.3942, 0.375, 435899.07, 0.3896, 0.3929, 0.406, 0.3874, 410800.05, 0.3921, 0.3768, 0.3983, 0.3669, 570590.8, 0.3771, 0.389, 0.4006, 0.377, 356949.44, 0.3882, 0.3823, 0.4, 0.3772, 310493.45, 0.3611 
0.3896, 0.3929, 0.406, 0.3874, 410800.05, 0.3921, 0.3768, 0.3983, 0.3669, 570590.8, 0.3771, 0.389, 0.4006, 0.377, 356949.44, 0.3882, 0.3823, 0.4, 0.3772, 310493.45, 0.3819, 0.3798, 0.387, 0.3784, 156591.44, 0.3605 
0.3921, 0.3768, 0.3983, 0.3669, 570590.8, 0.3771, 0.389, 0.4006, 0.377, 356949.44, 0.3882, 0.3823, 0.4, 0.3772, 310493.45, 0.3819, 0.3798, 0.387, 0.3784, 156591.44, 0.3806, 0.3668, 0.3865, 0.3636, 193313.82, 0.3561 
0.3771, 0.389, 0.4006, 0.377, 356949.44, 0.3882, 0.3823, 0.4, 0.3772, 310493.45, 0.3819, 0.3798, 0.387, 0.3784, 156591.44, 0.3806, 0.3668, 0.3865, 0.3636, 193313.82, 0.3668, 0.3677, 0.3734, 0.364, 215092.06, 0.3494 
0.3882, 0.3823, 0.4, 0.3772, 310493.45, 0.3819, 0.3798, 0.387, 0.3784, 156591.44, 0.3806, 0.3668, 0.3865, 0.3636, 193313.82, 0.3668, 0.3677, 0.3734, 0.364, 215092.06, 0.3588, 0.3737, 0.394, 0.3533, 986032.49, 0.3496 
0.3819, 0.3798, 0.387, 0.3784, 156591.44, 0.3806, 0.3668, 0.3865, 0.3636, 193313.82, 0.3668, 0.3677, 0.3734, 0.364, 215092.06, 0.3588, 0.3737, 0.394, 0.3533, 986032.49, 0.3734, 0.3691, 0.375, 0.3658, 278002.57, 0.3355 
0.3806, 0.3668, 0.3865, 0.3636, 193313.82, 0.3668, 0.3677, 0.3734, 0.364, 215092.06, 0.3588, 0.3737, 0.394, 0.3533, 986032.49, 0.3734, 0.3691, 0.375, 0.3658, 278002.57, 0.3692, 0.3611, 0.3727, 0.346, 410141.37, 0.3479 
0.3668, 0.3677, 0.3734, 0.364, 215092.06, 0.3588, 0.3737, 0.394, 0.3533, 986032.49, 0.3734, 0.3691, 0.375, 0.3658, 278002.57, 0.3692, 0.3611, 0.3727, 0.346, 410141.37, 0.3634, 0.3605, 0.372, 0.357, 284790.03, 0.3553 
0.3588, 0.3737, 0.394, 0.3533, 986032.49, 0.3734, 0.3691, 0.375, 0.3658, 278002.57, 0.3692, 0.3611, 0.3727, 0.346, 410141.37, 0.3634, 0.3605, 0.372, 0.357, 284790.03, 0.3612, 0.3561, 0.3635, 0.3504, 196632.47, 0.3458 
0.3734, 0.3691, 0.375, 0.3658, 278002.57, 0.3692, 0.3611, 0.3727, 0.346, 410141.37, 0.3634, 0.3605, 0.372, 0.357, 284790.03, 0.3612, 0.3561, 0.3635, 0.3504, 196632.47, 0.355, 0.3494, 0.3566, 0.3481, 140404.65, 0.3367 
0.3692, 0.3611, 0.3727, 0.346, 410141.37, 0.3634, 0.3605, 0.372, 0.357, 284790.03, 0.3612, 0.3561, 0.3635, 0.3504, 196632.47, 0.355, 0.3494, 0.3566, 0.3481, 140404.65, 0.3544, 0.3496, 0.3578, 0.3494, 180020.72, 0.3505 
0.3634, 0.3605, 0.372, 0.357, 284790.03, 0.3612, 0.3561, 0.3635, 0.3504, 196632.47, 0.355, 0.3494, 0.3566, 0.3481, 140404.65, 0.3544, 0.3496, 0.3578, 0.3494, 180020.72, 0.3478, 0.3355, 0.3492, 0.3346, 240466.91, 0.3497 
0.3612, 0.3561, 0.3635, 0.3504, 196632.47, 0.355, 0.3494, 0.3566, 0.3481, 140404.65, 0.3544, 0.3496, 0.3578, 0.3494, 180020.72, 0.3478, 0.3355, 0.3492, 0.3346, 240466.91, 0.3379, 0.3479, 0.3485, 0.3337, 221939.67, 0.3372 
0.355, 0.3494, 0.3566, 0.3481, 140404.65, 0.3544, 0.3496, 0.3578, 0.3494, 180020.72, 0.3478, 0.3355, 0.3492, 0.3346, 240466.91, 0.3379, 0.3479, 0.3485, 0.3337, 221939.67, 0.3506, 0.3553, 0.3787, 0.3408, 448523.2, 0.336 
0.3544, 0.3496, 0.3578, 0.3494, 180020.72, 0.3478, 0.3355, 0.3492, 0.3346, 240466.91, 0.3379, 0.3479, 0.3485, 0.3337, 221939.67, 0.3506, 0.3553, 0.3787, 0.3408, 448523.2, 0.3507, 0.3458, 0.3579, 0.338, 93744.17, 0.3031 
0.3478, 0.3355, 0.3492, 0.3346, 240466.91, 0.3379, 0.3479, 0.3485, 0.3337, 221939.67, 0.3506, 0.3553, 0.3787, 0.3408, 448523.2, 0.3507, 0.3458, 0.3579, 0.338, 93744.17, 0.3422, 0.3367, 0.3508, 0.3302, 71259.76, 0.2966 
0.3379, 0.3479, 0.3485, 0.3337, 221939.67, 0.3506, 0.3553, 0.3787, 0.3408, 448523.2, 0.3507, 0.3458, 0.3579, 0.338, 93744.17, 0.3422, 0.3367, 0.3508, 0.3302, 71259.76, 0.3377, 0.3505, 0.355, 0.3343, 76563.32, 0.2965 
0.3506, 0.3553, 0.3787, 0.3408, 448523.2, 0.3507, 0.3458, 0.3579, 0.338, 93744.17, 0.3422, 0.3367, 0.3508, 0.3302, 71259.76, 0.3377, 0.3505, 0.355, 0.3343, 76563.32, 0.3512, 0.3497, 0.4092, 0.3428, 812675.16, 0.3111 
0.3507, 0.3458, 0.3579, 0.338, 93744.17, 0.3422, 0.3367, 0.3508, 0.3302, 71259.76, 0.3377, 0.3505, 0.355, 0.3343, 76563.32, 0.3512, 0.3497, 0.4092, 0.3428, 812675.16, 0.3479, 0.3372, 0.3481, 0.3339, 116238.01, 0.3049 
0.3422, 0.3367, 0.3508, 0.3302, 71259.76, 0.3377, 0.3505, 0.355, 0.3343, 76563.32, 0.3512, 0.3497, 0.4092, 0.3428, 812675.16, 0.3479, 0.3372, 0.3481, 0.3339, 116238.01, 0.3353, 0.336, 0.4022, 0.3346, 882368.63, 0.2464 
0.3377, 0.3505, 0.355, 0.3343, 76563.32, 0.3512, 0.3497, 0.4092, 0.3428, 812675.16, 0.3479, 0.3372, 0.3481, 0.3339, 116238.01, 0.3353, 0.336, 0.4022, 0.3346, 882368.63, 0.3043, 0.3031, 0.3273, 0.2946, 282699.42, 0.2567 
0.3512, 0.3497, 0.4092, 0.3428, 812675.16, 0.3479, 0.3372, 0.3481, 0.3339, 116238.01, 0.3353, 0.336, 0.4022, 0.3346, 882368.63, 0.3043, 0.3031, 0.3273, 0.2946, 282699.42, 0.2982, 0.2966, 0.3057, 0.2884, 120489.91, 0.2686 
0.3479, 0.3372, 0.3481, 0.3339, 116238.01, 0.3353, 0.336, 0.4022, 0.3346, 882368.63, 0.3043, 0.3031, 0.3273, 0.2946, 282699.42, 0.2982, 0.2966, 0.3057, 0.2884, 120489.91, 0.2941, 0.2965, 0.3072, 0.2819, 208505.18, 0.2776 
0.3353, 0.336, 0.4022, 0.3346, 882368.63, 0.3043, 0.3031, 0.3273, 0.2946, 282699.42, 0.2982, 0.2966, 0.3057, 0.2884, 120489.91, 0.2941, 0.2965, 0.3072, 0.2819, 208505.18, 0.2972, 0.3111, 0.3146, 0.2898, 84371.1, 0.2793 
0.3043, 0.3031, 0.3273, 0.2946, 282699.42, 0.2982, 0.2966, 0.3057, 0.2884, 120489.91, 0.2941, 0.2965, 0.3072, 0.2819, 208505.18, 0.2972, 0.3111, 0.3146, 0.2898, 84371.1, 0.3137, 0.3049, 0.3138, 0.2976, 52808.57, 0.2294 
0.2982, 0.2966, 0.3057, 0.2884, 120489.91, 0.2941, 0.2965, 0.3072, 0.2819, 208505.18, 0.2972, 0.3111, 0.3146, 0.2898, 84371.1, 0.3137, 0.3049, 0.3138, 0.2976, 52808.57, 0.2612, 0.2464, 0.2614, 0.2453, 116370.09, 0.2275 
0.2941, 0.2965, 0.3072, 0.2819, 208505.18, 0.2972, 0.3111, 0.3146, 0.2898, 84371.1, 0.3137, 0.3049, 0.3138, 0.2976, 52808.57, 0.2612, 0.2464, 0.2614, 0.2453, 116370.09, 0.2276, 0.2567, 0.2731, 0.217, 321842.34, 0.2141 
0.2972, 0.3111, 0.3146, 0.2898, 84371.1, 0.3137, 0.3049, 0.3138, 0.2976, 52808.57, 0.2612, 0.2464, 0.2614, 0.2453, 116370.09, 0.2276, 0.2567, 0.2731, 0.217, 321842.34, 0.2655, 0.2686, 0.2835, 0.2506, 146516.85, 0.2141 
0.3137, 0.3049, 0.3138, 0.2976, 52808.57, 0.2612, 0.2464, 0.2614, 0.2453, 116370.09, 0.2276, 0.2567, 0.2731, 0.217, 321842.34, 0.2655, 0.2686, 0.2835, 0.2506, 146516.85, 0.2527, 0.2776, 0.2808, 0.2496, 121077.17, 0.2452 
0.2612, 0.2464, 0.2614, 0.2453, 116370.09, 0.2276, 0.2567, 0.2731, 0.217, 321842.34, 0.2655, 0.2686, 0.2835, 0.2506, 146516.85, 0.2527, 0.2776, 0.2808, 0.2496, 121077.17, 0.2791, 0.2793, 0.3866, 0.2704, 1303491.16, 0.2443 
0.2276, 0.2567, 0.2731, 0.217, 321842.34, 0.2655, 0.2686, 0.2835, 0.2506, 146516.85, 0.2527, 0.2776, 0.2808, 0.2496, 121077.17, 0.2791, 0.2793, 0.3866, 0.2704, 1303491.16, 0.2479, 0.2294, 0.2597, 0.2278, 112327.68, 0.2245 
0.2655, 0.2686, 0.2835, 0.2506, 146516.85, 0.2527, 0.2776, 0.2808, 0.2496, 121077.17, 0.2791, 0.2793, 0.3866, 0.2704, 1303491.16, 0.2479, 0.2294, 0.2597, 0.2278, 112327.68, 0.2383, 0.2275, 0.2406, 0.2224, 58077.26, 0.2421 
0.2527, 0.2776, 0.2808, 0.2496, 121077.17, 0.2791, 0.2793, 0.3866, 0.2704, 1303491.16, 0.2479, 0.2294, 0.2597, 0.2278, 112327.68, 0.2383, 0.2275, 0.2406, 0.2224, 58077.26, 0.215, 0.2141, 0.2274, 0.2114, 47120.12, 0.2446 
0.2791, 0.2793, 0.3866, 0.2704, 1303491.16, 0.2479, 0.2294, 0.2597, 0.2278, 112327.68, 0.2383, 0.2275, 0.2406, 0.2224, 58077.26, 0.215, 0.2141, 0.2274, 0.2114, 47120.12, 0.2163, 0.2141, 0.2196, 0.2083, 39696.72, 0.2286 
0.2479, 0.2294, 0.2597, 0.2278, 112327.68, 0.2383, 0.2275, 0.2406, 0.2224, 58077.26, 0.215, 0.2141, 0.2274, 0.2114, 47120.12, 0.2163, 0.2141, 0.2196, 0.2083, 39696.72, 0.2388, 0.2452, 0.2547, 0.2366, 63032.03, 0.2377 
0.2383, 0.2275, 0.2406, 0.2224, 58077.26, 0.215, 0.2141, 0.2274, 0.2114, 47120.12, 0.2163, 0.2141, 0.2196, 0.2083, 39696.72, 0.2388, 0.2452, 0.2547, 0.2366, 63032.03, 0.2466, 0.2443, 0.256, 0.2398, 44874.26, 0.2265 
0.215, 0.2141, 0.2274, 0.2114, 47120.12, 0.2163, 0.2141, 0.2196, 0.2083, 39696.72, 0.2388, 0.2452, 0.2547, 0.2366, 63032.03, 0.2466, 0.2443, 0.256, 0.2398, 44874.26, 0.2286, 0.2245, 0.3083, 0.222, 497975.16, 0.1933 
0.2163, 0.2141, 0.2196, 0.2083, 39696.72, 0.2388, 0.2452, 0.2547, 0.2366, 63032.03, 0.2466, 0.2443, 0.256, 0.2398, 44874.26, 0.2286, 0.2245, 0.3083, 0.222, 497975.16, 0.2351, 0.2421, 0.2505, 0.2302, 111083.22, 0.1834 
0.2388, 0.2452, 0.2547, 0.2366, 63032.03, 0.2466, 0.2443, 0.256, 0.2398, 44874.26, 0.2286, 0.2245, 0.3083, 0.222, 497975.16, 0.2351, 0.2421, 0.2505, 0.2302, 111083.22, 0.239, 0.2446, 0.2528, 0.2362, 73880.58, 0.1973 
0.2466, 0.2443, 0.256, 0.2398, 44874.26, 0.2286, 0.2245, 0.3083, 0.222, 497975.16, 0.2351, 0.2421, 0.2505, 0.2302, 111083.22, 0.239, 0.2446, 0.2528, 0.2362, 73880.58, 0.2285, 0.2286, 0.2487, 0.2234, 187992.95, 0.2005 
