@RELATION HistUtility
@ATTRIBUTE open0 NUMERIC
@ATTRIBUTE close0 NUMERIC
@ATTRIBUTE high0 NUMERIC
@ATTRIBUTE low0 NUMERIC
@ATTRIBUTE volumeto0 NUMERIC
@ATTRIBUTE open1 NUMERIC
@ATTRIBUTE close1 NUMERIC
@ATTRIBUTE high1 NUMERIC
@ATTRIBUTE low1 NUMERIC
@ATTRIBUTE volumeto1 NUMERIC
@ATTRIBUTE open2 NUMERIC
@ATTRIBUTE close2 NUMERIC
@ATTRIBUTE high2 NUMERIC
@ATTRIBUTE low2 NUMERIC
@ATTRIBUTE volumeto2 NUMERIC
@ATTRIBUTE open3 NUMERIC
@ATTRIBUTE close3 NUMERIC
@ATTRIBUTE high3 NUMERIC
@ATTRIBUTE low3 NUMERIC
@ATTRIBUTE volumeto3 NUMERIC
@ATTRIBUTE open4 NUMERIC
@ATTRIBUTE close4 NUMERIC
@ATTRIBUTE high4 NUMERIC
@ATTRIBUTE low4 NUMERIC
@ATTRIBUTE volumeto4 NUMERIC
@ATTRIBUTE next_close NUMERIC

@DATA
88.91, 87.75, 92.01, 86.02, 361882.63, 87.75, 78.8, 89.92, 78.26, 841733.3, 78.8, 71.85, 82.39, 70.37, 1459862.43, 71.85, 67.91, 74.1, 64.46, 655119.66, 67.91, 77.94, 81.41, 67.71, 826603.39, 111.48 
87.75, 78.8, 89.92, 78.26, 841733.3, 78.8, 71.85, 82.39, 70.37, 1459862.43, 71.85, 67.91, 74.1, 64.46, 655119.66, 67.91, 77.94, 81.41, 67.71, 826603.39, 77.94, 83.43, 84.06, 75.46, 1116468.8, 109.42 
78.8, 71.85, 82.39, 70.37, 1459862.43, 71.85, 67.91, 74.1, 64.46, 655119.66, 67.91, 77.94, 81.41, 67.71, 826603.39, 77.94, 83.43, 84.06, 75.46, 1116468.8, 83.43, 85.94, 86.52, 78.06, 679656.03, 104.35 
71.85, 67.91, 74.1, 64.46, 655119.66, 67.91, 77.94, 81.41, 67.71, 826603.39, 77.94, 83.43, 84.06, 75.46, 1116468.8, 83.43, 85.94, 86.52, 78.06, 679656.03, 85.94, 87.63, 99.09, 83.71, 1852740.15, 94.47 
67.91, 77.94, 81.41, 67.71, 826603.39, 77.94, 83.43, 84.06, 75.46, 1116468.8, 83.43, 85.94, 86.52, 78.06, 679656.03, 85.94, 87.63, 99.09, 83.71, 1852740.15, 87.63, 113.61, 125.36, 86.27, 6327175.82, 96.88 
77.94, 83.43, 84.06, 75.46, 1116468.8, 83.43, 85.94, 86.52, 78.06, 679656.03, 85.94, 87.63, 99.09, 83.71, 1852740.15, 87.63, 113.61, 125.36, 86.27, 6327175.82, 113.61, 110.56, 133.21, 104.53, 5316928.61, 86.59 
83.43, 85.94, 86.52, 78.06, 679656.03, 85.94, 87.63, 99.09, 83.71, 1852740.15, 87.63, 113.61, 125.36, 86.27, 6327175.82, 113.61, 110.56, 133.21, 104.53, 5316928.61, 110.56, 111.48, 117.28, 104.23, 3879896.7, 95.92 
85.94, 87.63, 99.09, 83.71, 1852740.15, 87.63, 113.61, 125.36, 86.27, 6327175.82, 113.61, 110.56, 133.21, 104.53, 5316928.61, 110.56, 111.48, 117.28, 104.23, 3879896.7, 111.48, 109.42, 117.05, 107.61, 1612429.49, 90.39 
87.63, 113.61, 125.36, 86.27, 6327175.82, 113.61, 110.56, 133.21, 104.53, 5316928.61, 110.56, 111.48, 117.28, 104.23, 3879896.7, 111.48, 109.42, 117.05, 107.61, 1612429.49, 109.42, 104.35, 115.98, 103.04, 2959092.14, 91.49 
113.61, 110.56, 133.21, 104.53, 5316928.61, 110.56, 111.48, 117.28, 104.23, 3879896.7, 111.48, 109.42, 117.05, 107.61, 1612429.49, 109.42, 104.35, 115.98, 103.04, 2959092.14, 104.35, 94.47, 104.36, 91.09, 2228114.58, 86.8 
