@RELATION HistUtility
@ATTRIBUTE open0 NUMERIC
@ATTRIBUTE close0 NUMERIC
@ATTRIBUTE high0 NUMERIC
@ATTRIBUTE low0 NUMERIC
@ATTRIBUTE volumeto0 NUMERIC
@ATTRIBUTE open1 NUMERIC
@ATTRIBUTE close1 NUMERIC
@ATTRIBUTE high1 NUMERIC
@ATTRIBUTE low1 NUMERIC
@ATTRIBUTE volumeto1 NUMERIC
@ATTRIBUTE open2 NUMERIC
@ATTRIBUTE close2 NUMERIC
@ATTRIBUTE high2 NUMERIC
@ATTRIBUTE low2 NUMERIC
@ATTRIBUTE volumeto2 NUMERIC
@ATTRIBUTE open3 NUMERIC
@ATTRIBUTE close3 NUMERIC
@ATTRIBUTE high3 NUMERIC
@ATTRIBUTE low3 NUMERIC
@ATTRIBUTE volumeto3 NUMERIC
@ATTRIBUTE open4 NUMERIC
@ATTRIBUTE close4 NUMERIC
@ATTRIBUTE high4 NUMERIC
@ATTRIBUTE low4 NUMERIC
@ATTRIBUTE volumeto4 NUMERIC
@ATTRIBUTE next_close NUMERIC

@DATA
3401.02, 3485.59, 3545.37, 3380.48, 257293632.74, 3485.59, 3305.11, 3493.76, 3272.81, 286236674.73, 3305.11, 3235.48, 3333.24, 3180.97, 290985461.02, 3235.48, 3232.51, 3271.76, 3169.53, 165378769.6, 3232.51, 3255.37, 3319.83, 3227.4, 148182655.41, 4045.24 
3485.59, 3305.11, 3493.76, 3272.81, 286236674.73, 3305.11, 3235.48, 3333.24, 3180.97, 290985461.02, 3235.48, 3232.51, 3271.76, 3169.53, 165378769.6, 3232.51, 3255.37, 3319.83, 3227.4, 148182655.41, 3255.37, 3548.19, 3639.65, 3239.06, 412454521.38, 4007.63 
3305.11, 3235.48, 3333.24, 3180.97, 290985461.02, 3235.48, 3232.51, 3271.76, 3169.53, 165378769.6, 3232.51, 3255.37, 3319.83, 3227.4, 148182655.41, 3255.37, 3548.19, 3639.65, 3239.06, 412454521.38, 3548.19, 3715.85, 3727.99, 3481.46, 327807644.75, 4081.95 
3235.48, 3232.51, 3271.76, 3169.53, 165378769.6, 3232.51, 3255.37, 3319.83, 3227.4, 148182655.41, 3255.37, 3548.19, 3639.65, 3239.06, 412454521.38, 3548.19, 3715.85, 3727.99, 3481.46, 327807644.75, 3715.85, 3736.54, 3969.7, 3693.57, 620695447.39, 3834.73 
3232.51, 3255.37, 3319.83, 3227.4, 148182655.41, 3255.37, 3548.19, 3639.65, 3239.06, 412454521.38, 3548.19, 3715.85, 3727.99, 3481.46, 327807644.75, 3715.85, 3736.54, 3969.7, 3693.57, 620695447.39, 3736.54, 4137.66, 4225.52, 3712.82, 724855205.51, 3848.78 
3255.37, 3548.19, 3639.65, 3239.06, 412454521.38, 3548.19, 3715.85, 3727.99, 3481.46, 327807644.75, 3715.85, 3736.54, 3969.7, 3693.57, 620695447.39, 3736.54, 4137.66, 4225.52, 3712.82, 724855205.51, 4137.66, 3898.81, 4247.71, 3831.2, 516656937.13, 3646.09 
3548.19, 3715.85, 3727.99, 3481.46, 327807644.75, 3715.85, 3736.54, 3969.7, 3693.57, 620695447.39, 3736.54, 4137.66, 4225.52, 3712.82, 724855205.51, 4137.66, 3898.81, 4247.71, 3831.2, 516656937.13, 3898.81, 4045.24, 4060.34, 3849.23, 250085915.72, 3947.86 
3715.85, 3736.54, 3969.7, 3693.57, 620695447.39, 3736.54, 4137.66, 4225.52, 3712.82, 724855205.51, 4137.66, 3898.81, 4247.71, 3831.2, 516656937.13, 3898.81, 4045.24, 4060.34, 3849.23, 250085915.72, 4045.24, 4007.63, 4117.65, 3972.39, 235997621.23, 3797.06 
3736.54, 4137.66, 4225.52, 3712.82, 724855205.51, 4137.66, 3898.81, 4247.71, 3831.2, 516656937.13, 3898.81, 4045.24, 4060.34, 3849.23, 250085915.72, 4045.24, 4007.63, 4117.65, 3972.39, 235997621.23, 4007.63, 4081.95, 4303.37, 4006.6, 459290147.24, 3896.21 
4137.66, 3898.81, 4247.71, 3831.2, 516656937.13, 3898.81, 4045.24, 4060.34, 3849.23, 250085915.72, 4045.24, 4007.63, 4117.65, 3972.39, 235997621.23, 4007.63, 4081.95, 4303.37, 4006.6, 459290147.24, 4081.95, 3834.73, 4094.61, 3734.85, 367200910.64, 3747.39 
3898.81, 4045.24, 4060.34, 3849.23, 250085915.72, 4045.24, 4007.63, 4117.65, 3972.39, 235997621.23, 4007.63, 4081.95, 4303.37, 4006.6, 459290147.24, 4081.95, 3834.73, 4094.61, 3734.85, 367200910.64, 3834.73, 3848.78, 3923.93, 3746.86, 263439573.84, 3880.15 
4045.24, 4007.63, 4117.65, 3972.39, 235997621.23, 4007.63, 4081.95, 4303.37, 4006.6, 459290147.24, 4081.95, 3834.73, 4094.61, 3734.85, 367200910.64, 3834.73, 3848.78, 3923.93, 3746.86, 263439573.84, 3848.78, 3646.09, 3888.92, 3622.39, 305729129.14, 3961.01 
4007.63, 4081.95, 4303.37, 4006.6, 459290147.24, 4081.95, 3834.73, 4094.61, 3734.85, 367200910.64, 3834.73, 3848.78, 3923.93, 3746.86, 263439573.84, 3848.78, 3646.09, 3888.92, 3622.39, 305729129.14, 3646.09, 3947.86, 4007.71, 3628.43, 353705007.17, 3835.86 
4081.95, 3834.73, 4094.61, 3734.85, 367200910.64, 3834.73, 3848.78, 3923.93, 3746.86, 263439573.84, 3848.78, 3646.09, 3888.92, 3622.39, 305729129.14, 3646.09, 3947.86, 4007.71, 3628.43, 353705007.17, 3947.86, 3797.06, 4004.14, 3774.38, 214891355.42, 3874.06 
3834.73, 3848.78, 3923.93, 3746.86, 263439573.84, 3848.78, 3646.09, 3888.92, 3622.39, 305729129.14, 3646.09, 3947.86, 4007.71, 3628.43, 353705007.17, 3947.86, 3797.06, 4004.14, 3774.38, 214891355.42, 3797.06, 3896.21, 3925.18, 3760.8, 191958416.81, 3855.39 
3848.78, 3646.09, 3888.92, 3622.39, 305729129.14, 3646.09, 3947.86, 4007.71, 3628.43, 353705007.17, 3947.86, 3797.06, 4004.14, 3774.38, 214891355.42, 3797.06, 3896.21, 3925.18, 3760.8, 191958416.81, 3896.21, 3747.39, 3904.28, 3701.48, 206190463.74, 4102.85 
3646.09, 3947.86, 4007.71, 3628.43, 353705007.17, 3947.86, 3797.06, 4004.14, 3774.38, 214891355.42, 3797.06, 3896.21, 3925.18, 3760.8, 191958416.81, 3896.21, 3747.39, 3904.28, 3701.48, 206190463.74, 3747.39, 3880.15, 3938.75, 3696.94, 170598307.96, 4050.4 
3947.86, 3797.06, 4004.14, 3774.38, 214891355.42, 3797.06, 3896.21, 3925.18, 3760.8, 191958416.81, 3896.21, 3747.39, 3904.28, 3701.48, 206190463.74, 3747.39, 3880.15, 3938.75, 3696.94, 170598307.96, 3880.15, 3961.01, 3989.59, 3826.29, 210854603.84, 4040.75 
3797.06, 3896.21, 3925.18, 3760.8, 191958416.81, 3896.21, 3747.39, 3904.28, 3701.48, 206190463.74, 3747.39, 3880.15, 3938.75, 3696.94, 170598307.96, 3880.15, 3961.01, 3989.59, 3826.29, 210854603.84, 3961.01, 3835.86, 3965.52, 3778.76, 176488072.06, 4048.34 
3896.21, 3747.39, 3904.28, 3701.48, 206190463.74, 3747.39, 3880.15, 3938.75, 3696.94, 170598307.96, 3880.15, 3961.01, 3989.59, 3826.29, 210854603.84, 3961.01, 3835.86, 3965.52, 3778.76, 176488072.06, 3835.86, 3874.06, 3901.65, 3783.88, 170507611.15, 3668.15 
3747.39, 3880.15, 3938.75, 3696.94, 170598307.96, 3880.15, 3961.01, 3989.59, 3826.29, 210854603.84, 3961.01, 3835.86, 3965.52, 3778.76, 176488072.06, 3835.86, 3874.06, 3901.65, 3783.88, 170507611.15, 3874.06, 3855.39, 3926.92, 3841.13, 139438510.18, 3669.2 
3880.15, 3961.01, 3989.59, 3826.29, 210854603.84, 3961.01, 3835.86, 3965.52, 3778.76, 176488072.06, 3835.86, 3874.06, 3901.65, 3783.88, 170507611.15, 3874.06, 3855.39, 3926.92, 3841.13, 139438510.18, 3855.39, 4102.85, 4145.16, 3829.09, 236298043.75, 3664.38 
3961.01, 3835.86, 3965.52, 3778.76, 176488072.06, 3835.86, 3874.06, 3901.65, 3783.88, 170507611.15, 3874.06, 3855.39, 3926.92, 3841.13, 139438510.18, 3855.39, 4102.85, 4145.16, 3829.09, 236298043.75, 4102.85, 4050.4, 4132.62, 4001.35, 209289368.14, 3551.24 
3835.86, 3874.06, 3901.65, 3783.88, 170507611.15, 3874.06, 3855.39, 3926.92, 3841.13, 139438510.18, 3855.39, 4102.85, 4145.16, 3829.09, 236298043.75, 4102.85, 4050.4, 4132.62, 4001.35, 209289368.14, 4050.4, 4040.75, 4156.16, 3990.34, 268091045.44, 3703.9 
3874.06, 3855.39, 3926.92, 3841.13, 139438510.18, 3855.39, 4102.85, 4145.16, 3829.09, 236298043.75, 4102.85, 4050.4, 4132.62, 4001.35, 209289368.14, 4050.4, 4040.75, 4156.16, 3990.34, 268091045.44, 4040.75, 4048.34, 4092.91, 4013, 223639028.92, 3621.24 
3855.39, 4102.85, 4145.16, 3829.09, 236298043.75, 4102.85, 4050.4, 4132.62, 4001.35, 209289368.14, 4050.4, 4040.75, 4156.16, 3990.34, 268091045.44, 4040.75, 4048.34, 4092.91, 4013, 223639028.92, 4048.34, 3668.15, 4085.09, 3631.07, 412522198.13, 3643.99 
4102.85, 4050.4, 4132.62, 4001.35, 209289368.14, 4050.4, 4040.75, 4156.16, 3990.34, 268091045.44, 4040.75, 4048.34, 4092.91, 4013, 223639028.92, 4048.34, 3668.15, 4085.09, 3631.07, 412522198.13, 3668.15, 3669.2, 3729.69, 3616.41, 231465488.1, 3685.3 
4050.4, 4040.75, 4156.16, 3990.34, 268091045.44, 4040.75, 4048.34, 4092.91, 4013, 223639028.92, 4048.34, 3668.15, 4085.09, 3631.07, 412522198.13, 3668.15, 3669.2, 3729.69, 3616.41, 231465488.1, 3669.2, 3664.38, 3692.12, 3611.2, 103912541.38, 3648.05 
4040.75, 4048.34, 4092.91, 4013, 223639028.92, 4048.34, 3668.15, 4085.09, 3631.07, 412522198.13, 3668.15, 3669.2, 3729.69, 3616.41, 231465488.1, 3669.2, 3664.38, 3692.12, 3611.2, 103912541.38, 3664.38, 3551.24, 3675.2, 3528.24, 164125048.97, 3729.78 
