@RELATION HistUtility
@ATTRIBUTE open0 NUMERIC
@ATTRIBUTE close0 NUMERIC
@ATTRIBUTE high0 NUMERIC
@ATTRIBUTE low0 NUMERIC
@ATTRIBUTE volumeto0 NUMERIC
@ATTRIBUTE open1 NUMERIC
@ATTRIBUTE close1 NUMERIC
@ATTRIBUTE high1 NUMERIC
@ATTRIBUTE low1 NUMERIC
@ATTRIBUTE volumeto1 NUMERIC
@ATTRIBUTE open2 NUMERIC
@ATTRIBUTE close2 NUMERIC
@ATTRIBUTE high2 NUMERIC
@ATTRIBUTE low2 NUMERIC
@ATTRIBUTE volumeto2 NUMERIC
@ATTRIBUTE open3 NUMERIC
@ATTRIBUTE close3 NUMERIC
@ATTRIBUTE high3 NUMERIC
@ATTRIBUTE low3 NUMERIC
@ATTRIBUTE volumeto3 NUMERIC
@ATTRIBUTE open4 NUMERIC
@ATTRIBUTE close4 NUMERIC
@ATTRIBUTE high4 NUMERIC
@ATTRIBUTE low4 NUMERIC
@ATTRIBUTE volumeto4 NUMERIC
@ATTRIBUTE next_close NUMERIC

@DATA
27.05, 27.6, 28.09, 26.85, 561441.59, 27.6, 27.18, 27.83, 26.81, 473066.88, 27.18, 26.69, 27.25, 26.29, 351516.75, 26.69, 23.85, 26.69, 23.8, 1169862.72, 23.87, 25.27, 26.14, 23.76, 646090.71, 26.58 
27.6, 27.18, 27.83, 26.81, 473066.88, 27.18, 26.69, 27.25, 26.29, 351516.75, 26.69, 23.85, 26.69, 23.8, 1169862.72, 23.87, 25.27, 26.14, 23.76, 646090.71, 25.27, 25.23, 25.74, 24.67, 196471.34, 26.31 
27.18, 26.69, 27.25, 26.29, 351516.75, 26.69, 23.85, 26.69, 23.8, 1169862.72, 23.87, 25.27, 26.14, 23.76, 646090.71, 25.27, 25.23, 25.74, 24.67, 196471.34, 25.23, 25.06, 25.4, 24.67, 244200.49, 27.03 
26.69, 23.85, 26.69, 23.8, 1169862.72, 23.87, 25.27, 26.14, 23.76, 646090.71, 25.27, 25.23, 25.74, 24.67, 196471.34, 25.23, 25.06, 25.4, 24.67, 244200.49, 25.06, 27.04, 29.27, 24.72, 1062302.45, 26.8 
23.87, 25.27, 26.14, 23.76, 646090.71, 25.27, 25.23, 25.74, 24.67, 196471.34, 25.23, 25.06, 25.4, 24.67, 244200.49, 25.06, 27.04, 29.27, 24.72, 1062302.45, 27.04, 27.3, 27.54, 26.5, 319055.11, 26.56 
25.27, 25.23, 25.74, 24.67, 196471.34, 25.23, 25.06, 25.4, 24.67, 244200.49, 25.06, 27.04, 29.27, 24.72, 1062302.45, 27.04, 27.3, 27.54, 26.5, 319055.11, 27.3, 27.02, 27.4, 26.53, 202848.62, 27.18 
25.23, 25.06, 25.4, 24.67, 244200.49, 25.06, 27.04, 29.27, 24.72, 1062302.45, 27.04, 27.3, 27.54, 26.5, 319055.11, 27.3, 27.02, 27.4, 26.53, 202848.62, 27.02, 26.58, 27.34, 26.22, 247189.84, 27.8 
25.06, 27.04, 29.27, 24.72, 1062302.45, 27.04, 27.3, 27.54, 26.5, 319055.11, 27.3, 27.02, 27.4, 26.53, 202848.62, 27.02, 26.58, 27.34, 26.22, 247189.84, 26.58, 26.31, 26.68, 26.05, 225481.92, 27.51 
27.04, 27.3, 27.54, 26.5, 319055.11, 27.3, 27.02, 27.4, 26.53, 202848.62, 27.02, 26.58, 27.34, 26.22, 247189.84, 26.58, 26.31, 26.68, 26.05, 225481.92, 26.31, 27.03, 27.22, 26.22, 269535.24, 27.18 
27.3, 27.02, 27.4, 26.53, 202848.62, 27.02, 26.58, 27.34, 26.22, 247189.84, 26.58, 26.31, 26.68, 26.05, 225481.92, 26.31, 27.03, 27.22, 26.22, 269535.24, 27.03, 26.8, 27.16, 26.47, 199837.59, 27.29 
27.02, 26.58, 27.34, 26.22, 247189.84, 26.58, 26.31, 26.68, 26.05, 225481.92, 26.31, 27.03, 27.22, 26.22, 269535.24, 27.03, 26.8, 27.16, 26.47, 199837.59, 26.8, 26.56, 26.89, 26.05, 320386.02, 27.16 
26.58, 26.31, 26.68, 26.05, 225481.92, 26.31, 27.03, 27.22, 26.22, 269535.24, 27.03, 26.8, 27.16, 26.47, 199837.59, 26.8, 26.56, 26.89, 26.05, 320386.02, 26.56, 27.18, 27.44, 26.12, 607547.1, 26.55 
26.31, 27.03, 27.22, 26.22, 269535.24, 27.03, 26.8, 27.16, 26.47, 199837.59, 26.8, 26.56, 26.89, 26.05, 320386.02, 26.56, 27.18, 27.44, 26.12, 607547.1, 27.18, 27.8, 28.62, 26.86, 1160615.41, 26.08 
27.03, 26.8, 27.16, 26.47, 199837.59, 26.8, 26.56, 26.89, 26.05, 320386.02, 26.56, 27.18, 27.44, 26.12, 607547.1, 27.18, 27.8, 28.62, 26.86, 1160615.41, 27.8, 27.51, 27.85, 27.22, 469700.96, 26.72 
26.8, 26.56, 26.89, 26.05, 320386.02, 26.56, 27.18, 27.44, 26.12, 607547.1, 27.18, 27.8, 28.62, 26.86, 1160615.41, 27.8, 27.51, 27.85, 27.22, 469700.96, 27.51, 27.18, 27.66, 27.02, 358329.77, 26.81 
26.56, 27.18, 27.44, 26.12, 607547.1, 27.18, 27.8, 28.62, 26.86, 1160615.41, 27.8, 27.51, 27.85, 27.22, 469700.96, 27.51, 27.18, 27.66, 27.02, 358329.77, 27.18, 27.29, 27.4, 27.02, 317617.59, 27.6 
27.18, 27.8, 28.62, 26.86, 1160615.41, 27.8, 27.51, 27.85, 27.22, 469700.96, 27.51, 27.18, 27.66, 27.02, 358329.77, 27.18, 27.29, 27.4, 27.02, 317617.59, 27.29, 27.16, 28.15, 27.16, 521708.23, 27.1 
27.8, 27.51, 27.85, 27.22, 469700.96, 27.51, 27.18, 27.66, 27.02, 358329.77, 27.18, 27.29, 27.4, 27.02, 317617.59, 27.29, 27.16, 28.15, 27.16, 521708.23, 27.16, 26.55, 27.3, 26.41, 472391.89, 29.75 
27.51, 27.18, 27.66, 27.02, 358329.77, 27.18, 27.29, 27.4, 27.02, 317617.59, 27.29, 27.16, 28.15, 27.16, 521708.23, 27.16, 26.55, 27.3, 26.41, 472391.89, 26.55, 26.08, 26.95, 25.84, 321439.09, 30.25 
27.18, 27.29, 27.4, 27.02, 317617.59, 27.29, 27.16, 28.15, 27.16, 521708.23, 27.16, 26.55, 27.3, 26.41, 472391.89, 26.55, 26.08, 26.95, 25.84, 321439.09, 26.08, 26.72, 27.28, 25.8, 715094.56, 32.27 
27.29, 27.16, 28.15, 27.16, 521708.23, 27.16, 26.55, 27.3, 26.41, 472391.89, 26.55, 26.08, 26.95, 25.84, 321439.09, 26.08, 26.72, 27.28, 25.8, 715094.56, 26.72, 26.81, 26.98, 26.31, 296875.22, 31.72 
27.16, 26.55, 27.3, 26.41, 472391.89, 26.55, 26.08, 26.95, 25.84, 321439.09, 26.08, 26.72, 27.28, 25.8, 715094.56, 26.72, 26.81, 26.98, 26.31, 296875.22, 26.81, 27.6, 27.75, 26.67, 381666.06, 30.02 
26.55, 26.08, 26.95, 25.84, 321439.09, 26.08, 26.72, 27.28, 25.8, 715094.56, 26.72, 26.81, 26.98, 26.31, 296875.22, 26.81, 27.6, 27.75, 26.67, 381666.06, 27.6, 27.1, 27.68, 27.05, 220708.22, 29.33 
26.08, 26.72, 27.28, 25.8, 715094.56, 26.72, 26.81, 26.98, 26.31, 296875.22, 26.81, 27.6, 27.75, 26.67, 381666.06, 27.6, 27.1, 27.68, 27.05, 220708.22, 27.1, 29.75, 31.44, 26.92, 2447264.11, 30.1 
26.72, 26.81, 26.98, 26.31, 296875.22, 26.81, 27.6, 27.75, 26.67, 381666.06, 27.6, 27.1, 27.68, 27.05, 220708.22, 27.1, 29.75, 31.44, 26.92, 2447264.11, 29.75, 30.25, 30.74, 29.01, 960423.2, 29.56 
26.81, 27.6, 27.75, 26.67, 381666.06, 27.6, 27.1, 27.68, 27.05, 220708.22, 27.1, 29.75, 31.44, 26.92, 2447264.11, 29.75, 30.25, 30.74, 29.01, 960423.2, 30.25, 32.27, 32.38, 29.49, 1763532.58, 28.88 
27.6, 27.1, 27.68, 27.05, 220708.22, 27.1, 29.75, 31.44, 26.92, 2447264.11, 29.75, 30.25, 30.74, 29.01, 960423.2, 30.25, 32.27, 32.38, 29.49, 1763532.58, 32.27, 31.72, 32.91, 31.17, 873939.62, 28.4 
27.1, 29.75, 31.44, 26.92, 2447264.11, 29.75, 30.25, 30.74, 29.01, 960423.2, 30.25, 32.27, 32.38, 29.49, 1763532.58, 32.27, 31.72, 32.91, 31.17, 873939.62, 31.72, 30.02, 31.95, 30.02, 586450.6, 26.69 
