@RELATION HistUtility
@ATTRIBUTE open0 NUMERIC
@ATTRIBUTE close0 NUMERIC
@ATTRIBUTE high0 NUMERIC
@ATTRIBUTE low0 NUMERIC
@ATTRIBUTE volumeto0 NUMERIC
@ATTRIBUTE open1 NUMERIC
@ATTRIBUTE close1 NUMERIC
@ATTRIBUTE high1 NUMERIC
@ATTRIBUTE low1 NUMERIC
@ATTRIBUTE volumeto1 NUMERIC
@ATTRIBUTE open2 NUMERIC
@ATTRIBUTE close2 NUMERIC
@ATTRIBUTE high2 NUMERIC
@ATTRIBUTE low2 NUMERIC
@ATTRIBUTE volumeto2 NUMERIC
@ATTRIBUTE open3 NUMERIC
@ATTRIBUTE close3 NUMERIC
@ATTRIBUTE high3 NUMERIC
@ATTRIBUTE low3 NUMERIC
@ATTRIBUTE volumeto3 NUMERIC
@ATTRIBUTE open4 NUMERIC
@ATTRIBUTE close4 NUMERIC
@ATTRIBUTE high4 NUMERIC
@ATTRIBUTE low4 NUMERIC
@ATTRIBUTE volumeto4 NUMERIC
@ATTRIBUTE next_close NUMERIC

@DATA
0.07086, 0.07297, 0.07481, 0.07031, 158646.5, 0.06964, 0.07075, 0.07419, 0.06757, 185904.92, 0.06871, 0.06832, 0.07045, 0.06769, 179922.09, 0.06862, 0.06914, 0.07021, 0.06762, 142786.18, 0.07006, 0.07096, 0.07157, 0.06859, 154426.04, 0.09496 
0.06964, 0.07075, 0.07419, 0.06757, 185904.92, 0.06871, 0.06832, 0.07045, 0.06769, 179922.09, 0.06862, 0.06914, 0.07021, 0.06762, 142786.18, 0.07006, 0.07096, 0.07157, 0.06859, 154426.04, 0.07931, 0.07807, 0.07991, 0.075, 233923.75, 0.09612 
0.06871, 0.06832, 0.07045, 0.06769, 179922.09, 0.06862, 0.06914, 0.07021, 0.06762, 142786.18, 0.07006, 0.07096, 0.07157, 0.06859, 154426.04, 0.07931, 0.07807, 0.07991, 0.075, 233923.75, 0.0838, 0.08094, 0.08618, 0.08044, 225905.02, 0.09426 
0.06862, 0.06914, 0.07021, 0.06762, 142786.18, 0.07006, 0.07096, 0.07157, 0.06859, 154426.04, 0.07931, 0.07807, 0.07991, 0.075, 233923.75, 0.0838, 0.08094, 0.08618, 0.08044, 225905.02, 0.07951, 0.07947, 0.08476, 0.0767, 235486.98, 0.08306 
0.07006, 0.07096, 0.07157, 0.06859, 154426.04, 0.07931, 0.07807, 0.07991, 0.075, 233923.75, 0.0838, 0.08094, 0.08618, 0.08044, 225905.02, 0.07951, 0.07947, 0.08476, 0.0767, 235486.98, 0.09194, 0.08424, 0.09197, 0.08306, 226488.12, 0.08323 
0.07931, 0.07807, 0.07991, 0.075, 233923.75, 0.0838, 0.08094, 0.08618, 0.08044, 225905.02, 0.07951, 0.07947, 0.08476, 0.0767, 235486.98, 0.09194, 0.08424, 0.09197, 0.08306, 226488.12, 0.07918, 0.08972, 0.0946, 0.0786, 350900.36, 0.08064 
0.0838, 0.08094, 0.08618, 0.08044, 225905.02, 0.07951, 0.07947, 0.08476, 0.0767, 235486.98, 0.09194, 0.08424, 0.09197, 0.08306, 226488.12, 0.07918, 0.08972, 0.0946, 0.0786, 350900.36, 0.09703, 0.09496, 0.1001, 0.09391, 256039.48, 0.08363 
0.07951, 0.07947, 0.08476, 0.0767, 235486.98, 0.09194, 0.08424, 0.09197, 0.08306, 226488.12, 0.07918, 0.08972, 0.0946, 0.0786, 350900.36, 0.09703, 0.09496, 0.1001, 0.09391, 256039.48, 0.1056, 0.09612, 0.1056, 0.09503, 275564.08, 0.08184 
0.09194, 0.08424, 0.09197, 0.08306, 226488.12, 0.07918, 0.08972, 0.0946, 0.0786, 350900.36, 0.09703, 0.09496, 0.1001, 0.09391, 256039.48, 0.1056, 0.09612, 0.1056, 0.09503, 275564.08, 0.1029, 0.09426, 0.1032, 0.09131, 305967.65, 0.08153 
0.07918, 0.08972, 0.0946, 0.0786, 350900.36, 0.09703, 0.09496, 0.1001, 0.09391, 256039.48, 0.1056, 0.09612, 0.1056, 0.09503, 275564.08, 0.1029, 0.09426, 0.1032, 0.09131, 305967.65, 0.08765, 0.08306, 0.08953, 0.08051, 216300.2, 0.07808 
