@RELATION HistUtility
@ATTRIBUTE open0 NUMERIC
@ATTRIBUTE close0 NUMERIC
@ATTRIBUTE high0 NUMERIC
@ATTRIBUTE low0 NUMERIC
@ATTRIBUTE volumeto0 NUMERIC
@ATTRIBUTE open1 NUMERIC
@ATTRIBUTE close1 NUMERIC
@ATTRIBUTE high1 NUMERIC
@ATTRIBUTE low1 NUMERIC
@ATTRIBUTE volumeto1 NUMERIC
@ATTRIBUTE open2 NUMERIC
@ATTRIBUTE close2 NUMERIC
@ATTRIBUTE high2 NUMERIC
@ATTRIBUTE low2 NUMERIC
@ATTRIBUTE volumeto2 NUMERIC
@ATTRIBUTE open3 NUMERIC
@ATTRIBUTE close3 NUMERIC
@ATTRIBUTE high3 NUMERIC
@ATTRIBUTE low3 NUMERIC
@ATTRIBUTE volumeto3 NUMERIC
@ATTRIBUTE open4 NUMERIC
@ATTRIBUTE close4 NUMERIC
@ATTRIBUTE high4 NUMERIC
@ATTRIBUTE low4 NUMERIC
@ATTRIBUTE volumeto4 NUMERIC
@ATTRIBUTE next_close NUMERIC

@DATA
0.03674, 0.03775, 0.03817, 0.03663, 530460.94, 0.03579, 0.03579, 0.03669, 0.03556, 357458.15, 0.03504, 0.03514, 0.03582, 0.03491, 508508.54, 0.03511, 0.03559, 0.03572, 0.03494, 296573.05, 0.03584, 0.03613, 0.03688, 0.03558, 381053.99, 0.04336 
0.03579, 0.03579, 0.03669, 0.03556, 357458.15, 0.03504, 0.03514, 0.03582, 0.03491, 508508.54, 0.03511, 0.03559, 0.03572, 0.03494, 296573.05, 0.03584, 0.03613, 0.03688, 0.03558, 381053.99, 0.03938, 0.03868, 0.04002, 0.03825, 8337452.29, 0.04408 
0.03504, 0.03514, 0.03582, 0.03491, 508508.54, 0.03511, 0.03559, 0.03572, 0.03494, 296573.05, 0.03584, 0.03613, 0.03688, 0.03558, 381053.99, 0.03938, 0.03868, 0.04002, 0.03825, 8337452.29, 0.0405, 0.03969, 0.04169, 0.03905, 3018744.04, 0.04609 
0.03511, 0.03559, 0.03572, 0.03494, 296573.05, 0.03584, 0.03613, 0.03688, 0.03558, 381053.99, 0.03938, 0.03868, 0.04002, 0.03825, 8337452.29, 0.0405, 0.03969, 0.04169, 0.03905, 3018744.04, 0.03991, 0.03897, 0.04099, 0.03867, 1550843.83, 0.04084 
0.03584, 0.03613, 0.03688, 0.03558, 381053.99, 0.03938, 0.03868, 0.04002, 0.03825, 8337452.29, 0.0405, 0.03969, 0.04169, 0.03905, 3018744.04, 0.03991, 0.03897, 0.04099, 0.03867, 1550843.83, 0.04316, 0.042, 0.04382, 0.04092, 1205022.1, 0.03972 
0.03938, 0.03868, 0.04002, 0.03825, 8337452.29, 0.0405, 0.03969, 0.04169, 0.03905, 3018744.04, 0.03991, 0.03897, 0.04099, 0.03867, 1550843.83, 0.04316, 0.042, 0.04382, 0.04092, 1205022.1, 0.03957, 0.04148, 0.04219, 0.03903, 1727358.86, 0.03642 
0.0405, 0.03969, 0.04169, 0.03905, 3018744.04, 0.03991, 0.03897, 0.04099, 0.03867, 1550843.83, 0.04316, 0.042, 0.04382, 0.04092, 1205022.1, 0.03957, 0.04148, 0.04219, 0.03903, 1727358.86, 0.04304, 0.04336, 0.04612, 0.04239, 1558732.74, 0.04003 
0.03991, 0.03897, 0.04099, 0.03867, 1550843.83, 0.04316, 0.042, 0.04382, 0.04092, 1205022.1, 0.03957, 0.04148, 0.04219, 0.03903, 1727358.86, 0.04304, 0.04336, 0.04612, 0.04239, 1558732.74, 0.04296, 0.04408, 0.04557, 0.04292, 1327815.96, 0.03915 
0.04316, 0.042, 0.04382, 0.04092, 1205022.1, 0.03957, 0.04148, 0.04219, 0.03903, 1727358.86, 0.04304, 0.04336, 0.04612, 0.04239, 1558732.74, 0.04296, 0.04408, 0.04557, 0.04292, 1327815.96, 0.0449, 0.04609, 0.04784, 0.04449, 2309124.2, 0.03998 
0.03957, 0.04148, 0.04219, 0.03903, 1727358.86, 0.04304, 0.04336, 0.04612, 0.04239, 1558732.74, 0.04296, 0.04408, 0.04557, 0.04292, 1327815.96, 0.0449, 0.04609, 0.04784, 0.04449, 2309124.2, 0.04329, 0.04084, 0.04329, 0.04, 1653549.36, 0.038 
