@RELATION HistUtility
@ATTRIBUTE open0 NUMERIC
@ATTRIBUTE close0 NUMERIC
@ATTRIBUTE high0 NUMERIC
@ATTRIBUTE low0 NUMERIC
@ATTRIBUTE volumeto0 NUMERIC
@ATTRIBUTE open1 NUMERIC
@ATTRIBUTE close1 NUMERIC
@ATTRIBUTE high1 NUMERIC
@ATTRIBUTE low1 NUMERIC
@ATTRIBUTE volumeto1 NUMERIC
@ATTRIBUTE open2 NUMERIC
@ATTRIBUTE close2 NUMERIC
@ATTRIBUTE high2 NUMERIC
@ATTRIBUTE low2 NUMERIC
@ATTRIBUTE volumeto2 NUMERIC
@ATTRIBUTE open3 NUMERIC
@ATTRIBUTE close3 NUMERIC
@ATTRIBUTE high3 NUMERIC
@ATTRIBUTE low3 NUMERIC
@ATTRIBUTE volumeto3 NUMERIC
@ATTRIBUTE open4 NUMERIC
@ATTRIBUTE close4 NUMERIC
@ATTRIBUTE high4 NUMERIC
@ATTRIBUTE low4 NUMERIC
@ATTRIBUTE volumeto4 NUMERIC
@ATTRIBUTE next_close NUMERIC

@DATA
0.7458, 0.7421, 0.7492, 0.7323, 13003.46, 0.73, 0.7296, 0.7405, 0.7214, 8845.58, 0.7224, 0.7147, 0.7238, 0.699, 15518.84, 0.6023, 0.6213, 0.6226, 0.5961, 25412.45, 0.6398, 0.6426, 0.6506, 0.6298, 12192, 0.652 
0.73, 0.7296, 0.7405, 0.7214, 8845.58, 0.7224, 0.7147, 0.7238, 0.699, 15518.84, 0.6023, 0.6213, 0.6226, 0.5961, 25412.45, 0.6398, 0.6426, 0.6506, 0.6298, 12192, 0.6534, 0.6618, 0.6628, 0.6514, 10976.63, 0.6372 
0.7224, 0.7147, 0.7238, 0.699, 15518.84, 0.6023, 0.6213, 0.6226, 0.5961, 25412.45, 0.6398, 0.6426, 0.6506, 0.6298, 12192, 0.6534, 0.6618, 0.6628, 0.6514, 10976.63, 0.6439, 0.6394, 0.6474, 0.6339, 8469.46, 0.6622 
0.6023, 0.6213, 0.6226, 0.5961, 25412.45, 0.6398, 0.6426, 0.6506, 0.6298, 12192, 0.6534, 0.6618, 0.6628, 0.6514, 10976.63, 0.6439, 0.6394, 0.6474, 0.6339, 8469.46, 0.6887, 0.6682, 0.6999, 0.6619, 27985.57, 0.6401 
0.6398, 0.6426, 0.6506, 0.6298, 12192, 0.6534, 0.6618, 0.6628, 0.6514, 10976.63, 0.6439, 0.6394, 0.6474, 0.6339, 8469.46, 0.6887, 0.6682, 0.6999, 0.6619, 27985.57, 0.6651, 0.6727, 0.678, 0.6277, 9675.65, 0.6362 
0.6534, 0.6618, 0.6628, 0.6514, 10976.63, 0.6439, 0.6394, 0.6474, 0.6339, 8469.46, 0.6887, 0.6682, 0.6999, 0.6619, 27985.57, 0.6651, 0.6727, 0.678, 0.6277, 9675.65, 0.6643, 0.6726, 0.6726, 0.6029, 9028.73, 0.6529 
0.6439, 0.6394, 0.6474, 0.6339, 8469.46, 0.6887, 0.6682, 0.6999, 0.6619, 27985.57, 0.6651, 0.6727, 0.678, 0.6277, 9675.65, 0.6643, 0.6726, 0.6726, 0.6029, 9028.73, 0.6561, 0.652, 0.6561, 0.5745, 16151.06, 0.6713 
0.6887, 0.6682, 0.6999, 0.6619, 27985.57, 0.6651, 0.6727, 0.678, 0.6277, 9675.65, 0.6643, 0.6726, 0.6726, 0.6029, 9028.73, 0.6561, 0.652, 0.6561, 0.5745, 16151.06, 0.6532, 0.6372, 0.6573, 0.637, 4278.53, 0.654 
0.6651, 0.6727, 0.678, 0.6277, 9675.65, 0.6643, 0.6726, 0.6726, 0.6029, 9028.73, 0.6561, 0.652, 0.6561, 0.5745, 16151.06, 0.6532, 0.6372, 0.6573, 0.637, 4278.53, 0.6442, 0.6622, 0.6645, 0.6409, 8139.29, 0.6508 
0.6643, 0.6726, 0.6726, 0.6029, 9028.73, 0.6561, 0.652, 0.6561, 0.5745, 16151.06, 0.6532, 0.6372, 0.6573, 0.637, 4278.53, 0.6442, 0.6622, 0.6645, 0.6409, 8139.29, 0.6612, 0.6401, 0.6635, 0.6399, 8105.42, 0.6341 
0.6561, 0.652, 0.6561, 0.5745, 16151.06, 0.6532, 0.6372, 0.6573, 0.637, 4278.53, 0.6442, 0.6622, 0.6645, 0.6409, 8139.29, 0.6612, 0.6401, 0.6635, 0.6399, 8105.42, 0.6369, 0.6362, 0.6401, 0.6362, 6823.47, 0.6372 
0.6532, 0.6372, 0.6573, 0.637, 4278.53, 0.6442, 0.6622, 0.6645, 0.6409, 8139.29, 0.6612, 0.6401, 0.6635, 0.6399, 8105.42, 0.6369, 0.6362, 0.6401, 0.6362, 6823.47, 0.6366, 0.6529, 0.6738, 0.6195, 16119.32, 0.6404 
0.6442, 0.6622, 0.6645, 0.6409, 8139.29, 0.6612, 0.6401, 0.6635, 0.6399, 8105.42, 0.6369, 0.6362, 0.6401, 0.6362, 6823.47, 0.6366, 0.6529, 0.6738, 0.6195, 16119.32, 0.6504, 0.6713, 0.6713, 0.6441, 5288.53, 0.6131 
0.6612, 0.6401, 0.6635, 0.6399, 8105.42, 0.6369, 0.6362, 0.6401, 0.6362, 6823.47, 0.6366, 0.6529, 0.6738, 0.6195, 16119.32, 0.6504, 0.6713, 0.6713, 0.6441, 5288.53, 0.6657, 0.654, 0.6657, 0.6419, 19178.1, 0.6189 
0.6369, 0.6362, 0.6401, 0.6362, 6823.47, 0.6366, 0.6529, 0.6738, 0.6195, 16119.32, 0.6504, 0.6713, 0.6713, 0.6441, 5288.53, 0.6657, 0.654, 0.6657, 0.6419, 19178.1, 0.661, 0.6508, 0.6711, 0.6508, 1208.46, 0.6445 
0.6366, 0.6529, 0.6738, 0.6195, 16119.32, 0.6504, 0.6713, 0.6713, 0.6441, 5288.53, 0.6657, 0.654, 0.6657, 0.6419, 19178.1, 0.661, 0.6508, 0.6711, 0.6508, 1208.46, 0.6489, 0.6341, 0.6692, 0.6341, 4230.06, 0.6199 
0.6504, 0.6713, 0.6713, 0.6441, 5288.53, 0.6657, 0.654, 0.6657, 0.6419, 19178.1, 0.661, 0.6508, 0.6711, 0.6508, 1208.46, 0.6489, 0.6341, 0.6692, 0.6341, 4230.06, 0.637, 0.6372, 0.6721, 0.6368, 2748.72, 0.6521 
0.6657, 0.654, 0.6657, 0.6419, 19178.1, 0.661, 0.6508, 0.6711, 0.6508, 1208.46, 0.6489, 0.6341, 0.6692, 0.6341, 4230.06, 0.637, 0.6372, 0.6721, 0.6368, 2748.72, 0.6121, 0.6404, 0.6404, 0.6121, 512.2, 0.6721 
0.661, 0.6508, 0.6711, 0.6508, 1208.46, 0.6489, 0.6341, 0.6692, 0.6341, 4230.06, 0.637, 0.6372, 0.6721, 0.6368, 2748.72, 0.6121, 0.6404, 0.6404, 0.6121, 512.2, 0.6421, 0.6131, 0.6423, 0.6131, 3324.75, 0.6687 
0.6489, 0.6341, 0.6692, 0.6341, 4230.06, 0.637, 0.6372, 0.6721, 0.6368, 2748.72, 0.6121, 0.6404, 0.6404, 0.6121, 512.2, 0.6421, 0.6131, 0.6423, 0.6131, 3324.75, 0.6183, 0.6189, 0.6381, 0.6183, 2271.09, 0.6852 
0.637, 0.6372, 0.6721, 0.6368, 2748.72, 0.6121, 0.6404, 0.6404, 0.6121, 512.2, 0.6421, 0.6131, 0.6423, 0.6131, 3324.75, 0.6183, 0.6189, 0.6381, 0.6183, 2271.09, 0.6216, 0.6445, 0.6445, 0.6073, 6648.18, 0.6566 
