@RELATION HistUtility
@ATTRIBUTE open0 NUMERIC
@ATTRIBUTE close0 NUMERIC
@ATTRIBUTE high0 NUMERIC
@ATTRIBUTE low0 NUMERIC
@ATTRIBUTE volumeto0 NUMERIC
@ATTRIBUTE open1 NUMERIC
@ATTRIBUTE close1 NUMERIC
@ATTRIBUTE high1 NUMERIC
@ATTRIBUTE low1 NUMERIC
@ATTRIBUTE volumeto1 NUMERIC
@ATTRIBUTE open2 NUMERIC
@ATTRIBUTE close2 NUMERIC
@ATTRIBUTE high2 NUMERIC
@ATTRIBUTE low2 NUMERIC
@ATTRIBUTE volumeto2 NUMERIC
@ATTRIBUTE open3 NUMERIC
@ATTRIBUTE close3 NUMERIC
@ATTRIBUTE high3 NUMERIC
@ATTRIBUTE low3 NUMERIC
@ATTRIBUTE volumeto3 NUMERIC
@ATTRIBUTE open4 NUMERIC
@ATTRIBUTE close4 NUMERIC
@ATTRIBUTE high4 NUMERIC
@ATTRIBUTE low4 NUMERIC
@ATTRIBUTE volumeto4 NUMERIC
@ATTRIBUTE next_close NUMERIC

@DATA
1.62, 1.46, 1.69, 1.46, 118321.73, 1.44, 1.47, 1.83, 1.44, 111520.98, 1.46, 1.52, 1.58, 1.37, 130838.23, 1.54, 1.44, 1.61, 1.38, 131364.63, 1.43, 1.88, 1.93, 1.39, 140598.21, 1.64 
1.44, 1.47, 1.83, 1.44, 111520.98, 1.46, 1.52, 1.58, 1.37, 130838.23, 1.54, 1.44, 1.61, 1.38, 131364.63, 1.43, 1.88, 1.93, 1.39, 140598.21, 1.87, 1.93, 1.94, 1.68, 6341.88, 1.59 
1.46, 1.52, 1.58, 1.37, 130838.23, 1.54, 1.44, 1.61, 1.38, 131364.63, 1.43, 1.88, 1.93, 1.39, 140598.21, 1.87, 1.93, 1.94, 1.68, 6341.88, 1.94, 1.91, 1.95, 1.88, 1980.84, 1.32 
1.54, 1.44, 1.61, 1.38, 131364.63, 1.43, 1.88, 1.93, 1.39, 140598.21, 1.87, 1.93, 1.94, 1.68, 6341.88, 1.94, 1.91, 1.95, 1.88, 1980.84, 1.92, 1.88, 1.97, 1.74, 2081.86, 1.58 
1.43, 1.88, 1.93, 1.39, 140598.21, 1.87, 1.93, 1.94, 1.68, 6341.88, 1.94, 1.91, 1.95, 1.88, 1980.84, 1.92, 1.88, 1.97, 1.74, 2081.86, 1.88, 1.77, 1.89, 1.67, 10806.38, 1.48 
1.87, 1.93, 1.94, 1.68, 6341.88, 1.94, 1.91, 1.95, 1.88, 1980.84, 1.92, 1.88, 1.97, 1.74, 2081.86, 1.88, 1.77, 1.89, 1.67, 10806.38, 1.76, 1.71, 1.8, 1.66, 8162.09, 1.65 
1.94, 1.91, 1.95, 1.88, 1980.84, 1.92, 1.88, 1.97, 1.74, 2081.86, 1.88, 1.77, 1.89, 1.67, 10806.38, 1.76, 1.71, 1.8, 1.66, 8162.09, 1.62, 1.64, 1.69, 1.54, 11557.01, 1.54 
1.92, 1.88, 1.97, 1.74, 2081.86, 1.88, 1.77, 1.89, 1.67, 10806.38, 1.76, 1.71, 1.8, 1.66, 8162.09, 1.62, 1.64, 1.69, 1.54, 11557.01, 1.65, 1.59, 1.65, 1.39, 4015.5, 1.62 
1.88, 1.77, 1.89, 1.67, 10806.38, 1.76, 1.71, 1.8, 1.66, 8162.09, 1.62, 1.64, 1.69, 1.54, 11557.01, 1.65, 1.59, 1.65, 1.39, 4015.5, 1.59, 1.32, 1.62, 1.32, 6812.04, 1.58 
1.76, 1.71, 1.8, 1.66, 8162.09, 1.62, 1.64, 1.69, 1.54, 11557.01, 1.65, 1.59, 1.65, 1.39, 4015.5, 1.59, 1.32, 1.62, 1.32, 6812.04, 1.32, 1.58, 1.63, 1.28, 6947.69, 1.49 
1.62, 1.64, 1.69, 1.54, 11557.01, 1.65, 1.59, 1.65, 1.39, 4015.5, 1.59, 1.32, 1.62, 1.32, 6812.04, 1.32, 1.58, 1.63, 1.28, 6947.69, 1.66, 1.48, 1.68, 1.39, 4551.89, 1.65 
1.65, 1.59, 1.65, 1.39, 4015.5, 1.59, 1.32, 1.62, 1.32, 6812.04, 1.32, 1.58, 1.63, 1.28, 6947.69, 1.66, 1.48, 1.68, 1.39, 4551.89, 1.43, 1.65, 1.7, 1.39, 2899.99, 1.61 
1.59, 1.32, 1.62, 1.32, 6812.04, 1.32, 1.58, 1.63, 1.28, 6947.69, 1.66, 1.48, 1.68, 1.39, 4551.89, 1.43, 1.65, 1.7, 1.39, 2899.99, 1.65, 1.54, 1.69, 1.35, 2326.86, 1.59 
1.32, 1.58, 1.63, 1.28, 6947.69, 1.66, 1.48, 1.68, 1.39, 4551.89, 1.43, 1.65, 1.7, 1.39, 2899.99, 1.65, 1.54, 1.69, 1.35, 2326.86, 1.52, 1.62, 1.71, 1.32, 4972.17, 1.64 
1.66, 1.48, 1.68, 1.39, 4551.89, 1.43, 1.65, 1.7, 1.39, 2899.99, 1.65, 1.54, 1.69, 1.35, 2326.86, 1.52, 1.62, 1.71, 1.32, 4972.17, 1.34, 1.58, 1.71, 1.33, 23288.13, 1.66 
1.43, 1.65, 1.7, 1.39, 2899.99, 1.65, 1.54, 1.69, 1.35, 2326.86, 1.52, 1.62, 1.71, 1.32, 4972.17, 1.34, 1.58, 1.71, 1.33, 23288.13, 1.58, 1.49, 1.63, 1.35, 7097.45, 1.61 
1.65, 1.54, 1.69, 1.35, 2326.86, 1.52, 1.62, 1.71, 1.32, 4972.17, 1.34, 1.58, 1.71, 1.33, 23288.13, 1.58, 1.49, 1.63, 1.35, 7097.45, 1.5, 1.65, 1.67, 1.41, 8496.54, 1.67 
1.52, 1.62, 1.71, 1.32, 4972.17, 1.34, 1.58, 1.71, 1.33, 23288.13, 1.58, 1.49, 1.63, 1.35, 7097.45, 1.5, 1.65, 1.67, 1.41, 8496.54, 1.64, 1.61, 1.64, 1.36, 6351.8, 1.68 
1.34, 1.58, 1.71, 1.33, 23288.13, 1.58, 1.49, 1.63, 1.35, 7097.45, 1.5, 1.65, 1.67, 1.41, 8496.54, 1.64, 1.61, 1.64, 1.36, 6351.8, 1.6, 1.59, 1.62, 1.54, 2310.14, 1.59 
1.58, 1.49, 1.63, 1.35, 7097.45, 1.5, 1.65, 1.67, 1.41, 8496.54, 1.64, 1.61, 1.64, 1.36, 6351.8, 1.6, 1.59, 1.62, 1.54, 2310.14, 1.59, 1.64, 1.94, 1.56, 12805.76, 1.66 
1.5, 1.65, 1.67, 1.41, 8496.54, 1.64, 1.61, 1.64, 1.36, 6351.8, 1.6, 1.59, 1.62, 1.54, 2310.14, 1.59, 1.64, 1.94, 1.56, 12805.76, 1.64, 1.66, 1.72, 1.58, 18704.71, 1.63 
1.64, 1.61, 1.64, 1.36, 6351.8, 1.6, 1.59, 1.62, 1.54, 2310.14, 1.59, 1.64, 1.94, 1.56, 12805.76, 1.64, 1.66, 1.72, 1.58, 18704.71, 1.65, 1.61, 1.7, 1.54, 8797.86, 1.66 
1.6, 1.59, 1.62, 1.54, 2310.14, 1.59, 1.64, 1.94, 1.56, 12805.76, 1.64, 1.66, 1.72, 1.58, 18704.71, 1.65, 1.61, 1.7, 1.54, 8797.86, 1.62, 1.67, 1.7, 1.61, 8978.64, 1.72 
1.59, 1.64, 1.94, 1.56, 12805.76, 1.64, 1.66, 1.72, 1.58, 18704.71, 1.65, 1.61, 1.7, 1.54, 8797.86, 1.62, 1.67, 1.7, 1.61, 8978.64, 1.67, 1.68, 1.7, 1.61, 4977.1, 1.66 
1.64, 1.66, 1.72, 1.58, 18704.71, 1.65, 1.61, 1.7, 1.54, 8797.86, 1.62, 1.67, 1.7, 1.61, 8978.64, 1.67, 1.68, 1.7, 1.61, 4977.1, 1.64, 1.59, 1.71, 1.41, 22633, 1.76 
1.65, 1.61, 1.7, 1.54, 8797.86, 1.62, 1.67, 1.7, 1.61, 8978.64, 1.67, 1.68, 1.7, 1.61, 4977.1, 1.64, 1.59, 1.71, 1.41, 22633, 1.59, 1.66, 1.7, 1.58, 7677.33, 1.76 
1.62, 1.67, 1.7, 1.61, 8978.64, 1.67, 1.68, 1.7, 1.61, 4977.1, 1.64, 1.59, 1.71, 1.41, 22633, 1.59, 1.66, 1.7, 1.58, 7677.33, 1.67, 1.63, 1.69, 1.62, 10167.86, 1.77 
1.67, 1.68, 1.7, 1.61, 4977.1, 1.64, 1.59, 1.71, 1.41, 22633, 1.59, 1.66, 1.7, 1.58, 7677.33, 1.67, 1.63, 1.69, 1.62, 10167.86, 1.64, 1.66, 1.7, 1.6, 14844.17, 1.7 
1.64, 1.59, 1.71, 1.41, 22633, 1.59, 1.66, 1.7, 1.58, 7677.33, 1.67, 1.63, 1.69, 1.62, 10167.86, 1.64, 1.66, 1.7, 1.6, 14844.17, 1.67, 1.72, 1.72, 1.66, 5307.73, 1.72 
1.59, 1.66, 1.7, 1.58, 7677.33, 1.67, 1.63, 1.69, 1.62, 10167.86, 1.64, 1.66, 1.7, 1.6, 14844.17, 1.67, 1.72, 1.72, 1.66, 5307.73, 1.72, 1.66, 1.75, 1.66, 9829.54, 1.71 
1.67, 1.63, 1.69, 1.62, 10167.86, 1.64, 1.66, 1.7, 1.6, 14844.17, 1.67, 1.72, 1.72, 1.66, 5307.73, 1.72, 1.66, 1.75, 1.66, 9829.54, 1.69, 1.76, 1.78, 1.68, 9776.59, 1.74 
1.64, 1.66, 1.7, 1.6, 14844.17, 1.67, 1.72, 1.72, 1.66, 5307.73, 1.72, 1.66, 1.75, 1.66, 9829.54, 1.69, 1.76, 1.78, 1.68, 9776.59, 1.75, 1.76, 1.83, 1.73, 13275.5, 1.72 
1.67, 1.72, 1.72, 1.66, 5307.73, 1.72, 1.66, 1.75, 1.66, 9829.54, 1.69, 1.76, 1.78, 1.68, 9776.59, 1.75, 1.76, 1.83, 1.73, 13275.5, 1.78, 1.77, 1.81, 1.72, 7730.32, 1.69 
