@RELATION HistUtility
@ATTRIBUTE open0 NUMERIC
@ATTRIBUTE close0 NUMERIC
@ATTRIBUTE high0 NUMERIC
@ATTRIBUTE low0 NUMERIC
@ATTRIBUTE volumeto0 NUMERIC
@ATTRIBUTE open1 NUMERIC
@ATTRIBUTE close1 NUMERIC
@ATTRIBUTE high1 NUMERIC
@ATTRIBUTE low1 NUMERIC
@ATTRIBUTE volumeto1 NUMERIC
@ATTRIBUTE open2 NUMERIC
@ATTRIBUTE close2 NUMERIC
@ATTRIBUTE high2 NUMERIC
@ATTRIBUTE low2 NUMERIC
@ATTRIBUTE volumeto2 NUMERIC
@ATTRIBUTE open3 NUMERIC
@ATTRIBUTE close3 NUMERIC
@ATTRIBUTE high3 NUMERIC
@ATTRIBUTE low3 NUMERIC
@ATTRIBUTE volumeto3 NUMERIC
@ATTRIBUTE open4 NUMERIC
@ATTRIBUTE close4 NUMERIC
@ATTRIBUTE high4 NUMERIC
@ATTRIBUTE low4 NUMERIC
@ATTRIBUTE volumeto4 NUMERIC
@ATTRIBUTE next_close NUMERIC

@DATA
0.07657, 0.02994, 0.1014, 0.02987, 311.24, 0.02981, 0.06404, 0.09925, 0.02645, 714.9, 0.06336, 0.02845, 0.06336, 0.02845, 9.76, 0.02831, 0.08784, 0.102, 0.02831, 21418.68, 0.08902, 0.06192, 0.1051, 0.03066, 347.04, 0.05337 
0.02981, 0.06404, 0.09925, 0.02645, 714.9, 0.06336, 0.02845, 0.06336, 0.02845, 9.76, 0.02831, 0.08784, 0.102, 0.02831, 21418.68, 0.08902, 0.06192, 0.1051, 0.03066, 347.04, 0.03423, 0.1069, 0.1162, 0.03423, 51134.54, 0.09817 
0.06336, 0.02845, 0.06336, 0.02845, 9.76, 0.02831, 0.08784, 0.102, 0.02831, 21418.68, 0.08902, 0.06192, 0.1051, 0.03066, 347.04, 0.03423, 0.1069, 0.1162, 0.03423, 51134.54, 0.1062, 0.0775, 0.1155, 0.03486, 1315.77, 0.02863 
0.02831, 0.08784, 0.102, 0.02831, 21418.68, 0.08902, 0.06192, 0.1051, 0.03066, 347.04, 0.03423, 0.1069, 0.1162, 0.03423, 51134.54, 0.1062, 0.0775, 0.1155, 0.03486, 1315.77, 0.07763, 0.03736, 0.07763, 0.03063, 1091.83, 0.02789 
0.08902, 0.06192, 0.1051, 0.03066, 347.04, 0.03423, 0.1069, 0.1162, 0.03423, 51134.54, 0.1062, 0.0775, 0.1155, 0.03486, 1315.77, 0.07763, 0.03736, 0.07763, 0.03063, 1091.83, 0.03764, 0.04489, 0.1315, 0.02773, 5925.64, 0.02819 
0.03423, 0.1069, 0.1162, 0.03423, 51134.54, 0.1062, 0.0775, 0.1155, 0.03486, 1315.77, 0.07763, 0.03736, 0.07763, 0.03063, 1091.83, 0.03764, 0.04489, 0.1315, 0.02773, 5925.64, 0.04476, 0.0321, 0.1333, 0.03157, 246.52, 0.02857 
0.1062, 0.0775, 0.1155, 0.03486, 1315.77, 0.07763, 0.03736, 0.07763, 0.03063, 1091.83, 0.03764, 0.04489, 0.1315, 0.02773, 5925.64, 0.04476, 0.0321, 0.1333, 0.03157, 246.52, 0.1323, 0.05337, 0.1323, 0.03172, 822.58, 0.02824 
0.07763, 0.03736, 0.07763, 0.03063, 1091.83, 0.03764, 0.04489, 0.1315, 0.02773, 5925.64, 0.04476, 0.0321, 0.1333, 0.03157, 246.52, 0.1323, 0.05337, 0.1323, 0.03172, 822.58, 0.05036, 0.09817, 0.1036, 0.04185, 399.22, 0.03945 
0.03764, 0.04489, 0.1315, 0.02773, 5925.64, 0.04476, 0.0321, 0.1333, 0.03157, 246.52, 0.1323, 0.05337, 0.1323, 0.03172, 822.58, 0.05036, 0.09817, 0.1036, 0.04185, 399.22, 0.09883, 0.02863, 0.1017, 0.02863, 37.52, 0.02115 
0.04476, 0.0321, 0.1333, 0.03157, 246.52, 0.1323, 0.05337, 0.1323, 0.03172, 822.58, 0.05036, 0.09817, 0.1036, 0.04185, 399.22, 0.09883, 0.02863, 0.1017, 0.02863, 37.52, 0.0287, 0.02789, 0.0287, 0.02789, 72.86, 0.02536 
0.1323, 0.05337, 0.1323, 0.03172, 822.58, 0.05036, 0.09817, 0.1036, 0.04185, 399.22, 0.09883, 0.02863, 0.1017, 0.02863, 37.52, 0.0287, 0.02789, 0.0287, 0.02789, 72.86, 0.028, 0.02819, 0.02819, 0.028, 7.03, 0.07763 
0.05036, 0.09817, 0.1036, 0.04185, 399.22, 0.09883, 0.02863, 0.1017, 0.02863, 37.52, 0.0287, 0.02789, 0.0287, 0.02789, 72.86, 0.028, 0.02819, 0.02819, 0.028, 7.03, 0.0328, 0.02857, 0.0328, 0.02857, 211.01, 0.01953 
