@RELATION HistUtility
@ATTRIBUTE open0 NUMERIC
@ATTRIBUTE close0 NUMERIC
@ATTRIBUTE high0 NUMERIC
@ATTRIBUTE low0 NUMERIC
@ATTRIBUTE volumeto0 NUMERIC
@ATTRIBUTE open1 NUMERIC
@ATTRIBUTE close1 NUMERIC
@ATTRIBUTE high1 NUMERIC
@ATTRIBUTE low1 NUMERIC
@ATTRIBUTE volumeto1 NUMERIC
@ATTRIBUTE open2 NUMERIC
@ATTRIBUTE close2 NUMERIC
@ATTRIBUTE high2 NUMERIC
@ATTRIBUTE low2 NUMERIC
@ATTRIBUTE volumeto2 NUMERIC
@ATTRIBUTE open3 NUMERIC
@ATTRIBUTE close3 NUMERIC
@ATTRIBUTE high3 NUMERIC
@ATTRIBUTE low3 NUMERIC
@ATTRIBUTE volumeto3 NUMERIC
@ATTRIBUTE open4 NUMERIC
@ATTRIBUTE close4 NUMERIC
@ATTRIBUTE high4 NUMERIC
@ATTRIBUTE low4 NUMERIC
@ATTRIBUTE volumeto4 NUMERIC
@ATTRIBUTE next_close NUMERIC

@DATA
0.03954, 0.03989, 0.04119, 0.03663, 1770.55, 0.0396, 0.03699, 0.0402, 0.03694, 4517.62, 0.03611, 0.0364, 0.03902, 0.03611, 1206.25, 0.03553, 0.03526, 0.03889, 0.03526, 21302.04, 0.03555, 0.03615, 0.0387, 0.03349, 65853.69, 0.03379 
0.0396, 0.03699, 0.0402, 0.03694, 4517.62, 0.03611, 0.0364, 0.03902, 0.03611, 1206.25, 0.03553, 0.03526, 0.03889, 0.03526, 21302.04, 0.03555, 0.03615, 0.0387, 0.03349, 65853.69, 0.03715, 0.0382, 0.04307, 0.03327, 72049.76, 0.03303 
0.03611, 0.0364, 0.03902, 0.03611, 1206.25, 0.03553, 0.03526, 0.03889, 0.03526, 21302.04, 0.03555, 0.03615, 0.0387, 0.03349, 65853.69, 0.03715, 0.0382, 0.04307, 0.03327, 72049.76, 0.03765, 0.03369, 0.03765, 0.03255, 242.5, 0.03351 
0.03553, 0.03526, 0.03889, 0.03526, 21302.04, 0.03555, 0.03615, 0.0387, 0.03349, 65853.69, 0.03715, 0.0382, 0.04307, 0.03327, 72049.76, 0.03765, 0.03369, 0.03765, 0.03255, 242.5, 0.03385, 0.03294, 0.03385, 0.03272, 333.52, 0.0289 
0.03555, 0.03615, 0.0387, 0.03349, 65853.69, 0.03715, 0.0382, 0.04307, 0.03327, 72049.76, 0.03765, 0.03369, 0.03765, 0.03255, 242.5, 0.03385, 0.03294, 0.03385, 0.03272, 333.52, 0.03348, 0.03371, 0.0344, 0.03348, 135.71, 0.02476 
0.03715, 0.0382, 0.04307, 0.03327, 72049.76, 0.03765, 0.03369, 0.03765, 0.03255, 242.5, 0.03385, 0.03294, 0.03385, 0.03272, 333.52, 0.03348, 0.03371, 0.0344, 0.03348, 135.71, 0.03344, 0.03344, 0.03344, 0.03344, 0, 0.03575 
0.03765, 0.03369, 0.03765, 0.03255, 242.5, 0.03385, 0.03294, 0.03385, 0.03272, 333.52, 0.03348, 0.03371, 0.0344, 0.03348, 135.71, 0.03344, 0.03344, 0.03344, 0.03344, 0, 0.03311, 0.03379, 0.03379, 0.03311, 897.99, 0.03059 
0.03385, 0.03294, 0.03385, 0.03272, 333.52, 0.03348, 0.03371, 0.0344, 0.03348, 135.71, 0.03344, 0.03344, 0.03344, 0.03344, 0, 0.03311, 0.03379, 0.03379, 0.03311, 897.99, 0.02847, 0.03303, 0.03303, 0.02847, 9988.43, 0.02911 
0.03348, 0.03371, 0.0344, 0.03348, 135.71, 0.03344, 0.03344, 0.03344, 0.03344, 0, 0.03311, 0.03379, 0.03379, 0.03311, 897.99, 0.02847, 0.03303, 0.03303, 0.02847, 9988.43, 0.0341, 0.03351, 0.0341, 0.03351, 736.59, 0.0243 
0.03344, 0.03344, 0.03344, 0.03344, 0, 0.03311, 0.03379, 0.03379, 0.03311, 897.99, 0.02847, 0.03303, 0.03303, 0.02847, 9988.43, 0.0341, 0.03351, 0.0341, 0.03351, 736.59, 0.03411, 0.0289, 0.03411, 0.0289, 1434.89, 0.02515 
0.03311, 0.03379, 0.03379, 0.03311, 897.99, 0.02847, 0.03303, 0.03303, 0.02847, 9988.43, 0.0341, 0.03351, 0.0341, 0.03351, 736.59, 0.03411, 0.0289, 0.03411, 0.0289, 1434.89, 0.02825, 0.02476, 0.02866, 0.024, 3535.37, 0.02543 
0.02847, 0.03303, 0.03303, 0.02847, 9988.43, 0.0341, 0.03351, 0.0341, 0.03351, 736.59, 0.03411, 0.0289, 0.03411, 0.0289, 1434.89, 0.02825, 0.02476, 0.02866, 0.024, 3535.37, 0.02677, 0.03575, 0.03575, 0.02677, 1104.19, 0.02539 
0.0341, 0.03351, 0.0341, 0.03351, 736.59, 0.03411, 0.0289, 0.03411, 0.0289, 1434.89, 0.02825, 0.02476, 0.02866, 0.024, 3535.37, 0.02677, 0.03575, 0.03575, 0.02677, 1104.19, 0.03565, 0.03059, 0.03565, 0.02785, 1049.05, 0.02407 
0.03411, 0.0289, 0.03411, 0.0289, 1434.89, 0.02825, 0.02476, 0.02866, 0.024, 3535.37, 0.02677, 0.03575, 0.03575, 0.02677, 1104.19, 0.03565, 0.03059, 0.03565, 0.02785, 1049.05, 0.03021, 0.02911, 0.03299, 0.02911, 30.12, 0.02444 
0.02825, 0.02476, 0.02866, 0.024, 3535.37, 0.02677, 0.03575, 0.03575, 0.02677, 1104.19, 0.03565, 0.03059, 0.03565, 0.02785, 1049.05, 0.03021, 0.02911, 0.03299, 0.02911, 30.12, 0.02839, 0.0243, 0.0324, 0.02227, 11271.96, 0.02435 
0.02677, 0.03575, 0.03575, 0.02677, 1104.19, 0.03565, 0.03059, 0.03565, 0.02785, 1049.05, 0.03021, 0.02911, 0.03299, 0.02911, 30.12, 0.02839, 0.0243, 0.0324, 0.02227, 11271.96, 0.02434, 0.02515, 0.03199, 0.02284, 2713.62, 0.02113 
