@RELATION HistUtility
@ATTRIBUTE open0 NUMERIC
@ATTRIBUTE close0 NUMERIC
@ATTRIBUTE high0 NUMERIC
@ATTRIBUTE low0 NUMERIC
@ATTRIBUTE volumeto0 NUMERIC
@ATTRIBUTE open1 NUMERIC
@ATTRIBUTE close1 NUMERIC
@ATTRIBUTE high1 NUMERIC
@ATTRIBUTE low1 NUMERIC
@ATTRIBUTE volumeto1 NUMERIC
@ATTRIBUTE open2 NUMERIC
@ATTRIBUTE close2 NUMERIC
@ATTRIBUTE high2 NUMERIC
@ATTRIBUTE low2 NUMERIC
@ATTRIBUTE volumeto2 NUMERIC
@ATTRIBUTE open3 NUMERIC
@ATTRIBUTE close3 NUMERIC
@ATTRIBUTE high3 NUMERIC
@ATTRIBUTE low3 NUMERIC
@ATTRIBUTE volumeto3 NUMERIC
@ATTRIBUTE open4 NUMERIC
@ATTRIBUTE close4 NUMERIC
@ATTRIBUTE high4 NUMERIC
@ATTRIBUTE low4 NUMERIC
@ATTRIBUTE volumeto4 NUMERIC
@ATTRIBUTE next_close NUMERIC

@DATA
0.3075, 0.3577, 0.3692, 0.3048, 898396.45, 0.3506, 0.3845, 0.4506, 0.3506, 1841231.13, 0.383, 0.3517, 0.3949, 0.3514, 983897.53, 0.3578, 0.3462, 0.3783, 0.3422, 855780.46, 0.3473, 0.3519, 0.364, 0.3345, 814577.7, 0.275 
0.3506, 0.3845, 0.4506, 0.3506, 1841231.13, 0.383, 0.3517, 0.3949, 0.3514, 983897.53, 0.3578, 0.3462, 0.3783, 0.3422, 855780.46, 0.3473, 0.3519, 0.364, 0.3345, 814577.7, 0.3485, 0.3333, 0.3656, 0.3331, 785958.11, 0.2897 
0.383, 0.3517, 0.3949, 0.3514, 983897.53, 0.3578, 0.3462, 0.3783, 0.3422, 855780.46, 0.3473, 0.3519, 0.364, 0.3345, 814577.7, 0.3485, 0.3333, 0.3656, 0.3331, 785958.11, 0.3338, 0.3338, 0.3586, 0.3257, 748522.36, 0.296 
0.3578, 0.3462, 0.3783, 0.3422, 855780.46, 0.3473, 0.3519, 0.364, 0.3345, 814577.7, 0.3485, 0.3333, 0.3656, 0.3331, 785958.11, 0.3338, 0.3338, 0.3586, 0.3257, 748522.36, 0.336, 0.3427, 0.3497, 0.3271, 598867.68, 0.2907 
0.3473, 0.3519, 0.364, 0.3345, 814577.7, 0.3485, 0.3333, 0.3656, 0.3331, 785958.11, 0.3338, 0.3338, 0.3586, 0.3257, 748522.36, 0.336, 0.3427, 0.3497, 0.3271, 598867.68, 0.3419, 0.338, 0.3434, 0.3358, 537407.21, 0.2998 
0.3485, 0.3333, 0.3656, 0.3331, 785958.11, 0.3338, 0.3338, 0.3586, 0.3257, 748522.36, 0.336, 0.3427, 0.3497, 0.3271, 598867.68, 0.3419, 0.338, 0.3434, 0.3358, 537407.21, 0.3356, 0.3373, 0.3429, 0.3319, 539945.62, 0.3106 
0.3338, 0.3338, 0.3586, 0.3257, 748522.36, 0.336, 0.3427, 0.3497, 0.3271, 598867.68, 0.3419, 0.338, 0.3434, 0.3358, 537407.21, 0.3356, 0.3373, 0.3429, 0.3319, 539945.62, 0.318, 0.275, 0.32, 0.2727, 557120.48, 0.3141 
0.336, 0.3427, 0.3497, 0.3271, 598867.68, 0.3419, 0.338, 0.3434, 0.3358, 537407.21, 0.3356, 0.3373, 0.3429, 0.3319, 539945.62, 0.318, 0.275, 0.32, 0.2727, 557120.48, 0.2759, 0.2897, 0.2979, 0.2718, 444328.79, 0.3029 
0.3419, 0.338, 0.3434, 0.3358, 537407.21, 0.3356, 0.3373, 0.3429, 0.3319, 539945.62, 0.318, 0.275, 0.32, 0.2727, 557120.48, 0.2759, 0.2897, 0.2979, 0.2718, 444328.79, 0.2905, 0.296, 0.2986, 0.29, 360122.23, 0.2971 
0.3356, 0.3373, 0.3429, 0.3319, 539945.62, 0.318, 0.275, 0.32, 0.2727, 557120.48, 0.2759, 0.2897, 0.2979, 0.2718, 444328.79, 0.2905, 0.296, 0.2986, 0.29, 360122.23, 0.2973, 0.2907, 0.3011, 0.2887, 643445.16, 0.336 
