@RELATION HistUtility
@ATTRIBUTE open0 NUMERIC
@ATTRIBUTE close0 NUMERIC
@ATTRIBUTE high0 NUMERIC
@ATTRIBUTE low0 NUMERIC
@ATTRIBUTE volumeto0 NUMERIC
@ATTRIBUTE open1 NUMERIC
@ATTRIBUTE close1 NUMERIC
@ATTRIBUTE high1 NUMERIC
@ATTRIBUTE low1 NUMERIC
@ATTRIBUTE volumeto1 NUMERIC
@ATTRIBUTE open2 NUMERIC
@ATTRIBUTE close2 NUMERIC
@ATTRIBUTE high2 NUMERIC
@ATTRIBUTE low2 NUMERIC
@ATTRIBUTE volumeto2 NUMERIC
@ATTRIBUTE open3 NUMERIC
@ATTRIBUTE close3 NUMERIC
@ATTRIBUTE high3 NUMERIC
@ATTRIBUTE low3 NUMERIC
@ATTRIBUTE volumeto3 NUMERIC
@ATTRIBUTE open4 NUMERIC
@ATTRIBUTE close4 NUMERIC
@ATTRIBUTE high4 NUMERIC
@ATTRIBUTE low4 NUMERIC
@ATTRIBUTE volumeto4 NUMERIC
@ATTRIBUTE next_close NUMERIC

@DATA
0.05476, 0.05458, 0.05542, 0.05417, 522284.57, 0.05176, 0.05011, 0.05265, 0.04994, 363954.64, 0.04905, 0.04746, 0.04947, 0.04737, 324210.4, 0.04742, 0.04736, 0.04926, 0.04713, 272187.03, 0.04769, 0.04851, 0.04938, 0.04759, 221669.26, 0.06031 
0.05176, 0.05011, 0.05265, 0.04994, 363954.64, 0.04905, 0.04746, 0.04947, 0.04737, 324210.4, 0.04742, 0.04736, 0.04926, 0.04713, 272187.03, 0.04769, 0.04851, 0.04938, 0.04759, 221669.26, 0.05287, 0.05223, 0.05315, 0.05173, 472777.7, 0.06011 
0.04905, 0.04746, 0.04947, 0.04737, 324210.4, 0.04742, 0.04736, 0.04926, 0.04713, 272187.03, 0.04769, 0.04851, 0.04938, 0.04759, 221669.26, 0.05287, 0.05223, 0.05315, 0.05173, 472777.7, 0.0547, 0.05433, 0.05518, 0.05381, 516664.6, 0.06188 
0.04742, 0.04736, 0.04926, 0.04713, 272187.03, 0.04769, 0.04851, 0.04938, 0.04759, 221669.26, 0.05287, 0.05223, 0.05315, 0.05173, 472777.7, 0.0547, 0.05433, 0.05518, 0.05381, 516664.6, 0.05463, 0.05444, 0.05691, 0.05396, 751096.44, 0.05622 
0.04769, 0.04851, 0.04938, 0.04759, 221669.26, 0.05287, 0.05223, 0.05315, 0.05173, 472777.7, 0.0547, 0.05433, 0.05518, 0.05381, 516664.6, 0.05463, 0.05444, 0.05691, 0.05396, 751096.44, 0.06029, 0.06169, 0.06273, 0.05983, 732074.56, 0.05658 
0.05287, 0.05223, 0.05315, 0.05173, 472777.7, 0.0547, 0.05433, 0.05518, 0.05381, 516664.6, 0.05463, 0.05444, 0.05691, 0.05396, 751096.44, 0.06029, 0.06169, 0.06273, 0.05983, 732074.56, 0.05813, 0.05809, 0.05895, 0.05603, 1119029.8, 0.05043 
0.0547, 0.05433, 0.05518, 0.05381, 516664.6, 0.05463, 0.05444, 0.05691, 0.05396, 751096.44, 0.06029, 0.06169, 0.06273, 0.05983, 732074.56, 0.05813, 0.05809, 0.05895, 0.05603, 1119029.8, 0.06027, 0.06031, 0.06311, 0.05991, 777618.11, 0.05665 
0.05463, 0.05444, 0.05691, 0.05396, 751096.44, 0.06029, 0.06169, 0.06273, 0.05983, 732074.56, 0.05813, 0.05809, 0.05895, 0.05603, 1119029.8, 0.06027, 0.06031, 0.06311, 0.05991, 777618.11, 0.05975, 0.06011, 0.06056, 0.05951, 488883.35, 0.05392 
0.06029, 0.06169, 0.06273, 0.05983, 732074.56, 0.05813, 0.05809, 0.05895, 0.05603, 1119029.8, 0.06027, 0.06031, 0.06311, 0.05991, 777618.11, 0.05975, 0.06011, 0.06056, 0.05951, 488883.35, 0.06123, 0.06188, 0.06576, 0.06115, 1083331.33, 0.05501 
0.05813, 0.05809, 0.05895, 0.05603, 1119029.8, 0.06027, 0.06031, 0.06311, 0.05991, 777618.11, 0.05975, 0.06011, 0.06056, 0.05951, 488883.35, 0.06123, 0.06188, 0.06576, 0.06115, 1083331.33, 0.05813, 0.05622, 0.06231, 0.0556, 1011570.19, 0.0507 
0.06027, 0.06031, 0.06311, 0.05991, 777618.11, 0.05975, 0.06011, 0.06056, 0.05951, 488883.35, 0.06123, 0.06188, 0.06576, 0.06115, 1083331.33, 0.05813, 0.05622, 0.06231, 0.0556, 1011570.19, 0.05642, 0.05658, 0.05796, 0.0555, 483901.19, 0.0551 
