@RELATION HistUtility
@ATTRIBUTE open0 NUMERIC
@ATTRIBUTE close0 NUMERIC
@ATTRIBUTE high0 NUMERIC
@ATTRIBUTE low0 NUMERIC
@ATTRIBUTE volumeto0 NUMERIC
@ATTRIBUTE open1 NUMERIC
@ATTRIBUTE close1 NUMERIC
@ATTRIBUTE high1 NUMERIC
@ATTRIBUTE low1 NUMERIC
@ATTRIBUTE volumeto1 NUMERIC
@ATTRIBUTE open2 NUMERIC
@ATTRIBUTE close2 NUMERIC
@ATTRIBUTE high2 NUMERIC
@ATTRIBUTE low2 NUMERIC
@ATTRIBUTE volumeto2 NUMERIC
@ATTRIBUTE open3 NUMERIC
@ATTRIBUTE close3 NUMERIC
@ATTRIBUTE high3 NUMERIC
@ATTRIBUTE low3 NUMERIC
@ATTRIBUTE volumeto3 NUMERIC
@ATTRIBUTE open4 NUMERIC
@ATTRIBUTE close4 NUMERIC
@ATTRIBUTE high4 NUMERIC
@ATTRIBUTE low4 NUMERIC
@ATTRIBUTE volumeto4 NUMERIC
@ATTRIBUTE next_close NUMERIC

@DATA
1.01, 0.9981, 1.02, 0.9707, 388827.58, 1.02, 0.9968, 1.02, 0.9836, 305767.08, 1.02, 0.9987, 1.02, 0.976, 525880.54, 0.989, 0.997, 1.02, 0.9847, 419752.6, 0.9733, 1, 1.02, 0.9615, 404807.73, 0.9909 
1.02, 0.9968, 1.02, 0.9836, 305767.08, 1.02, 0.9987, 1.02, 0.976, 525880.54, 0.989, 0.997, 1.02, 0.9847, 419752.6, 0.9733, 1, 1.02, 0.9615, 404807.73, 1.01, 0.9982, 1.02, 0.9902, 259012.49, 0.994 
1.02, 0.9987, 1.02, 0.976, 525880.54, 0.989, 0.997, 1.02, 0.9847, 419752.6, 0.9733, 1, 1.02, 0.9615, 404807.73, 1.01, 0.9982, 1.02, 0.9902, 259012.49, 0.993, 0.9976, 1, 0.9759, 258927.11, 0.9923 
0.989, 0.997, 1.02, 0.9847, 419752.6, 0.9733, 1, 1.02, 0.9615, 404807.73, 1.01, 0.9982, 1.02, 0.9902, 259012.49, 0.993, 0.9976, 1, 0.9759, 258927.11, 0.9814, 0.9974, 1.01, 0.9727, 520462.84, 0.9972 
0.9733, 1, 1.02, 0.9615, 404807.73, 1.01, 0.9982, 1.02, 0.9902, 259012.49, 0.993, 0.9976, 1, 0.9759, 258927.11, 0.9814, 0.9974, 1.01, 0.9727, 520462.84, 1, 0.9964, 1.01, 0.9902, 249123.27, 1.01 
1.01, 0.9982, 1.02, 0.9902, 259012.49, 0.993, 0.9976, 1, 0.9759, 258927.11, 0.9814, 0.9974, 1.01, 0.9727, 520462.84, 1, 0.9964, 1.01, 0.9902, 249123.27, 1, 0.9934, 1, 0.9818, 347805.87, 1.01 
0.993, 0.9976, 1, 0.9759, 258927.11, 0.9814, 0.9974, 1.01, 0.9727, 520462.84, 1, 0.9964, 1.01, 0.9902, 249123.27, 1, 0.9934, 1, 0.9818, 347805.87, 1.18, 0.9909, 1.18, 0.9755, 1377051.57, 0.9975 
0.9814, 0.9974, 1.01, 0.9727, 520462.84, 1, 0.9964, 1.01, 0.9902, 249123.27, 1, 0.9934, 1, 0.9818, 347805.87, 1.18, 0.9909, 1.18, 0.9755, 1377051.57, 0.9628, 0.994, 1.01, 0.9557, 618826.61, 0.9865 
1, 0.9964, 1.01, 0.9902, 249123.27, 1, 0.9934, 1, 0.9818, 347805.87, 1.18, 0.9909, 1.18, 0.9755, 1377051.57, 0.9628, 0.994, 1.01, 0.9557, 618826.61, 0.975, 0.9923, 1, 0.9722, 249950.17, 0.9948 
1, 0.9934, 1, 0.9818, 347805.87, 1.18, 0.9909, 1.18, 0.9755, 1377051.57, 0.9628, 0.994, 1.01, 0.9557, 618826.61, 0.975, 0.9923, 1, 0.9722, 249950.17, 1.02, 0.9972, 1.03, 0.9853, 345517.33, 1 
