@RELATION HistUtility
@ATTRIBUTE open0 NUMERIC
@ATTRIBUTE close0 NUMERIC
@ATTRIBUTE high0 NUMERIC
@ATTRIBUTE low0 NUMERIC
@ATTRIBUTE volumeto0 NUMERIC
@ATTRIBUTE open1 NUMERIC
@ATTRIBUTE close1 NUMERIC
@ATTRIBUTE high1 NUMERIC
@ATTRIBUTE low1 NUMERIC
@ATTRIBUTE volumeto1 NUMERIC
@ATTRIBUTE open2 NUMERIC
@ATTRIBUTE close2 NUMERIC
@ATTRIBUTE high2 NUMERIC
@ATTRIBUTE low2 NUMERIC
@ATTRIBUTE volumeto2 NUMERIC
@ATTRIBUTE open3 NUMERIC
@ATTRIBUTE close3 NUMERIC
@ATTRIBUTE high3 NUMERIC
@ATTRIBUTE low3 NUMERIC
@ATTRIBUTE volumeto3 NUMERIC
@ATTRIBUTE open4 NUMERIC
@ATTRIBUTE close4 NUMERIC
@ATTRIBUTE high4 NUMERIC
@ATTRIBUTE low4 NUMERIC
@ATTRIBUTE volumeto4 NUMERIC
@ATTRIBUTE next_close NUMERIC

@DATA
63.87, 65.51, 68.39, 63.58, 1672999.07, 65.51, 61.16, 65.98, 60.32, 2052990.16, 61.16, 59.26, 62.77, 58.63, 1599830.77, 59.26, 63.12, 68.46, 57.8, 4032471.43, 63.12, 63.87, 67.31, 62.22, 1567966.54, 89.42 
65.51, 61.16, 65.98, 60.32, 2052990.16, 61.16, 59.26, 62.77, 58.63, 1599830.77, 59.26, 63.12, 68.46, 57.8, 4032471.43, 63.12, 63.87, 67.31, 62.22, 1567966.54, 63.87, 72.68, 75.25, 63.25, 2917630.43, 91.96 
61.16, 59.26, 62.77, 58.63, 1599830.77, 59.26, 63.12, 68.46, 57.8, 4032471.43, 63.12, 63.87, 67.31, 62.22, 1567966.54, 63.87, 72.68, 75.25, 63.25, 2917630.43, 72.68, 74.97, 75.13, 68.89, 1243776.69, 92.62 
59.26, 63.12, 68.46, 57.8, 4032471.43, 63.12, 63.87, 67.31, 62.22, 1567966.54, 63.87, 72.68, 75.25, 63.25, 2917630.43, 72.68, 74.97, 75.13, 68.89, 1243776.69, 74.97, 74.46, 82.51, 74.25, 2745531.4, 85.32 
63.12, 63.87, 67.31, 62.22, 1567966.54, 63.87, 72.68, 75.25, 63.25, 2917630.43, 72.68, 74.97, 75.13, 68.89, 1243776.69, 74.97, 74.46, 82.51, 74.25, 2745531.4, 74.46, 99.11, 103.39, 73.41, 5568777.02, 85.57 
63.87, 72.68, 75.25, 63.25, 2917630.43, 72.68, 74.97, 75.13, 68.89, 1243776.69, 74.97, 74.46, 82.51, 74.25, 2745531.4, 74.46, 99.11, 103.39, 73.41, 5568777.02, 99.11, 86.45, 101.68, 85.22, 5043714.19, 76.97 
72.68, 74.97, 75.13, 68.89, 1243776.69, 74.97, 74.46, 82.51, 74.25, 2745531.4, 74.46, 99.11, 103.39, 73.41, 5568777.02, 99.11, 86.45, 101.68, 85.22, 5043714.19, 86.45, 89.42, 94.81, 80.55, 3930536.02, 85.53 
74.97, 74.46, 82.51, 74.25, 2745531.4, 74.46, 99.11, 103.39, 73.41, 5568777.02, 99.11, 86.45, 101.68, 85.22, 5043714.19, 86.45, 89.42, 94.81, 80.55, 3930536.02, 89.42, 91.96, 94.62, 88.52, 2024680.88, 80.37 
74.46, 99.11, 103.39, 73.41, 5568777.02, 99.11, 86.45, 101.68, 85.22, 5043714.19, 86.45, 89.42, 94.81, 80.55, 3930536.02, 89.42, 91.96, 94.62, 88.52, 2024680.88, 91.96, 92.62, 106.84, 91.6, 5195506.49, 83.45 
99.11, 86.45, 101.68, 85.22, 5043714.19, 86.45, 89.42, 94.81, 80.55, 3930536.02, 89.42, 91.96, 94.62, 88.52, 2024680.88, 91.96, 92.62, 106.84, 91.6, 5195506.49, 92.62, 85.32, 92.93, 81.15, 3289529.45, 79.9 
86.45, 89.42, 94.81, 80.55, 3930536.02, 89.42, 91.96, 94.62, 88.52, 2024680.88, 91.96, 92.62, 106.84, 91.6, 5195506.49, 92.62, 85.32, 92.93, 81.15, 3289529.45, 85.32, 85.57, 89.03, 81.77, 1565785.5, 82.74 
89.42, 91.96, 94.62, 88.52, 2024680.88, 91.96, 92.62, 106.84, 91.6, 5195506.49, 92.62, 85.32, 92.93, 81.15, 3289529.45, 85.32, 85.57, 89.03, 81.77, 1565785.5, 85.57, 76.97, 85.65, 75.97, 1497451.92, 86.53 
91.96, 92.62, 106.84, 91.6, 5195506.49, 92.62, 85.32, 92.93, 81.15, 3289529.45, 85.32, 85.57, 89.03, 81.77, 1565785.5, 85.57, 76.97, 85.65, 75.97, 1497451.92, 76.97, 85.53, 87.55, 75.67, 1734834.21, 81.84 
92.62, 85.32, 92.93, 81.15, 3289529.45, 85.32, 85.57, 89.03, 81.77, 1565785.5, 85.57, 76.97, 85.65, 75.97, 1497451.92, 76.97, 85.53, 87.55, 75.67, 1734834.21, 85.53, 80.37, 87.07, 80.23, 1783860, 82.19 
85.32, 85.57, 89.03, 81.77, 1565785.5, 85.57, 76.97, 85.65, 75.97, 1497451.92, 76.97, 85.53, 87.55, 75.67, 1734834.21, 85.53, 80.37, 87.07, 80.23, 1783860, 80.37, 83.45, 86.51, 79.33, 2259750.33, 81.48 
85.57, 76.97, 85.65, 75.97, 1497451.92, 76.97, 85.53, 87.55, 75.67, 1734834.21, 85.53, 80.37, 87.07, 80.23, 1783860, 80.37, 83.45, 86.51, 79.33, 2259750.33, 83.45, 79.9, 84.88, 79.04, 1363927.63, 87 
