@RELATION HistUtility
@ATTRIBUTE open0 NUMERIC
@ATTRIBUTE close0 NUMERIC
@ATTRIBUTE high0 NUMERIC
@ATTRIBUTE low0 NUMERIC
@ATTRIBUTE volumeto0 NUMERIC
@ATTRIBUTE open1 NUMERIC
@ATTRIBUTE close1 NUMERIC
@ATTRIBUTE high1 NUMERIC
@ATTRIBUTE low1 NUMERIC
@ATTRIBUTE volumeto1 NUMERIC
@ATTRIBUTE open2 NUMERIC
@ATTRIBUTE close2 NUMERIC
@ATTRIBUTE high2 NUMERIC
@ATTRIBUTE low2 NUMERIC
@ATTRIBUTE volumeto2 NUMERIC
@ATTRIBUTE open3 NUMERIC
@ATTRIBUTE close3 NUMERIC
@ATTRIBUTE high3 NUMERIC
@ATTRIBUTE low3 NUMERIC
@ATTRIBUTE volumeto3 NUMERIC
@ATTRIBUTE open4 NUMERIC
@ATTRIBUTE close4 NUMERIC
@ATTRIBUTE high4 NUMERIC
@ATTRIBUTE low4 NUMERIC
@ATTRIBUTE volumeto4 NUMERIC
@ATTRIBUTE next_close NUMERIC

@DATA
39.13, 38.55, 39.2, 38.36, 1220528.08, 38.14, 38.71, 38.77, 37.78, 1379068.91, 38.52, 38.58, 38.68, 37.91, 1431799.86, 39.1, 41.38, 41.47, 38.77, 3005099.6, 41.71, 42.07, 42.76, 41.35, 1663404.05, 36.14 
38.14, 38.71, 38.77, 37.78, 1379068.91, 38.52, 38.58, 38.68, 37.91, 1431799.86, 39.1, 41.38, 41.47, 38.77, 3005099.6, 41.71, 42.07, 42.76, 41.35, 1663404.05, 41.77, 40.86, 42.14, 40.37, 1061964.48, 36.11 
38.52, 38.58, 38.68, 37.91, 1431799.86, 39.1, 41.38, 41.47, 38.77, 3005099.6, 41.71, 42.07, 42.76, 41.35, 1663404.05, 41.77, 40.86, 42.14, 40.37, 1061964.48, 40.93, 40.29, 41.42, 39.99, 471199.21, 38.16 
39.1, 41.38, 41.47, 38.77, 3005099.6, 41.71, 42.07, 42.76, 41.35, 1663404.05, 41.77, 40.86, 42.14, 40.37, 1061964.48, 40.93, 40.29, 41.42, 39.99, 471199.21, 40.48, 44.12, 44.55, 40.4, 1969599.75, 37.35 
41.71, 42.07, 42.76, 41.35, 1663404.05, 41.77, 40.86, 42.14, 40.37, 1061964.48, 40.93, 40.29, 41.42, 39.99, 471199.21, 40.48, 44.12, 44.55, 40.4, 1969599.75, 43.98, 41.49, 45.71, 40.24, 2607275.58, 39.71 
41.77, 40.86, 42.14, 40.37, 1061964.48, 40.93, 40.29, 41.42, 39.99, 471199.21, 40.48, 44.12, 44.55, 40.4, 1969599.75, 43.98, 41.49, 45.71, 40.24, 2607275.58, 41.18, 41.43, 42.51, 40.34, 1794821.35, 39.81 
40.93, 40.29, 41.42, 39.99, 471199.21, 40.48, 44.12, 44.55, 40.4, 1969599.75, 43.98, 41.49, 45.71, 40.24, 2607275.58, 41.18, 41.43, 42.51, 40.34, 1794821.35, 39.09, 36.14, 39.16, 35.77, 2165534.46, 40.05 
40.48, 44.12, 44.55, 40.4, 1969599.75, 43.98, 41.49, 45.71, 40.24, 2607275.58, 41.18, 41.43, 42.51, 40.34, 1794821.35, 39.09, 36.14, 39.16, 35.77, 2165534.46, 36.38, 36.11, 36.91, 35.89, 1047900.28, 39.03 
43.98, 41.49, 45.71, 40.24, 2607275.58, 41.18, 41.43, 42.51, 40.34, 1794821.35, 39.09, 36.14, 39.16, 35.77, 2165534.46, 36.38, 36.11, 36.91, 35.89, 1047900.28, 36.22, 38.16, 38.61, 35.91, 819025.03, 38.43 
41.18, 41.43, 42.51, 40.34, 1794821.35, 39.09, 36.14, 39.16, 35.77, 2165534.46, 36.38, 36.11, 36.91, 35.89, 1047900.28, 36.22, 38.16, 38.61, 35.91, 819025.03, 38.22, 37.35, 38.65, 36.78, 480230.61, 38.89 
39.09, 36.14, 39.16, 35.77, 2165534.46, 36.38, 36.11, 36.91, 35.89, 1047900.28, 36.22, 38.16, 38.61, 35.91, 819025.03, 38.22, 37.35, 38.65, 36.78, 480230.61, 39.32, 39.71, 40.41, 38.05, 1334246.47, 38.56 
36.38, 36.11, 36.91, 35.89, 1047900.28, 36.22, 38.16, 38.61, 35.91, 819025.03, 38.22, 37.35, 38.65, 36.78, 480230.61, 39.32, 39.71, 40.41, 38.05, 1334246.47, 39.53, 39.81, 40.84, 38.76, 1341573.11, 38.82 
36.22, 38.16, 38.61, 35.91, 819025.03, 38.22, 37.35, 38.65, 36.78, 480230.61, 39.32, 39.71, 40.41, 38.05, 1334246.47, 39.53, 39.81, 40.84, 38.76, 1341573.11, 39.8, 40.05, 40.33, 39.43, 1114053.63, 51.93 
38.22, 37.35, 38.65, 36.78, 480230.61, 39.32, 39.71, 40.41, 38.05, 1334246.47, 39.53, 39.81, 40.84, 38.76, 1341573.11, 39.8, 40.05, 40.33, 39.43, 1114053.63, 39.53, 39.03, 39.85, 38.34, 1238751.31, 47.24 
39.32, 39.71, 40.41, 38.05, 1334246.47, 39.53, 39.81, 40.84, 38.76, 1341573.11, 39.8, 40.05, 40.33, 39.43, 1114053.63, 39.53, 39.03, 39.85, 38.34, 1238751.31, 38.89, 38.43, 39.29, 38.06, 1117526.72, 43.55 
39.53, 39.81, 40.84, 38.76, 1341573.11, 39.8, 40.05, 40.33, 39.43, 1114053.63, 39.53, 39.03, 39.85, 38.34, 1238751.31, 38.89, 38.43, 39.29, 38.06, 1117526.72, 38.55, 38.89, 39.11, 38.18, 1176875.57, 43.49 
39.8, 40.05, 40.33, 39.43, 1114053.63, 39.53, 39.03, 39.85, 38.34, 1238751.31, 38.89, 38.43, 39.29, 38.06, 1117526.72, 38.55, 38.89, 39.11, 38.18, 1176875.57, 39.01, 38.56, 39.25, 37.85, 831691.39, 42.88 
39.53, 39.03, 39.85, 38.34, 1238751.31, 38.89, 38.43, 39.29, 38.06, 1117526.72, 38.55, 38.89, 39.11, 38.18, 1176875.57, 39.01, 38.56, 39.25, 37.85, 831691.39, 38.4, 38.82, 39.26, 38.08, 1358438.74, 44.17 
38.89, 38.43, 39.29, 38.06, 1117526.72, 38.55, 38.89, 39.11, 38.18, 1176875.57, 39.01, 38.56, 39.25, 37.85, 831691.39, 38.4, 38.82, 39.26, 38.08, 1358438.74, 38.82, 51.93, 54.9, 38.78, 17210690.45, 39.94 
38.55, 38.89, 39.11, 38.18, 1176875.57, 39.01, 38.56, 39.25, 37.85, 831691.39, 38.4, 38.82, 39.26, 38.08, 1358438.74, 38.82, 51.93, 54.9, 38.78, 17210690.45, 51.97, 47.24, 53.18, 45.34, 7350443.85, 39.86 
39.01, 38.56, 39.25, 37.85, 831691.39, 38.4, 38.82, 39.26, 38.08, 1358438.74, 38.82, 51.93, 54.9, 38.78, 17210690.45, 51.97, 47.24, 53.18, 45.34, 7350443.85, 47.14, 43.55, 47.28, 43.15, 2562135.34, 40.07 
38.4, 38.82, 39.26, 38.08, 1358438.74, 38.82, 51.93, 54.9, 38.78, 17210690.45, 51.97, 47.24, 53.18, 45.34, 7350443.85, 47.14, 43.55, 47.28, 43.15, 2562135.34, 43.52, 43.49, 44.41, 43.1, 1329598.89, 40.65 
38.82, 51.93, 54.9, 38.78, 17210690.45, 51.97, 47.24, 53.18, 45.34, 7350443.85, 47.14, 43.55, 47.28, 43.15, 2562135.34, 43.52, 43.49, 44.41, 43.1, 1329598.89, 43.56, 42.88, 44.02, 42.83, 1335441, 42.15 
51.97, 47.24, 53.18, 45.34, 7350443.85, 47.14, 43.55, 47.28, 43.15, 2562135.34, 43.52, 43.49, 44.41, 43.1, 1329598.89, 43.56, 42.88, 44.02, 42.83, 1335441, 42.87, 44.17, 47.34, 41.46, 2714467.35, 40.45 
47.14, 43.55, 47.28, 43.15, 2562135.34, 43.52, 43.49, 44.41, 43.1, 1329598.89, 43.56, 42.88, 44.02, 42.83, 1335441, 42.87, 44.17, 47.34, 41.46, 2714467.35, 43.1, 39.94, 43.22, 39.66, 2393960.46, 40.65 
43.52, 43.49, 44.41, 43.1, 1329598.89, 43.56, 42.88, 44.02, 42.83, 1335441, 42.87, 44.17, 47.34, 41.46, 2714467.35, 43.1, 39.94, 43.22, 39.66, 2393960.46, 39.91, 39.86, 41.16, 39.6, 1436388.98, 39.48 
43.56, 42.88, 44.02, 42.83, 1335441, 42.87, 44.17, 47.34, 41.46, 2714467.35, 43.1, 39.94, 43.22, 39.66, 2393960.46, 39.91, 39.86, 41.16, 39.6, 1436388.98, 40.09, 40.07, 40.54, 39.56, 1288150.33, 41.13 
42.87, 44.17, 47.34, 41.46, 2714467.35, 43.1, 39.94, 43.22, 39.66, 2393960.46, 39.91, 39.86, 41.16, 39.6, 1436388.98, 40.09, 40.07, 40.54, 39.56, 1288150.33, 40.32, 40.65, 41.17, 40.01, 936344.7, 40.94 
43.1, 39.94, 43.22, 39.66, 2393960.46, 39.91, 39.86, 41.16, 39.6, 1436388.98, 40.09, 40.07, 40.54, 39.56, 1288150.33, 40.32, 40.65, 41.17, 40.01, 936344.7, 40.73, 42.15, 42.35, 40.56, 848567.59, 39.02 
39.91, 39.86, 41.16, 39.6, 1436388.98, 40.09, 40.07, 40.54, 39.56, 1288150.33, 40.32, 40.65, 41.17, 40.01, 936344.7, 40.73, 42.15, 42.35, 40.56, 848567.59, 42.03, 40.45, 42.1, 40.19, 982913.56, 40.79 
40.09, 40.07, 40.54, 39.56, 1288150.33, 40.32, 40.65, 41.17, 40.01, 936344.7, 40.73, 42.15, 42.35, 40.56, 848567.59, 42.03, 40.45, 42.1, 40.19, 982913.56, 41.03, 40.65, 41.09, 39.8, 1183443.86, 40.07 
40.32, 40.65, 41.17, 40.01, 936344.7, 40.73, 42.15, 42.35, 40.56, 848567.59, 42.03, 40.45, 42.1, 40.19, 982913.56, 41.03, 40.65, 41.09, 39.8, 1183443.86, 40.42, 39.48, 40.53, 39.18, 1281533.83, 39.39 
40.73, 42.15, 42.35, 40.56, 848567.59, 42.03, 40.45, 42.1, 40.19, 982913.56, 41.03, 40.65, 41.09, 39.8, 1183443.86, 40.42, 39.48, 40.53, 39.18, 1281533.83, 39.73, 41.13, 41.15, 39.71, 1302925.19, 39.83 
42.03, 40.45, 42.1, 40.19, 982913.56, 41.03, 40.65, 41.09, 39.8, 1183443.86, 40.42, 39.48, 40.53, 39.18, 1281533.83, 39.73, 41.13, 41.15, 39.71, 1302925.19, 41.45, 40.94, 41.77, 40.69, 1072858.49, 38.87 
41.03, 40.65, 41.09, 39.8, 1183443.86, 40.42, 39.48, 40.53, 39.18, 1281533.83, 39.73, 41.13, 41.15, 39.71, 1302925.19, 41.45, 40.94, 41.77, 40.69, 1072858.49, 40.4, 39.02, 40.45, 39.02, 1420539.49, 34.76 
40.42, 39.48, 40.53, 39.18, 1281533.83, 39.73, 41.13, 41.15, 39.71, 1302925.19, 41.45, 40.94, 41.77, 40.69, 1072858.49, 40.4, 39.02, 40.45, 39.02, 1420539.49, 38.62, 40.79, 40.84, 38.52, 1471745.62, 34.46 
39.73, 41.13, 41.15, 39.71, 1302925.19, 41.45, 40.94, 41.77, 40.69, 1072858.49, 40.4, 39.02, 40.45, 39.02, 1420539.49, 38.62, 40.79, 40.84, 38.52, 1471745.62, 40.91, 40.07, 40.92, 39.19, 886067.91, 33.1 
41.45, 40.94, 41.77, 40.69, 1072858.49, 40.4, 39.02, 40.45, 39.02, 1420539.49, 38.62, 40.79, 40.84, 38.52, 1471745.62, 40.91, 40.07, 40.92, 39.19, 886067.91, 40.12, 39.39, 40.57, 38.96, 852110.48, 32.86 
40.4, 39.02, 40.45, 39.02, 1420539.49, 38.62, 40.79, 40.84, 38.52, 1471745.62, 40.91, 40.07, 40.92, 39.19, 886067.91, 40.12, 39.39, 40.57, 38.96, 852110.48, 39.18, 39.83, 40.36, 38.58, 1480205.48, 33.64 
38.62, 40.79, 40.84, 38.52, 1471745.62, 40.91, 40.07, 40.92, 39.19, 886067.91, 40.12, 39.39, 40.57, 38.96, 852110.48, 39.18, 39.83, 40.36, 38.58, 1480205.48, 39.68, 38.87, 39.9, 38.64, 1729901.96, 25.81 
40.91, 40.07, 40.92, 39.19, 886067.91, 40.12, 39.39, 40.57, 38.96, 852110.48, 39.18, 39.83, 40.36, 38.58, 1480205.48, 39.68, 38.87, 39.9, 38.64, 1729901.96, 35.2, 34.76, 35.56, 34.61, 2203805.55, 24.07 
40.12, 39.39, 40.57, 38.96, 852110.48, 39.18, 39.83, 40.36, 38.58, 1480205.48, 39.68, 38.87, 39.9, 38.64, 1729901.96, 35.2, 34.76, 35.56, 34.61, 2203805.55, 34.2, 34.46, 34.97, 33.77, 1939438.44, 26.2 
39.18, 39.83, 40.36, 38.58, 1480205.48, 39.68, 38.87, 39.9, 38.64, 1729901.96, 35.2, 34.76, 35.56, 34.61, 2203805.55, 34.2, 34.46, 34.97, 33.77, 1939438.44, 34.09, 33.1, 34.68, 32.51, 1574945.33, 24.12 
39.68, 38.87, 39.9, 38.64, 1729901.96, 35.2, 34.76, 35.56, 34.61, 2203805.55, 34.2, 34.46, 34.97, 33.77, 1939438.44, 34.09, 33.1, 34.68, 32.51, 1574945.33, 33, 32.86, 33.35, 32.33, 966340.64, 23.12 
35.2, 34.76, 35.56, 34.61, 2203805.55, 34.2, 34.46, 34.97, 33.77, 1939438.44, 34.09, 33.1, 34.68, 32.51, 1574945.33, 33, 32.86, 33.35, 32.33, 966340.64, 33.13, 33.64, 33.93, 32.76, 701691.04, 20.36 
34.2, 34.46, 34.97, 33.77, 1939438.44, 34.09, 33.1, 34.68, 32.51, 1574945.33, 33, 32.86, 33.35, 32.33, 966340.64, 33.13, 33.64, 33.93, 32.76, 701691.04, 28.81, 25.81, 28.84, 25.46, 2348239.74, 21.55 
34.09, 33.1, 34.68, 32.51, 1574945.33, 33, 32.86, 33.35, 32.33, 966340.64, 33.13, 33.64, 33.93, 32.76, 701691.04, 28.81, 25.81, 28.84, 25.46, 2348239.74, 23.83, 24.07, 24.59, 23.12, 1668056.78, 19.82 
33, 32.86, 33.35, 32.33, 966340.64, 33.13, 33.64, 33.93, 32.76, 701691.04, 28.81, 25.81, 28.84, 25.46, 2348239.74, 23.83, 24.07, 24.59, 23.12, 1668056.78, 24.87, 26.2, 26.33, 24.68, 1201293.58, 19.86 
33.13, 33.64, 33.93, 32.76, 701691.04, 28.81, 25.81, 28.84, 25.46, 2348239.74, 23.83, 24.07, 24.59, 23.12, 1668056.78, 24.87, 26.2, 26.33, 24.68, 1201293.58, 24.65, 24.12, 25.25, 24.1, 587861.81, 21.85 
28.81, 25.81, 28.84, 25.46, 2348239.74, 23.83, 24.07, 24.59, 23.12, 1668056.78, 24.87, 26.2, 26.33, 24.68, 1201293.58, 24.65, 24.12, 25.25, 24.1, 587861.81, 24.24, 23.12, 24.31, 22.86, 1100789.9, 21.68 
23.83, 24.07, 24.59, 23.12, 1668056.78, 24.87, 26.2, 26.33, 24.68, 1201293.58, 24.65, 24.12, 25.25, 24.1, 587861.81, 24.24, 23.12, 24.31, 22.86, 1100789.9, 20.51, 20.36, 20.95, 20.31, 659328.47, 19.95 
24.87, 26.2, 26.33, 24.68, 1201293.58, 24.65, 24.12, 25.25, 24.1, 587861.81, 24.24, 23.12, 24.31, 22.86, 1100789.9, 20.51, 20.36, 20.95, 20.31, 659328.47, 21.15, 21.55, 21.65, 20.77, 1413852.4, 20.69 
24.65, 24.12, 25.25, 24.1, 587861.81, 24.24, 23.12, 24.31, 22.86, 1100789.9, 20.51, 20.36, 20.95, 20.31, 659328.47, 21.15, 21.55, 21.65, 20.77, 1413852.4, 20.37, 19.82, 20.64, 19.54, 876814.21, 20.63 
24.24, 23.12, 24.31, 22.86, 1100789.9, 20.51, 20.36, 20.95, 20.31, 659328.47, 21.15, 21.55, 21.65, 20.77, 1413852.4, 20.37, 19.82, 20.64, 19.54, 876814.21, 20.02, 19.86, 20.3, 19.65, 786739.6, 19.26 
20.51, 20.36, 20.95, 20.31, 659328.47, 21.15, 21.55, 21.65, 20.77, 1413852.4, 20.37, 19.82, 20.64, 19.54, 876814.21, 20.02, 19.86, 20.3, 19.65, 786739.6, 22.14, 21.85, 22.69, 21.51, 1186041.82, 19.73 
21.15, 21.55, 21.65, 20.77, 1413852.4, 20.37, 19.82, 20.64, 19.54, 876814.21, 20.02, 19.86, 20.3, 19.65, 786739.6, 22.14, 21.85, 22.69, 21.51, 1186041.82, 21.97, 21.68, 22.05, 21.5, 964483.36, 18.77 
20.37, 19.82, 20.64, 19.54, 876814.21, 20.02, 19.86, 20.3, 19.65, 786739.6, 22.14, 21.85, 22.69, 21.51, 1186041.82, 21.97, 21.68, 22.05, 21.5, 964483.36, 20.28, 19.95, 20.38, 19.63, 1054538.25, 18.04 
20.02, 19.86, 20.3, 19.65, 786739.6, 22.14, 21.85, 22.69, 21.51, 1186041.82, 21.97, 21.68, 22.05, 21.5, 964483.36, 20.28, 19.95, 20.38, 19.63, 1054538.25, 20.89, 20.69, 21.24, 20.62, 904297, 17.22 
22.14, 21.85, 22.69, 21.51, 1186041.82, 21.97, 21.68, 22.05, 21.5, 964483.36, 20.28, 19.95, 20.38, 19.63, 1054538.25, 20.89, 20.69, 21.24, 20.62, 904297, 20.42, 20.63, 20.89, 20.37, 567288.07, 17.06 
