@RELATION HistUtility
@ATTRIBUTE open0 NUMERIC
@ATTRIBUTE close0 NUMERIC
@ATTRIBUTE high0 NUMERIC
@ATTRIBUTE low0 NUMERIC
@ATTRIBUTE volumeto0 NUMERIC
@ATTRIBUTE open1 NUMERIC
@ATTRIBUTE close1 NUMERIC
@ATTRIBUTE high1 NUMERIC
@ATTRIBUTE low1 NUMERIC
@ATTRIBUTE volumeto1 NUMERIC
@ATTRIBUTE open2 NUMERIC
@ATTRIBUTE close2 NUMERIC
@ATTRIBUTE high2 NUMERIC
@ATTRIBUTE low2 NUMERIC
@ATTRIBUTE volumeto2 NUMERIC
@ATTRIBUTE open3 NUMERIC
@ATTRIBUTE close3 NUMERIC
@ATTRIBUTE high3 NUMERIC
@ATTRIBUTE low3 NUMERIC
@ATTRIBUTE volumeto3 NUMERIC
@ATTRIBUTE open4 NUMERIC
@ATTRIBUTE close4 NUMERIC
@ATTRIBUTE high4 NUMERIC
@ATTRIBUTE low4 NUMERIC
@ATTRIBUTE volumeto4 NUMERIC
@ATTRIBUTE next_close NUMERIC

@DATA
0.001011, 0.0009411, 0.001046, 0.0008714, 854811.15, 0.0008924, 0.0008593, 0.0009254, 0.0008593, 195635.86, 0.0008412, 0.0008412, 0.0009059, 0.0007765, 302218.34, 0.0008405, 0.0008405, 0.0008728, 0.0008081, 160390.69, 0.0008464, 0.0008464, 0.0008789, 0.0008464, 144879.12, 0.001092 
0.0008924, 0.0008593, 0.0009254, 0.0008593, 195635.86, 0.0008412, 0.0008412, 0.0009059, 0.0007765, 302218.34, 0.0008405, 0.0008405, 0.0008728, 0.0008081, 160390.69, 0.0008464, 0.0008464, 0.0008789, 0.0008464, 144879.12, 0.0009225, 0.0009935, 0.001029, 0.0009225, 336210.31, 0.001082 
0.0008412, 0.0008412, 0.0009059, 0.0007765, 302218.34, 0.0008405, 0.0008405, 0.0008728, 0.0008081, 160390.69, 0.0008464, 0.0008464, 0.0008789, 0.0008464, 144879.12, 0.0009225, 0.0009935, 0.001029, 0.0009225, 336210.31, 0.00104, 0.00104, 0.00104, 0.001003, 137655.26, 0.001143 
0.0008405, 0.0008405, 0.0008728, 0.0008081, 160390.69, 0.0008464, 0.0008464, 0.0008789, 0.0008464, 144879.12, 0.0009225, 0.0009935, 0.001029, 0.0009225, 336210.31, 0.00104, 0.00104, 0.00104, 0.001003, 137655.26, 0.001046, 0.001009, 0.001046, 0.0009715, 342488.93, 0.001074 
0.0008464, 0.0008464, 0.0008789, 0.0008464, 144879.12, 0.0009225, 0.0009935, 0.001029, 0.0009225, 336210.31, 0.00104, 0.00104, 0.00104, 0.001003, 137655.26, 0.001046, 0.001009, 0.001046, 0.0009715, 342488.93, 0.001117, 0.001117, 0.001159, 0.001076, 329792.24, 0.001232 
0.0009225, 0.0009935, 0.001029, 0.0009225, 336210.31, 0.00104, 0.00104, 0.00104, 0.001003, 137655.26, 0.001046, 0.001009, 0.001046, 0.0009715, 342488.93, 0.001117, 0.001117, 0.001159, 0.001076, 329792.24, 0.001053, 0.001053, 0.001131, 0.001014, 476165.61, 0.00113 
0.00104, 0.00104, 0.00104, 0.001003, 137655.26, 0.001046, 0.001009, 0.001046, 0.0009715, 342488.93, 0.001117, 0.001117, 0.001159, 0.001076, 329792.24, 0.001053, 0.001053, 0.001131, 0.001014, 476165.61, 0.001092, 0.001092, 0.001133, 0.001052, 363542.15, 0.001263 
0.001046, 0.001009, 0.001046, 0.0009715, 342488.93, 0.001117, 0.001117, 0.001159, 0.001076, 329792.24, 0.001053, 0.001053, 0.001131, 0.001014, 476165.61, 0.001092, 0.001092, 0.001133, 0.001052, 363542.15, 0.001082, 0.001082, 0.001122, 0.001042, 309461.29, 0.001139 
0.001117, 0.001117, 0.001159, 0.001076, 329792.24, 0.001053, 0.001053, 0.001131, 0.001014, 476165.61, 0.001092, 0.001092, 0.001133, 0.001052, 363542.15, 0.001082, 0.001082, 0.001122, 0.001042, 309461.29, 0.001102, 0.001143, 0.001184, 0.001102, 390368.56, 0.001325 
0.001053, 0.001053, 0.001131, 0.001014, 476165.61, 0.001092, 0.001092, 0.001133, 0.001052, 363542.15, 0.001082, 0.001082, 0.001122, 0.001042, 309461.29, 0.001102, 0.001143, 0.001184, 0.001102, 390368.56, 0.001074, 0.001074, 0.001112, 0.001035, 202605.28, 0.001312 
0.001092, 0.001092, 0.001133, 0.001052, 363542.15, 0.001082, 0.001082, 0.001122, 0.001042, 309461.29, 0.001102, 0.001143, 0.001184, 0.001102, 390368.56, 0.001074, 0.001074, 0.001112, 0.001035, 202605.28, 0.001078, 0.001232, 0.001347, 0.001078, 2084148.69, 0.001203 
0.001082, 0.001082, 0.001122, 0.001042, 309461.29, 0.001102, 0.001143, 0.001184, 0.001102, 390368.56, 0.001074, 0.001074, 0.001112, 0.001035, 202605.28, 0.001078, 0.001232, 0.001347, 0.001078, 2084148.69, 0.001167, 0.00113, 0.001203, 0.001057, 659023.32, 0.001149 
0.001102, 0.001143, 0.001184, 0.001102, 390368.56, 0.001074, 0.001074, 0.001112, 0.001035, 202605.28, 0.001078, 0.001232, 0.001347, 0.001078, 2084148.69, 0.001167, 0.00113, 0.001203, 0.001057, 659023.32, 0.001224, 0.001263, 0.001303, 0.001184, 482988.4, 0.001227 
0.001074, 0.001074, 0.001112, 0.001035, 202605.28, 0.001078, 0.001232, 0.001347, 0.001078, 2084148.69, 0.001167, 0.00113, 0.001203, 0.001057, 659023.32, 0.001224, 0.001263, 0.001303, 0.001184, 482988.4, 0.001215, 0.001139, 0.001215, 0.001101, 452666.2, 0.001356 
0.001078, 0.001232, 0.001347, 0.001078, 2084148.69, 0.001167, 0.00113, 0.001203, 0.001057, 659023.32, 0.001224, 0.001263, 0.001303, 0.001184, 482988.4, 0.001215, 0.001139, 0.001215, 0.001101, 452666.2, 0.001169, 0.001325, 0.001442, 0.001169, 1361985.85, 0.001311 
0.001167, 0.00113, 0.001203, 0.001057, 659023.32, 0.001224, 0.001263, 0.001303, 0.001184, 482988.4, 0.001215, 0.001139, 0.001215, 0.001101, 452666.2, 0.001169, 0.001325, 0.001442, 0.001169, 1361985.85, 0.001274, 0.001312, 0.001349, 0.001237, 650118.22, 0.001313 
0.001224, 0.001263, 0.001303, 0.001184, 482988.4, 0.001215, 0.001139, 0.001215, 0.001101, 452666.2, 0.001169, 0.001325, 0.001442, 0.001169, 1361985.85, 0.001274, 0.001312, 0.001349, 0.001237, 650118.22, 0.001358, 0.001203, 0.001358, 0.001164, 987350.57, 0.001296 
0.001215, 0.001139, 0.001215, 0.001101, 452666.2, 0.001169, 0.001325, 0.001442, 0.001169, 1361985.85, 0.001274, 0.001312, 0.001349, 0.001237, 650118.22, 0.001358, 0.001203, 0.001358, 0.001164, 987350.57, 0.001228, 0.001149, 0.001268, 0.001109, 614311.15, 0.001293 
0.001169, 0.001325, 0.001442, 0.001169, 1361985.85, 0.001274, 0.001312, 0.001349, 0.001237, 650118.22, 0.001358, 0.001203, 0.001358, 0.001164, 987350.57, 0.001228, 0.001149, 0.001268, 0.001109, 614311.15, 0.001112, 0.001227, 0.001304, 0.001074, 2004770.77, 0.001255 
0.001274, 0.001312, 0.001349, 0.001237, 650118.22, 0.001358, 0.001203, 0.001358, 0.001164, 987350.57, 0.001228, 0.001149, 0.001268, 0.001109, 614311.15, 0.001112, 0.001227, 0.001304, 0.001074, 2004770.77, 0.00124, 0.001356, 0.001627, 0.00124, 4412406.66, 0.0011 
