@RELATION HistUtility
@ATTRIBUTE open0 NUMERIC
@ATTRIBUTE close0 NUMERIC
@ATTRIBUTE high0 NUMERIC
@ATTRIBUTE low0 NUMERIC
@ATTRIBUTE volumeto0 NUMERIC
@ATTRIBUTE open1 NUMERIC
@ATTRIBUTE close1 NUMERIC
@ATTRIBUTE high1 NUMERIC
@ATTRIBUTE low1 NUMERIC
@ATTRIBUTE volumeto1 NUMERIC
@ATTRIBUTE open2 NUMERIC
@ATTRIBUTE close2 NUMERIC
@ATTRIBUTE high2 NUMERIC
@ATTRIBUTE low2 NUMERIC
@ATTRIBUTE volumeto2 NUMERIC
@ATTRIBUTE open3 NUMERIC
@ATTRIBUTE close3 NUMERIC
@ATTRIBUTE high3 NUMERIC
@ATTRIBUTE low3 NUMERIC
@ATTRIBUTE volumeto3 NUMERIC
@ATTRIBUTE open4 NUMERIC
@ATTRIBUTE close4 NUMERIC
@ATTRIBUTE high4 NUMERIC
@ATTRIBUTE low4 NUMERIC
@ATTRIBUTE volumeto4 NUMERIC
@ATTRIBUTE next_close NUMERIC

@DATA
41.89, 41.34, 42.11, 40.55, 597945.07, 41.23, 41.55, 42.43, 40.75, 263436.97, 41.23, 41.13, 41.39, 40.35, 174220.1, 38.81, 35.46, 38.87, 34.26, 376707.89, 35.7, 37.27, 40.84, 35.35, 730713.76, 43.03 
41.23, 41.55, 42.43, 40.75, 263436.97, 41.23, 41.13, 41.39, 40.35, 174220.1, 38.81, 35.46, 38.87, 34.26, 376707.89, 35.7, 37.27, 40.84, 35.35, 730713.76, 37.37, 37.2, 37.7, 36.48, 237033.19, 44.17 
41.23, 41.13, 41.39, 40.35, 174220.1, 38.81, 35.46, 38.87, 34.26, 376707.89, 35.7, 37.27, 40.84, 35.35, 730713.76, 37.37, 37.2, 37.7, 36.48, 237033.19, 37.33, 39.12, 41.64, 37.19, 507235.01, 47.1 
38.81, 35.46, 38.87, 34.26, 376707.89, 35.7, 37.27, 40.84, 35.35, 730713.76, 37.37, 37.2, 37.7, 36.48, 237033.19, 37.33, 39.12, 41.64, 37.19, 507235.01, 41.21, 47.35, 51.33, 38.31, 3545374.34, 45.25 
35.7, 37.27, 40.84, 35.35, 730713.76, 37.37, 37.2, 37.7, 36.48, 237033.19, 37.33, 39.12, 41.64, 37.19, 507235.01, 41.21, 47.35, 51.33, 38.31, 3545374.34, 47.14, 44.55, 50.17, 44.55, 2421540.64, 44.77 
37.37, 37.2, 37.7, 36.48, 237033.19, 37.33, 39.12, 41.64, 37.19, 507235.01, 41.21, 47.35, 51.33, 38.31, 3545374.34, 47.14, 44.55, 50.17, 44.55, 2421540.64, 44.49, 43.77, 45.23, 43.25, 588028.07, 41.72 
37.33, 39.12, 41.64, 37.19, 507235.01, 41.21, 47.35, 51.33, 38.31, 3545374.34, 47.14, 44.55, 50.17, 44.55, 2421540.64, 44.49, 43.77, 45.23, 43.25, 588028.07, 43.2, 43.03, 45, 41.06, 486066.02, 41.75 
41.21, 47.35, 51.33, 38.31, 3545374.34, 47.14, 44.55, 50.17, 44.55, 2421540.64, 44.49, 43.77, 45.23, 43.25, 588028.07, 43.2, 43.03, 45, 41.06, 486066.02, 42.9, 44.17, 44.43, 42.22, 287658.45, 40.62 
47.14, 44.55, 50.17, 44.55, 2421540.64, 44.49, 43.77, 45.23, 43.25, 588028.07, 43.2, 43.03, 45, 41.06, 486066.02, 42.9, 44.17, 44.43, 42.22, 287658.45, 44.32, 47.1, 47.49, 43.84, 485406.01, 40.4 
44.49, 43.77, 45.23, 43.25, 588028.07, 43.2, 43.03, 45, 41.06, 486066.02, 42.9, 44.17, 44.43, 42.22, 287658.45, 44.32, 47.1, 47.49, 43.84, 485406.01, 47.24, 45.25, 47.58, 44.75, 316211.53, 39.49 
43.2, 43.03, 45, 41.06, 486066.02, 42.9, 44.17, 44.43, 42.22, 287658.45, 44.32, 47.1, 47.49, 43.84, 485406.01, 47.24, 45.25, 47.58, 44.75, 316211.53, 45.06, 44.77, 45.25, 43.4, 245993.24, 40.07 
42.9, 44.17, 44.43, 42.22, 287658.45, 44.32, 47.1, 47.49, 43.84, 485406.01, 47.24, 45.25, 47.58, 44.75, 316211.53, 45.06, 44.77, 45.25, 43.4, 245993.24, 44.68, 41.72, 45.12, 39.74, 869346.76, 38.68 
44.32, 47.1, 47.49, 43.84, 485406.01, 47.24, 45.25, 47.58, 44.75, 316211.53, 45.06, 44.77, 45.25, 43.4, 245993.24, 44.68, 41.72, 45.12, 39.74, 869346.76, 41.76, 41.75, 42.38, 41.32, 305469.72, 39.54 
47.24, 45.25, 47.58, 44.75, 316211.53, 45.06, 44.77, 45.25, 43.4, 245993.24, 44.68, 41.72, 45.12, 39.74, 869346.76, 41.76, 41.75, 42.38, 41.32, 305469.72, 41.67, 40.62, 41.67, 40.21, 203273.85, 40.19 
45.06, 44.77, 45.25, 43.4, 245993.24, 44.68, 41.72, 45.12, 39.74, 869346.76, 41.76, 41.75, 42.38, 41.32, 305469.72, 41.67, 40.62, 41.67, 40.21, 203273.85, 40.58, 40.4, 41.19, 39.96, 163590.1, 40.06 
44.68, 41.72, 45.12, 39.74, 869346.76, 41.76, 41.75, 42.38, 41.32, 305469.72, 41.67, 40.62, 41.67, 40.21, 203273.85, 40.58, 40.4, 41.19, 39.96, 163590.1, 40.48, 39.49, 40.57, 39.08, 191406.06, 40.68 
