@RELATION HistUtility
@ATTRIBUTE open0 NUMERIC
@ATTRIBUTE close0 NUMERIC
@ATTRIBUTE high0 NUMERIC
@ATTRIBUTE low0 NUMERIC
@ATTRIBUTE volumeto0 NUMERIC
@ATTRIBUTE open1 NUMERIC
@ATTRIBUTE close1 NUMERIC
@ATTRIBUTE high1 NUMERIC
@ATTRIBUTE low1 NUMERIC
@ATTRIBUTE volumeto1 NUMERIC
@ATTRIBUTE open2 NUMERIC
@ATTRIBUTE close2 NUMERIC
@ATTRIBUTE high2 NUMERIC
@ATTRIBUTE low2 NUMERIC
@ATTRIBUTE volumeto2 NUMERIC
@ATTRIBUTE open3 NUMERIC
@ATTRIBUTE close3 NUMERIC
@ATTRIBUTE high3 NUMERIC
@ATTRIBUTE low3 NUMERIC
@ATTRIBUTE volumeto3 NUMERIC
@ATTRIBUTE open4 NUMERIC
@ATTRIBUTE close4 NUMERIC
@ATTRIBUTE high4 NUMERIC
@ATTRIBUTE low4 NUMERIC
@ATTRIBUTE volumeto4 NUMERIC
@ATTRIBUTE next_close NUMERIC

@DATA
0.2454, 0.2416, 0.253, 0.2387, 18689.4, 0.2406, 0.2457, 0.2511, 0.2385, 41770.75, 0.2431, 0.226, 0.2505, 0.2237, 50671.73, 0.2248, 0.2294, 0.2392, 0.2167, 19595.41, 0.2325, 0.2313, 0.2402, 0.2305, 16552.23, 0.2108 
0.2406, 0.2457, 0.2511, 0.2385, 41770.75, 0.2431, 0.226, 0.2505, 0.2237, 50671.73, 0.2248, 0.2294, 0.2392, 0.2167, 19595.41, 0.2325, 0.2313, 0.2402, 0.2305, 16552.23, 0.2332, 0.2335, 0.2418, 0.229, 14055.39, 0.1775 
0.2431, 0.226, 0.2505, 0.2237, 50671.73, 0.2248, 0.2294, 0.2392, 0.2167, 19595.41, 0.2325, 0.2313, 0.2402, 0.2305, 16552.23, 0.2332, 0.2335, 0.2418, 0.229, 14055.39, 0.2326, 0.2293, 0.2349, 0.2208, 18070.95, 0.1831 
0.2248, 0.2294, 0.2392, 0.2167, 19595.41, 0.2325, 0.2313, 0.2402, 0.2305, 16552.23, 0.2332, 0.2335, 0.2418, 0.229, 14055.39, 0.2326, 0.2293, 0.2349, 0.2208, 18070.95, 0.2297, 0.2325, 0.2359, 0.2231, 27395, 0.1872 
0.2325, 0.2313, 0.2402, 0.2305, 16552.23, 0.2332, 0.2335, 0.2418, 0.229, 14055.39, 0.2326, 0.2293, 0.2349, 0.2208, 18070.95, 0.2297, 0.2325, 0.2359, 0.2231, 27395, 0.2342, 0.2328, 0.238, 0.2264, 24165.36, 0.1977 
0.2332, 0.2335, 0.2418, 0.229, 14055.39, 0.2326, 0.2293, 0.2349, 0.2208, 18070.95, 0.2297, 0.2325, 0.2359, 0.2231, 27395, 0.2342, 0.2328, 0.238, 0.2264, 24165.36, 0.234, 0.2159, 0.2366, 0.2159, 36210.08, 0.1934 
0.2326, 0.2293, 0.2349, 0.2208, 18070.95, 0.2297, 0.2325, 0.2359, 0.2231, 27395, 0.2342, 0.2328, 0.238, 0.2264, 24165.36, 0.234, 0.2159, 0.2366, 0.2159, 36210.08, 0.2143, 0.2108, 0.2175, 0.2066, 51217.55, 0.1929 
0.2297, 0.2325, 0.2359, 0.2231, 27395, 0.2342, 0.2328, 0.238, 0.2264, 24165.36, 0.234, 0.2159, 0.2366, 0.2159, 36210.08, 0.2143, 0.2108, 0.2175, 0.2066, 51217.55, 0.1989, 0.1775, 0.2017, 0.1763, 46312.66, 0.1951 
0.2342, 0.2328, 0.238, 0.2264, 24165.36, 0.234, 0.2159, 0.2366, 0.2159, 36210.08, 0.2143, 0.2108, 0.2175, 0.2066, 51217.55, 0.1989, 0.1775, 0.2017, 0.1763, 46312.66, 0.1786, 0.1831, 0.19, 0.1724, 30771.21, 0.2018 
0.234, 0.2159, 0.2366, 0.2159, 36210.08, 0.2143, 0.2108, 0.2175, 0.2066, 51217.55, 0.1989, 0.1775, 0.2017, 0.1763, 46312.66, 0.1786, 0.1831, 0.19, 0.1724, 30771.21, 0.1836, 0.1872, 0.1972, 0.1829, 15760, 0.2097 
