@RELATION HistUtility
@ATTRIBUTE open0 NUMERIC
@ATTRIBUTE close0 NUMERIC
@ATTRIBUTE high0 NUMERIC
@ATTRIBUTE low0 NUMERIC
@ATTRIBUTE volumeto0 NUMERIC
@ATTRIBUTE open1 NUMERIC
@ATTRIBUTE close1 NUMERIC
@ATTRIBUTE high1 NUMERIC
@ATTRIBUTE low1 NUMERIC
@ATTRIBUTE volumeto1 NUMERIC
@ATTRIBUTE open2 NUMERIC
@ATTRIBUTE close2 NUMERIC
@ATTRIBUTE high2 NUMERIC
@ATTRIBUTE low2 NUMERIC
@ATTRIBUTE volumeto2 NUMERIC
@ATTRIBUTE open3 NUMERIC
@ATTRIBUTE close3 NUMERIC
@ATTRIBUTE high3 NUMERIC
@ATTRIBUTE low3 NUMERIC
@ATTRIBUTE volumeto3 NUMERIC
@ATTRIBUTE open4 NUMERIC
@ATTRIBUTE close4 NUMERIC
@ATTRIBUTE high4 NUMERIC
@ATTRIBUTE low4 NUMERIC
@ATTRIBUTE volumeto4 NUMERIC
@ATTRIBUTE next_close NUMERIC

@DATA
0.008346, 0.008346, 0.008478, 0.008346, 441.56, 0.00831, 0.00798, 0.008442, 0.00798, 2912.28, 0.007896, 0.008092, 0.008353, 0.007896, 1765.49, 0.00805, 0.00818, 0.00818, 0.00805, 1421.93, 0.008291, 0.008422, 0.008883, 0.008291, 4748.14, 0.01106 
0.00831, 0.00798, 0.008442, 0.00798, 2912.28, 0.007896, 0.008092, 0.008353, 0.007896, 1765.49, 0.00805, 0.00818, 0.00818, 0.00805, 1421.93, 0.008291, 0.008422, 0.008883, 0.008291, 4748.14, 0.008556, 0.01094, 0.01134, 0.008556, 25870.57, 0.01043 
0.007896, 0.008092, 0.008353, 0.007896, 1765.49, 0.00805, 0.00818, 0.00818, 0.00805, 1421.93, 0.008291, 0.008422, 0.008883, 0.008291, 4748.14, 0.008556, 0.01094, 0.01134, 0.008556, 25870.57, 0.01081, 0.01114, 0.0112, 0.01041, 8135.42, 0.01056 
0.00805, 0.00818, 0.00818, 0.00805, 1421.93, 0.008291, 0.008422, 0.008883, 0.008291, 4748.14, 0.008556, 0.01094, 0.01134, 0.008556, 25870.57, 0.01081, 0.01114, 0.0112, 0.01041, 8135.42, 0.01122, 0.01109, 0.01129, 0.01109, 5013.24, 0.01072 
0.008291, 0.008422, 0.008883, 0.008291, 4748.14, 0.008556, 0.01094, 0.01134, 0.008556, 25870.57, 0.01081, 0.01114, 0.0112, 0.01041, 8135.42, 0.01122, 0.01109, 0.01129, 0.01109, 5013.24, 0.01117, 0.01117, 0.01124, 0.01117, 407.25, 0.01061 
0.008556, 0.01094, 0.01134, 0.008556, 25870.57, 0.01081, 0.01114, 0.0112, 0.01041, 8135.42, 0.01122, 0.01109, 0.01129, 0.01109, 5013.24, 0.01117, 0.01117, 0.01124, 0.01117, 407.25, 0.01108, 0.01121, 0.01121, 0.01108, 602.31, 0.01157 
0.01081, 0.01114, 0.0112, 0.01041, 8135.42, 0.01122, 0.01109, 0.01129, 0.01109, 5013.24, 0.01117, 0.01117, 0.01124, 0.01117, 407.25, 0.01108, 0.01121, 0.01121, 0.01108, 602.31, 0.01112, 0.01106, 0.01119, 0.01106, 274.84, 0.01152 
0.01122, 0.01109, 0.01129, 0.01109, 5013.24, 0.01117, 0.01117, 0.01124, 0.01117, 407.25, 0.01108, 0.01121, 0.01121, 0.01108, 602.31, 0.01112, 0.01106, 0.01119, 0.01106, 274.84, 0.01043, 0.01043, 0.01056, 0.01043, 709.13, 0.01177 
0.01117, 0.01117, 0.01124, 0.01117, 407.25, 0.01108, 0.01121, 0.01121, 0.01108, 602.31, 0.01112, 0.01106, 0.01119, 0.01106, 274.84, 0.01043, 0.01043, 0.01056, 0.01043, 709.13, 0.0105, 0.01056, 0.01063, 0.0105, 533.69, 0.012 
0.01108, 0.01121, 0.01121, 0.01108, 602.31, 0.01112, 0.01106, 0.01119, 0.01106, 274.84, 0.01043, 0.01043, 0.01056, 0.01043, 709.13, 0.0105, 0.01056, 0.01063, 0.0105, 533.69, 0.01059, 0.01072, 0.01072, 0.01059, 481.87, 0.01249 
