@RELATION HistUtility
@ATTRIBUTE open0 NUMERIC
@ATTRIBUTE close0 NUMERIC
@ATTRIBUTE high0 NUMERIC
@ATTRIBUTE low0 NUMERIC
@ATTRIBUTE volumeto0 NUMERIC
@ATTRIBUTE open1 NUMERIC
@ATTRIBUTE close1 NUMERIC
@ATTRIBUTE high1 NUMERIC
@ATTRIBUTE low1 NUMERIC
@ATTRIBUTE volumeto1 NUMERIC
@ATTRIBUTE open2 NUMERIC
@ATTRIBUTE close2 NUMERIC
@ATTRIBUTE high2 NUMERIC
@ATTRIBUTE low2 NUMERIC
@ATTRIBUTE volumeto2 NUMERIC
@ATTRIBUTE open3 NUMERIC
@ATTRIBUTE close3 NUMERIC
@ATTRIBUTE high3 NUMERIC
@ATTRIBUTE low3 NUMERIC
@ATTRIBUTE volumeto3 NUMERIC
@ATTRIBUTE open4 NUMERIC
@ATTRIBUTE close4 NUMERIC
@ATTRIBUTE high4 NUMERIC
@ATTRIBUTE low4 NUMERIC
@ATTRIBUTE volumeto4 NUMERIC
@ATTRIBUTE next_close NUMERIC

@DATA
8.05, 8, 8.09, 7.73, 282514.88, 7.96, 9.24, 9.48, 7.85, 681893.61, 9.2, 8.98, 9.21, 8.58, 426978.08, 8.48, 7.96, 8.48, 7.62, 498438.96, 8.02, 8.06, 8.57, 7.76, 370165.74, 9.5 
7.96, 9.24, 9.48, 7.85, 681893.61, 9.2, 8.98, 9.21, 8.58, 426978.08, 8.48, 7.96, 8.48, 7.62, 498438.96, 8.02, 8.06, 8.57, 7.76, 370165.74, 8.09, 8.37, 8.47, 8.06, 160282.82, 9.31 
9.2, 8.98, 9.21, 8.58, 426978.08, 8.48, 7.96, 8.48, 7.62, 498438.96, 8.02, 8.06, 8.57, 7.76, 370165.74, 8.09, 8.37, 8.47, 8.06, 160282.82, 8.38, 8.09, 8.53, 8.02, 197122.8, 9.14 
8.48, 7.96, 8.48, 7.62, 498438.96, 8.02, 8.06, 8.57, 7.76, 370165.74, 8.09, 8.37, 8.47, 8.06, 160282.82, 8.38, 8.09, 8.53, 8.02, 197122.8, 8.5, 8.87, 9.03, 8.09, 458731.03, 8.96 
8.02, 8.06, 8.57, 7.76, 370165.74, 8.09, 8.37, 8.47, 8.06, 160282.82, 8.38, 8.09, 8.53, 8.02, 197122.8, 8.5, 8.87, 9.03, 8.09, 458731.03, 8.83, 9.37, 9.41, 8.74, 397644.43, 8.82 
8.09, 8.37, 8.47, 8.06, 160282.82, 8.38, 8.09, 8.53, 8.02, 197122.8, 8.5, 8.87, 9.03, 8.09, 458731.03, 8.83, 9.37, 9.41, 8.74, 397644.43, 9.36, 9.97, 10.17, 9.32, 582956.57, 8.68 
8.38, 8.09, 8.53, 8.02, 197122.8, 8.5, 8.87, 9.03, 8.09, 458731.03, 8.83, 9.37, 9.41, 8.74, 397644.43, 9.36, 9.97, 10.17, 9.32, 582956.57, 9.82, 9.5, 9.89, 9.29, 348442.43, 7.1 
8.5, 8.87, 9.03, 8.09, 458731.03, 8.83, 9.37, 9.41, 8.74, 397644.43, 9.36, 9.97, 10.17, 9.32, 582956.57, 9.82, 9.5, 9.89, 9.29, 348442.43, 9.47, 9.31, 9.51, 8.95, 473689.91, 6.51 
8.83, 9.37, 9.41, 8.74, 397644.43, 9.36, 9.97, 10.17, 9.32, 582956.57, 9.82, 9.5, 9.89, 9.29, 348442.43, 9.47, 9.31, 9.51, 8.95, 473689.91, 9.33, 9.14, 9.43, 9.07, 203127.82, 6.17 
9.36, 9.97, 10.17, 9.32, 582956.57, 9.82, 9.5, 9.89, 9.29, 348442.43, 9.47, 9.31, 9.51, 8.95, 473689.91, 9.33, 9.14, 9.43, 9.07, 203127.82, 9.17, 8.96, 9.29, 8.91, 228183.78, 6.25 
9.82, 9.5, 9.89, 9.29, 348442.43, 9.47, 9.31, 9.51, 8.95, 473689.91, 9.33, 9.14, 9.43, 9.07, 203127.82, 9.17, 8.96, 9.29, 8.91, 228183.78, 8.93, 8.82, 9.01, 8.58, 387953.61, 6.16 
9.47, 9.31, 9.51, 8.95, 473689.91, 9.33, 9.14, 9.43, 9.07, 203127.82, 9.17, 8.96, 9.29, 8.91, 228183.78, 8.93, 8.82, 9.01, 8.58, 387953.61, 8.8, 8.68, 8.86, 8.28, 402059.86, 5.91 
9.33, 9.14, 9.43, 9.07, 203127.82, 9.17, 8.96, 9.29, 8.91, 228183.78, 8.93, 8.82, 9.01, 8.58, 387953.61, 8.8, 8.68, 8.86, 8.28, 402059.86, 8.68, 7.1, 8.72, 6.75, 1727082.74, 5.95 
9.17, 8.96, 9.29, 8.91, 228183.78, 8.93, 8.82, 9.01, 8.58, 387953.61, 8.8, 8.68, 8.86, 8.28, 402059.86, 8.68, 7.1, 8.72, 6.75, 1727082.74, 7.09, 6.51, 7.18, 6.18, 1359634.14, 5.88 
8.93, 8.82, 9.01, 8.58, 387953.61, 8.8, 8.68, 8.86, 8.28, 402059.86, 8.68, 7.1, 8.72, 6.75, 1727082.74, 7.09, 6.51, 7.18, 6.18, 1359634.14, 6.52, 6.17, 6.52, 6, 955112.67, 5.78 
8.8, 8.68, 8.86, 8.28, 402059.86, 8.68, 7.1, 8.72, 6.75, 1727082.74, 7.09, 6.51, 7.18, 6.18, 1359634.14, 6.52, 6.17, 6.52, 6, 955112.67, 6.17, 6.25, 6.47, 6.09, 403426.69, 5.94 
8.68, 7.1, 8.72, 6.75, 1727082.74, 7.09, 6.51, 7.18, 6.18, 1359634.14, 6.52, 6.17, 6.52, 6, 955112.67, 6.17, 6.25, 6.47, 6.09, 403426.69, 6.26, 6.16, 6.33, 6.11, 290811.14, 5.83 
7.09, 6.51, 7.18, 6.18, 1359634.14, 6.52, 6.17, 6.52, 6, 955112.67, 6.17, 6.25, 6.47, 6.09, 403426.69, 6.26, 6.16, 6.33, 6.11, 290811.14, 6.02, 5.91, 6.07, 5.73, 479295.56, 5.66 
6.52, 6.17, 6.52, 6, 955112.67, 6.17, 6.25, 6.47, 6.09, 403426.69, 6.26, 6.16, 6.33, 6.11, 290811.14, 6.02, 5.91, 6.07, 5.73, 479295.56, 5.9, 5.95, 5.98, 5.74, 222606.46, 6.22 
6.17, 6.25, 6.47, 6.09, 403426.69, 6.26, 6.16, 6.33, 6.11, 290811.14, 6.02, 5.91, 6.07, 5.73, 479295.56, 5.9, 5.95, 5.98, 5.74, 222606.46, 5.98, 5.88, 6.01, 5.81, 199266.5, 6.88 
6.26, 6.16, 6.33, 6.11, 290811.14, 6.02, 5.91, 6.07, 5.73, 479295.56, 5.9, 5.95, 5.98, 5.74, 222606.46, 5.98, 5.88, 6.01, 5.81, 199266.5, 5.92, 5.78, 5.92, 5.75, 230732.92, 7.05 
6.02, 5.91, 6.07, 5.73, 479295.56, 5.9, 5.95, 5.98, 5.74, 222606.46, 5.98, 5.88, 6.01, 5.81, 199266.5, 5.92, 5.78, 5.92, 5.75, 230732.92, 5.8, 5.94, 6.09, 5.74, 404833.04, 6.44 
5.9, 5.95, 5.98, 5.74, 222606.46, 5.98, 5.88, 6.01, 5.81, 199266.5, 5.92, 5.78, 5.92, 5.75, 230732.92, 5.8, 5.94, 6.09, 5.74, 404833.04, 5.92, 5.83, 5.97, 5.79, 210147.19, 6.48 
5.98, 5.88, 6.01, 5.81, 199266.5, 5.92, 5.78, 5.92, 5.75, 230732.92, 5.8, 5.94, 6.09, 5.74, 404833.04, 5.92, 5.83, 5.97, 5.79, 210147.19, 5.92, 5.66, 5.97, 5.59, 285634.16, 6.56 
5.92, 5.78, 5.92, 5.75, 230732.92, 5.8, 5.94, 6.09, 5.74, 404833.04, 5.92, 5.83, 5.97, 5.79, 210147.19, 5.92, 5.66, 5.97, 5.59, 285634.16, 5.63, 6.22, 6.41, 5.2, 1462585.42, 6.4 
