@RELATION HistUtility
@ATTRIBUTE open0 NUMERIC
@ATTRIBUTE close0 NUMERIC
@ATTRIBUTE high0 NUMERIC
@ATTRIBUTE low0 NUMERIC
@ATTRIBUTE volumeto0 NUMERIC
@ATTRIBUTE open1 NUMERIC
@ATTRIBUTE close1 NUMERIC
@ATTRIBUTE high1 NUMERIC
@ATTRIBUTE low1 NUMERIC
@ATTRIBUTE volumeto1 NUMERIC
@ATTRIBUTE open2 NUMERIC
@ATTRIBUTE close2 NUMERIC
@ATTRIBUTE high2 NUMERIC
@ATTRIBUTE low2 NUMERIC
@ATTRIBUTE volumeto2 NUMERIC
@ATTRIBUTE open3 NUMERIC
@ATTRIBUTE close3 NUMERIC
@ATTRIBUTE high3 NUMERIC
@ATTRIBUTE low3 NUMERIC
@ATTRIBUTE volumeto3 NUMERIC
@ATTRIBUTE open4 NUMERIC
@ATTRIBUTE close4 NUMERIC
@ATTRIBUTE high4 NUMERIC
@ATTRIBUTE low4 NUMERIC
@ATTRIBUTE volumeto4 NUMERIC
@ATTRIBUTE next_close NUMERIC

@DATA
0.3384, 0.3571, 0.3604, 0.3372, 2175200.04, 0.3533, 0.3545, 0.369, 0.3489, 2764859.9, 0.3527, 0.3455, 0.3536, 0.3415, 1512663.35, 0.3498, 0.351, 0.3556, 0.3473, 1425539.65, 0.3533, 0.3492, 0.3546, 0.3462, 1363915.72, 0.3079 
0.3533, 0.3545, 0.369, 0.3489, 2764859.9, 0.3527, 0.3455, 0.3536, 0.3415, 1512663.35, 0.3498, 0.351, 0.3556, 0.3473, 1425539.65, 0.3533, 0.3492, 0.3546, 0.3462, 1363915.72, 0.347, 0.3468, 0.3503, 0.3444, 1026186.87, 0.3102 
0.3527, 0.3455, 0.3536, 0.3415, 1512663.35, 0.3498, 0.351, 0.3556, 0.3473, 1425539.65, 0.3533, 0.3492, 0.3546, 0.3462, 1363915.72, 0.347, 0.3468, 0.3503, 0.3444, 1026186.87, 0.3474, 0.3502, 0.3578, 0.3467, 1234537.55, 0.3209 
0.3498, 0.351, 0.3556, 0.3473, 1425539.65, 0.3533, 0.3492, 0.3546, 0.3462, 1363915.72, 0.347, 0.3468, 0.3503, 0.3444, 1026186.87, 0.3474, 0.3502, 0.3578, 0.3467, 1234537.55, 0.3524, 0.3597, 0.3644, 0.3514, 1755660.92, 0.3202 
0.3533, 0.3492, 0.3546, 0.3462, 1363915.72, 0.347, 0.3468, 0.3503, 0.3444, 1026186.87, 0.3474, 0.3502, 0.3578, 0.3467, 1234537.55, 0.3524, 0.3597, 0.3644, 0.3514, 1755660.92, 0.3584, 0.3552, 0.3623, 0.3477, 1930756.53, 0.3304 
0.347, 0.3468, 0.3503, 0.3444, 1026186.87, 0.3474, 0.3502, 0.3578, 0.3467, 1234537.55, 0.3524, 0.3597, 0.3644, 0.3514, 1755660.92, 0.3584, 0.3552, 0.3623, 0.3477, 1930756.53, 0.3525, 0.3603, 0.3612, 0.3403, 2034580.56, 0.331 
0.3474, 0.3502, 0.3578, 0.3467, 1234537.55, 0.3524, 0.3597, 0.3644, 0.3514, 1755660.92, 0.3584, 0.3552, 0.3623, 0.3477, 1930756.53, 0.3525, 0.3603, 0.3612, 0.3403, 2034580.56, 0.34, 0.3079, 0.341, 0.3072, 2300871.19, 0.3277 
0.3524, 0.3597, 0.3644, 0.3514, 1755660.92, 0.3584, 0.3552, 0.3623, 0.3477, 1930756.53, 0.3525, 0.3603, 0.3612, 0.3403, 2034580.56, 0.34, 0.3079, 0.341, 0.3072, 2300871.19, 0.309, 0.3102, 0.3189, 0.3024, 1406534.59, 0.3173 
0.3584, 0.3552, 0.3623, 0.3477, 1930756.53, 0.3525, 0.3603, 0.3612, 0.3403, 2034580.56, 0.34, 0.3079, 0.341, 0.3072, 2300871.19, 0.309, 0.3102, 0.3189, 0.3024, 1406534.59, 0.311, 0.3209, 0.3256, 0.3104, 1455018.28, 0.3433 
0.3525, 0.3603, 0.3612, 0.3403, 2034580.56, 0.34, 0.3079, 0.341, 0.3072, 2300871.19, 0.309, 0.3102, 0.3189, 0.3024, 1406534.59, 0.311, 0.3209, 0.3256, 0.3104, 1455018.28, 0.3214, 0.3202, 0.3327, 0.3162, 1719291.18, 0.3402 
0.34, 0.3079, 0.341, 0.3072, 2300871.19, 0.309, 0.3102, 0.3189, 0.3024, 1406534.59, 0.311, 0.3209, 0.3256, 0.3104, 1455018.28, 0.3214, 0.3202, 0.3327, 0.3162, 1719291.18, 0.3372, 0.3304, 0.3414, 0.3169, 2350100.63, 0.3325 
