@RELATION HistUtility
@ATTRIBUTE open0 NUMERIC
@ATTRIBUTE close0 NUMERIC
@ATTRIBUTE high0 NUMERIC
@ATTRIBUTE low0 NUMERIC
@ATTRIBUTE volumeto0 NUMERIC
@ATTRIBUTE open1 NUMERIC
@ATTRIBUTE close1 NUMERIC
@ATTRIBUTE high1 NUMERIC
@ATTRIBUTE low1 NUMERIC
@ATTRIBUTE volumeto1 NUMERIC
@ATTRIBUTE open2 NUMERIC
@ATTRIBUTE close2 NUMERIC
@ATTRIBUTE high2 NUMERIC
@ATTRIBUTE low2 NUMERIC
@ATTRIBUTE volumeto2 NUMERIC
@ATTRIBUTE open3 NUMERIC
@ATTRIBUTE close3 NUMERIC
@ATTRIBUTE high3 NUMERIC
@ATTRIBUTE low3 NUMERIC
@ATTRIBUTE volumeto3 NUMERIC
@ATTRIBUTE open4 NUMERIC
@ATTRIBUTE close4 NUMERIC
@ATTRIBUTE high4 NUMERIC
@ATTRIBUTE low4 NUMERIC
@ATTRIBUTE volumeto4 NUMERIC
@ATTRIBUTE next_close NUMERIC

@DATA
0.07067, 0.07021, 0.07246, 0.06889, 230747.81, 0.06991, 0.07162, 0.07202, 0.06905, 158455.85, 0.07087, 0.06956, 0.07217, 0.06695, 576481.74, 0.06921, 0.06849, 0.07057, 0.06596, 183308.72, 0.06942, 0.06981, 0.07501, 0.0683, 122583.31, 0.07996 
0.06991, 0.07162, 0.07202, 0.06905, 158455.85, 0.07087, 0.06956, 0.07217, 0.06695, 576481.74, 0.06921, 0.06849, 0.07057, 0.06596, 183308.72, 0.06942, 0.06981, 0.07501, 0.0683, 122583.31, 0.07037, 0.07276, 0.07389, 0.06958, 176653.34, 0.0883 
0.07087, 0.06956, 0.07217, 0.06695, 576481.74, 0.06921, 0.06849, 0.07057, 0.06596, 183308.72, 0.06942, 0.06981, 0.07501, 0.0683, 122583.31, 0.07037, 0.07276, 0.07389, 0.06958, 176653.34, 0.07229, 0.07295, 0.07295, 0.07058, 267252.89, 0.09295 
0.06921, 0.06849, 0.07057, 0.06596, 183308.72, 0.06942, 0.06981, 0.07501, 0.0683, 122583.31, 0.07037, 0.07276, 0.07389, 0.06958, 176653.34, 0.07229, 0.07295, 0.07295, 0.07058, 267252.89, 0.07321, 0.07532, 0.0804, 0.07162, 337475.16, 0.09388 
0.06942, 0.06981, 0.07501, 0.0683, 122583.31, 0.07037, 0.07276, 0.07389, 0.06958, 176653.34, 0.07229, 0.07295, 0.07295, 0.07058, 267252.89, 0.07321, 0.07532, 0.0804, 0.07162, 337475.16, 0.07588, 0.09383, 0.09842, 0.07382, 2960726.49, 0.09291 
0.07037, 0.07276, 0.07389, 0.06958, 176653.34, 0.07229, 0.07295, 0.07295, 0.07058, 267252.89, 0.07321, 0.07532, 0.0804, 0.07162, 337475.16, 0.07588, 0.09383, 0.09842, 0.07382, 2960726.49, 0.09357, 0.08582, 0.09503, 0.08449, 553920.71, 0.09251 
0.07229, 0.07295, 0.07295, 0.07058, 267252.89, 0.07321, 0.07532, 0.0804, 0.07162, 337475.16, 0.07588, 0.09383, 0.09842, 0.07382, 2960726.49, 0.09357, 0.08582, 0.09503, 0.08449, 553920.71, 0.08516, 0.07996, 0.08634, 0.07647, 238919.94, 0.09006 
0.07321, 0.07532, 0.0804, 0.07162, 337475.16, 0.07588, 0.09383, 0.09842, 0.07382, 2960726.49, 0.09357, 0.08582, 0.09503, 0.08449, 553920.71, 0.08516, 0.07996, 0.08634, 0.07647, 238919.94, 0.07545, 0.0883, 0.1071, 0.07141, 848474.92, 0.09106 
0.07588, 0.09383, 0.09842, 0.07382, 2960726.49, 0.09357, 0.08582, 0.09503, 0.08449, 553920.71, 0.08516, 0.07996, 0.08634, 0.07647, 238919.94, 0.07545, 0.0883, 0.1071, 0.07141, 848474.92, 0.08889, 0.09295, 0.111, 0.07939, 770441.81, 0.08818 
0.09357, 0.08582, 0.09503, 0.08449, 553920.71, 0.08516, 0.07996, 0.08634, 0.07647, 238919.94, 0.07545, 0.0883, 0.1071, 0.07141, 848474.92, 0.08889, 0.09295, 0.111, 0.07939, 770441.81, 0.09319, 0.09388, 0.0947, 0.08617, 311662.2, 0.08662 
