@RELATION HistUtility
@ATTRIBUTE open0 NUMERIC
@ATTRIBUTE close0 NUMERIC
@ATTRIBUTE high0 NUMERIC
@ATTRIBUTE low0 NUMERIC
@ATTRIBUTE volumeto0 NUMERIC
@ATTRIBUTE open1 NUMERIC
@ATTRIBUTE close1 NUMERIC
@ATTRIBUTE high1 NUMERIC
@ATTRIBUTE low1 NUMERIC
@ATTRIBUTE volumeto1 NUMERIC
@ATTRIBUTE open2 NUMERIC
@ATTRIBUTE close2 NUMERIC
@ATTRIBUTE high2 NUMERIC
@ATTRIBUTE low2 NUMERIC
@ATTRIBUTE volumeto2 NUMERIC
@ATTRIBUTE open3 NUMERIC
@ATTRIBUTE close3 NUMERIC
@ATTRIBUTE high3 NUMERIC
@ATTRIBUTE low3 NUMERIC
@ATTRIBUTE volumeto3 NUMERIC
@ATTRIBUTE open4 NUMERIC
@ATTRIBUTE close4 NUMERIC
@ATTRIBUTE high4 NUMERIC
@ATTRIBUTE low4 NUMERIC
@ATTRIBUTE volumeto4 NUMERIC
@ATTRIBUTE next_close NUMERIC

@DATA
0.2528, 0.2429, 0.2528, 0.05706, 485004.72, 0.2303, 0.2285, 0.233, 0.2275, 412349.59, 0.2237, 0.2179, 0.2264, 0.2165, 247496.99, 0.2177, 0.2101, 0.219, 0.2083, 356911.5, 0.2116, 0.2099, 0.2127, 0.2075, 192845.27, 0.2737 
0.2303, 0.2285, 0.233, 0.2275, 412349.59, 0.2237, 0.2179, 0.2264, 0.2165, 247496.99, 0.2177, 0.2101, 0.219, 0.2083, 356911.5, 0.2116, 0.2099, 0.2127, 0.2075, 192845.27, 0.2288, 0.22, 0.2305, 0.2158, 381049.16, 0.2833 
0.2237, 0.2179, 0.2264, 0.2165, 247496.99, 0.2177, 0.2101, 0.219, 0.2083, 356911.5, 0.2116, 0.2099, 0.2127, 0.2075, 192845.27, 0.2288, 0.22, 0.2305, 0.2158, 381049.16, 0.2304, 0.2296, 0.2319, 0.2249, 275803.71, 0.3 
0.2177, 0.2101, 0.219, 0.2083, 356911.5, 0.2116, 0.2099, 0.2127, 0.2075, 192845.27, 0.2288, 0.22, 0.2305, 0.2158, 381049.16, 0.2304, 0.2296, 0.2319, 0.2249, 275803.71, 0.2308, 0.2367, 0.2559, 0.2256, 1394713.65, 0.2742 
0.2116, 0.2099, 0.2127, 0.2075, 192845.27, 0.2288, 0.22, 0.2305, 0.2158, 381049.16, 0.2304, 0.2296, 0.2319, 0.2249, 275803.71, 0.2308, 0.2367, 0.2559, 0.2256, 1394713.65, 0.2622, 0.261, 0.2809, 0.2567, 733224.73, 0.2829 
0.2288, 0.22, 0.2305, 0.2158, 381049.16, 0.2304, 0.2296, 0.2319, 0.2249, 275803.71, 0.2308, 0.2367, 0.2559, 0.2256, 1394713.65, 0.2622, 0.261, 0.2809, 0.2567, 733224.73, 0.2459, 0.2567, 0.2623, 0.2408, 643474.64, 0.2545 
0.2304, 0.2296, 0.2319, 0.2249, 275803.71, 0.2308, 0.2367, 0.2559, 0.2256, 1394713.65, 0.2622, 0.261, 0.2809, 0.2567, 733224.73, 0.2459, 0.2567, 0.2623, 0.2408, 643474.64, 0.2664, 0.2737, 0.2952, 0.2663, 694665.66, 0.3644 
0.2308, 0.2367, 0.2559, 0.2256, 1394713.65, 0.2622, 0.261, 0.2809, 0.2567, 733224.73, 0.2459, 0.2567, 0.2623, 0.2408, 643474.64, 0.2664, 0.2737, 0.2952, 0.2663, 694665.66, 0.2712, 0.2833, 0.2893, 0.2711, 513427.22, 0.3076 
0.2622, 0.261, 0.2809, 0.2567, 733224.73, 0.2459, 0.2567, 0.2623, 0.2408, 643474.64, 0.2664, 0.2737, 0.2952, 0.2663, 694665.66, 0.2712, 0.2833, 0.2893, 0.2711, 513427.22, 0.2886, 0.3, 0.3186, 0.2864, 798409.91, 0.3221 
0.2459, 0.2567, 0.2623, 0.2408, 643474.64, 0.2664, 0.2737, 0.2952, 0.2663, 694665.66, 0.2712, 0.2833, 0.2893, 0.2711, 513427.22, 0.2886, 0.3, 0.3186, 0.2864, 798409.91, 0.2819, 0.2742, 0.282, 0.2577, 426151.47, 0.2863 
0.2664, 0.2737, 0.2952, 0.2663, 694665.66, 0.2712, 0.2833, 0.2893, 0.2711, 513427.22, 0.2886, 0.3, 0.3186, 0.2864, 798409.91, 0.2819, 0.2742, 0.282, 0.2577, 426151.47, 0.2752, 0.2829, 0.2935, 0.2674, 393575.34, 0.3233 
0.2712, 0.2833, 0.2893, 0.2711, 513427.22, 0.2886, 0.3, 0.3186, 0.2864, 798409.91, 0.2819, 0.2742, 0.282, 0.2577, 426151.47, 0.2752, 0.2829, 0.2935, 0.2674, 393575.34, 0.268, 0.2545, 0.2698, 0.2513, 477174.43, 0.3172 
0.2886, 0.3, 0.3186, 0.2864, 798409.91, 0.2819, 0.2742, 0.282, 0.2577, 426151.47, 0.2752, 0.2829, 0.2935, 0.2674, 393575.34, 0.268, 0.2545, 0.2698, 0.2513, 477174.43, 0.2755, 0.3644, 0.4619, 0.2747, 7870882.97, 0.3056 
0.2819, 0.2742, 0.282, 0.2577, 426151.47, 0.2752, 0.2829, 0.2935, 0.2674, 393575.34, 0.268, 0.2545, 0.2698, 0.2513, 477174.43, 0.2755, 0.3644, 0.4619, 0.2747, 7870882.97, 0.3505, 0.3076, 0.3546, 0.3055, 1714347.26, 0.3117 
0.2752, 0.2829, 0.2935, 0.2674, 393575.34, 0.268, 0.2545, 0.2698, 0.2513, 477174.43, 0.2755, 0.3644, 0.4619, 0.2747, 7870882.97, 0.3505, 0.3076, 0.3546, 0.3055, 1714347.26, 0.3156, 0.3221, 0.3364, 0.3107, 948973.05, 0.3174 
0.268, 0.2545, 0.2698, 0.2513, 477174.43, 0.2755, 0.3644, 0.4619, 0.2747, 7870882.97, 0.3505, 0.3076, 0.3546, 0.3055, 1714347.26, 0.3156, 0.3221, 0.3364, 0.3107, 948973.05, 0.3098, 0.2863, 0.3144, 0.2852, 609133.29, 0.3407 
0.2755, 0.3644, 0.4619, 0.2747, 7870882.97, 0.3505, 0.3076, 0.3546, 0.3055, 1714347.26, 0.3156, 0.3221, 0.3364, 0.3107, 948973.05, 0.3098, 0.2863, 0.3144, 0.2852, 609133.29, 0.2964, 0.3233, 0.3282, 0.2888, 782288.86, 0.3364 
0.3505, 0.3076, 0.3546, 0.3055, 1714347.26, 0.3156, 0.3221, 0.3364, 0.3107, 948973.05, 0.3098, 0.2863, 0.3144, 0.2852, 609133.29, 0.2964, 0.3233, 0.3282, 0.2888, 782288.86, 0.33, 0.3172, 0.3339, 0.3135, 470253.76, 0.3578 
0.3156, 0.3221, 0.3364, 0.3107, 948973.05, 0.3098, 0.2863, 0.3144, 0.2852, 609133.29, 0.2964, 0.3233, 0.3282, 0.2888, 782288.86, 0.33, 0.3172, 0.3339, 0.3135, 470253.76, 0.3072, 0.3056, 0.3124, 0.2987, 313806.48, 0.3561 
0.3098, 0.2863, 0.3144, 0.2852, 609133.29, 0.2964, 0.3233, 0.3282, 0.2888, 782288.86, 0.33, 0.3172, 0.3339, 0.3135, 470253.76, 0.3072, 0.3056, 0.3124, 0.2987, 313806.48, 0.3086, 0.3117, 0.3163, 0.3054, 222367.76, 0.3019 
0.2964, 0.3233, 0.3282, 0.2888, 782288.86, 0.33, 0.3172, 0.3339, 0.3135, 470253.76, 0.3072, 0.3056, 0.3124, 0.2987, 313806.48, 0.3086, 0.3117, 0.3163, 0.3054, 222367.76, 0.3102, 0.3174, 0.3231, 0.3088, 330468.21, 0.2934 
0.33, 0.3172, 0.3339, 0.3135, 470253.76, 0.3072, 0.3056, 0.3124, 0.2987, 313806.48, 0.3086, 0.3117, 0.3163, 0.3054, 222367.76, 0.3102, 0.3174, 0.3231, 0.3088, 330468.21, 0.3378, 0.3407, 0.3629, 0.3317, 623987.18, 0.2973 
0.3072, 0.3056, 0.3124, 0.2987, 313806.48, 0.3086, 0.3117, 0.3163, 0.3054, 222367.76, 0.3102, 0.3174, 0.3231, 0.3088, 330468.21, 0.3378, 0.3407, 0.3629, 0.3317, 623987.18, 0.3363, 0.3364, 0.3563, 0.3304, 380729.47, 0.2718 
0.3086, 0.3117, 0.3163, 0.3054, 222367.76, 0.3102, 0.3174, 0.3231, 0.3088, 330468.21, 0.3378, 0.3407, 0.3629, 0.3317, 623987.18, 0.3363, 0.3364, 0.3563, 0.3304, 380729.47, 0.3356, 0.3578, 0.3663, 0.3356, 571229.5, 0.2918 
0.3102, 0.3174, 0.3231, 0.3088, 330468.21, 0.3378, 0.3407, 0.3629, 0.3317, 623987.18, 0.3363, 0.3364, 0.3563, 0.3304, 380729.47, 0.3356, 0.3578, 0.3663, 0.3356, 571229.5, 0.3584, 0.3561, 0.3673, 0.3514, 448376.04, 0.2858 
0.3378, 0.3407, 0.3629, 0.3317, 623987.18, 0.3363, 0.3364, 0.3563, 0.3304, 380729.47, 0.3356, 0.3578, 0.3663, 0.3356, 571229.5, 0.3584, 0.3561, 0.3673, 0.3514, 448376.04, 0.3227, 0.3019, 0.3297, 0.2945, 638297.67, 0.2981 
0.3363, 0.3364, 0.3563, 0.3304, 380729.47, 0.3356, 0.3578, 0.3663, 0.3356, 571229.5, 0.3584, 0.3561, 0.3673, 0.3514, 448376.04, 0.3227, 0.3019, 0.3297, 0.2945, 638297.67, 0.302, 0.2934, 0.3092, 0.2879, 317347.74, 0.3125 
0.3356, 0.3578, 0.3663, 0.3356, 571229.5, 0.3584, 0.3561, 0.3673, 0.3514, 448376.04, 0.3227, 0.3019, 0.3297, 0.2945, 638297.67, 0.302, 0.2934, 0.3092, 0.2879, 317347.74, 0.293, 0.2973, 0.3042, 0.2921, 172468.67, 0.2871 
0.3584, 0.3561, 0.3673, 0.3514, 448376.04, 0.3227, 0.3019, 0.3297, 0.2945, 638297.67, 0.302, 0.2934, 0.3092, 0.2879, 317347.74, 0.293, 0.2973, 0.3042, 0.2921, 172468.67, 0.2881, 0.2718, 0.2894, 0.2714, 243780.08, 0.2911 
0.3227, 0.3019, 0.3297, 0.2945, 638297.67, 0.302, 0.2934, 0.3092, 0.2879, 317347.74, 0.293, 0.2973, 0.3042, 0.2921, 172468.67, 0.2881, 0.2718, 0.2894, 0.2714, 243780.08, 0.2835, 0.2918, 0.2959, 0.2812, 211580.49, 0.2804 
0.302, 0.2934, 0.3092, 0.2879, 317347.74, 0.293, 0.2973, 0.3042, 0.2921, 172468.67, 0.2881, 0.2718, 0.2894, 0.2714, 243780.08, 0.2835, 0.2918, 0.2959, 0.2812, 211580.49, 0.2853, 0.2858, 0.2922, 0.2809, 125807.63, 0.2784 
0.293, 0.2973, 0.3042, 0.2921, 172468.67, 0.2881, 0.2718, 0.2894, 0.2714, 243780.08, 0.2835, 0.2918, 0.2959, 0.2812, 211580.49, 0.2853, 0.2858, 0.2922, 0.2809, 125807.63, 0.2876, 0.2981, 0.3077, 0.2827, 311547.02, 0.2872 
0.2881, 0.2718, 0.2894, 0.2714, 243780.08, 0.2835, 0.2918, 0.2959, 0.2812, 211580.49, 0.2853, 0.2858, 0.2922, 0.2809, 125807.63, 0.2876, 0.2981, 0.3077, 0.2827, 311547.02, 0.3015, 0.3125, 0.3177, 0.3006, 231777.67, 0.2917 
