@RELATION HistUtility
@ATTRIBUTE open0 NUMERIC
@ATTRIBUTE close0 NUMERIC
@ATTRIBUTE high0 NUMERIC
@ATTRIBUTE low0 NUMERIC
@ATTRIBUTE volumeto0 NUMERIC
@ATTRIBUTE open1 NUMERIC
@ATTRIBUTE close1 NUMERIC
@ATTRIBUTE high1 NUMERIC
@ATTRIBUTE low1 NUMERIC
@ATTRIBUTE volumeto1 NUMERIC
@ATTRIBUTE open2 NUMERIC
@ATTRIBUTE close2 NUMERIC
@ATTRIBUTE high2 NUMERIC
@ATTRIBUTE low2 NUMERIC
@ATTRIBUTE volumeto2 NUMERIC
@ATTRIBUTE open3 NUMERIC
@ATTRIBUTE close3 NUMERIC
@ATTRIBUTE high3 NUMERIC
@ATTRIBUTE low3 NUMERIC
@ATTRIBUTE volumeto3 NUMERIC
@ATTRIBUTE open4 NUMERIC
@ATTRIBUTE close4 NUMERIC
@ATTRIBUTE high4 NUMERIC
@ATTRIBUTE low4 NUMERIC
@ATTRIBUTE volumeto4 NUMERIC
@ATTRIBUTE next_close NUMERIC

@DATA
0.02998, 0.02883, 0.03085, 0.02865, 429940.15, 0.02733, 0.02826, 0.02875, 0.02713, 313291.68, 0.02766, 0.02844, 0.02863, 0.0266, 460085.42, 0.02841, 0.02887, 0.02993, 0.02696, 432020, 0.02907, 0.03275, 0.03643, 0.02891, 3746483.34, 0.04284 
0.02733, 0.02826, 0.02875, 0.02713, 313291.68, 0.02766, 0.02844, 0.02863, 0.0266, 460085.42, 0.02841, 0.02887, 0.02993, 0.02696, 432020, 0.02907, 0.03275, 0.03643, 0.02891, 3746483.34, 0.03569, 0.03385, 0.0358, 0.03318, 1272658.99, 0.04364 
0.02766, 0.02844, 0.02863, 0.0266, 460085.42, 0.02841, 0.02887, 0.02993, 0.02696, 432020, 0.02907, 0.03275, 0.03643, 0.02891, 3746483.34, 0.03569, 0.03385, 0.0358, 0.03318, 1272658.99, 0.03545, 0.03686, 0.0379, 0.03378, 1481386.08, 0.04486 
0.02841, 0.02887, 0.02993, 0.02696, 432020, 0.02907, 0.03275, 0.03643, 0.02891, 3746483.34, 0.03569, 0.03385, 0.0358, 0.03318, 1272658.99, 0.03545, 0.03686, 0.0379, 0.03378, 1481386.08, 0.03707, 0.03535, 0.03763, 0.03374, 1016656.47, 0.03892 
0.02907, 0.03275, 0.03643, 0.02891, 3746483.34, 0.03569, 0.03385, 0.0358, 0.03318, 1272658.99, 0.03545, 0.03686, 0.0379, 0.03378, 1481386.08, 0.03707, 0.03535, 0.03763, 0.03374, 1016656.47, 0.03914, 0.04179, 0.04204, 0.03894, 1037176.47, 0.04049 
0.03569, 0.03385, 0.0358, 0.03318, 1272658.99, 0.03545, 0.03686, 0.0379, 0.03378, 1481386.08, 0.03707, 0.03535, 0.03763, 0.03374, 1016656.47, 0.03914, 0.04179, 0.04204, 0.03894, 1037176.47, 0.03938, 0.04304, 0.04928, 0.03817, 2207122.15, 0.04054 
0.03545, 0.03686, 0.0379, 0.03378, 1481386.08, 0.03707, 0.03535, 0.03763, 0.03374, 1016656.47, 0.03914, 0.04179, 0.04204, 0.03894, 1037176.47, 0.03938, 0.04304, 0.04928, 0.03817, 2207122.15, 0.04466, 0.04284, 0.04648, 0.04203, 736647.88, 0.04291 
0.03707, 0.03535, 0.03763, 0.03374, 1016656.47, 0.03914, 0.04179, 0.04204, 0.03894, 1037176.47, 0.03938, 0.04304, 0.04928, 0.03817, 2207122.15, 0.04466, 0.04284, 0.04648, 0.04203, 736647.88, 0.04244, 0.04364, 0.04585, 0.04196, 557312.24, 0.04207 
0.03914, 0.04179, 0.04204, 0.03894, 1037176.47, 0.03938, 0.04304, 0.04928, 0.03817, 2207122.15, 0.04466, 0.04284, 0.04648, 0.04203, 736647.88, 0.04244, 0.04364, 0.04585, 0.04196, 557312.24, 0.04445, 0.04486, 0.04576, 0.04331, 619552.23, 0.04075 
0.03938, 0.04304, 0.04928, 0.03817, 2207122.15, 0.04466, 0.04284, 0.04648, 0.04203, 736647.88, 0.04244, 0.04364, 0.04585, 0.04196, 557312.24, 0.04445, 0.04486, 0.04576, 0.04331, 619552.23, 0.04214, 0.03892, 0.04222, 0.03839, 394920.87, 0.03751 
