@RELATION HistUtility
@ATTRIBUTE open0 NUMERIC
@ATTRIBUTE close0 NUMERIC
@ATTRIBUTE high0 NUMERIC
@ATTRIBUTE low0 NUMERIC
@ATTRIBUTE volumeto0 NUMERIC
@ATTRIBUTE open1 NUMERIC
@ATTRIBUTE close1 NUMERIC
@ATTRIBUTE high1 NUMERIC
@ATTRIBUTE low1 NUMERIC
@ATTRIBUTE volumeto1 NUMERIC
@ATTRIBUTE open2 NUMERIC
@ATTRIBUTE close2 NUMERIC
@ATTRIBUTE high2 NUMERIC
@ATTRIBUTE low2 NUMERIC
@ATTRIBUTE volumeto2 NUMERIC
@ATTRIBUTE open3 NUMERIC
@ATTRIBUTE close3 NUMERIC
@ATTRIBUTE high3 NUMERIC
@ATTRIBUTE low3 NUMERIC
@ATTRIBUTE volumeto3 NUMERIC
@ATTRIBUTE open4 NUMERIC
@ATTRIBUTE close4 NUMERIC
@ATTRIBUTE high4 NUMERIC
@ATTRIBUTE low4 NUMERIC
@ATTRIBUTE volumeto4 NUMERIC
@ATTRIBUTE next_close NUMERIC

@DATA
1.86, 2.01, 2.09, 1.83, 21097203.96, 2.01, 1.87, 2.03, 1.84, 18438095.67, 1.87, 1.85, 1.92, 1.77, 13291604.42, 1.85, 1.93, 1.97, 1.81, 11004447.93, 1.93, 1.95, 2.03, 1.92, 13267052.81, 2.69 
2.01, 1.87, 2.03, 1.84, 18438095.67, 1.87, 1.85, 1.92, 1.77, 13291604.42, 1.85, 1.93, 1.97, 1.81, 11004447.93, 1.93, 1.95, 2.03, 1.92, 13267052.81, 1.95, 2.45, 2.57, 1.94, 43738929.81, 2.87 
1.87, 1.85, 1.92, 1.77, 13291604.42, 1.85, 1.93, 1.97, 1.81, 11004447.93, 1.93, 1.95, 2.03, 1.92, 13267052.81, 1.95, 2.45, 2.57, 1.94, 43738929.81, 2.45, 2.7, 2.77, 2.4, 47567302.73, 2.83 
1.85, 1.93, 1.97, 1.81, 11004447.93, 1.93, 1.95, 2.03, 1.92, 13267052.81, 1.95, 2.45, 2.57, 1.94, 43738929.81, 2.45, 2.7, 2.77, 2.4, 47567302.73, 2.7, 2.52, 2.88, 2.5, 50118256.14, 2.58 
1.93, 1.95, 2.03, 1.92, 13267052.81, 1.95, 2.45, 2.57, 1.94, 43738929.81, 2.45, 2.7, 2.77, 2.4, 47567302.73, 2.7, 2.52, 2.88, 2.5, 50118256.14, 2.52, 2.8, 2.88, 2.49, 46831797.03, 2.65 
1.95, 2.45, 2.57, 1.94, 43738929.81, 2.45, 2.7, 2.77, 2.4, 47567302.73, 2.7, 2.52, 2.88, 2.5, 50118256.14, 2.52, 2.8, 2.88, 2.49, 46831797.03, 2.8, 2.67, 2.9, 2.56, 33019183.43, 2.36 
2.45, 2.7, 2.77, 2.4, 47567302.73, 2.7, 2.52, 2.88, 2.5, 50118256.14, 2.52, 2.8, 2.88, 2.49, 46831797.03, 2.8, 2.67, 2.9, 2.56, 33019183.43, 2.67, 2.69, 2.71, 2.53, 17270225.22, 2.74 
2.7, 2.52, 2.88, 2.5, 50118256.14, 2.52, 2.8, 2.88, 2.49, 46831797.03, 2.8, 2.67, 2.9, 2.56, 33019183.43, 2.67, 2.69, 2.71, 2.53, 17270225.22, 2.69, 2.87, 3.09, 2.67, 36144060.44, 2.69 
2.52, 2.8, 2.88, 2.49, 46831797.03, 2.8, 2.67, 2.9, 2.56, 33019183.43, 2.67, 2.69, 2.71, 2.53, 17270225.22, 2.69, 2.87, 3.09, 2.67, 36144060.44, 2.87, 2.83, 3.2, 2.81, 46459246.23, 2.75 
2.8, 2.67, 2.9, 2.56, 33019183.43, 2.67, 2.69, 2.71, 2.53, 17270225.22, 2.69, 2.87, 3.09, 2.67, 36144060.44, 2.87, 2.83, 3.2, 2.81, 46459246.23, 2.83, 2.58, 2.83, 2.47, 28729205.24, 2.62 
2.67, 2.69, 2.71, 2.53, 17270225.22, 2.69, 2.87, 3.09, 2.67, 36144060.44, 2.87, 2.83, 3.2, 2.81, 46459246.23, 2.83, 2.58, 2.83, 2.47, 28729205.24, 2.58, 2.65, 2.76, 2.53, 20058223.49, 2.73 
2.69, 2.87, 3.09, 2.67, 36144060.44, 2.87, 2.83, 3.2, 2.81, 46459246.23, 2.83, 2.58, 2.83, 2.47, 28729205.24, 2.58, 2.65, 2.76, 2.53, 20058223.49, 2.65, 2.36, 2.67, 2.32, 22400896, 2.96 
2.87, 2.83, 3.2, 2.81, 46459246.23, 2.83, 2.58, 2.83, 2.47, 28729205.24, 2.58, 2.65, 2.76, 2.53, 20058223.49, 2.65, 2.36, 2.67, 2.32, 22400896, 2.36, 2.74, 2.8, 2.31, 28234147.8, 2.75 
2.83, 2.58, 2.83, 2.47, 28729205.24, 2.58, 2.65, 2.76, 2.53, 20058223.49, 2.65, 2.36, 2.67, 2.32, 22400896, 2.36, 2.74, 2.8, 2.31, 28234147.8, 2.74, 2.69, 2.88, 2.65, 19291961.6, 2.79 
2.58, 2.65, 2.76, 2.53, 20058223.49, 2.65, 2.36, 2.67, 2.32, 22400896, 2.36, 2.74, 2.8, 2.31, 28234147.8, 2.74, 2.69, 2.88, 2.65, 19291961.6, 2.69, 2.75, 2.77, 2.58, 12624932.01, 2.75 
2.65, 2.36, 2.67, 2.32, 22400896, 2.36, 2.74, 2.8, 2.31, 28234147.8, 2.74, 2.69, 2.88, 2.65, 19291961.6, 2.69, 2.75, 2.77, 2.58, 12624932.01, 2.75, 2.62, 2.76, 2.54, 14690342.55, 2.94 
2.36, 2.74, 2.8, 2.31, 28234147.8, 2.74, 2.69, 2.88, 2.65, 19291961.6, 2.69, 2.75, 2.77, 2.58, 12624932.01, 2.75, 2.62, 2.76, 2.54, 14690342.55, 2.62, 2.73, 2.76, 2.58, 12780031.3, 2.83 
