@RELATION HistUtility
@ATTRIBUTE open0 NUMERIC
@ATTRIBUTE close0 NUMERIC
@ATTRIBUTE high0 NUMERIC
@ATTRIBUTE low0 NUMERIC
@ATTRIBUTE volumeto0 NUMERIC
@ATTRIBUTE open1 NUMERIC
@ATTRIBUTE close1 NUMERIC
@ATTRIBUTE high1 NUMERIC
@ATTRIBUTE low1 NUMERIC
@ATTRIBUTE volumeto1 NUMERIC
@ATTRIBUTE open2 NUMERIC
@ATTRIBUTE close2 NUMERIC
@ATTRIBUTE high2 NUMERIC
@ATTRIBUTE low2 NUMERIC
@ATTRIBUTE volumeto2 NUMERIC
@ATTRIBUTE open3 NUMERIC
@ATTRIBUTE close3 NUMERIC
@ATTRIBUTE high3 NUMERIC
@ATTRIBUTE low3 NUMERIC
@ATTRIBUTE volumeto3 NUMERIC
@ATTRIBUTE open4 NUMERIC
@ATTRIBUTE close4 NUMERIC
@ATTRIBUTE high4 NUMERIC
@ATTRIBUTE low4 NUMERIC
@ATTRIBUTE volumeto4 NUMERIC
@ATTRIBUTE next_close NUMERIC

@DATA
11.4, 11.33, 11.43, 11.13, 4242676.26, 11.33, 11.22, 11.36, 11.07, 4006183.75, 11.22, 11.13, 11.36, 11.11, 3778667.13, 11.13, 11.1, 11.16, 10.86, 4590018.2, 11.1, 11.07, 11.22, 11, 3464990.87, 10.85 
11.33, 11.22, 11.36, 11.07, 4006183.75, 11.22, 11.13, 11.36, 11.11, 3778667.13, 11.13, 11.1, 11.16, 10.86, 4590018.2, 11.1, 11.07, 11.22, 11, 3464990.87, 11.07, 11.09, 11.17, 10.95, 2796658.89, 9.15 
11.22, 11.13, 11.36, 11.11, 3778667.13, 11.13, 11.1, 11.16, 10.86, 4590018.2, 11.1, 11.07, 11.22, 11, 3464990.87, 11.07, 11.09, 11.17, 10.95, 2796658.89, 11.09, 10.93, 11.09, 10.86, 2387386.61, 9.49 
11.13, 11.1, 11.16, 10.86, 4590018.2, 11.1, 11.07, 11.22, 11, 3464990.87, 11.07, 11.09, 11.17, 10.95, 2796658.89, 11.09, 10.93, 11.09, 10.86, 2387386.61, 10.93, 10.93, 10.99, 10.68, 2826959.44, 9.48 
11.1, 11.07, 11.22, 11, 3464990.87, 11.07, 11.09, 11.17, 10.95, 2796658.89, 11.09, 10.93, 11.09, 10.86, 2387386.61, 10.93, 10.93, 10.99, 10.68, 2826959.44, 10.93, 10.96, 11.04, 10.83, 2851476.94, 9.37 
11.07, 11.09, 11.17, 10.95, 2796658.89, 11.09, 10.93, 11.09, 10.86, 2387386.61, 10.93, 10.93, 10.99, 10.68, 2826959.44, 10.93, 10.96, 11.04, 10.83, 2851476.94, 10.96, 10.91, 10.99, 10.84, 2125282.86, 9.92 
11.09, 10.93, 11.09, 10.86, 2387386.61, 10.93, 10.93, 10.99, 10.68, 2826959.44, 10.93, 10.96, 11.04, 10.83, 2851476.94, 10.96, 10.91, 10.99, 10.84, 2125282.86, 10.91, 10.85, 10.91, 10.7, 2530675.51, 9.76 
10.93, 10.93, 10.99, 10.68, 2826959.44, 10.93, 10.96, 11.04, 10.83, 2851476.94, 10.96, 10.91, 10.99, 10.84, 2125282.86, 10.91, 10.85, 10.91, 10.7, 2530675.51, 10.85, 9.15, 10.86, 8.99, 17339614.16, 9.88 
10.93, 10.96, 11.04, 10.83, 2851476.94, 10.96, 10.91, 10.99, 10.84, 2125282.86, 10.91, 10.85, 10.91, 10.7, 2530675.51, 10.85, 9.15, 10.86, 8.99, 17339614.16, 9.15, 9.49, 9.71, 9.08, 5701683.91, 9.67 
10.96, 10.91, 10.99, 10.84, 2125282.86, 10.91, 10.85, 10.91, 10.7, 2530675.51, 10.85, 9.15, 10.86, 8.99, 17339614.16, 9.15, 9.49, 9.71, 9.08, 5701683.91, 9.49, 9.48, 9.59, 9.41, 2060127.81, 9.6 
10.91, 10.85, 10.91, 10.7, 2530675.51, 10.85, 9.15, 10.86, 8.99, 17339614.16, 9.15, 9.49, 9.71, 9.08, 5701683.91, 9.49, 9.48, 9.59, 9.41, 2060127.81, 9.48, 9.37, 9.66, 9.33, 2062624.72, 9.66 
10.85, 9.15, 10.86, 8.99, 17339614.16, 9.15, 9.49, 9.71, 9.08, 5701683.91, 9.49, 9.48, 9.59, 9.41, 2060127.81, 9.48, 9.37, 9.66, 9.33, 2062624.72, 9.37, 9.92, 10.75, 9.28, 18049152.07, 9.63 
9.15, 9.49, 9.71, 9.08, 5701683.91, 9.49, 9.48, 9.59, 9.41, 2060127.81, 9.48, 9.37, 9.66, 9.33, 2062624.72, 9.37, 9.92, 10.75, 9.28, 18049152.07, 9.92, 9.76, 10.02, 9.56, 2340454.02, 10.11 
9.49, 9.48, 9.59, 9.41, 2060127.81, 9.48, 9.37, 9.66, 9.33, 2062624.72, 9.37, 9.92, 10.75, 9.28, 18049152.07, 9.92, 9.76, 10.02, 9.56, 2340454.02, 9.76, 9.88, 10.09, 9.45, 3948698.88, 9.84 
9.48, 9.37, 9.66, 9.33, 2062624.72, 9.37, 9.92, 10.75, 9.28, 18049152.07, 9.92, 9.76, 10.02, 9.56, 2340454.02, 9.76, 9.88, 10.09, 9.45, 3948698.88, 9.88, 9.67, 9.93, 9.6, 2738110.69, 9.77 
9.37, 9.92, 10.75, 9.28, 18049152.07, 9.92, 9.76, 10.02, 9.56, 2340454.02, 9.76, 9.88, 10.09, 9.45, 3948698.88, 9.88, 9.67, 9.93, 9.6, 2738110.69, 9.67, 9.6, 9.76, 9.46, 2140896, 9.71 
9.92, 9.76, 10.02, 9.56, 2340454.02, 9.76, 9.88, 10.09, 9.45, 3948698.88, 9.88, 9.67, 9.93, 9.6, 2738110.69, 9.67, 9.6, 9.76, 9.46, 2140896, 9.6, 9.66, 9.72, 9.52, 965966.4, 9.66 
9.76, 9.88, 10.09, 9.45, 3948698.88, 9.88, 9.67, 9.93, 9.6, 2738110.69, 9.67, 9.6, 9.76, 9.46, 2140896, 9.6, 9.66, 9.72, 9.52, 965966.4, 9.66, 9.63, 9.81, 9.55, 1649212.64, 9.61 
9.88, 9.67, 9.93, 9.6, 2738110.69, 9.67, 9.6, 9.76, 9.46, 2140896, 9.6, 9.66, 9.72, 9.52, 965966.4, 9.66, 9.63, 9.81, 9.55, 1649212.64, 9.63, 10.11, 10.3, 9.53, 7048762.73, 9.59 
9.67, 9.6, 9.76, 9.46, 2140896, 9.6, 9.66, 9.72, 9.52, 965966.4, 9.66, 9.63, 9.81, 9.55, 1649212.64, 9.63, 10.11, 10.3, 9.53, 7048762.73, 10.11, 9.84, 10.24, 9.74, 4638637.33, 9.07 
9.6, 9.66, 9.72, 9.52, 965966.4, 9.66, 9.63, 9.81, 9.55, 1649212.64, 9.63, 10.11, 10.3, 9.53, 7048762.73, 10.11, 9.84, 10.24, 9.74, 4638637.33, 9.84, 9.77, 9.99, 9.65, 3548978.45, 9 
9.66, 9.63, 9.81, 9.55, 1649212.64, 9.63, 10.11, 10.3, 9.53, 7048762.73, 10.11, 9.84, 10.24, 9.74, 4638637.33, 9.84, 9.77, 9.99, 9.65, 3548978.45, 9.77, 9.71, 9.85, 9.59, 1939473.61, 9.04 
9.63, 10.11, 10.3, 9.53, 7048762.73, 10.11, 9.84, 10.24, 9.74, 4638637.33, 9.84, 9.77, 9.99, 9.65, 3548978.45, 9.77, 9.71, 9.85, 9.59, 1939473.61, 9.71, 9.66, 9.79, 9.57, 2315416.21, 9.07 
10.11, 9.84, 10.24, 9.74, 4638637.33, 9.84, 9.77, 9.99, 9.65, 3548978.45, 9.77, 9.71, 9.85, 9.59, 1939473.61, 9.71, 9.66, 9.79, 9.57, 2315416.21, 9.66, 9.61, 9.71, 9.54, 1411716.38, 9.16 
9.84, 9.77, 9.99, 9.65, 3548978.45, 9.77, 9.71, 9.85, 9.59, 1939473.61, 9.71, 9.66, 9.79, 9.57, 2315416.21, 9.66, 9.61, 9.71, 9.54, 1411716.38, 9.61, 9.59, 9.64, 9.52, 2179207.34, 9.11 
9.77, 9.71, 9.85, 9.59, 1939473.61, 9.71, 9.66, 9.79, 9.57, 2315416.21, 9.66, 9.61, 9.71, 9.54, 1411716.38, 9.61, 9.59, 9.64, 9.52, 2179207.34, 9.59, 9.07, 9.72, 8.97, 7419852.03, 9.51 
9.71, 9.66, 9.79, 9.57, 2315416.21, 9.66, 9.61, 9.71, 9.54, 1411716.38, 9.61, 9.59, 9.64, 9.52, 2179207.34, 9.59, 9.07, 9.72, 8.97, 7419852.03, 9.07, 9, 9.18, 8.91, 3278807.57, 9.44 
