@RELATION HistUtility
@ATTRIBUTE open0 NUMERIC
@ATTRIBUTE close0 NUMERIC
@ATTRIBUTE high0 NUMERIC
@ATTRIBUTE low0 NUMERIC
@ATTRIBUTE volumeto0 NUMERIC
@ATTRIBUTE open1 NUMERIC
@ATTRIBUTE close1 NUMERIC
@ATTRIBUTE high1 NUMERIC
@ATTRIBUTE low1 NUMERIC
@ATTRIBUTE volumeto1 NUMERIC
@ATTRIBUTE open2 NUMERIC
@ATTRIBUTE close2 NUMERIC
@ATTRIBUTE high2 NUMERIC
@ATTRIBUTE low2 NUMERIC
@ATTRIBUTE volumeto2 NUMERIC
@ATTRIBUTE open3 NUMERIC
@ATTRIBUTE close3 NUMERIC
@ATTRIBUTE high3 NUMERIC
@ATTRIBUTE low3 NUMERIC
@ATTRIBUTE volumeto3 NUMERIC
@ATTRIBUTE open4 NUMERIC
@ATTRIBUTE close4 NUMERIC
@ATTRIBUTE high4 NUMERIC
@ATTRIBUTE low4 NUMERIC
@ATTRIBUTE volumeto4 NUMERIC
@ATTRIBUTE next_close NUMERIC

@DATA
231.32, 232.6, 238.9, 226.14, 120465654.64, 232.6, 230.89, 235.42, 224.54, 89553376.83, 230.9, 225.41, 231.65, 222.43, 69760408.18, 225.42, 219.97, 225.68, 214.98, 115425803.23, 219.97, 221.76, 226.3, 219.01, 94094782.89, 225.26 
232.6, 230.89, 235.42, 224.54, 89553376.83, 230.9, 225.41, 231.65, 222.43, 69760408.18, 225.42, 219.97, 225.68, 214.98, 115425803.23, 219.97, 221.76, 226.3, 219.01, 94094782.89, 221.76, 227.9, 231.91, 219.06, 90777990.83, 189.83 
230.9, 225.41, 231.65, 222.43, 69760408.18, 225.42, 219.97, 225.68, 214.98, 115425803.23, 219.97, 221.76, 226.3, 219.01, 94094782.89, 221.76, 227.9, 231.91, 219.06, 90777990.83, 227.9, 224.62, 228.42, 222.82, 58388239.53, 195.97 
225.42, 219.97, 225.68, 214.98, 115425803.23, 219.97, 221.76, 226.3, 219.01, 94094782.89, 221.76, 227.9, 231.91, 219.06, 90777990.83, 227.9, 224.62, 228.42, 222.82, 58388239.53, 224.62, 225.65, 226.87, 220.75, 58001835.76, 199.45 
219.97, 221.76, 226.3, 219.01, 94094782.89, 221.76, 227.9, 231.91, 219.06, 90777990.83, 227.9, 224.62, 228.42, 222.82, 58388239.53, 224.62, 225.65, 226.87, 220.75, 58001835.76, 225.65, 229.33, 232.31, 223.65, 119060366.86, 194.99 
221.76, 227.9, 231.91, 219.06, 90777990.83, 227.9, 224.62, 228.42, 222.82, 58388239.53, 224.62, 225.65, 226.87, 220.75, 58001835.76, 225.65, 229.33, 232.31, 223.65, 119060366.86, 229.33, 227.49, 230.17, 226.08, 57089428.32, 210.8 
227.9, 224.62, 228.42, 222.82, 58388239.53, 224.62, 225.65, 226.87, 220.75, 58001835.76, 225.65, 229.33, 232.31, 223.65, 119060366.86, 229.33, 227.49, 230.17, 226.08, 57089428.32, 227.49, 225.26, 227.53, 222.63, 79427315.13, 210.22 
224.62, 225.65, 226.87, 220.75, 58001835.76, 225.65, 229.33, 232.31, 223.65, 119060366.86, 229.33, 227.49, 230.17, 226.08, 57089428.32, 227.49, 225.26, 227.53, 222.63, 79427315.13, 225.26, 189.83, 225.26, 186.88, 280686354.91, 207.6 
225.65, 229.33, 232.31, 223.65, 119060366.86, 229.33, 227.49, 230.17, 226.08, 57089428.32, 227.49, 225.26, 227.53, 222.63, 79427315.13, 225.26, 189.83, 225.26, 186.88, 280686354.91, 189.83, 195.97, 200.04, 188.43, 122749873.55, 202.49 
229.33, 227.49, 230.17, 226.08, 57089428.32, 227.49, 225.26, 227.53, 222.63, 79427315.13, 225.26, 189.83, 225.26, 186.88, 280686354.91, 189.83, 195.97, 200.04, 188.43, 122749873.55, 195.97, 199.45, 201.04, 195.41, 50575220.87, 202.86 
227.49, 225.26, 227.53, 222.63, 79427315.13, 225.26, 189.83, 225.26, 186.88, 280686354.91, 189.83, 195.97, 200.04, 188.43, 122749873.55, 195.97, 199.45, 201.04, 195.41, 50575220.87, 199.45, 194.99, 201.69, 192.67, 68812436.85, 205.08 
225.26, 189.83, 225.26, 186.88, 280686354.91, 189.83, 195.97, 200.04, 188.43, 122749873.55, 195.97, 199.45, 201.04, 195.41, 50575220.87, 199.45, 194.99, 201.69, 192.67, 68812436.85, 194.99, 210.8, 232.03, 192.88, 352120919.31, 204.77 
189.83, 195.97, 200.04, 188.43, 122749873.55, 195.97, 199.45, 201.04, 195.41, 50575220.87, 199.45, 194.99, 201.69, 192.67, 68812436.85, 194.99, 210.8, 232.03, 192.88, 352120919.31, 210.8, 210.22, 215, 207.78, 81883310.1, 203.6 
195.97, 199.45, 201.04, 195.41, 50575220.87, 199.45, 194.99, 201.69, 192.67, 68812436.85, 194.99, 210.8, 232.03, 192.88, 352120919.31, 210.8, 210.22, 215, 207.78, 81883310.1, 210.22, 207.6, 211.29, 205.49, 59192189.13, 203.7 
199.45, 194.99, 201.69, 192.67, 68812436.85, 194.99, 210.8, 232.03, 192.88, 352120919.31, 210.8, 210.22, 215, 207.78, 81883310.1, 210.22, 207.6, 211.29, 205.49, 59192189.13, 207.6, 202.49, 209.46, 200.39, 96947739.13, 202.92 
194.99, 210.8, 232.03, 192.88, 352120919.31, 210.8, 210.22, 215, 207.78, 81883310.1, 210.22, 207.6, 211.29, 205.49, 59192189.13, 207.6, 202.49, 209.46, 200.39, 96947739.13, 202.49, 202.86, 204.79, 200.98, 65604453.98, 201.23 
210.8, 210.22, 215, 207.78, 81883310.1, 210.22, 207.6, 211.29, 205.49, 59192189.13, 207.6, 202.49, 209.46, 200.39, 96947739.13, 202.49, 202.86, 204.79, 200.98, 65604453.98, 202.86, 205.08, 207.03, 201.76, 49096326.1, 203.37 
210.22, 207.6, 211.29, 205.49, 59192189.13, 207.6, 202.49, 209.46, 200.39, 96947739.13, 202.49, 202.86, 204.79, 200.98, 65604453.98, 202.86, 205.08, 207.03, 201.76, 49096326.1, 205.08, 204.77, 208.39, 203.81, 39862698.53, 202.79 
207.6, 202.49, 209.46, 200.39, 96947739.13, 202.49, 202.86, 204.79, 200.98, 65604453.98, 202.86, 205.08, 207.03, 201.76, 49096326.1, 205.08, 204.77, 208.39, 203.81, 39862698.53, 204.77, 203.6, 205.87, 202.45, 50598661.9, 203.72 
202.49, 202.86, 204.79, 200.98, 65604453.98, 202.86, 205.08, 207.03, 201.76, 49096326.1, 205.08, 204.77, 208.39, 203.81, 39862698.53, 204.77, 203.6, 205.87, 202.45, 50598661.9, 203.6, 203.7, 204.82, 200.51, 53645925.47, 195.67 
202.86, 205.08, 207.03, 201.76, 49096326.1, 205.08, 204.77, 208.39, 203.81, 39862698.53, 204.77, 203.6, 205.87, 202.45, 50598661.9, 203.6, 203.7, 204.82, 200.51, 53645925.47, 203.7, 202.92, 205.31, 202.44, 41210649.79, 196.19 
205.08, 204.77, 208.39, 203.81, 39862698.53, 204.77, 203.6, 205.87, 202.45, 50598661.9, 203.6, 203.7, 204.82, 200.51, 53645925.47, 203.7, 202.92, 205.31, 202.44, 41210649.79, 202.93, 201.23, 203.92, 199.79, 53009578, 197.85 
204.77, 203.6, 205.87, 202.45, 50598661.9, 203.6, 203.7, 204.82, 200.51, 53645925.47, 203.7, 202.92, 205.31, 202.44, 41210649.79, 202.93, 201.23, 203.92, 199.79, 53009578, 201.23, 203.37, 206.66, 200.46, 63803981.37, 198.73 
203.6, 203.7, 204.82, 200.51, 53645925.47, 203.7, 202.92, 205.31, 202.44, 41210649.79, 202.93, 201.23, 203.92, 199.79, 53009578, 201.23, 203.37, 206.66, 200.46, 63803981.37, 203.37, 202.79, 203.91, 201.65, 19658355.53, 201.02 
203.7, 202.92, 205.31, 202.44, 41210649.79, 202.93, 201.23, 203.92, 199.79, 53009578, 201.23, 203.37, 206.66, 200.46, 63803981.37, 203.37, 202.79, 203.91, 201.65, 19658355.53, 202.79, 203.72, 204.36, 202.5, 21150899.8, 199.47 
202.93, 201.23, 203.92, 199.79, 53009578, 201.23, 203.37, 206.66, 200.46, 63803981.37, 203.37, 202.79, 203.91, 201.65, 19658355.53, 202.79, 203.72, 204.36, 202.5, 21150899.8, 203.73, 195.67, 204.03, 193.94, 74963306.83, 211.3 
201.23, 203.37, 206.66, 200.46, 63803981.37, 203.37, 202.79, 203.91, 201.65, 19658355.53, 202.79, 203.72, 204.36, 202.5, 21150899.8, 203.73, 195.67, 204.03, 193.94, 74963306.83, 195.67, 196.19, 197.17, 194.2, 54237687.26, 209.7 
203.37, 202.79, 203.91, 201.65, 19658355.53, 202.79, 203.72, 204.36, 202.5, 21150899.8, 203.73, 195.67, 204.03, 193.94, 74963306.83, 195.67, 196.19, 197.17, 194.2, 54237687.26, 196.22, 197.85, 200.06, 192.45, 59872776.09, 219.56 
202.79, 203.72, 204.36, 202.5, 21150899.8, 203.73, 195.67, 204.03, 193.94, 74963306.83, 195.67, 196.19, 197.17, 194.2, 54237687.26, 196.22, 197.85, 200.06, 192.45, 59872776.09, 197.85, 198.73, 199.6, 197.17, 31093612.81, 217.99 
203.73, 195.67, 204.03, 193.94, 74963306.83, 195.67, 196.19, 197.17, 194.2, 54237687.26, 196.22, 197.85, 200.06, 192.45, 59872776.09, 197.85, 198.73, 199.6, 197.17, 31093612.81, 198.73, 201.02, 202.77, 198.73, 49194567.8, 211.29 
195.67, 196.19, 197.17, 194.2, 54237687.26, 196.22, 197.85, 200.06, 192.45, 59872776.09, 197.85, 198.73, 199.6, 197.17, 31093612.81, 198.73, 201.02, 202.77, 198.73, 49194567.8, 201.02, 199.47, 201.33, 197.52, 34164177.18, 209.39 
196.22, 197.85, 200.06, 192.45, 59872776.09, 197.85, 198.73, 199.6, 197.17, 31093612.81, 198.73, 201.02, 202.77, 198.73, 49194567.8, 201.02, 199.47, 201.33, 197.52, 34164177.18, 199.47, 211.3, 218.16, 198.61, 101844171.06, 211.9 
197.85, 198.73, 199.6, 197.17, 31093612.81, 198.73, 201.02, 202.77, 198.73, 49194567.8, 201.02, 199.47, 201.33, 197.52, 34164177.18, 199.47, 211.3, 218.16, 198.61, 101844171.06, 211.31, 209.7, 212.29, 206.78, 52562411.82, 211.7 
198.73, 201.02, 202.77, 198.73, 49194567.8, 201.02, 199.47, 201.33, 197.52, 34164177.18, 199.47, 211.3, 218.16, 198.61, 101844171.06, 211.31, 209.7, 212.29, 206.78, 52562411.82, 209.7, 219.56, 220.02, 208.16, 106555197.54, 210.81 
201.02, 199.47, 201.33, 197.52, 34164177.18, 199.47, 211.3, 218.16, 198.61, 101844171.06, 211.31, 209.7, 212.29, 206.78, 52562411.82, 209.7, 219.56, 220.02, 208.16, 106555197.54, 219.55, 217.99, 223.71, 216.48, 127473032.78, 206.42 
199.47, 211.3, 218.16, 198.61, 101844171.06, 211.31, 209.7, 212.29, 206.78, 52562411.82, 209.7, 219.56, 220.02, 208.16, 106555197.54, 219.55, 217.99, 223.71, 216.48, 127473032.78, 218.04, 211.29, 219.65, 211.07, 64346780.45, 182.72 
211.31, 209.7, 212.29, 206.78, 52562411.82, 209.7, 219.56, 220.02, 208.16, 106555197.54, 219.55, 217.99, 223.71, 216.48, 127473032.78, 218.04, 211.29, 219.65, 211.07, 64346780.45, 211.29, 209.39, 213.54, 207.54, 47121564.81, 181.53 
209.7, 219.56, 220.02, 208.16, 106555197.54, 219.55, 217.99, 223.71, 216.48, 127473032.78, 218.04, 211.29, 219.65, 211.07, 64346780.45, 211.29, 209.39, 213.54, 207.54, 47121564.81, 209.39, 211.9, 214.61, 209.04, 29624413.93, 174.84 
219.55, 217.99, 223.71, 216.48, 127473032.78, 218.04, 211.29, 219.65, 211.07, 64346780.45, 211.29, 209.39, 213.54, 207.54, 47121564.81, 209.39, 211.9, 214.61, 209.04, 29624413.93, 211.9, 211.7, 212.56, 206.61, 35300337.83, 174.22 
218.04, 211.29, 219.65, 211.07, 64346780.45, 211.29, 209.39, 213.54, 207.54, 47121564.81, 209.39, 211.9, 214.61, 209.04, 29624413.93, 211.9, 211.7, 212.56, 206.61, 35300337.83, 211.7, 210.81, 213.21, 208.97, 41671998.96, 177.53 
211.29, 209.39, 213.54, 207.54, 47121564.81, 209.39, 211.9, 214.61, 209.04, 29624413.93, 211.9, 211.7, 212.56, 206.61, 35300337.83, 211.7, 210.81, 213.21, 208.97, 41671998.96, 210.81, 206.42, 210.93, 205.66, 58600617.76, 148.22 
209.39, 211.9, 214.61, 209.04, 29624413.93, 211.9, 211.7, 212.56, 206.61, 35300337.83, 211.7, 210.81, 213.21, 208.97, 41671998.96, 210.81, 206.42, 210.93, 205.66, 58600617.76, 206.43, 182.72, 208.15, 171.51, 318920969, 130.74 
211.9, 211.7, 212.56, 206.61, 35300337.83, 211.7, 210.81, 213.21, 208.97, 41671998.96, 210.81, 206.42, 210.93, 205.66, 58600617.76, 206.43, 182.72, 208.15, 171.51, 318920969, 182.72, 181.53, 185.67, 168.57, 206578170.27, 136.5 
211.7, 210.81, 213.21, 208.97, 41671998.96, 210.81, 206.42, 210.93, 205.66, 58600617.76, 206.43, 182.72, 208.15, 171.51, 318920969, 182.72, 181.53, 185.67, 168.57, 206578170.27, 181.55, 174.84, 182.48, 170.76, 126875658.75, 124.83 
210.81, 206.42, 210.93, 205.66, 58600617.76, 206.43, 182.72, 208.15, 171.51, 318920969, 182.72, 181.53, 185.67, 168.57, 206578170.27, 181.55, 174.84, 182.48, 170.76, 126875658.75, 174.84, 174.22, 175.8, 172.57, 42708847.26, 123.37 
206.43, 182.72, 208.15, 171.51, 318920969, 182.72, 181.53, 185.67, 168.57, 206578170.27, 181.55, 174.84, 182.48, 170.76, 126875658.75, 174.84, 174.22, 175.8, 172.57, 42708847.26, 174.22, 177.53, 181.27, 174.05, 67927574.87, 112.75 
182.72, 181.53, 185.67, 168.57, 206578170.27, 181.55, 174.84, 182.48, 170.76, 126875658.75, 174.84, 174.22, 175.8, 172.57, 42708847.26, 174.22, 177.53, 181.27, 174.05, 67927574.87, 177.55, 148.22, 177.58, 144.85, 300853051.45, 116.75 
181.55, 174.84, 182.48, 170.76, 126875658.75, 174.84, 174.22, 175.8, 172.57, 42708847.26, 174.22, 177.53, 181.27, 174.05, 67927574.87, 177.55, 148.22, 177.58, 144.85, 300853051.45, 148.22, 130.74, 152.22, 124.36, 427274827.74, 108.87 
174.84, 174.22, 175.8, 172.57, 42708847.26, 174.22, 177.53, 181.27, 174.05, 67927574.87, 177.55, 148.22, 177.58, 144.85, 300853051.45, 148.22, 130.74, 152.22, 124.36, 427274827.74, 130.74, 136.5, 139.42, 124.5, 228871551.23, 110.19 
174.22, 177.53, 181.27, 174.05, 67927574.87, 177.55, 148.22, 177.58, 144.85, 300853051.45, 148.22, 130.74, 152.22, 124.36, 427274827.74, 130.74, 136.5, 139.42, 124.5, 228871551.23, 136.5, 124.83, 138.52, 123.89, 107326677.21, 122.88 
177.55, 148.22, 177.58, 144.85, 300853051.45, 148.22, 130.74, 152.22, 124.36, 427274827.74, 130.74, 136.5, 139.42, 124.5, 228871551.23, 136.5, 124.83, 138.52, 123.89, 107326677.21, 124.83, 123.37, 127.14, 118.18, 174492308.72, 117.48 
148.22, 130.74, 152.22, 124.36, 427274827.74, 130.74, 136.5, 139.42, 124.5, 228871551.23, 136.5, 124.83, 138.52, 123.89, 107326677.21, 124.83, 123.37, 127.14, 118.18, 174492308.72, 123.37, 112.75, 128.35, 109.62, 135633645.38, 112.87 
130.74, 136.5, 139.42, 124.5, 228871551.23, 136.5, 124.83, 138.52, 123.89, 107326677.21, 124.83, 123.37, 127.14, 118.18, 174492308.72, 123.37, 112.75, 128.35, 109.62, 135633645.38, 112.74, 116.75, 120.55, 100.96, 253590457.32, 118.5 
136.5, 124.83, 138.52, 123.89, 107326677.21, 124.83, 123.37, 127.14, 118.18, 174492308.72, 123.37, 112.75, 128.35, 109.62, 135633645.38, 112.74, 116.75, 120.55, 100.96, 253590457.32, 116.68, 108.87, 119.22, 104.87, 181319493.57, 115.96 
124.83, 123.37, 127.14, 118.18, 174492308.72, 123.37, 112.75, 128.35, 109.62, 135633645.38, 112.74, 116.75, 120.55, 100.96, 253590457.32, 116.68, 108.87, 119.22, 104.87, 181319493.57, 108.89, 110.19, 113.24, 100.77, 142069855.63, 108.23 
123.37, 112.75, 128.35, 109.62, 135633645.38, 112.74, 116.75, 120.55, 100.96, 253590457.32, 116.68, 108.87, 119.22, 104.87, 181319493.57, 108.89, 110.19, 113.24, 100.77, 142069855.63, 110.21, 122.88, 126.71, 110.2, 181557557.02, 109.82 
112.74, 116.75, 120.55, 100.96, 253590457.32, 116.68, 108.87, 119.22, 104.87, 181319493.57, 108.89, 110.19, 113.24, 100.77, 142069855.63, 110.21, 122.88, 126.71, 110.2, 181557557.02, 122.88, 117.48, 123.97, 114.14, 118262111.14, 101.57 
