@RELATION HistUtility
@ATTRIBUTE open0 NUMERIC
@ATTRIBUTE close0 NUMERIC
@ATTRIBUTE high0 NUMERIC
@ATTRIBUTE low0 NUMERIC
@ATTRIBUTE volumeto0 NUMERIC
@ATTRIBUTE open1 NUMERIC
@ATTRIBUTE close1 NUMERIC
@ATTRIBUTE high1 NUMERIC
@ATTRIBUTE low1 NUMERIC
@ATTRIBUTE volumeto1 NUMERIC
@ATTRIBUTE open2 NUMERIC
@ATTRIBUTE close2 NUMERIC
@ATTRIBUTE high2 NUMERIC
@ATTRIBUTE low2 NUMERIC
@ATTRIBUTE volumeto2 NUMERIC
@ATTRIBUTE open3 NUMERIC
@ATTRIBUTE close3 NUMERIC
@ATTRIBUTE high3 NUMERIC
@ATTRIBUTE low3 NUMERIC
@ATTRIBUTE volumeto3 NUMERIC
@ATTRIBUTE open4 NUMERIC
@ATTRIBUTE close4 NUMERIC
@ATTRIBUTE high4 NUMERIC
@ATTRIBUTE low4 NUMERIC
@ATTRIBUTE volumeto4 NUMERIC
@ATTRIBUTE next_close NUMERIC

@DATA
0.02044, 0.01952, 0.02071, 0.01886, 955829.81, 0.01932, 0.01984, 0.02069, 0.01932, 661304.72, 0.01974, 0.01948, 0.02, 0.0187, 495083.15, 0.01974, 0.01967, 0.0202, 0.01941, 464679.13, 0.0199, 0.0201, 0.0203, 0.0197, 318424.9, 0.02167 
0.01932, 0.01984, 0.02069, 0.01932, 661304.72, 0.01974, 0.01948, 0.02, 0.0187, 495083.15, 0.01974, 0.01967, 0.0202, 0.01941, 464679.13, 0.0199, 0.0201, 0.0203, 0.0197, 318424.9, 0.01997, 0.02056, 0.02076, 0.0197, 412099.81, 0.02175 
0.01974, 0.01948, 0.02, 0.0187, 495083.15, 0.01974, 0.01967, 0.0202, 0.01941, 464679.13, 0.0199, 0.0201, 0.0203, 0.0197, 318424.9, 0.01997, 0.02056, 0.02076, 0.0197, 412099.81, 0.0206, 0.0231, 0.02469, 0.02053, 1494172.5, 0.02175 
0.01974, 0.01967, 0.0202, 0.01941, 464679.13, 0.0199, 0.0201, 0.0203, 0.0197, 318424.9, 0.01997, 0.02056, 0.02076, 0.0197, 412099.81, 0.0206, 0.0231, 0.02469, 0.02053, 1494172.5, 0.02328, 0.02288, 0.02347, 0.02141, 849603.57, 0.02185 
0.0199, 0.0201, 0.0203, 0.0197, 318424.9, 0.01997, 0.02056, 0.02076, 0.0197, 412099.81, 0.0206, 0.0231, 0.02469, 0.02053, 1494172.5, 0.02328, 0.02288, 0.02347, 0.02141, 849603.57, 0.02281, 0.02513, 0.02527, 0.02248, 1221284.38, 0.02321 
0.01997, 0.02056, 0.02076, 0.0197, 412099.81, 0.0206, 0.0231, 0.02469, 0.02053, 1494172.5, 0.02328, 0.02288, 0.02347, 0.02141, 849603.57, 0.02281, 0.02513, 0.02527, 0.02248, 1221284.38, 0.02494, 0.02501, 0.02527, 0.02343, 1265976.99, 0.02225 
0.0206, 0.0231, 0.02469, 0.02053, 1494172.5, 0.02328, 0.02288, 0.02347, 0.02141, 849603.57, 0.02281, 0.02513, 0.02527, 0.02248, 1221284.38, 0.02494, 0.02501, 0.02527, 0.02343, 1265976.99, 0.0236, 0.02167, 0.02366, 0.02124, 1071635.09, 0.01986 
0.02328, 0.02288, 0.02347, 0.02141, 849603.57, 0.02281, 0.02513, 0.02527, 0.02248, 1221284.38, 0.02494, 0.02501, 0.02527, 0.02343, 1265976.99, 0.0236, 0.02167, 0.02366, 0.02124, 1071635.09, 0.02182, 0.02175, 0.02225, 0.02113, 658496.72, 0.01947 
0.02281, 0.02513, 0.02527, 0.02248, 1221284.38, 0.02494, 0.02501, 0.02527, 0.02343, 1265976.99, 0.0236, 0.02167, 0.02366, 0.02124, 1071635.09, 0.02182, 0.02175, 0.02225, 0.02113, 658496.72, 0.02162, 0.02175, 0.02237, 0.02143, 523183.86, 0.01973 
0.02494, 0.02501, 0.02527, 0.02343, 1265976.99, 0.0236, 0.02167, 0.02366, 0.02124, 1071635.09, 0.02182, 0.02175, 0.02225, 0.02113, 658496.72, 0.02162, 0.02175, 0.02237, 0.02143, 523183.86, 0.02178, 0.02185, 0.02216, 0.02153, 316116.43, 0.01973 
