@RELATION HistUtility
@ATTRIBUTE open0 NUMERIC
@ATTRIBUTE close0 NUMERIC
@ATTRIBUTE high0 NUMERIC
@ATTRIBUTE low0 NUMERIC
@ATTRIBUTE volumeto0 NUMERIC
@ATTRIBUTE open1 NUMERIC
@ATTRIBUTE close1 NUMERIC
@ATTRIBUTE high1 NUMERIC
@ATTRIBUTE low1 NUMERIC
@ATTRIBUTE volumeto1 NUMERIC
@ATTRIBUTE open2 NUMERIC
@ATTRIBUTE close2 NUMERIC
@ATTRIBUTE high2 NUMERIC
@ATTRIBUTE low2 NUMERIC
@ATTRIBUTE volumeto2 NUMERIC
@ATTRIBUTE open3 NUMERIC
@ATTRIBUTE close3 NUMERIC
@ATTRIBUTE high3 NUMERIC
@ATTRIBUTE low3 NUMERIC
@ATTRIBUTE volumeto3 NUMERIC
@ATTRIBUTE open4 NUMERIC
@ATTRIBUTE close4 NUMERIC
@ATTRIBUTE high4 NUMERIC
@ATTRIBUTE low4 NUMERIC
@ATTRIBUTE volumeto4 NUMERIC
@ATTRIBUTE next_close NUMERIC

@DATA
0.59, 0.6088, 0.637, 0.5802, 79127.01, 0.6088, 0.567, 0.62, 0.5463, 123371.95, 0.567, 0.5403, 0.5999, 0.5172, 107353.4, 0.5403, 0.54, 0.575, 0.5202, 70515.81, 0.54, 0.536, 0.5599, 0.5311, 113908.31, 0.6498 
0.6088, 0.567, 0.62, 0.5463, 123371.95, 0.567, 0.5403, 0.5999, 0.5172, 107353.4, 0.5403, 0.54, 0.575, 0.5202, 70515.81, 0.54, 0.536, 0.5599, 0.5311, 113908.31, 0.536, 0.591, 0.6312, 0.5311, 201453.68, 0.662 
0.567, 0.5403, 0.5999, 0.5172, 107353.4, 0.5403, 0.54, 0.575, 0.5202, 70515.81, 0.54, 0.536, 0.5599, 0.5311, 113908.31, 0.536, 0.591, 0.6312, 0.5311, 201453.68, 0.591, 0.6322, 0.65, 0.5725, 303642.53, 0.6844 
0.5403, 0.54, 0.575, 0.5202, 70515.81, 0.54, 0.536, 0.5599, 0.5311, 113908.31, 0.536, 0.591, 0.6312, 0.5311, 201453.68, 0.591, 0.6322, 0.65, 0.5725, 303642.53, 0.6322, 0.636, 0.7, 0.6098, 370908.46, 0.6438 
0.54, 0.536, 0.5599, 0.5311, 113908.31, 0.536, 0.591, 0.6312, 0.5311, 201453.68, 0.591, 0.6322, 0.65, 0.5725, 303642.53, 0.6322, 0.636, 0.7, 0.6098, 370908.46, 0.636, 0.7041, 0.7377, 0.6133, 408192.24, 0.6326 
0.536, 0.591, 0.6312, 0.5311, 201453.68, 0.591, 0.6322, 0.65, 0.5725, 303642.53, 0.6322, 0.636, 0.7, 0.6098, 370908.46, 0.636, 0.7041, 0.7377, 0.6133, 408192.24, 0.7041, 0.6404, 0.738, 0.621, 363514.81, 0.5838 
0.591, 0.6322, 0.65, 0.5725, 303642.53, 0.6322, 0.636, 0.7, 0.6098, 370908.46, 0.636, 0.7041, 0.7377, 0.6133, 408192.24, 0.7041, 0.6404, 0.738, 0.621, 363514.81, 0.6404, 0.6498, 0.6899, 0.6, 216329.93, 0.6198 
0.6322, 0.636, 0.7, 0.6098, 370908.46, 0.636, 0.7041, 0.7377, 0.6133, 408192.24, 0.7041, 0.6404, 0.738, 0.621, 363514.81, 0.6404, 0.6498, 0.6899, 0.6, 216329.93, 0.6498, 0.662, 0.7058, 0.6373, 331634.62, 0.6168 
0.636, 0.7041, 0.7377, 0.6133, 408192.24, 0.7041, 0.6404, 0.738, 0.621, 363514.81, 0.6404, 0.6498, 0.6899, 0.6, 216329.93, 0.6498, 0.662, 0.7058, 0.6373, 331634.62, 0.662, 0.6844, 0.72, 0.65, 384369.54, 0.5934 
0.7041, 0.6404, 0.738, 0.621, 363514.81, 0.6404, 0.6498, 0.6899, 0.6, 216329.93, 0.6498, 0.662, 0.7058, 0.6373, 331634.62, 0.662, 0.6844, 0.72, 0.65, 384369.54, 0.6844, 0.6438, 0.6878, 0.6101, 206430.3, 0.5891 
0.6404, 0.6498, 0.6899, 0.6, 216329.93, 0.6498, 0.662, 0.7058, 0.6373, 331634.62, 0.662, 0.6844, 0.72, 0.65, 384369.54, 0.6844, 0.6438, 0.6878, 0.6101, 206430.3, 0.6438, 0.6326, 0.648, 0.6105, 129156.22, 0.6475 
