@RELATION HistUtility
@ATTRIBUTE open0 NUMERIC
@ATTRIBUTE close0 NUMERIC
@ATTRIBUTE high0 NUMERIC
@ATTRIBUTE low0 NUMERIC
@ATTRIBUTE volumeto0 NUMERIC
@ATTRIBUTE open1 NUMERIC
@ATTRIBUTE close1 NUMERIC
@ATTRIBUTE high1 NUMERIC
@ATTRIBUTE low1 NUMERIC
@ATTRIBUTE volumeto1 NUMERIC
@ATTRIBUTE open2 NUMERIC
@ATTRIBUTE close2 NUMERIC
@ATTRIBUTE high2 NUMERIC
@ATTRIBUTE low2 NUMERIC
@ATTRIBUTE volumeto2 NUMERIC
@ATTRIBUTE open3 NUMERIC
@ATTRIBUTE close3 NUMERIC
@ATTRIBUTE high3 NUMERIC
@ATTRIBUTE low3 NUMERIC
@ATTRIBUTE volumeto3 NUMERIC
@ATTRIBUTE open4 NUMERIC
@ATTRIBUTE close4 NUMERIC
@ATTRIBUTE high4 NUMERIC
@ATTRIBUTE low4 NUMERIC
@ATTRIBUTE volumeto4 NUMERIC
@ATTRIBUTE next_close NUMERIC

@DATA
5.11, 5.18, 5.27, 5.01, 203695, 5.16, 5.15, 5.31, 5.01, 332849.55, 5.1, 5.13, 5.25, 5, 283345.85, 5.1, 4.91, 5.1, 4.88, 394962.71, 4.99, 4.94, 5.1, 4.91, 201958.96, 4.61 
5.16, 5.15, 5.31, 5.01, 332849.55, 5.1, 5.13, 5.25, 5, 283345.85, 5.1, 4.91, 5.1, 4.88, 394962.71, 4.99, 4.94, 5.1, 4.91, 201958.96, 5.01, 4.79, 5.04, 4.75, 309596.19, 3.96 
5.1, 5.13, 5.25, 5, 283345.85, 5.1, 4.91, 5.1, 4.88, 394962.71, 4.99, 4.94, 5.1, 4.91, 201958.96, 5.01, 4.79, 5.04, 4.75, 309596.19, 4.76, 4.66, 4.87, 4.48, 328121.83, 4.02 
5.1, 4.91, 5.1, 4.88, 394962.71, 4.99, 4.94, 5.1, 4.91, 201958.96, 5.01, 4.79, 5.04, 4.75, 309596.19, 4.76, 4.66, 4.87, 4.48, 328121.83, 4.67, 4.51, 4.72, 4.43, 212135.88, 4 
4.99, 4.94, 5.1, 4.91, 201958.96, 5.01, 4.79, 5.04, 4.75, 309596.19, 4.76, 4.66, 4.87, 4.48, 328121.83, 4.67, 4.51, 4.72, 4.43, 212135.88, 4.54, 4.71, 4.74, 4.53, 167220.02, 3.98 
5.01, 4.79, 5.04, 4.75, 309596.19, 4.76, 4.66, 4.87, 4.48, 328121.83, 4.67, 4.51, 4.72, 4.43, 212135.88, 4.54, 4.71, 4.74, 4.53, 167220.02, 4.69, 4.34, 4.71, 4.2, 342483.94, 4.22 
4.76, 4.66, 4.87, 4.48, 328121.83, 4.67, 4.51, 4.72, 4.43, 212135.88, 4.54, 4.71, 4.74, 4.53, 167220.02, 4.69, 4.34, 4.71, 4.2, 342483.94, 4.31, 4.61, 4.62, 4.25, 294521.19, 4.17 
4.67, 4.51, 4.72, 4.43, 212135.88, 4.54, 4.71, 4.74, 4.53, 167220.02, 4.69, 4.34, 4.71, 4.2, 342483.94, 4.31, 4.61, 4.62, 4.25, 294521.19, 4.35, 3.96, 4.36, 3.92, 327964.63, 4.19 
4.54, 4.71, 4.74, 4.53, 167220.02, 4.69, 4.34, 4.71, 4.2, 342483.94, 4.31, 4.61, 4.62, 4.25, 294521.19, 4.35, 3.96, 4.36, 3.92, 327964.63, 3.98, 4.02, 4.27, 3.94, 292319.85, 4.18 
4.69, 4.34, 4.71, 4.2, 342483.94, 4.31, 4.61, 4.62, 4.25, 294521.19, 4.35, 3.96, 4.36, 3.92, 327964.63, 3.98, 4.02, 4.27, 3.94, 292319.85, 4.03, 4, 4.1, 3.95, 175655.52, 4.15 
