@RELATION HistUtility
@ATTRIBUTE open0 NUMERIC
@ATTRIBUTE close0 NUMERIC
@ATTRIBUTE high0 NUMERIC
@ATTRIBUTE low0 NUMERIC
@ATTRIBUTE volumeto0 NUMERIC
@ATTRIBUTE open1 NUMERIC
@ATTRIBUTE close1 NUMERIC
@ATTRIBUTE high1 NUMERIC
@ATTRIBUTE low1 NUMERIC
@ATTRIBUTE volumeto1 NUMERIC
@ATTRIBUTE open2 NUMERIC
@ATTRIBUTE close2 NUMERIC
@ATTRIBUTE high2 NUMERIC
@ATTRIBUTE low2 NUMERIC
@ATTRIBUTE volumeto2 NUMERIC
@ATTRIBUTE open3 NUMERIC
@ATTRIBUTE close3 NUMERIC
@ATTRIBUTE high3 NUMERIC
@ATTRIBUTE low3 NUMERIC
@ATTRIBUTE volumeto3 NUMERIC
@ATTRIBUTE open4 NUMERIC
@ATTRIBUTE close4 NUMERIC
@ATTRIBUTE high4 NUMERIC
@ATTRIBUTE low4 NUMERIC
@ATTRIBUTE volumeto4 NUMERIC
@ATTRIBUTE next_close NUMERIC

@DATA
0.9891, 0.9854, 0.996, 0.9646, 32453.87, 0.9775, 0.9584, 0.9807, 0.9384, 37674.06, 0.949, 0.9344, 0.9607, 0.9233, 25955.01, 0.7899, 0.7783, 0.807, 0.7394, 47296.62, 0.8021, 0.7892, 0.806, 0.7531, 46614.97, 0.8059 
0.9775, 0.9584, 0.9807, 0.9384, 37674.06, 0.949, 0.9344, 0.9607, 0.9233, 25955.01, 0.7899, 0.7783, 0.807, 0.7394, 47296.62, 0.8021, 0.7892, 0.806, 0.7531, 46614.97, 0.8032, 0.8052, 0.8158, 0.7631, 20163.97, 0.8374 
0.949, 0.9344, 0.9607, 0.9233, 25955.01, 0.7899, 0.7783, 0.807, 0.7394, 47296.62, 0.8021, 0.7892, 0.806, 0.7531, 46614.97, 0.8032, 0.8052, 0.8158, 0.7631, 20163.97, 0.7872, 0.7737, 0.7936, 0.746, 18923, 0.8683 
0.7899, 0.7783, 0.807, 0.7394, 47296.62, 0.8021, 0.7892, 0.806, 0.7531, 46614.97, 0.8032, 0.8052, 0.8158, 0.7631, 20163.97, 0.7872, 0.7737, 0.7936, 0.746, 18923, 0.8365, 0.8249, 0.8618, 0.8086, 26503.53, 0.8844 
0.8021, 0.7892, 0.806, 0.7531, 46614.97, 0.8032, 0.8052, 0.8158, 0.7631, 20163.97, 0.7872, 0.7737, 0.7936, 0.746, 18923, 0.8365, 0.8249, 0.8618, 0.8086, 26503.53, 0.8394, 0.8388, 0.8569, 0.8026, 42456.4, 0.8631 
0.8032, 0.8052, 0.8158, 0.7631, 20163.97, 0.7872, 0.7737, 0.7936, 0.746, 18923, 0.8365, 0.8249, 0.8618, 0.8086, 26503.53, 0.8394, 0.8388, 0.8569, 0.8026, 42456.4, 0.8292, 0.8142, 0.8323, 0.7928, 22240.3, 0.8602 
0.7872, 0.7737, 0.7936, 0.746, 18923, 0.8365, 0.8249, 0.8618, 0.8086, 26503.53, 0.8394, 0.8388, 0.8569, 0.8026, 42456.4, 0.8292, 0.8142, 0.8323, 0.7928, 22240.3, 0.7942, 0.8059, 0.8253, 0.7695, 46919.02, 0.8561 
0.8365, 0.8249, 0.8618, 0.8086, 26503.53, 0.8394, 0.8388, 0.8569, 0.8026, 42456.4, 0.8292, 0.8142, 0.8323, 0.7928, 22240.3, 0.7942, 0.8059, 0.8253, 0.7695, 46919.02, 0.8074, 0.8374, 0.8435, 0.7972, 37887.25, 0.912 
0.8394, 0.8388, 0.8569, 0.8026, 42456.4, 0.8292, 0.8142, 0.8323, 0.7928, 22240.3, 0.7942, 0.8059, 0.8253, 0.7695, 46919.02, 0.8074, 0.8374, 0.8435, 0.7972, 37887.25, 0.8474, 0.8683, 0.8927, 0.8343, 36680.76, 0.9176 
0.8292, 0.8142, 0.8323, 0.7928, 22240.3, 0.7942, 0.8059, 0.8253, 0.7695, 46919.02, 0.8074, 0.8374, 0.8435, 0.7972, 37887.25, 0.8474, 0.8683, 0.8927, 0.8343, 36680.76, 0.8662, 0.8844, 0.9157, 0.858, 48137.69, 0.8756 
0.7942, 0.8059, 0.8253, 0.7695, 46919.02, 0.8074, 0.8374, 0.8435, 0.7972, 37887.25, 0.8474, 0.8683, 0.8927, 0.8343, 36680.76, 0.8662, 0.8844, 0.9157, 0.858, 48137.69, 0.8793, 0.8631, 0.9028, 0.8531, 40250.14, 0.8801 
0.8074, 0.8374, 0.8435, 0.7972, 37887.25, 0.8474, 0.8683, 0.8927, 0.8343, 36680.76, 0.8662, 0.8844, 0.9157, 0.858, 48137.69, 0.8793, 0.8631, 0.9028, 0.8531, 40250.14, 0.8635, 0.8602, 0.8999, 0.8433, 95942.17, 0.8654 
0.8474, 0.8683, 0.8927, 0.8343, 36680.76, 0.8662, 0.8844, 0.9157, 0.858, 48137.69, 0.8793, 0.8631, 0.9028, 0.8531, 40250.14, 0.8635, 0.8602, 0.8999, 0.8433, 95942.17, 0.8618, 0.8561, 0.8726, 0.8446, 19801.88, 0.8679 
0.8662, 0.8844, 0.9157, 0.858, 48137.69, 0.8793, 0.8631, 0.9028, 0.8531, 40250.14, 0.8635, 0.8602, 0.8999, 0.8433, 95942.17, 0.8618, 0.8561, 0.8726, 0.8446, 19801.88, 0.849, 0.912, 1.05, 0.8373, 117532.58, 0.8668 
0.8793, 0.8631, 0.9028, 0.8531, 40250.14, 0.8635, 0.8602, 0.8999, 0.8433, 95942.17, 0.8618, 0.8561, 0.8726, 0.8446, 19801.88, 0.849, 0.912, 1.05, 0.8373, 117532.58, 0.9198, 0.9176, 0.9965, 0.905, 47199.32, 0.88 
0.8635, 0.8602, 0.8999, 0.8433, 95942.17, 0.8618, 0.8561, 0.8726, 0.8446, 19801.88, 0.849, 0.912, 1.05, 0.8373, 117532.58, 0.9198, 0.9176, 0.9965, 0.905, 47199.32, 0.9174, 0.8756, 0.9286, 0.872, 162526.74, 0.978 
0.8618, 0.8561, 0.8726, 0.8446, 19801.88, 0.849, 0.912, 1.05, 0.8373, 117532.58, 0.9198, 0.9176, 0.9965, 0.905, 47199.32, 0.9174, 0.8756, 0.9286, 0.872, 162526.74, 0.8801, 0.8801, 0.8898, 0.874, 642946.12, 0.9868 
0.849, 0.912, 1.05, 0.8373, 117532.58, 0.9198, 0.9176, 0.9965, 0.905, 47199.32, 0.9174, 0.8756, 0.9286, 0.872, 162526.74, 0.8801, 0.8801, 0.8898, 0.874, 642946.12, 0.8453, 0.8654, 0.869, 0.8379, 587688.55, 1.04 
