@RELATION HistUtility
@ATTRIBUTE open0 NUMERIC
@ATTRIBUTE close0 NUMERIC
@ATTRIBUTE high0 NUMERIC
@ATTRIBUTE low0 NUMERIC
@ATTRIBUTE volumeto0 NUMERIC
@ATTRIBUTE open1 NUMERIC
@ATTRIBUTE close1 NUMERIC
@ATTRIBUTE high1 NUMERIC
@ATTRIBUTE low1 NUMERIC
@ATTRIBUTE volumeto1 NUMERIC
@ATTRIBUTE open2 NUMERIC
@ATTRIBUTE close2 NUMERIC
@ATTRIBUTE high2 NUMERIC
@ATTRIBUTE low2 NUMERIC
@ATTRIBUTE volumeto2 NUMERIC
@ATTRIBUTE open3 NUMERIC
@ATTRIBUTE close3 NUMERIC
@ATTRIBUTE high3 NUMERIC
@ATTRIBUTE low3 NUMERIC
@ATTRIBUTE volumeto3 NUMERIC
@ATTRIBUTE open4 NUMERIC
@ATTRIBUTE close4 NUMERIC
@ATTRIBUTE high4 NUMERIC
@ATTRIBUTE low4 NUMERIC
@ATTRIBUTE volumeto4 NUMERIC
@ATTRIBUTE next_close NUMERIC

@DATA
0.01616, 0.01497, 0.01663, 0.01451, 927004.9, 0.0149, 0.01523, 0.0153, 0.01484, 569347.27, 0.01507, 0.01592, 0.02114, 0.01501, 8640591.56, 0.01584, 0.01532, 0.01597, 0.01513, 905534.17, 0.01553, 0.01566, 0.01599, 0.01527, 372860.37, 0.01593 
0.0149, 0.01523, 0.0153, 0.01484, 569347.27, 0.01507, 0.01592, 0.02114, 0.01501, 8640591.56, 0.01584, 0.01532, 0.01597, 0.01513, 905534.17, 0.01553, 0.01566, 0.01599, 0.01527, 372860.37, 0.01579, 0.01592, 0.01618, 0.01519, 531721.67, 0.01366 
0.01507, 0.01592, 0.02114, 0.01501, 8640591.56, 0.01584, 0.01532, 0.01597, 0.01513, 905534.17, 0.01553, 0.01566, 0.01599, 0.01527, 372860.37, 0.01579, 0.01592, 0.01618, 0.01519, 531721.67, 0.01582, 0.01549, 0.01595, 0.01522, 403227.6, 0.01394 
0.01584, 0.01532, 0.01597, 0.01513, 905534.17, 0.01553, 0.01566, 0.01599, 0.01527, 372860.37, 0.01579, 0.01592, 0.01618, 0.01519, 531721.67, 0.01582, 0.01549, 0.01595, 0.01522, 403227.6, 0.01551, 0.01597, 0.01597, 0.01531, 294420.4, 0.01423 
0.01553, 0.01566, 0.01599, 0.01527, 372860.37, 0.01579, 0.01592, 0.01618, 0.01519, 531721.67, 0.01582, 0.01549, 0.01595, 0.01522, 403227.6, 0.01551, 0.01597, 0.01597, 0.01531, 294420.4, 0.01603, 0.01609, 0.01629, 0.01563, 534066.78, 0.01425 
0.01579, 0.01592, 0.01618, 0.01519, 531721.67, 0.01582, 0.01549, 0.01595, 0.01522, 403227.6, 0.01551, 0.01597, 0.01597, 0.01531, 294420.4, 0.01603, 0.01609, 0.01629, 0.01563, 534066.78, 0.01605, 0.01558, 0.01618, 0.01545, 551191.07, 0.01461 
0.01582, 0.01549, 0.01595, 0.01522, 403227.6, 0.01551, 0.01597, 0.01597, 0.01531, 294420.4, 0.01603, 0.01609, 0.01629, 0.01563, 534066.78, 0.01605, 0.01558, 0.01618, 0.01545, 551191.07, 0.01547, 0.01593, 0.01619, 0.0152, 1705844.14, 0.01461 
0.01551, 0.01597, 0.01597, 0.01531, 294420.4, 0.01603, 0.01609, 0.01629, 0.01563, 534066.78, 0.01605, 0.01558, 0.01618, 0.01545, 551191.07, 0.01547, 0.01593, 0.01619, 0.0152, 1705844.14, 0.01503, 0.01366, 0.01521, 0.0131, 3909205.31, 0.01473 
0.01603, 0.01609, 0.01629, 0.01563, 534066.78, 0.01605, 0.01558, 0.01618, 0.01545, 551191.07, 0.01547, 0.01593, 0.01619, 0.0152, 1705844.14, 0.01503, 0.01366, 0.01521, 0.0131, 3909205.31, 0.01369, 0.01394, 0.0145, 0.01356, 3338765.34, 0.01473 
0.01605, 0.01558, 0.01618, 0.01545, 551191.07, 0.01547, 0.01593, 0.01619, 0.0152, 1705844.14, 0.01503, 0.01366, 0.01521, 0.0131, 3909205.31, 0.01369, 0.01394, 0.0145, 0.01356, 3338765.34, 0.01398, 0.01423, 0.01448, 0.01398, 732847.1, 0.01475 
0.01547, 0.01593, 0.01619, 0.0152, 1705844.14, 0.01503, 0.01366, 0.01521, 0.0131, 3909205.31, 0.01369, 0.01394, 0.0145, 0.01356, 3338765.34, 0.01398, 0.01423, 0.01448, 0.01398, 732847.1, 0.01425, 0.01425, 0.01463, 0.01406, 840805.17, 0.01473 
0.01503, 0.01366, 0.01521, 0.0131, 3909205.31, 0.01369, 0.01394, 0.0145, 0.01356, 3338765.34, 0.01398, 0.01423, 0.01448, 0.01398, 732847.1, 0.01425, 0.01425, 0.01463, 0.01406, 840805.17, 0.01501, 0.01461, 0.01534, 0.01415, 1200339.41, 0.01465 
0.01369, 0.01394, 0.0145, 0.01356, 3338765.34, 0.01398, 0.01423, 0.01448, 0.01398, 732847.1, 0.01425, 0.01425, 0.01463, 0.01406, 840805.17, 0.01501, 0.01461, 0.01534, 0.01415, 1200339.41, 0.01468, 0.01461, 0.01475, 0.01435, 1863474.07, 0.01361 
0.01398, 0.01423, 0.01448, 0.01398, 732847.1, 0.01425, 0.01425, 0.01463, 0.01406, 840805.17, 0.01501, 0.01461, 0.01534, 0.01415, 1200339.41, 0.01468, 0.01461, 0.01475, 0.01435, 1863474.07, 0.0146, 0.01473, 0.01519, 0.01433, 1341322.82, 0.01404 
0.01425, 0.01425, 0.01463, 0.01406, 840805.17, 0.01501, 0.01461, 0.01534, 0.01415, 1200339.41, 0.01468, 0.01461, 0.01475, 0.01435, 1863474.07, 0.0146, 0.01473, 0.01519, 0.01433, 1341322.82, 0.01453, 0.01473, 0.01538, 0.0144, 1844769.42, 0.01347 
0.01501, 0.01461, 0.01534, 0.01415, 1200339.41, 0.01468, 0.01461, 0.01475, 0.01435, 1863474.07, 0.0146, 0.01473, 0.01519, 0.01433, 1341322.82, 0.01453, 0.01473, 0.01538, 0.0144, 1844769.42, 0.01469, 0.01475, 0.01501, 0.01456, 404940.33, 0.01415 
0.01468, 0.01461, 0.01475, 0.01435, 1863474.07, 0.0146, 0.01473, 0.01519, 0.01433, 1341322.82, 0.01453, 0.01473, 0.01538, 0.0144, 1844769.42, 0.01469, 0.01475, 0.01501, 0.01456, 404940.33, 0.0148, 0.01473, 0.01486, 0.01454, 243193.83, 0.01401 
0.0146, 0.01473, 0.01519, 0.01433, 1341322.82, 0.01453, 0.01473, 0.01538, 0.0144, 1844769.42, 0.01469, 0.01475, 0.01501, 0.01456, 404940.33, 0.0148, 0.01473, 0.01486, 0.01454, 243193.83, 0.01478, 0.01465, 0.01497, 0.01439, 359522.66, 0.01378 
