@RELATION HistUtility
@ATTRIBUTE open0 NUMERIC
@ATTRIBUTE close0 NUMERIC
@ATTRIBUTE high0 NUMERIC
@ATTRIBUTE low0 NUMERIC
@ATTRIBUTE volumeto0 NUMERIC
@ATTRIBUTE open1 NUMERIC
@ATTRIBUTE close1 NUMERIC
@ATTRIBUTE high1 NUMERIC
@ATTRIBUTE low1 NUMERIC
@ATTRIBUTE volumeto1 NUMERIC
@ATTRIBUTE open2 NUMERIC
@ATTRIBUTE close2 NUMERIC
@ATTRIBUTE high2 NUMERIC
@ATTRIBUTE low2 NUMERIC
@ATTRIBUTE volumeto2 NUMERIC
@ATTRIBUTE open3 NUMERIC
@ATTRIBUTE close3 NUMERIC
@ATTRIBUTE high3 NUMERIC
@ATTRIBUTE low3 NUMERIC
@ATTRIBUTE volumeto3 NUMERIC
@ATTRIBUTE open4 NUMERIC
@ATTRIBUTE close4 NUMERIC
@ATTRIBUTE high4 NUMERIC
@ATTRIBUTE low4 NUMERIC
@ATTRIBUTE volumeto4 NUMERIC
@ATTRIBUTE next_close NUMERIC

@DATA
5.98, 5.87, 6.02, 5.8, 829282.84, 5.81, 5.79, 5.89, 5.73, 559307.4, 5.76, 5.51, 5.79, 5.48, 539037.13, 5.59, 5.56, 5.82, 5.54, 466221.85, 5.59, 5.65, 5.71, 5.5, 414092.62, 4.89 
5.81, 5.79, 5.89, 5.73, 559307.4, 5.76, 5.51, 5.79, 5.48, 539037.13, 5.59, 5.56, 5.82, 5.54, 466221.85, 5.59, 5.65, 5.71, 5.5, 414092.62, 5.61, 5.81, 6.08, 5.57, 921773.06, 4.91 
5.76, 5.51, 5.79, 5.48, 539037.13, 5.59, 5.56, 5.82, 5.54, 466221.85, 5.59, 5.65, 5.71, 5.5, 414092.62, 5.61, 5.81, 6.08, 5.57, 921773.06, 5.84, 5.75, 6.29, 5.69, 1609170.22, 5.02 
5.59, 5.56, 5.82, 5.54, 466221.85, 5.59, 5.65, 5.71, 5.5, 414092.62, 5.61, 5.81, 6.08, 5.57, 921773.06, 5.84, 5.75, 6.29, 5.69, 1609170.22, 5.77, 5.85, 5.96, 5.75, 603692.04, 4.97 
5.59, 5.65, 5.71, 5.5, 414092.62, 5.61, 5.81, 6.08, 5.57, 921773.06, 5.84, 5.75, 6.29, 5.69, 1609170.22, 5.77, 5.85, 5.96, 5.75, 603692.04, 5.87, 5.93, 6.1, 5.79, 891934.32, 5.2 
5.61, 5.81, 6.08, 5.57, 921773.06, 5.84, 5.75, 6.29, 5.69, 1609170.22, 5.77, 5.85, 5.96, 5.75, 603692.04, 5.87, 5.93, 6.1, 5.79, 891934.32, 5.89, 5.81, 5.93, 5.73, 522492.54, 5.27 
5.84, 5.75, 6.29, 5.69, 1609170.22, 5.77, 5.85, 5.96, 5.75, 603692.04, 5.87, 5.93, 6.1, 5.79, 891934.32, 5.89, 5.81, 5.93, 5.73, 522492.54, 5.48, 4.89, 5.49, 4.84, 845165.79, 5.29 
5.77, 5.85, 5.96, 5.75, 603692.04, 5.87, 5.93, 6.1, 5.79, 891934.32, 5.89, 5.81, 5.93, 5.73, 522492.54, 5.48, 4.89, 5.49, 4.84, 845165.79, 4.91, 4.91, 5.12, 4.8, 613459.03, 5.16 
5.87, 5.93, 6.1, 5.79, 891934.32, 5.89, 5.81, 5.93, 5.73, 522492.54, 5.48, 4.89, 5.49, 4.84, 845165.79, 4.91, 4.91, 5.12, 4.8, 613459.03, 4.93, 5.02, 5.05, 4.88, 432147.4, 5.18 
5.89, 5.81, 5.93, 5.73, 522492.54, 5.48, 4.89, 5.49, 4.84, 845165.79, 4.91, 4.91, 5.12, 4.8, 613459.03, 4.93, 5.02, 5.05, 4.88, 432147.4, 5.02, 4.97, 5.3, 4.93, 668725.73, 5.36 
5.48, 4.89, 5.49, 4.84, 845165.79, 4.91, 4.91, 5.12, 4.8, 613459.03, 4.93, 5.02, 5.05, 4.88, 432147.4, 5.02, 4.97, 5.3, 4.93, 668725.73, 5.23, 5.2, 5.37, 5.01, 704523.77, 5.27 
4.91, 4.91, 5.12, 4.8, 613459.03, 4.93, 5.02, 5.05, 4.88, 432147.4, 5.02, 4.97, 5.3, 4.93, 668725.73, 5.23, 5.2, 5.37, 5.01, 704523.77, 5.17, 5.27, 5.37, 5.11, 424528.96, 5.22 
4.93, 5.02, 5.05, 4.88, 432147.4, 5.02, 4.97, 5.3, 4.93, 668725.73, 5.23, 5.2, 5.37, 5.01, 704523.77, 5.17, 5.27, 5.37, 5.11, 424528.96, 5.26, 5.29, 5.4, 5.18, 509071.04, 5.2 
5.02, 4.97, 5.3, 4.93, 668725.73, 5.23, 5.2, 5.37, 5.01, 704523.77, 5.17, 5.27, 5.37, 5.11, 424528.96, 5.26, 5.29, 5.4, 5.18, 509071.04, 5.22, 5.16, 5.46, 5.09, 657108.46, 5.36 
5.23, 5.2, 5.37, 5.01, 704523.77, 5.17, 5.27, 5.37, 5.11, 424528.96, 5.26, 5.29, 5.4, 5.18, 509071.04, 5.22, 5.16, 5.46, 5.09, 657108.46, 5.14, 5.18, 5.21, 5.09, 222598.74, 5.26 
5.17, 5.27, 5.37, 5.11, 424528.96, 5.26, 5.29, 5.4, 5.18, 509071.04, 5.22, 5.16, 5.46, 5.09, 657108.46, 5.14, 5.18, 5.21, 5.09, 222598.74, 5.2, 5.36, 5.4, 5.15, 693810.19, 5.19 
5.26, 5.29, 5.4, 5.18, 509071.04, 5.22, 5.16, 5.46, 5.09, 657108.46, 5.14, 5.18, 5.21, 5.09, 222598.74, 5.2, 5.36, 5.4, 5.15, 693810.19, 5.38, 5.27, 5.39, 5.23, 347934.83, 5.19 
5.22, 5.16, 5.46, 5.09, 657108.46, 5.14, 5.18, 5.21, 5.09, 222598.74, 5.2, 5.36, 5.4, 5.15, 693810.19, 5.38, 5.27, 5.39, 5.23, 347934.83, 5.25, 5.22, 5.32, 5.17, 298683.65, 5.21 
5.14, 5.18, 5.21, 5.09, 222598.74, 5.2, 5.36, 5.4, 5.15, 693810.19, 5.38, 5.27, 5.39, 5.23, 347934.83, 5.25, 5.22, 5.32, 5.17, 298683.65, 5.2, 5.2, 5.28, 5.18, 336363.66, 4.92 
5.2, 5.36, 5.4, 5.15, 693810.19, 5.38, 5.27, 5.39, 5.23, 347934.83, 5.25, 5.22, 5.32, 5.17, 298683.65, 5.2, 5.2, 5.28, 5.18, 336363.66, 5.21, 5.36, 5.45, 5.2, 583874.56, 4.95 
5.38, 5.27, 5.39, 5.23, 347934.83, 5.25, 5.22, 5.32, 5.17, 298683.65, 5.2, 5.2, 5.28, 5.18, 336363.66, 5.21, 5.36, 5.45, 5.2, 583874.56, 5.35, 5.26, 5.36, 5.21, 387928.16, 5.01 
5.25, 5.22, 5.32, 5.17, 298683.65, 5.2, 5.2, 5.28, 5.18, 336363.66, 5.21, 5.36, 5.45, 5.2, 583874.56, 5.35, 5.26, 5.36, 5.21, 387928.16, 5.26, 5.19, 5.28, 5.12, 373412.92, 5.05 
