@RELATION HistUtility
@ATTRIBUTE open0 NUMERIC
@ATTRIBUTE close0 NUMERIC
@ATTRIBUTE high0 NUMERIC
@ATTRIBUTE low0 NUMERIC
@ATTRIBUTE volumeto0 NUMERIC
@ATTRIBUTE open1 NUMERIC
@ATTRIBUTE close1 NUMERIC
@ATTRIBUTE high1 NUMERIC
@ATTRIBUTE low1 NUMERIC
@ATTRIBUTE volumeto1 NUMERIC
@ATTRIBUTE open2 NUMERIC
@ATTRIBUTE close2 NUMERIC
@ATTRIBUTE high2 NUMERIC
@ATTRIBUTE low2 NUMERIC
@ATTRIBUTE volumeto2 NUMERIC
@ATTRIBUTE open3 NUMERIC
@ATTRIBUTE close3 NUMERIC
@ATTRIBUTE high3 NUMERIC
@ATTRIBUTE low3 NUMERIC
@ATTRIBUTE volumeto3 NUMERIC
@ATTRIBUTE open4 NUMERIC
@ATTRIBUTE close4 NUMERIC
@ATTRIBUTE high4 NUMERIC
@ATTRIBUTE low4 NUMERIC
@ATTRIBUTE volumeto4 NUMERIC
@ATTRIBUTE next_close NUMERIC

@DATA
36.91, 34.86, 36.91, 32.17, 241952.8, 33.05, 29.75, 33.05, 29.01, 118654.31, 29.12, 28.77, 30.03, 28.04, 357794.36, 28.74, 27.96, 28.77, 27.38, 87070.8, 28.16, 25.48, 28.16, 24.17, 258261.71, 30.9 
33.05, 29.75, 33.05, 29.01, 118654.31, 29.12, 28.77, 30.03, 28.04, 357794.36, 28.74, 27.96, 28.77, 27.38, 87070.8, 28.16, 25.48, 28.16, 24.17, 258261.71, 27.78, 26.68, 28.11, 26.36, 219173.8, 30.89 
29.12, 28.77, 30.03, 28.04, 357794.36, 28.74, 27.96, 28.77, 27.38, 87070.8, 28.16, 25.48, 28.16, 24.17, 258261.71, 27.78, 26.68, 28.11, 26.36, 219173.8, 27.94, 29.73, 29.73, 27.33, 197694.99, 31.15 
28.74, 27.96, 28.77, 27.38, 87070.8, 28.16, 25.48, 28.16, 24.17, 258261.71, 27.78, 26.68, 28.11, 26.36, 219173.8, 27.94, 29.73, 29.73, 27.33, 197694.99, 29.89, 30.83, 32.08, 29.26, 176908.09, 30.68 
28.16, 25.48, 28.16, 24.17, 258261.71, 27.78, 26.68, 28.11, 26.36, 219173.8, 27.94, 29.73, 29.73, 27.33, 197694.99, 29.89, 30.83, 32.08, 29.26, 176908.09, 34.14, 30.98, 34.54, 30.45, 103461.74, 30.5 
27.78, 26.68, 28.11, 26.36, 219173.8, 27.94, 29.73, 29.73, 27.33, 197694.99, 29.89, 30.83, 32.08, 29.26, 176908.09, 34.14, 30.98, 34.54, 30.45, 103461.74, 29.19, 29.77, 31.19, 29.19, 312490.33, 29.11 
27.94, 29.73, 29.73, 27.33, 197694.99, 29.89, 30.83, 32.08, 29.26, 176908.09, 34.14, 30.98, 34.54, 30.45, 103461.74, 29.19, 29.77, 31.19, 29.19, 312490.33, 30.88, 30.9, 31.5, 30.88, 161879.54, 31.07 
29.89, 30.83, 32.08, 29.26, 176908.09, 34.14, 30.98, 34.54, 30.45, 103461.74, 29.19, 29.77, 31.19, 29.19, 312490.33, 30.88, 30.9, 31.5, 30.88, 161879.54, 30.61, 30.89, 31.09, 30.46, 275002.55, 29.62 
34.14, 30.98, 34.54, 30.45, 103461.74, 29.19, 29.77, 31.19, 29.19, 312490.33, 30.88, 30.9, 31.5, 30.88, 161879.54, 30.61, 30.89, 31.09, 30.46, 275002.55, 31.46, 31.15, 33.13, 31.15, 104347.83, 29.77 
29.19, 29.77, 31.19, 29.19, 312490.33, 30.88, 30.9, 31.5, 30.88, 161879.54, 30.61, 30.89, 31.09, 30.46, 275002.55, 31.46, 31.15, 33.13, 31.15, 104347.83, 29.27, 30.68, 30.68, 29.14, 343034.61, 28.08 
