@RELATION HistUtility
@ATTRIBUTE open0 NUMERIC
@ATTRIBUTE close0 NUMERIC
@ATTRIBUTE high0 NUMERIC
@ATTRIBUTE low0 NUMERIC
@ATTRIBUTE volumeto0 NUMERIC
@ATTRIBUTE open1 NUMERIC
@ATTRIBUTE close1 NUMERIC
@ATTRIBUTE high1 NUMERIC
@ATTRIBUTE low1 NUMERIC
@ATTRIBUTE volumeto1 NUMERIC
@ATTRIBUTE open2 NUMERIC
@ATTRIBUTE close2 NUMERIC
@ATTRIBUTE high2 NUMERIC
@ATTRIBUTE low2 NUMERIC
@ATTRIBUTE volumeto2 NUMERIC
@ATTRIBUTE open3 NUMERIC
@ATTRIBUTE close3 NUMERIC
@ATTRIBUTE high3 NUMERIC
@ATTRIBUTE low3 NUMERIC
@ATTRIBUTE volumeto3 NUMERIC
@ATTRIBUTE open4 NUMERIC
@ATTRIBUTE close4 NUMERIC
@ATTRIBUTE high4 NUMERIC
@ATTRIBUTE low4 NUMERIC
@ATTRIBUTE volumeto4 NUMERIC
@ATTRIBUTE next_close NUMERIC

@DATA
25.86, 26.11, 29.84, 25.43, 904531.86, 25.82, 25.45, 26.32, 25.19, 385870.86, 25.31, 22.24, 25.51, 19.58, 515032.81, 22.52, 21.9, 22.98, 19.65, 829818.38, 22.1, 21.79, 22.27, 21.52, 396891.12, 20.04 
25.82, 25.45, 26.32, 25.19, 385870.86, 25.31, 22.24, 25.51, 19.58, 515032.81, 22.52, 21.9, 22.98, 19.65, 829818.38, 22.1, 21.79, 22.27, 21.52, 396891.12, 21.65, 21.92, 22.4, 21.05, 394686.26, 19.52 
25.31, 22.24, 25.51, 19.58, 515032.81, 22.52, 21.9, 22.98, 19.65, 829818.38, 22.1, 21.79, 22.27, 21.52, 396891.12, 21.65, 21.92, 22.4, 21.05, 394686.26, 21.96, 21.56, 22.14, 21.4, 448370.38, 19.67 
22.52, 21.9, 22.98, 19.65, 829818.38, 22.1, 21.79, 22.27, 21.52, 396891.12, 21.65, 21.92, 22.4, 21.05, 394686.26, 21.96, 21.56, 22.14, 21.4, 448370.38, 21.72, 21.41, 21.94, 20.99, 275343.09, 18.93 
22.1, 21.79, 22.27, 21.52, 396891.12, 21.65, 21.92, 22.4, 21.05, 394686.26, 21.96, 21.56, 22.14, 21.4, 448370.38, 21.72, 21.41, 21.94, 20.99, 275343.09, 21.35, 21.14, 21.61, 19.68, 381553.32, 20.54 
21.65, 21.92, 22.4, 21.05, 394686.26, 21.96, 21.56, 22.14, 21.4, 448370.38, 21.72, 21.41, 21.94, 20.99, 275343.09, 21.35, 21.14, 21.61, 19.68, 381553.32, 20.98, 21.19, 21.47, 20.2, 280288.39, 20.27 
21.96, 21.56, 22.14, 21.4, 448370.38, 21.72, 21.41, 21.94, 20.99, 275343.09, 21.35, 21.14, 21.61, 19.68, 381553.32, 20.98, 21.19, 21.47, 20.2, 280288.39, 19.99, 20.04, 21.03, 19.98, 456388.15, 19.88 
21.72, 21.41, 21.94, 20.99, 275343.09, 21.35, 21.14, 21.61, 19.68, 381553.32, 20.98, 21.19, 21.47, 20.2, 280288.39, 19.99, 20.04, 21.03, 19.98, 456388.15, 20.19, 19.52, 20.98, 19.15, 163598.49, 19.8 
21.35, 21.14, 21.61, 19.68, 381553.32, 20.98, 21.19, 21.47, 20.2, 280288.39, 19.99, 20.04, 21.03, 19.98, 456388.15, 20.19, 19.52, 20.98, 19.15, 163598.49, 19.57, 19.67, 20.04, 19.47, 169969.45, 19.63 
20.98, 21.19, 21.47, 20.2, 280288.39, 19.99, 20.04, 21.03, 19.98, 456388.15, 20.19, 19.52, 20.98, 19.15, 163598.49, 19.57, 19.67, 20.04, 19.47, 169969.45, 19.71, 18.93, 19.82, 18.81, 271974.5, 19.91 
19.99, 20.04, 21.03, 19.98, 456388.15, 20.19, 19.52, 20.98, 19.15, 163598.49, 19.57, 19.67, 20.04, 19.47, 169969.45, 19.71, 18.93, 19.82, 18.81, 271974.5, 19.96, 20.54, 20.89, 19.18, 246144.58, 20.1 
20.19, 19.52, 20.98, 19.15, 163598.49, 19.57, 19.67, 20.04, 19.47, 169969.45, 19.71, 18.93, 19.82, 18.81, 271974.5, 19.96, 20.54, 20.89, 19.18, 246144.58, 20.45, 20.27, 20.8, 19.93, 241324.49, 19.67 
19.57, 19.67, 20.04, 19.47, 169969.45, 19.71, 18.93, 19.82, 18.81, 271974.5, 19.96, 20.54, 20.89, 19.18, 246144.58, 20.45, 20.27, 20.8, 19.93, 241324.49, 20.24, 19.88, 20.45, 19.62, 111865.75, 19.34 
19.71, 18.93, 19.82, 18.81, 271974.5, 19.96, 20.54, 20.89, 19.18, 246144.58, 20.45, 20.27, 20.8, 19.93, 241324.49, 20.24, 19.88, 20.45, 19.62, 111865.75, 19.62, 19.8, 20.04, 19.52, 120660.8, 19.63 
