@RELATION HistUtility
@ATTRIBUTE open0 NUMERIC
@ATTRIBUTE close0 NUMERIC
@ATTRIBUTE high0 NUMERIC
@ATTRIBUTE low0 NUMERIC
@ATTRIBUTE volumeto0 NUMERIC
@ATTRIBUTE open1 NUMERIC
@ATTRIBUTE close1 NUMERIC
@ATTRIBUTE high1 NUMERIC
@ATTRIBUTE low1 NUMERIC
@ATTRIBUTE volumeto1 NUMERIC
@ATTRIBUTE open2 NUMERIC
@ATTRIBUTE close2 NUMERIC
@ATTRIBUTE high2 NUMERIC
@ATTRIBUTE low2 NUMERIC
@ATTRIBUTE volumeto2 NUMERIC
@ATTRIBUTE open3 NUMERIC
@ATTRIBUTE close3 NUMERIC
@ATTRIBUTE high3 NUMERIC
@ATTRIBUTE low3 NUMERIC
@ATTRIBUTE volumeto3 NUMERIC
@ATTRIBUTE open4 NUMERIC
@ATTRIBUTE close4 NUMERIC
@ATTRIBUTE high4 NUMERIC
@ATTRIBUTE low4 NUMERIC
@ATTRIBUTE volumeto4 NUMERIC
@ATTRIBUTE next_close NUMERIC

@DATA
0.1527, 0.1547, 0.1553, 0.1516, 3261773, 0.153, 0.1556, 0.16, 0.1526, 3508030.29, 0.1548, 0.1492, 0.1556, 0.1473, 2522801.95, 0.1512, 0.1509, 0.1545, 0.1503, 3409307.51, 0.1521, 0.151, 0.1528, 0.1485, 3331337.16, 0.1424 
0.153, 0.1556, 0.16, 0.1526, 3508030.29, 0.1548, 0.1492, 0.1556, 0.1473, 2522801.95, 0.1512, 0.1509, 0.1545, 0.1503, 3409307.51, 0.1521, 0.151, 0.1528, 0.1485, 3331337.16, 0.1501, 0.152, 0.1527, 0.1492, 3480103.78, 0.1468 
0.1548, 0.1492, 0.1556, 0.1473, 2522801.95, 0.1512, 0.1509, 0.1545, 0.1503, 3409307.51, 0.1521, 0.151, 0.1528, 0.1485, 3331337.16, 0.1501, 0.152, 0.1527, 0.1492, 3480103.78, 0.1523, 0.152, 0.1529, 0.1504, 3438333.1, 0.149 
0.1512, 0.1509, 0.1545, 0.1503, 3409307.51, 0.1521, 0.151, 0.1528, 0.1485, 3331337.16, 0.1501, 0.152, 0.1527, 0.1492, 3480103.78, 0.1523, 0.152, 0.1529, 0.1504, 3438333.1, 0.1532, 0.1575, 0.1598, 0.1526, 3745691.57, 0.1455 
0.1521, 0.151, 0.1528, 0.1485, 3331337.16, 0.1501, 0.152, 0.1527, 0.1492, 3480103.78, 0.1523, 0.152, 0.1529, 0.1504, 3438333.1, 0.1532, 0.1575, 0.1598, 0.1526, 3745691.57, 0.157, 0.1606, 0.1652, 0.1554, 3934969.49, 0.1496 
0.1501, 0.152, 0.1527, 0.1492, 3480103.78, 0.1523, 0.152, 0.1529, 0.1504, 3438333.1, 0.1532, 0.1575, 0.1598, 0.1526, 3745691.57, 0.157, 0.1606, 0.1652, 0.1554, 3934969.49, 0.1594, 0.1629, 0.1632, 0.1556, 4243453.43, 0.1505 
0.1523, 0.152, 0.1529, 0.1504, 3438333.1, 0.1532, 0.1575, 0.1598, 0.1526, 3745691.57, 0.157, 0.1606, 0.1652, 0.1554, 3934969.49, 0.1594, 0.1629, 0.1632, 0.1556, 4243453.43, 0.1537, 0.1424, 0.1684, 0.1417, 6901191.54, 0.1582 
0.1532, 0.1575, 0.1598, 0.1526, 3745691.57, 0.157, 0.1606, 0.1652, 0.1554, 3934969.49, 0.1594, 0.1629, 0.1632, 0.1556, 4243453.43, 0.1537, 0.1424, 0.1684, 0.1417, 6901191.54, 0.1435, 0.1468, 0.1553, 0.1426, 4896569.08, 0.1561 
0.157, 0.1606, 0.1652, 0.1554, 3934969.49, 0.1594, 0.1629, 0.1632, 0.1556, 4243453.43, 0.1537, 0.1424, 0.1684, 0.1417, 6901191.54, 0.1435, 0.1468, 0.1553, 0.1426, 4896569.08, 0.1472, 0.149, 0.1502, 0.1465, 3909354.2, 0.1536 
0.1594, 0.1629, 0.1632, 0.1556, 4243453.43, 0.1537, 0.1424, 0.1684, 0.1417, 6901191.54, 0.1435, 0.1468, 0.1553, 0.1426, 4896569.08, 0.1472, 0.149, 0.1502, 0.1465, 3909354.2, 0.1492, 0.1455, 0.1499, 0.1451, 3925291.26, 0.1564 
0.1537, 0.1424, 0.1684, 0.1417, 6901191.54, 0.1435, 0.1468, 0.1553, 0.1426, 4896569.08, 0.1472, 0.149, 0.1502, 0.1465, 3909354.2, 0.1492, 0.1455, 0.1499, 0.1451, 3925291.26, 0.1533, 0.1496, 0.1553, 0.1443, 3993372.2, 0.164 
0.1435, 0.1468, 0.1553, 0.1426, 4896569.08, 0.1472, 0.149, 0.1502, 0.1465, 3909354.2, 0.1492, 0.1455, 0.1499, 0.1451, 3925291.26, 0.1533, 0.1496, 0.1553, 0.1443, 3993372.2, 0.149, 0.1505, 0.154, 0.1484, 3044050.18, 0.1632 
0.1472, 0.149, 0.1502, 0.1465, 3909354.2, 0.1492, 0.1455, 0.1499, 0.1451, 3925291.26, 0.1533, 0.1496, 0.1553, 0.1443, 3993372.2, 0.149, 0.1505, 0.154, 0.1484, 3044050.18, 0.1502, 0.1582, 0.1584, 0.1499, 2612891.89, 0.1678 
