@RELATION HistUtility
@ATTRIBUTE open0 NUMERIC
@ATTRIBUTE close0 NUMERIC
@ATTRIBUTE high0 NUMERIC
@ATTRIBUTE low0 NUMERIC
@ATTRIBUTE volumeto0 NUMERIC
@ATTRIBUTE open1 NUMERIC
@ATTRIBUTE close1 NUMERIC
@ATTRIBUTE high1 NUMERIC
@ATTRIBUTE low1 NUMERIC
@ATTRIBUTE volumeto1 NUMERIC
@ATTRIBUTE open2 NUMERIC
@ATTRIBUTE close2 NUMERIC
@ATTRIBUTE high2 NUMERIC
@ATTRIBUTE low2 NUMERIC
@ATTRIBUTE volumeto2 NUMERIC
@ATTRIBUTE open3 NUMERIC
@ATTRIBUTE close3 NUMERIC
@ATTRIBUTE high3 NUMERIC
@ATTRIBUTE low3 NUMERIC
@ATTRIBUTE volumeto3 NUMERIC
@ATTRIBUTE open4 NUMERIC
@ATTRIBUTE close4 NUMERIC
@ATTRIBUTE high4 NUMERIC
@ATTRIBUTE low4 NUMERIC
@ATTRIBUTE volumeto4 NUMERIC
@ATTRIBUTE next_close NUMERIC

@DATA
0.03436, 0.03436, 0.03482, 0.0333, 434270.58, 0.03426, 0.03354, 0.03485, 0.03328, 358870.87, 0.0335, 0.03285, 0.03369, 0.03259, 345668.96, 0.03329, 0.03566, 0.03625, 0.03316, 498937.27, 0.03595, 0.03456, 0.03628, 0.03436, 467884.16, 0.03036 
0.03426, 0.03354, 0.03485, 0.03328, 358870.87, 0.0335, 0.03285, 0.03369, 0.03259, 345668.96, 0.03329, 0.03566, 0.03625, 0.03316, 498937.27, 0.03595, 0.03456, 0.03628, 0.03436, 467884.16, 0.0344, 0.03552, 0.03651, 0.0342, 423053.6, 0.0305 
0.0335, 0.03285, 0.03369, 0.03259, 345668.96, 0.03329, 0.03566, 0.03625, 0.03316, 498937.27, 0.03595, 0.03456, 0.03628, 0.03436, 467884.16, 0.0344, 0.03552, 0.03651, 0.0342, 423053.6, 0.03558, 0.03565, 0.0367, 0.03499, 408766.66, 0.03503 
0.03329, 0.03566, 0.03625, 0.03316, 498937.27, 0.03595, 0.03456, 0.03628, 0.03436, 467884.16, 0.0344, 0.03552, 0.03651, 0.0342, 423053.6, 0.03558, 0.03565, 0.0367, 0.03499, 408766.66, 0.03591, 0.03578, 0.03644, 0.03531, 305308.72, 0.04959 
0.03595, 0.03456, 0.03628, 0.03436, 467884.16, 0.0344, 0.03552, 0.03651, 0.0342, 423053.6, 0.03558, 0.03565, 0.0367, 0.03499, 408766.66, 0.03591, 0.03578, 0.03644, 0.03531, 305308.72, 0.03568, 0.03488, 0.03621, 0.03455, 308718.09, 0.04556 
0.0344, 0.03552, 0.03651, 0.0342, 423053.6, 0.03558, 0.03565, 0.0367, 0.03499, 408766.66, 0.03591, 0.03578, 0.03644, 0.03531, 305308.72, 0.03568, 0.03488, 0.03621, 0.03455, 308718.09, 0.03462, 0.03429, 0.03475, 0.03363, 372744.97, 0.04187 
0.03558, 0.03565, 0.0367, 0.03499, 408766.66, 0.03591, 0.03578, 0.03644, 0.03531, 305308.72, 0.03568, 0.03488, 0.03621, 0.03455, 308718.09, 0.03462, 0.03429, 0.03475, 0.03363, 372744.97, 0.03235, 0.03036, 0.03248, 0.0303, 370901.58, 0.04195 
0.03591, 0.03578, 0.03644, 0.03531, 305308.72, 0.03568, 0.03488, 0.03621, 0.03455, 308718.09, 0.03462, 0.03429, 0.03475, 0.03363, 372744.97, 0.03235, 0.03036, 0.03248, 0.0303, 370901.58, 0.03057, 0.0305, 0.03157, 0.03007, 356722.42, 0.04562 
0.03568, 0.03488, 0.03621, 0.03455, 308718.09, 0.03462, 0.03429, 0.03475, 0.03363, 372744.97, 0.03235, 0.03036, 0.03248, 0.0303, 370901.58, 0.03057, 0.0305, 0.03157, 0.03007, 356722.42, 0.03058, 0.03503, 0.03748, 0.03058, 2250872.25, 0.04638 
0.03462, 0.03429, 0.03475, 0.03363, 372744.97, 0.03235, 0.03036, 0.03248, 0.0303, 370901.58, 0.03057, 0.0305, 0.03157, 0.03007, 356722.42, 0.03058, 0.03503, 0.03748, 0.03058, 2250872.25, 0.03509, 0.04959, 0.05236, 0.03478, 15954965.71, 0.04615 
0.03235, 0.03036, 0.03248, 0.0303, 370901.58, 0.03057, 0.0305, 0.03157, 0.03007, 356722.42, 0.03058, 0.03503, 0.03748, 0.03058, 2250872.25, 0.03509, 0.04959, 0.05236, 0.03478, 15954965.71, 0.05237, 0.04556, 0.05303, 0.04067, 8096720.36, 0.04837 
0.03057, 0.0305, 0.03157, 0.03007, 356722.42, 0.03058, 0.03503, 0.03748, 0.03058, 2250872.25, 0.03509, 0.04959, 0.05236, 0.03478, 15954965.71, 0.05237, 0.04556, 0.05303, 0.04067, 8096720.36, 0.04529, 0.04187, 0.04621, 0.04081, 2362205.9, 0.06308 
0.03058, 0.03503, 0.03748, 0.03058, 2250872.25, 0.03509, 0.04959, 0.05236, 0.03478, 15954965.71, 0.05237, 0.04556, 0.05303, 0.04067, 8096720.36, 0.04529, 0.04187, 0.04621, 0.04081, 2362205.9, 0.04181, 0.04195, 0.04339, 0.03958, 1877836.51, 0.06522 
0.03509, 0.04959, 0.05236, 0.03478, 15954965.71, 0.05237, 0.04556, 0.05303, 0.04067, 8096720.36, 0.04529, 0.04187, 0.04621, 0.04081, 2362205.9, 0.04181, 0.04195, 0.04339, 0.03958, 1877836.51, 0.0414, 0.04562, 0.04828, 0.04114, 4843316.72, 0.0634 
0.05237, 0.04556, 0.05303, 0.04067, 8096720.36, 0.04529, 0.04187, 0.04621, 0.04081, 2362205.9, 0.04181, 0.04195, 0.04339, 0.03958, 1877836.51, 0.0414, 0.04562, 0.04828, 0.04114, 4843316.72, 0.04548, 0.04638, 0.04671, 0.04283, 1849298.26, 0.0665 
0.04529, 0.04187, 0.04621, 0.04081, 2362205.9, 0.04181, 0.04195, 0.04339, 0.03958, 1877836.51, 0.0414, 0.04562, 0.04828, 0.04114, 4843316.72, 0.04548, 0.04638, 0.04671, 0.04283, 1849298.26, 0.04654, 0.04615, 0.04699, 0.04491, 1012862.91, 0.07988 
0.04181, 0.04195, 0.04339, 0.03958, 1877836.51, 0.0414, 0.04562, 0.04828, 0.04114, 4843316.72, 0.04548, 0.04638, 0.04671, 0.04283, 1849298.26, 0.04654, 0.04615, 0.04699, 0.04491, 1012862.91, 0.04635, 0.04837, 0.05071, 0.04589, 2566087.74, 0.07137 
0.0414, 0.04562, 0.04828, 0.04114, 4843316.72, 0.04548, 0.04638, 0.04671, 0.04283, 1849298.26, 0.04654, 0.04615, 0.04699, 0.04491, 1012862.91, 0.04635, 0.04837, 0.05071, 0.04589, 2566087.74, 0.04817, 0.06308, 0.06807, 0.04765, 24259939.03, 0.07273 
0.04548, 0.04638, 0.04671, 0.04283, 1849298.26, 0.04654, 0.04615, 0.04699, 0.04491, 1012862.91, 0.04635, 0.04837, 0.05071, 0.04589, 2566087.74, 0.04817, 0.06308, 0.06807, 0.04765, 24259939.03, 0.06296, 0.06522, 0.0814, 0.06192, 30036835.18, 0.07356 
0.04654, 0.04615, 0.04699, 0.04491, 1012862.91, 0.04635, 0.04837, 0.05071, 0.04589, 2566087.74, 0.04817, 0.06308, 0.06807, 0.04765, 24259939.03, 0.06296, 0.06522, 0.0814, 0.06192, 30036835.18, 0.0656, 0.0634, 0.06936, 0.05913, 9051201.59, 0.07117 
0.04635, 0.04837, 0.05071, 0.04589, 2566087.74, 0.04817, 0.06308, 0.06807, 0.04765, 24259939.03, 0.06296, 0.06522, 0.0814, 0.06192, 30036835.18, 0.0656, 0.0634, 0.06936, 0.05913, 9051201.59, 0.06327, 0.0665, 0.07031, 0.06224, 5735919.47, 0.06964 
0.04817, 0.06308, 0.06807, 0.04765, 24259939.03, 0.06296, 0.06522, 0.0814, 0.06192, 30036835.18, 0.0656, 0.0634, 0.06936, 0.05913, 9051201.59, 0.06327, 0.0665, 0.07031, 0.06224, 5735919.47, 0.06644, 0.07988, 0.08181, 0.06625, 15846474.23, 0.06828 
