@RELATION HistUtility
@ATTRIBUTE open0 NUMERIC
@ATTRIBUTE close0 NUMERIC
@ATTRIBUTE high0 NUMERIC
@ATTRIBUTE low0 NUMERIC
@ATTRIBUTE volumeto0 NUMERIC
@ATTRIBUTE open1 NUMERIC
@ATTRIBUTE close1 NUMERIC
@ATTRIBUTE high1 NUMERIC
@ATTRIBUTE low1 NUMERIC
@ATTRIBUTE volumeto1 NUMERIC
@ATTRIBUTE open2 NUMERIC
@ATTRIBUTE close2 NUMERIC
@ATTRIBUTE high2 NUMERIC
@ATTRIBUTE low2 NUMERIC
@ATTRIBUTE volumeto2 NUMERIC
@ATTRIBUTE open3 NUMERIC
@ATTRIBUTE close3 NUMERIC
@ATTRIBUTE high3 NUMERIC
@ATTRIBUTE low3 NUMERIC
@ATTRIBUTE volumeto3 NUMERIC
@ATTRIBUTE open4 NUMERIC
@ATTRIBUTE close4 NUMERIC
@ATTRIBUTE high4 NUMERIC
@ATTRIBUTE low4 NUMERIC
@ATTRIBUTE volumeto4 NUMERIC
@ATTRIBUTE next_close NUMERIC

@DATA
0.2264, 0.2299, 0.231, 0.22, 65331.76, 0.218, 0.2127, 0.2183, 0.2103, 127680.56, 0.2082, 0.2054, 0.2103, 0.203, 78462.42, 0.2052, 0.1982, 0.2075, 0.1951, 97596.53, 0.1996, 0.2019, 0.2057, 0.1978, 166941.37, 0.2565 
0.218, 0.2127, 0.2183, 0.2103, 127680.56, 0.2082, 0.2054, 0.2103, 0.203, 78462.42, 0.2052, 0.1982, 0.2075, 0.1951, 97596.53, 0.1996, 0.2019, 0.2057, 0.1978, 166941.37, 0.2201, 0.2225, 0.2245, 0.2165, 181137.07, 0.274 
0.2082, 0.2054, 0.2103, 0.203, 78462.42, 0.2052, 0.1982, 0.2075, 0.1951, 97596.53, 0.1996, 0.2019, 0.2057, 0.1978, 166941.37, 0.2201, 0.2225, 0.2245, 0.2165, 181137.07, 0.2331, 0.2311, 0.2352, 0.226, 167138.12, 0.2717 
0.2052, 0.1982, 0.2075, 0.1951, 97596.53, 0.1996, 0.2019, 0.2057, 0.1978, 166941.37, 0.2201, 0.2225, 0.2245, 0.2165, 181137.07, 0.2331, 0.2311, 0.2352, 0.226, 167138.12, 0.2324, 0.2379, 0.2508, 0.2287, 316357.41, 0.2439 
0.1996, 0.2019, 0.2057, 0.1978, 166941.37, 0.2201, 0.2225, 0.2245, 0.2165, 181137.07, 0.2331, 0.2311, 0.2352, 0.226, 167138.12, 0.2324, 0.2379, 0.2508, 0.2287, 316357.41, 0.2635, 0.2641, 0.267, 0.2533, 379727.41, 0.2439 
0.2201, 0.2225, 0.2245, 0.2165, 181137.07, 0.2331, 0.2311, 0.2352, 0.226, 167138.12, 0.2324, 0.2379, 0.2508, 0.2287, 316357.41, 0.2635, 0.2641, 0.267, 0.2533, 379727.41, 0.2489, 0.2455, 0.2659, 0.2307, 550816.61, 0.2256 
0.2331, 0.2311, 0.2352, 0.226, 167138.12, 0.2324, 0.2379, 0.2508, 0.2287, 316357.41, 0.2635, 0.2641, 0.267, 0.2533, 379727.41, 0.2489, 0.2455, 0.2659, 0.2307, 550816.61, 0.2547, 0.2565, 0.2601, 0.25, 265716.54, 0.2486 
0.2324, 0.2379, 0.2508, 0.2287, 316357.41, 0.2635, 0.2641, 0.267, 0.2533, 379727.41, 0.2489, 0.2455, 0.2659, 0.2307, 550816.61, 0.2547, 0.2565, 0.2601, 0.25, 265716.54, 0.2541, 0.274, 0.2742, 0.2485, 501961.34, 0.2364 
0.2635, 0.2641, 0.267, 0.2533, 379727.41, 0.2489, 0.2455, 0.2659, 0.2307, 550816.61, 0.2547, 0.2565, 0.2601, 0.25, 265716.54, 0.2541, 0.274, 0.2742, 0.2485, 501961.34, 0.2791, 0.2717, 0.2799, 0.2637, 371129.52, 0.2414 
0.2489, 0.2455, 0.2659, 0.2307, 550816.61, 0.2547, 0.2565, 0.2601, 0.25, 265716.54, 0.2541, 0.274, 0.2742, 0.2485, 501961.34, 0.2791, 0.2717, 0.2799, 0.2637, 371129.52, 0.2553, 0.2439, 0.2577, 0.2402, 155642.99, 0.2311 
0.2547, 0.2565, 0.2601, 0.25, 265716.54, 0.2541, 0.274, 0.2742, 0.2485, 501961.34, 0.2791, 0.2717, 0.2799, 0.2637, 371129.52, 0.2553, 0.2439, 0.2577, 0.2402, 155642.99, 0.2448, 0.2439, 0.2599, 0.2401, 133839.37, 0.2429 
0.2541, 0.274, 0.2742, 0.2485, 501961.34, 0.2791, 0.2717, 0.2799, 0.2637, 371129.52, 0.2553, 0.2439, 0.2577, 0.2402, 155642.99, 0.2448, 0.2439, 0.2599, 0.2401, 133839.37, 0.2311, 0.2256, 0.2389, 0.2224, 116230.96, 0.2478 
0.2791, 0.2717, 0.2799, 0.2637, 371129.52, 0.2553, 0.2439, 0.2577, 0.2402, 155642.99, 0.2448, 0.2439, 0.2599, 0.2401, 133839.37, 0.2311, 0.2256, 0.2389, 0.2224, 116230.96, 0.2443, 0.2486, 0.2499, 0.24, 147776.8, 0.2396 
0.2553, 0.2439, 0.2577, 0.2402, 155642.99, 0.2448, 0.2439, 0.2599, 0.2401, 133839.37, 0.2311, 0.2256, 0.2389, 0.2224, 116230.96, 0.2443, 0.2486, 0.2499, 0.24, 147776.8, 0.2391, 0.2364, 0.2392, 0.2312, 118267.71, 0.2462 
0.2448, 0.2439, 0.2599, 0.2401, 133839.37, 0.2311, 0.2256, 0.2389, 0.2224, 116230.96, 0.2443, 0.2486, 0.2499, 0.24, 147776.8, 0.2391, 0.2364, 0.2392, 0.2312, 118267.71, 0.2425, 0.2414, 0.252, 0.2374, 131228.39, 0.2442 
0.2311, 0.2256, 0.2389, 0.2224, 116230.96, 0.2443, 0.2486, 0.2499, 0.24, 147776.8, 0.2391, 0.2364, 0.2392, 0.2312, 118267.71, 0.2425, 0.2414, 0.252, 0.2374, 131228.39, 0.2322, 0.2311, 0.2474, 0.23, 238426.58, 0.2499 
0.2443, 0.2486, 0.2499, 0.24, 147776.8, 0.2391, 0.2364, 0.2392, 0.2312, 118267.71, 0.2425, 0.2414, 0.252, 0.2374, 131228.39, 0.2322, 0.2311, 0.2474, 0.23, 238426.58, 0.2393, 0.2429, 0.2548, 0.2341, 137354.08, 0.244 
0.2391, 0.2364, 0.2392, 0.2312, 118267.71, 0.2425, 0.2414, 0.252, 0.2374, 131228.39, 0.2322, 0.2311, 0.2474, 0.23, 238426.58, 0.2393, 0.2429, 0.2548, 0.2341, 137354.08, 0.2479, 0.2478, 0.2495, 0.2438, 104058.56, 0.2434 
0.2425, 0.2414, 0.252, 0.2374, 131228.39, 0.2322, 0.2311, 0.2474, 0.23, 238426.58, 0.2393, 0.2429, 0.2548, 0.2341, 137354.08, 0.2479, 0.2478, 0.2495, 0.2438, 104058.56, 0.2399, 0.2396, 0.2409, 0.2355, 189303.82, 0.2427 
0.2322, 0.2311, 0.2474, 0.23, 238426.58, 0.2393, 0.2429, 0.2548, 0.2341, 137354.08, 0.2479, 0.2478, 0.2495, 0.2438, 104058.56, 0.2399, 0.2396, 0.2409, 0.2355, 189303.82, 0.242, 0.2462, 0.2462, 0.2396, 153555.83, 0.2141 
0.2393, 0.2429, 0.2548, 0.2341, 137354.08, 0.2479, 0.2478, 0.2495, 0.2438, 104058.56, 0.2399, 0.2396, 0.2409, 0.2355, 189303.82, 0.242, 0.2462, 0.2462, 0.2396, 153555.83, 0.245, 0.2442, 0.2461, 0.2385, 94817.41, 0.2124 
0.2479, 0.2478, 0.2495, 0.2438, 104058.56, 0.2399, 0.2396, 0.2409, 0.2355, 189303.82, 0.242, 0.2462, 0.2462, 0.2396, 153555.83, 0.245, 0.2442, 0.2461, 0.2385, 94817.41, 0.2598, 0.2499, 0.2598, 0.2497, 125351.94, 0.212 
0.2399, 0.2396, 0.2409, 0.2355, 189303.82, 0.242, 0.2462, 0.2462, 0.2396, 153555.83, 0.245, 0.2442, 0.2461, 0.2385, 94817.41, 0.2598, 0.2499, 0.2598, 0.2497, 125351.94, 0.2467, 0.244, 0.249, 0.2431, 110837.07, 0.199 
0.242, 0.2462, 0.2462, 0.2396, 153555.83, 0.245, 0.2442, 0.2461, 0.2385, 94817.41, 0.2598, 0.2499, 0.2598, 0.2497, 125351.94, 0.2467, 0.244, 0.249, 0.2431, 110837.07, 0.2434, 0.2434, 0.2466, 0.2353, 167199.15, 0.211 
0.245, 0.2442, 0.2461, 0.2385, 94817.41, 0.2598, 0.2499, 0.2598, 0.2497, 125351.94, 0.2467, 0.244, 0.249, 0.2431, 110837.07, 0.2434, 0.2434, 0.2466, 0.2353, 167199.15, 0.2439, 0.2427, 0.2473, 0.2395, 248505.53, 0.2138 
0.2598, 0.2499, 0.2598, 0.2497, 125351.94, 0.2467, 0.244, 0.249, 0.2431, 110837.07, 0.2434, 0.2434, 0.2466, 0.2353, 167199.15, 0.2439, 0.2427, 0.2473, 0.2395, 248505.53, 0.2199, 0.2141, 0.2233, 0.2066, 216965.15, 0.2234 
0.2467, 0.244, 0.249, 0.2431, 110837.07, 0.2434, 0.2434, 0.2466, 0.2353, 167199.15, 0.2439, 0.2427, 0.2473, 0.2395, 248505.53, 0.2199, 0.2141, 0.2233, 0.2066, 216965.15, 0.2141, 0.2124, 0.2141, 0.2065, 102579.22, 0.2272 
0.2434, 0.2434, 0.2466, 0.2353, 167199.15, 0.2439, 0.2427, 0.2473, 0.2395, 248505.53, 0.2199, 0.2141, 0.2233, 0.2066, 216965.15, 0.2141, 0.2124, 0.2141, 0.2065, 102579.22, 0.2121, 0.212, 0.2145, 0.2081, 89412.38, 0.2192 
0.2439, 0.2427, 0.2473, 0.2395, 248505.53, 0.2199, 0.2141, 0.2233, 0.2066, 216965.15, 0.2141, 0.2124, 0.2141, 0.2065, 102579.22, 0.2121, 0.212, 0.2145, 0.2081, 89412.38, 0.2055, 0.199, 0.2084, 0.1961, 107526.09, 0.228 
0.2199, 0.2141, 0.2233, 0.2066, 216965.15, 0.2141, 0.2124, 0.2141, 0.2065, 102579.22, 0.2121, 0.212, 0.2145, 0.2081, 89412.38, 0.2055, 0.199, 0.2084, 0.1961, 107526.09, 0.2076, 0.211, 0.2149, 0.2041, 84257.55, 0.2109 
0.2141, 0.2124, 0.2141, 0.2065, 102579.22, 0.2121, 0.212, 0.2145, 0.2081, 89412.38, 0.2055, 0.199, 0.2084, 0.1961, 107526.09, 0.2076, 0.211, 0.2149, 0.2041, 84257.55, 0.2063, 0.2138, 0.2159, 0.2034, 261720.43, 0.2107 
0.2121, 0.212, 0.2145, 0.2081, 89412.38, 0.2055, 0.199, 0.2084, 0.1961, 107526.09, 0.2076, 0.211, 0.2149, 0.2041, 84257.55, 0.2063, 0.2138, 0.2159, 0.2034, 261720.43, 0.2151, 0.2234, 0.2248, 0.2121, 192862.78, 0.2134 
0.2055, 0.199, 0.2084, 0.1961, 107526.09, 0.2076, 0.211, 0.2149, 0.2041, 84257.55, 0.2063, 0.2138, 0.2159, 0.2034, 261720.43, 0.2151, 0.2234, 0.2248, 0.2121, 192862.78, 0.2259, 0.2272, 0.2307, 0.2207, 207500.33, 0.2118 
0.2076, 0.211, 0.2149, 0.2041, 84257.55, 0.2063, 0.2138, 0.2159, 0.2034, 261720.43, 0.2151, 0.2234, 0.2248, 0.2121, 192862.78, 0.2259, 0.2272, 0.2307, 0.2207, 207500.33, 0.2249, 0.2192, 0.2258, 0.2121, 154623.19, 0.2403 
0.2063, 0.2138, 0.2159, 0.2034, 261720.43, 0.2151, 0.2234, 0.2248, 0.2121, 192862.78, 0.2259, 0.2272, 0.2307, 0.2207, 207500.33, 0.2249, 0.2192, 0.2258, 0.2121, 154623.19, 0.2241, 0.228, 0.2349, 0.2233, 373473.38, 0.2224 
0.2151, 0.2234, 0.2248, 0.2121, 192862.78, 0.2259, 0.2272, 0.2307, 0.2207, 207500.33, 0.2249, 0.2192, 0.2258, 0.2121, 154623.19, 0.2241, 0.228, 0.2349, 0.2233, 373473.38, 0.2181, 0.2109, 0.2199, 0.2077, 173822.83, 0.2171 
0.2259, 0.2272, 0.2307, 0.2207, 207500.33, 0.2249, 0.2192, 0.2258, 0.2121, 154623.19, 0.2241, 0.228, 0.2349, 0.2233, 373473.38, 0.2181, 0.2109, 0.2199, 0.2077, 173822.83, 0.2112, 0.2107, 0.2129, 0.2071, 174231.45, 0.2086 
0.2249, 0.2192, 0.2258, 0.2121, 154623.19, 0.2241, 0.228, 0.2349, 0.2233, 373473.38, 0.2181, 0.2109, 0.2199, 0.2077, 173822.83, 0.2112, 0.2107, 0.2129, 0.2071, 174231.45, 0.2125, 0.2134, 0.215, 0.2087, 97567.69, 0.1924 
0.2241, 0.228, 0.2349, 0.2233, 373473.38, 0.2181, 0.2109, 0.2199, 0.2077, 173822.83, 0.2112, 0.2107, 0.2129, 0.2071, 174231.45, 0.2125, 0.2134, 0.215, 0.2087, 97567.69, 0.2116, 0.2118, 0.2308, 0.2089, 310620.62, 0.1955 
0.2181, 0.2109, 0.2199, 0.2077, 173822.83, 0.2112, 0.2107, 0.2129, 0.2071, 174231.45, 0.2125, 0.2134, 0.215, 0.2087, 97567.69, 0.2116, 0.2118, 0.2308, 0.2089, 310620.62, 0.2134, 0.2403, 0.2718, 0.2123, 3056151.66, 0.2019 
0.2112, 0.2107, 0.2129, 0.2071, 174231.45, 0.2125, 0.2134, 0.215, 0.2087, 97567.69, 0.2116, 0.2118, 0.2308, 0.2089, 310620.62, 0.2134, 0.2403, 0.2718, 0.2123, 3056151.66, 0.2393, 0.2224, 0.2409, 0.2202, 713846.88, 0.1926 
0.2125, 0.2134, 0.215, 0.2087, 97567.69, 0.2116, 0.2118, 0.2308, 0.2089, 310620.62, 0.2134, 0.2403, 0.2718, 0.2123, 3056151.66, 0.2393, 0.2224, 0.2409, 0.2202, 713846.88, 0.2232, 0.2171, 0.2237, 0.2141, 266564.51, 0.1951 
0.2116, 0.2118, 0.2308, 0.2089, 310620.62, 0.2134, 0.2403, 0.2718, 0.2123, 3056151.66, 0.2393, 0.2224, 0.2409, 0.2202, 713846.88, 0.2232, 0.2171, 0.2237, 0.2141, 266564.51, 0.2152, 0.2086, 0.2155, 0.2057, 209672.87, 0.1976 
0.2134, 0.2403, 0.2718, 0.2123, 3056151.66, 0.2393, 0.2224, 0.2409, 0.2202, 713846.88, 0.2232, 0.2171, 0.2237, 0.2141, 266564.51, 0.2152, 0.2086, 0.2155, 0.2057, 209672.87, 0.2021, 0.1924, 0.2021, 0.1905, 325390.2, 0.1927 
0.2393, 0.2224, 0.2409, 0.2202, 713846.88, 0.2232, 0.2171, 0.2237, 0.2141, 266564.51, 0.2152, 0.2086, 0.2155, 0.2057, 209672.87, 0.2021, 0.1924, 0.2021, 0.1905, 325390.2, 0.1904, 0.1955, 0.2011, 0.1887, 269332.83, 0.1892 
