@RELATION HistUtility
@ATTRIBUTE open0 NUMERIC
@ATTRIBUTE close0 NUMERIC
@ATTRIBUTE high0 NUMERIC
@ATTRIBUTE low0 NUMERIC
@ATTRIBUTE volumeto0 NUMERIC
@ATTRIBUTE open1 NUMERIC
@ATTRIBUTE close1 NUMERIC
@ATTRIBUTE high1 NUMERIC
@ATTRIBUTE low1 NUMERIC
@ATTRIBUTE volumeto1 NUMERIC
@ATTRIBUTE open2 NUMERIC
@ATTRIBUTE close2 NUMERIC
@ATTRIBUTE high2 NUMERIC
@ATTRIBUTE low2 NUMERIC
@ATTRIBUTE volumeto2 NUMERIC
@ATTRIBUTE open3 NUMERIC
@ATTRIBUTE close3 NUMERIC
@ATTRIBUTE high3 NUMERIC
@ATTRIBUTE low3 NUMERIC
@ATTRIBUTE volumeto3 NUMERIC
@ATTRIBUTE open4 NUMERIC
@ATTRIBUTE close4 NUMERIC
@ATTRIBUTE high4 NUMERIC
@ATTRIBUTE low4 NUMERIC
@ATTRIBUTE volumeto4 NUMERIC
@ATTRIBUTE next_close NUMERIC

@DATA
0.8591, 0.8266, 0.8604, 0.8213, 630584.15, 0.8231, 0.831, 0.8455, 0.8198, 649554.2, 0.8235, 0.8353, 0.8431, 0.8209, 621665.27, 0.8265, 0.8148, 0.8349, 0.7888, 703399.65, 0.8258, 0.8488, 0.86, 0.8133, 508932.03, 0.7772 
0.8231, 0.831, 0.8455, 0.8198, 649554.2, 0.8235, 0.8353, 0.8431, 0.8209, 621665.27, 0.8265, 0.8148, 0.8349, 0.7888, 703399.65, 0.8258, 0.8488, 0.86, 0.8133, 508932.03, 0.8656, 0.8404, 0.8689, 0.8245, 418415.7, 0.6706 
0.8235, 0.8353, 0.8431, 0.8209, 621665.27, 0.8265, 0.8148, 0.8349, 0.7888, 703399.65, 0.8258, 0.8488, 0.86, 0.8133, 508932.03, 0.8656, 0.8404, 0.8689, 0.8245, 418415.7, 0.8349, 0.8415, 0.8639, 0.8317, 625563.39, 0.6888 
0.8265, 0.8148, 0.8349, 0.7888, 703399.65, 0.8258, 0.8488, 0.86, 0.8133, 508932.03, 0.8656, 0.8404, 0.8689, 0.8245, 418415.7, 0.8349, 0.8415, 0.8639, 0.8317, 625563.39, 0.8397, 0.8331, 0.8476, 0.8225, 591364.42, 0.6769 
0.8258, 0.8488, 0.86, 0.8133, 508932.03, 0.8656, 0.8404, 0.8689, 0.8245, 418415.7, 0.8349, 0.8415, 0.8639, 0.8317, 625563.39, 0.8397, 0.8331, 0.8476, 0.8225, 591364.42, 0.8392, 0.8067, 0.8472, 0.794, 488600.02, 0.7106 
0.8656, 0.8404, 0.8689, 0.8245, 418415.7, 0.8349, 0.8415, 0.8639, 0.8317, 625563.39, 0.8397, 0.8331, 0.8476, 0.8225, 591364.42, 0.8392, 0.8067, 0.8472, 0.794, 488600.02, 0.8078, 0.7938, 0.8131, 0.7865, 593670.37, 0.7432 
0.8349, 0.8415, 0.8639, 0.8317, 625563.39, 0.8397, 0.8331, 0.8476, 0.8225, 591364.42, 0.8392, 0.8067, 0.8472, 0.794, 488600.02, 0.8078, 0.7938, 0.8131, 0.7865, 593670.37, 0.7864, 0.7772, 0.7937, 0.7772, 542142.7, 0.7195 
0.8397, 0.8331, 0.8476, 0.8225, 591364.42, 0.8392, 0.8067, 0.8472, 0.794, 488600.02, 0.8078, 0.7938, 0.8131, 0.7865, 593670.37, 0.7864, 0.7772, 0.7937, 0.7772, 542142.7, 0.7333, 0.6706, 0.7395, 0.6607, 570457.5, 0.7166 
0.8392, 0.8067, 0.8472, 0.794, 488600.02, 0.8078, 0.7938, 0.8131, 0.7865, 593670.37, 0.7864, 0.7772, 0.7937, 0.7772, 542142.7, 0.7333, 0.6706, 0.7395, 0.6607, 570457.5, 0.6776, 0.6888, 0.6957, 0.6657, 646119.5, 0.7047 
0.8078, 0.7938, 0.8131, 0.7865, 593670.37, 0.7864, 0.7772, 0.7937, 0.7772, 542142.7, 0.7333, 0.6706, 0.7395, 0.6607, 570457.5, 0.6776, 0.6888, 0.6957, 0.6657, 646119.5, 0.6881, 0.6769, 0.6982, 0.67, 620874.79, 0.7 
