@RELATION HistUtility
@ATTRIBUTE open0 NUMERIC
@ATTRIBUTE close0 NUMERIC
@ATTRIBUTE high0 NUMERIC
@ATTRIBUTE low0 NUMERIC
@ATTRIBUTE volumeto0 NUMERIC
@ATTRIBUTE open1 NUMERIC
@ATTRIBUTE close1 NUMERIC
@ATTRIBUTE high1 NUMERIC
@ATTRIBUTE low1 NUMERIC
@ATTRIBUTE volumeto1 NUMERIC
@ATTRIBUTE open2 NUMERIC
@ATTRIBUTE close2 NUMERIC
@ATTRIBUTE high2 NUMERIC
@ATTRIBUTE low2 NUMERIC
@ATTRIBUTE volumeto2 NUMERIC
@ATTRIBUTE open3 NUMERIC
@ATTRIBUTE close3 NUMERIC
@ATTRIBUTE high3 NUMERIC
@ATTRIBUTE low3 NUMERIC
@ATTRIBUTE volumeto3 NUMERIC
@ATTRIBUTE open4 NUMERIC
@ATTRIBUTE close4 NUMERIC
@ATTRIBUTE high4 NUMERIC
@ATTRIBUTE low4 NUMERIC
@ATTRIBUTE volumeto4 NUMERIC
@ATTRIBUTE next_close NUMERIC

@DATA
0.6885, 0.6501, 0.7729, 0.539, 7008526.13, 0.6475, 0.678, 0.7485, 0.5447, 7935170.14, 0.6784, 0.6387, 0.7382, 0.5978, 5412548.39, 0.6506, 0.7429, 0.8448, 0.5282, 4874541.82, 0.7409, 0.6845, 0.8371, 0.6679, 6063960.28, 0.6127 
0.6475, 0.678, 0.7485, 0.5447, 7935170.14, 0.6784, 0.6387, 0.7382, 0.5978, 5412548.39, 0.6506, 0.7429, 0.8448, 0.5282, 4874541.82, 0.7409, 0.6845, 0.8371, 0.6679, 6063960.28, 0.6801, 0.5822, 0.7506, 0.5501, 4150440.84, 0.6282 
0.6784, 0.6387, 0.7382, 0.5978, 5412548.39, 0.6506, 0.7429, 0.8448, 0.5282, 4874541.82, 0.7409, 0.6845, 0.8371, 0.6679, 6063960.28, 0.6801, 0.5822, 0.7506, 0.5501, 4150440.84, 0.6008, 0.7162, 0.8555, 0.4858, 4561715.13, 0.6128 
0.6506, 0.7429, 0.8448, 0.5282, 4874541.82, 0.7409, 0.6845, 0.8371, 0.6679, 6063960.28, 0.6801, 0.5822, 0.7506, 0.5501, 4150440.84, 0.6008, 0.7162, 0.8555, 0.4858, 4561715.13, 0.7136, 0.7402, 0.808, 0.6703, 6741093.38, 0.5905 
0.7409, 0.6845, 0.8371, 0.6679, 6063960.28, 0.6801, 0.5822, 0.7506, 0.5501, 4150440.84, 0.6008, 0.7162, 0.8555, 0.4858, 4561715.13, 0.7136, 0.7402, 0.808, 0.6703, 6741093.38, 0.7394, 0.752, 0.8349, 0.6791, 5615196.42, 0.6983 
0.6801, 0.5822, 0.7506, 0.5501, 4150440.84, 0.6008, 0.7162, 0.8555, 0.4858, 4561715.13, 0.7136, 0.7402, 0.808, 0.6703, 6741093.38, 0.7394, 0.752, 0.8349, 0.6791, 5615196.42, 0.7298, 0.8055, 0.8391, 0.6719, 7282404.05, 0.68 
0.6008, 0.7162, 0.8555, 0.4858, 4561715.13, 0.7136, 0.7402, 0.808, 0.6703, 6741093.38, 0.7394, 0.752, 0.8349, 0.6791, 5615196.42, 0.7298, 0.8055, 0.8391, 0.6719, 7282404.05, 0.7607, 0.6127, 0.7731, 0.5479, 10120556.6, 0.7659 
0.7136, 0.7402, 0.808, 0.6703, 6741093.38, 0.7394, 0.752, 0.8349, 0.6791, 5615196.42, 0.7298, 0.8055, 0.8391, 0.6719, 7282404.05, 0.7607, 0.6127, 0.7731, 0.5479, 10120556.6, 0.6238, 0.6282, 0.6838, 0.51, 5534803.11, 0.6898 
0.7394, 0.752, 0.8349, 0.6791, 5615196.42, 0.7298, 0.8055, 0.8391, 0.6719, 7282404.05, 0.7607, 0.6127, 0.7731, 0.5479, 10120556.6, 0.6238, 0.6282, 0.6838, 0.51, 5534803.11, 0.6499, 0.6128, 0.7226, 0.5057, 4324607.62, 0.7168 
0.7298, 0.8055, 0.8391, 0.6719, 7282404.05, 0.7607, 0.6127, 0.7731, 0.5479, 10120556.6, 0.6238, 0.6282, 0.6838, 0.51, 5534803.11, 0.6499, 0.6128, 0.7226, 0.5057, 4324607.62, 0.6175, 0.5905, 0.7288, 0.4983, 4683649.48, 0.6724 
0.7607, 0.6127, 0.7731, 0.5479, 10120556.6, 0.6238, 0.6282, 0.6838, 0.51, 5534803.11, 0.6499, 0.6128, 0.7226, 0.5057, 4324607.62, 0.6175, 0.5905, 0.7288, 0.4983, 4683649.48, 0.6337, 0.6983, 0.7353, 0.5425, 14305494.12, 0.6992 
0.6238, 0.6282, 0.6838, 0.51, 5534803.11, 0.6499, 0.6128, 0.7226, 0.5057, 4324607.62, 0.6175, 0.5905, 0.7288, 0.4983, 4683649.48, 0.6337, 0.6983, 0.7353, 0.5425, 14305494.12, 0.6965, 0.68, 0.7432, 0.6459, 10374393.01, 0.6859 
0.6499, 0.6128, 0.7226, 0.5057, 4324607.62, 0.6175, 0.5905, 0.7288, 0.4983, 4683649.48, 0.6337, 0.6983, 0.7353, 0.5425, 14305494.12, 0.6965, 0.68, 0.7432, 0.6459, 10374393.01, 0.6824, 0.7659, 0.8185, 0.6468, 11260385.53, 0.6658 
0.6175, 0.5905, 0.7288, 0.4983, 4683649.48, 0.6337, 0.6983, 0.7353, 0.5425, 14305494.12, 0.6965, 0.68, 0.7432, 0.6459, 10374393.01, 0.6824, 0.7659, 0.8185, 0.6468, 11260385.53, 0.7546, 0.6898, 0.7611, 0.6168, 8248005.48, 0.6696 
0.6337, 0.6983, 0.7353, 0.5425, 14305494.12, 0.6965, 0.68, 0.7432, 0.6459, 10374393.01, 0.6824, 0.7659, 0.8185, 0.6468, 11260385.53, 0.7546, 0.6898, 0.7611, 0.6168, 8248005.48, 0.6909, 0.7168, 0.7925, 0.6553, 5394694.65, 0.6573 
0.6965, 0.68, 0.7432, 0.6459, 10374393.01, 0.6824, 0.7659, 0.8185, 0.6468, 11260385.53, 0.7546, 0.6898, 0.7611, 0.6168, 8248005.48, 0.6909, 0.7168, 0.7925, 0.6553, 5394694.65, 0.7192, 0.6724, 0.7808, 0.5639, 4479496.61, 0.6709 
0.6824, 0.7659, 0.8185, 0.6468, 11260385.53, 0.7546, 0.6898, 0.7611, 0.6168, 8248005.48, 0.6909, 0.7168, 0.7925, 0.6553, 5394694.65, 0.7192, 0.6724, 0.7808, 0.5639, 4479496.61, 0.6816, 0.6992, 0.7311, 0.532, 4545499.42, 0.5414 
0.7546, 0.6898, 0.7611, 0.6168, 8248005.48, 0.6909, 0.7168, 0.7925, 0.6553, 5394694.65, 0.7192, 0.6724, 0.7808, 0.5639, 4479496.61, 0.6816, 0.6992, 0.7311, 0.532, 4545499.42, 0.6898, 0.6859, 0.7054, 0.6697, 6012010.93, 0.7234 
0.6909, 0.7168, 0.7925, 0.6553, 5394694.65, 0.7192, 0.6724, 0.7808, 0.5639, 4479496.61, 0.6816, 0.6992, 0.7311, 0.532, 4545499.42, 0.6898, 0.6859, 0.7054, 0.6697, 6012010.93, 0.6845, 0.6658, 0.6955, 0.6561, 6552740.35, 0.6371 
0.7192, 0.6724, 0.7808, 0.5639, 4479496.61, 0.6816, 0.6992, 0.7311, 0.532, 4545499.42, 0.6898, 0.6859, 0.7054, 0.6697, 6012010.93, 0.6845, 0.6658, 0.6955, 0.6561, 6552740.35, 0.6625, 0.6696, 0.6807, 0.6606, 4998981.48, 0.5751 
0.6816, 0.6992, 0.7311, 0.532, 4545499.42, 0.6898, 0.6859, 0.7054, 0.6697, 6012010.93, 0.6845, 0.6658, 0.6955, 0.6561, 6552740.35, 0.6625, 0.6696, 0.6807, 0.6606, 4998981.48, 0.6683, 0.6573, 0.6773, 0.6553, 4796405.21, 0.5734 
0.6898, 0.6859, 0.7054, 0.6697, 6012010.93, 0.6845, 0.6658, 0.6955, 0.6561, 6552740.35, 0.6625, 0.6696, 0.6807, 0.6606, 4998981.48, 0.6683, 0.6573, 0.6773, 0.6553, 4796405.21, 0.6573, 0.6709, 0.7968, 0.6541, 4073807.29, 0.5766 
0.6845, 0.6658, 0.6955, 0.6561, 6552740.35, 0.6625, 0.6696, 0.6807, 0.6606, 4998981.48, 0.6683, 0.6573, 0.6773, 0.6553, 4796405.21, 0.6573, 0.6709, 0.7968, 0.6541, 4073807.29, 0.6723, 0.5414, 0.7628, 0.4847, 3493704.4, 0.5894 
0.6625, 0.6696, 0.6807, 0.6606, 4998981.48, 0.6683, 0.6573, 0.6773, 0.6553, 4796405.21, 0.6573, 0.6709, 0.7968, 0.6541, 4073807.29, 0.6723, 0.5414, 0.7628, 0.4847, 3493704.4, 0.5427, 0.7234, 0.7635, 0.5186, 4722112.78, 0.6017 
