@RELATION HistUtility
@ATTRIBUTE open0 NUMERIC
@ATTRIBUTE close0 NUMERIC
@ATTRIBUTE high0 NUMERIC
@ATTRIBUTE low0 NUMERIC
@ATTRIBUTE volumeto0 NUMERIC
@ATTRIBUTE open1 NUMERIC
@ATTRIBUTE close1 NUMERIC
@ATTRIBUTE high1 NUMERIC
@ATTRIBUTE low1 NUMERIC
@ATTRIBUTE volumeto1 NUMERIC
@ATTRIBUTE open2 NUMERIC
@ATTRIBUTE close2 NUMERIC
@ATTRIBUTE high2 NUMERIC
@ATTRIBUTE low2 NUMERIC
@ATTRIBUTE volumeto2 NUMERIC
@ATTRIBUTE open3 NUMERIC
@ATTRIBUTE close3 NUMERIC
@ATTRIBUTE high3 NUMERIC
@ATTRIBUTE low3 NUMERIC
@ATTRIBUTE volumeto3 NUMERIC
@ATTRIBUTE open4 NUMERIC
@ATTRIBUTE close4 NUMERIC
@ATTRIBUTE high4 NUMERIC
@ATTRIBUTE low4 NUMERIC
@ATTRIBUTE volumeto4 NUMERIC
@ATTRIBUTE next_close NUMERIC

@DATA
0.1466, 0.1466, 0.1466, 0.1466, 0, 0.14, 0.14, 0.14, 0.14, 0, 0.1359, 0.1359, 0.1359, 0.1359, 0, 0.1365, 0.1365, 0.1365, 0.1365, 0, 0.1383, 0.1383, 0.1383, 0.1383, 0, 0.1917 
0.14, 0.14, 0.14, 0.14, 0, 0.1359, 0.1359, 0.1359, 0.1359, 0, 0.1365, 0.1365, 0.1365, 0.1365, 0, 0.1383, 0.1383, 0.1383, 0.1383, 0, 0.1546, 0.1546, 0.1546, 0.1546, 0, 0.2131 
0.1359, 0.1359, 0.1359, 0.1359, 0, 0.1365, 0.1365, 0.1365, 0.1365, 0, 0.1383, 0.1383, 0.1383, 0.1383, 0, 0.1546, 0.1546, 0.1546, 0.1546, 0, 0.166, 0.166, 0.166, 0.166, 0, 0.2282 
0.1365, 0.1365, 0.1365, 0.1365, 0, 0.1383, 0.1383, 0.1383, 0.1383, 0, 0.1546, 0.1546, 0.1546, 0.1546, 0, 0.166, 0.166, 0.166, 0.166, 0, 0.163, 0.163, 0.163, 0.163, 0, 0.2122 
0.1383, 0.1383, 0.1383, 0.1383, 0, 0.1546, 0.1546, 0.1546, 0.1546, 0, 0.166, 0.166, 0.166, 0.166, 0, 0.163, 0.163, 0.163, 0.163, 0, 0.1886, 0.1886, 0.1886, 0.1886, 0, 0.2148 
0.1546, 0.1546, 0.1546, 0.1546, 0, 0.166, 0.166, 0.166, 0.166, 0, 0.163, 0.163, 0.163, 0.163, 0, 0.1886, 0.1886, 0.1886, 0.1886, 0, 0.1773, 0.1773, 0.1773, 0.1773, 0, 0.1891 
0.166, 0.166, 0.166, 0.166, 0, 0.163, 0.163, 0.163, 0.163, 0, 0.1886, 0.1886, 0.1886, 0.1886, 0, 0.1773, 0.1773, 0.1773, 0.1773, 0, 0.1917, 0.1917, 0.1917, 0.1917, 0, 0.2264 
0.163, 0.163, 0.163, 0.163, 0, 0.1886, 0.1886, 0.1886, 0.1886, 0, 0.1773, 0.1773, 0.1773, 0.1773, 0, 0.1917, 0.1917, 0.1917, 0.1917, 0, 0.2131, 0.2131, 0.2131, 0.2131, 0, 0.2224 
0.1886, 0.1886, 0.1886, 0.1886, 0, 0.1773, 0.1773, 0.1773, 0.1773, 0, 0.1917, 0.1917, 0.1917, 0.1917, 0, 0.2131, 0.2131, 0.2131, 0.2131, 0, 0.2282, 0.2282, 0.2282, 0.2282, 0, 0.229 
0.1773, 0.1773, 0.1773, 0.1773, 0, 0.1917, 0.1917, 0.1917, 0.1917, 0, 0.2131, 0.2131, 0.2131, 0.2131, 0, 0.2282, 0.2282, 0.2282, 0.2282, 0, 0.2122, 0.2122, 0.2122, 0.2122, 0, 0.2163 
