@RELATION HistUtility
@ATTRIBUTE open0 NUMERIC
@ATTRIBUTE close0 NUMERIC
@ATTRIBUTE high0 NUMERIC
@ATTRIBUTE low0 NUMERIC
@ATTRIBUTE volumeto0 NUMERIC
@ATTRIBUTE open1 NUMERIC
@ATTRIBUTE close1 NUMERIC
@ATTRIBUTE high1 NUMERIC
@ATTRIBUTE low1 NUMERIC
@ATTRIBUTE volumeto1 NUMERIC
@ATTRIBUTE open2 NUMERIC
@ATTRIBUTE close2 NUMERIC
@ATTRIBUTE high2 NUMERIC
@ATTRIBUTE low2 NUMERIC
@ATTRIBUTE volumeto2 NUMERIC
@ATTRIBUTE open3 NUMERIC
@ATTRIBUTE close3 NUMERIC
@ATTRIBUTE high3 NUMERIC
@ATTRIBUTE low3 NUMERIC
@ATTRIBUTE volumeto3 NUMERIC
@ATTRIBUTE open4 NUMERIC
@ATTRIBUTE close4 NUMERIC
@ATTRIBUTE high4 NUMERIC
@ATTRIBUTE low4 NUMERIC
@ATTRIBUTE volumeto4 NUMERIC
@ATTRIBUTE next_close NUMERIC

@DATA
0.003939, 0.003939, 0.004078, 0.003904, 387520.53, 0.003735, 0.003801, 0.003834, 0.003702, 262813.65, 0.003721, 0.003688, 0.003786, 0.003624, 365624.13, 0.003685, 0.003782, 0.003814, 0.003653, 445015.11, 0.003809, 0.003906, 0.003939, 0.003809, 548232.22, 0.005623 
0.003735, 0.003801, 0.003834, 0.003702, 262813.65, 0.003721, 0.003688, 0.003786, 0.003624, 365624.13, 0.003685, 0.003782, 0.003814, 0.003653, 445015.11, 0.003809, 0.003906, 0.003939, 0.003809, 548232.22, 0.004258, 0.004435, 0.004542, 0.004258, 1210564.14, 0.005611 
0.003721, 0.003688, 0.003786, 0.003624, 365624.13, 0.003685, 0.003782, 0.003814, 0.003653, 445015.11, 0.003809, 0.003906, 0.003939, 0.003809, 548232.22, 0.004258, 0.004435, 0.004542, 0.004258, 1210564.14, 0.004645, 0.004645, 0.004756, 0.004496, 953035.36, 0.005756 
0.003685, 0.003782, 0.003814, 0.003653, 445015.11, 0.003809, 0.003906, 0.003939, 0.003809, 548232.22, 0.004258, 0.004435, 0.004542, 0.004258, 1210564.14, 0.004645, 0.004645, 0.004756, 0.004496, 953035.36, 0.004671, 0.004596, 0.004783, 0.004484, 2284493.78, 0.005177 
0.003809, 0.003906, 0.003939, 0.003809, 548232.22, 0.004258, 0.004435, 0.004542, 0.004258, 1210564.14, 0.004645, 0.004645, 0.004756, 0.004496, 953035.36, 0.004671, 0.004596, 0.004783, 0.004484, 2284493.78, 0.005089, 0.004882, 0.005213, 0.0048, 1474819.68, 0.00508 
0.004258, 0.004435, 0.004542, 0.004258, 1210564.14, 0.004645, 0.004645, 0.004756, 0.004496, 953035.36, 0.004671, 0.004596, 0.004783, 0.004484, 2284493.78, 0.005089, 0.004882, 0.005213, 0.0048, 1474819.68, 0.004601, 0.005458, 0.005926, 0.004445, 5496605.89, 0.004339 
0.004645, 0.004645, 0.004756, 0.004496, 953035.36, 0.004671, 0.004596, 0.004783, 0.004484, 2284493.78, 0.005089, 0.004882, 0.005213, 0.0048, 1474819.68, 0.004601, 0.005458, 0.005926, 0.004445, 5496605.89, 0.005663, 0.005623, 0.005987, 0.005259, 2770320.14, 0.005172 
0.004671, 0.004596, 0.004783, 0.004484, 2284493.78, 0.005089, 0.004882, 0.005213, 0.0048, 1474819.68, 0.004601, 0.005458, 0.005926, 0.004445, 5496605.89, 0.005663, 0.005623, 0.005987, 0.005259, 2770320.14, 0.005571, 0.005611, 0.005771, 0.00541, 1632699.9, 0.004974 
0.005089, 0.004882, 0.005213, 0.0048, 1474819.68, 0.004601, 0.005458, 0.005926, 0.004445, 5496605.89, 0.005663, 0.005623, 0.005987, 0.005259, 2770320.14, 0.005571, 0.005611, 0.005771, 0.00541, 1632699.9, 0.005715, 0.005756, 0.006205, 0.005674, 3247062.84, 0.005727 
0.004601, 0.005458, 0.005926, 0.004445, 5496605.89, 0.005663, 0.005623, 0.005987, 0.005259, 2770320.14, 0.005571, 0.005611, 0.005771, 0.00541, 1632699.9, 0.005715, 0.005756, 0.006205, 0.005674, 3247062.84, 0.005407, 0.005177, 0.005407, 0.005023, 1332777.09, 0.005171 
0.005663, 0.005623, 0.005987, 0.005259, 2770320.14, 0.005571, 0.005611, 0.005771, 0.00541, 1632699.9, 0.005715, 0.005756, 0.006205, 0.005674, 3247062.84, 0.005407, 0.005177, 0.005407, 0.005023, 1332777.09, 0.005196, 0.00508, 0.005273, 0.004926, 805581.99, 0.005587 
0.005571, 0.005611, 0.005771, 0.00541, 1632699.9, 0.005715, 0.005756, 0.006205, 0.005674, 3247062.84, 0.005407, 0.005177, 0.005407, 0.005023, 1332777.09, 0.005196, 0.00508, 0.005273, 0.004926, 805581.99, 0.004813, 0.004339, 0.004849, 0.004302, 1556507.92, 0.005981 
0.005715, 0.005756, 0.006205, 0.005674, 3247062.84, 0.005407, 0.005177, 0.005407, 0.005023, 1332777.09, 0.005196, 0.00508, 0.005273, 0.004926, 805581.99, 0.004813, 0.004339, 0.004849, 0.004302, 1556507.92, 0.004698, 0.005172, 0.005369, 0.004619, 1225986.79, 0.005715 
0.005407, 0.005177, 0.005407, 0.005023, 1332777.09, 0.005196, 0.00508, 0.005273, 0.004926, 805581.99, 0.004813, 0.004339, 0.004849, 0.004302, 1556507.92, 0.004698, 0.005172, 0.005369, 0.004619, 1225986.79, 0.004974, 0.004974, 0.005126, 0.004784, 1149337.56, 0.00585 
0.005196, 0.00508, 0.005273, 0.004926, 805581.99, 0.004813, 0.004339, 0.004849, 0.004302, 1556507.92, 0.004698, 0.005172, 0.005369, 0.004619, 1225986.79, 0.004974, 0.004974, 0.005126, 0.004784, 1149337.56, 0.005104, 0.005727, 0.005883, 0.005026, 2835617.58, 0.005822 
0.004813, 0.004339, 0.004849, 0.004302, 1556507.92, 0.004698, 0.005172, 0.005369, 0.004619, 1225986.79, 0.004974, 0.004974, 0.005126, 0.004784, 1149337.56, 0.005104, 0.005727, 0.005883, 0.005026, 2835617.58, 0.005509, 0.005171, 0.006033, 0.005096, 3110591.33, 0.006277 
