@RELATION HistUtility
@ATTRIBUTE open0 NUMERIC
@ATTRIBUTE close0 NUMERIC
@ATTRIBUTE high0 NUMERIC
@ATTRIBUTE low0 NUMERIC
@ATTRIBUTE volumeto0 NUMERIC
@ATTRIBUTE open1 NUMERIC
@ATTRIBUTE close1 NUMERIC
@ATTRIBUTE high1 NUMERIC
@ATTRIBUTE low1 NUMERIC
@ATTRIBUTE volumeto1 NUMERIC
@ATTRIBUTE open2 NUMERIC
@ATTRIBUTE close2 NUMERIC
@ATTRIBUTE high2 NUMERIC
@ATTRIBUTE low2 NUMERIC
@ATTRIBUTE volumeto2 NUMERIC
@ATTRIBUTE open3 NUMERIC
@ATTRIBUTE close3 NUMERIC
@ATTRIBUTE high3 NUMERIC
@ATTRIBUTE low3 NUMERIC
@ATTRIBUTE volumeto3 NUMERIC
@ATTRIBUTE open4 NUMERIC
@ATTRIBUTE close4 NUMERIC
@ATTRIBUTE high4 NUMERIC
@ATTRIBUTE low4 NUMERIC
@ATTRIBUTE volumeto4 NUMERIC
@ATTRIBUTE next_close NUMERIC

@DATA
0.00718, 0.007145, 0.007355, 0.007041, 140824.36, 0.006775, 0.006742, 0.00704, 0.00661, 304308.84, 0.0066, 0.006633, 0.007086, 0.006471, 901152.13, 0.006627, 0.007015, 0.007208, 0.006627, 1074457.37, 0.007064, 0.007097, 0.007325, 0.006869, 1715742.24, 0.008738 
0.006775, 0.006742, 0.00704, 0.00661, 304308.84, 0.0066, 0.006633, 0.007086, 0.006471, 901152.13, 0.006627, 0.007015, 0.007208, 0.006627, 1074457.37, 0.007064, 0.007097, 0.007325, 0.006869, 1715742.24, 0.007735, 0.007735, 0.007806, 0.007487, 480324.04, 0.008777 
0.0066, 0.006633, 0.007086, 0.006471, 901152.13, 0.006627, 0.007015, 0.007208, 0.006627, 1074457.37, 0.007064, 0.007097, 0.007325, 0.006869, 1715742.24, 0.007735, 0.007735, 0.007806, 0.007487, 480324.04, 0.008101, 0.007989, 0.008175, 0.00784, 857811.18, 0.00898 
0.006627, 0.007015, 0.007208, 0.006627, 1074457.37, 0.007064, 0.007097, 0.007325, 0.006869, 1715742.24, 0.007735, 0.007735, 0.007806, 0.007487, 480324.04, 0.008101, 0.007989, 0.008175, 0.00784, 857811.18, 0.008034, 0.008183, 0.008519, 0.007697, 2963269.57, 0.007938 
0.007064, 0.007097, 0.007325, 0.006869, 1715742.24, 0.007735, 0.007735, 0.007806, 0.007487, 480324.04, 0.008101, 0.007989, 0.008175, 0.00784, 857811.18, 0.008034, 0.008183, 0.008519, 0.007697, 2963269.57, 0.009061, 0.009268, 0.009392, 0.008896, 2717897.83, 0.008044 
0.007735, 0.007735, 0.007806, 0.007487, 480324.04, 0.008101, 0.007989, 0.008175, 0.00784, 857811.18, 0.008034, 0.008183, 0.008519, 0.007697, 2963269.57, 0.009061, 0.009268, 0.009392, 0.008896, 2717897.83, 0.008733, 0.008577, 0.008733, 0.008226, 574188.09, 0.007657 
0.008101, 0.007989, 0.008175, 0.00784, 857811.18, 0.008034, 0.008183, 0.008519, 0.007697, 2963269.57, 0.009061, 0.009268, 0.009392, 0.008896, 2717897.83, 0.008733, 0.008577, 0.008733, 0.008226, 574188.09, 0.0089, 0.008738, 0.009021, 0.008576, 769694.54, 0.008488 
0.008034, 0.008183, 0.008519, 0.007697, 2963269.57, 0.009061, 0.009268, 0.009392, 0.008896, 2717897.83, 0.008733, 0.008577, 0.008733, 0.008226, 574188.09, 0.0089, 0.008738, 0.009021, 0.008576, 769694.54, 0.008656, 0.008777, 0.008937, 0.008576, 968296.83, 0.008088 
0.009061, 0.009268, 0.009392, 0.008896, 2717897.83, 0.008733, 0.008577, 0.008733, 0.008226, 574188.09, 0.0089, 0.008738, 0.009021, 0.008576, 769694.54, 0.008656, 0.008777, 0.008937, 0.008576, 968296.83, 0.008939, 0.00898, 0.009266, 0.008817, 1600856.79, 0.008221 
0.008733, 0.008577, 0.008733, 0.008226, 574188.09, 0.0089, 0.008738, 0.009021, 0.008576, 769694.54, 0.008656, 0.008777, 0.008937, 0.008576, 968296.83, 0.008939, 0.00898, 0.009266, 0.008817, 1600856.79, 0.008436, 0.007938, 0.008436, 0.007785, 293779.99, 0.00757 
0.0089, 0.008738, 0.009021, 0.008576, 769694.54, 0.008656, 0.008777, 0.008937, 0.008576, 968296.83, 0.008939, 0.00898, 0.009266, 0.008817, 1600856.79, 0.008436, 0.007938, 0.008436, 0.007785, 293779.99, 0.007967, 0.008044, 0.008159, 0.00789, 650274.34, 0.007877 
0.008656, 0.008777, 0.008937, 0.008576, 968296.83, 0.008939, 0.00898, 0.009266, 0.008817, 1600856.79, 0.008436, 0.007938, 0.008436, 0.007785, 293779.99, 0.007967, 0.008044, 0.008159, 0.00789, 650274.34, 0.00762, 0.007657, 0.00773, 0.007511, 942545.33, 0.008001 
0.008939, 0.00898, 0.009266, 0.008817, 1600856.79, 0.008436, 0.007938, 0.008436, 0.007785, 293779.99, 0.007967, 0.008044, 0.008159, 0.00789, 650274.34, 0.00762, 0.007657, 0.00773, 0.007511, 942545.33, 0.008291, 0.008488, 0.008567, 0.008133, 1383618.34, 0.008017 
0.008436, 0.007938, 0.008436, 0.007785, 293779.99, 0.007967, 0.008044, 0.008159, 0.00789, 650274.34, 0.00762, 0.007657, 0.00773, 0.007511, 942545.33, 0.008291, 0.008488, 0.008567, 0.008133, 1383618.34, 0.008164, 0.008088, 0.00824, 0.008012, 990417.58, 0.007981 
0.007967, 0.008044, 0.008159, 0.00789, 650274.34, 0.00762, 0.007657, 0.00773, 0.007511, 942545.33, 0.008291, 0.008488, 0.008567, 0.008133, 1383618.34, 0.008164, 0.008088, 0.00824, 0.008012, 990417.58, 0.008299, 0.008221, 0.008377, 0.008104, 968951.29, 0.007904 
0.00762, 0.007657, 0.00773, 0.007511, 942545.33, 0.008291, 0.008488, 0.008567, 0.008133, 1383618.34, 0.008164, 0.008088, 0.00824, 0.008012, 990417.58, 0.008299, 0.008221, 0.008377, 0.008104, 968951.29, 0.007907, 0.00757, 0.007982, 0.007495, 1003930.5, 0.008288 
0.008291, 0.008488, 0.008567, 0.008133, 1383618.34, 0.008164, 0.008088, 0.00824, 0.008012, 990417.58, 0.008299, 0.008221, 0.008377, 0.008104, 968951.29, 0.007907, 0.00757, 0.007982, 0.007495, 1003930.5, 0.007838, 0.007877, 0.008187, 0.00745, 625572.95, 0.008141 
0.008164, 0.008088, 0.00824, 0.008012, 990417.58, 0.008299, 0.008221, 0.008377, 0.008104, 968951.29, 0.007907, 0.00757, 0.007982, 0.007495, 1003930.5, 0.007838, 0.007877, 0.008187, 0.00745, 625572.95, 0.008041, 0.008001, 0.00812, 0.007843, 560493.96, 0.008001 
0.008299, 0.008221, 0.008377, 0.008104, 968951.29, 0.007907, 0.00757, 0.007982, 0.007495, 1003930.5, 0.007838, 0.007877, 0.008187, 0.00745, 625572.95, 0.008041, 0.008001, 0.00812, 0.007843, 560493.96, 0.007748, 0.008017, 0.008324, 0.007672, 2131905.11, 0.008097 
0.007907, 0.00757, 0.007982, 0.007495, 1003930.5, 0.007838, 0.007877, 0.008187, 0.00745, 625572.95, 0.008041, 0.008001, 0.00812, 0.007843, 560493.96, 0.007748, 0.008017, 0.008324, 0.007672, 2131905.11, 0.008097, 0.007981, 0.008136, 0.007826, 519498.24, 0.006896 
0.007838, 0.007877, 0.008187, 0.00745, 625572.95, 0.008041, 0.008001, 0.00812, 0.007843, 560493.96, 0.007748, 0.008017, 0.008324, 0.007672, 2131905.11, 0.008097, 0.007981, 0.008136, 0.007826, 519498.24, 0.007942, 0.007904, 0.008096, 0.007826, 1186394.59, 0.006751 
0.008041, 0.008001, 0.00812, 0.007843, 560493.96, 0.007748, 0.008017, 0.008324, 0.007672, 2131905.11, 0.008097, 0.007981, 0.008136, 0.007826, 519498.24, 0.007942, 0.007904, 0.008096, 0.007826, 1186394.59, 0.008411, 0.008288, 0.008452, 0.008247, 1008188.51, 0.007182 
0.007748, 0.008017, 0.008324, 0.007672, 2131905.11, 0.008097, 0.007981, 0.008136, 0.007826, 519498.24, 0.007942, 0.007904, 0.008096, 0.007826, 1186394.59, 0.008411, 0.008288, 0.008452, 0.008247, 1008188.51, 0.008182, 0.008141, 0.008425, 0.008101, 701289.16, 0.006534 
0.008097, 0.007981, 0.008136, 0.007826, 519498.24, 0.007942, 0.007904, 0.008096, 0.007826, 1186394.59, 0.008411, 0.008288, 0.008452, 0.008247, 1008188.51, 0.008182, 0.008141, 0.008425, 0.008101, 701289.16, 0.008122, 0.008001, 0.008324, 0.007718, 1922769.35, 0.006963 
0.007942, 0.007904, 0.008096, 0.007826, 1186394.59, 0.008411, 0.008288, 0.008452, 0.008247, 1008188.51, 0.008182, 0.008141, 0.008425, 0.008101, 701289.16, 0.008122, 0.008001, 0.008324, 0.007718, 1922769.35, 0.008016, 0.008097, 0.008178, 0.007854, 884320.13, 0.006736 
0.008411, 0.008288, 0.008452, 0.008247, 1008188.51, 0.008182, 0.008141, 0.008425, 0.008101, 701289.16, 0.008122, 0.008001, 0.008324, 0.007718, 1922769.35, 0.008016, 0.008097, 0.008178, 0.007854, 884320.13, 0.007336, 0.006896, 0.007373, 0.006713, 1116449.38, 0.007033 
0.008182, 0.008141, 0.008425, 0.008101, 701289.16, 0.008122, 0.008001, 0.008324, 0.007718, 1922769.35, 0.008016, 0.008097, 0.008178, 0.007854, 884320.13, 0.007336, 0.006896, 0.007373, 0.006713, 1116449.38, 0.006898, 0.006751, 0.006971, 0.006641, 369108.77, 0.008218 
0.008122, 0.008001, 0.008324, 0.007718, 1922769.35, 0.008016, 0.008097, 0.008178, 0.007854, 884320.13, 0.007336, 0.006896, 0.007373, 0.006713, 1116449.38, 0.006898, 0.006751, 0.006971, 0.006641, 369108.77, 0.006742, 0.007182, 0.007292, 0.006633, 2398710.46, 0.007515 
0.008016, 0.008097, 0.008178, 0.007854, 884320.13, 0.007336, 0.006896, 0.007373, 0.006713, 1116449.38, 0.006898, 0.006751, 0.006971, 0.006641, 369108.77, 0.006742, 0.007182, 0.007292, 0.006633, 2398710.46, 0.00696, 0.006534, 0.007174, 0.006463, 732332.95, 0.007758 
0.007336, 0.006896, 0.007373, 0.006713, 1116449.38, 0.006898, 0.006751, 0.006971, 0.006641, 369108.77, 0.006742, 0.007182, 0.007292, 0.006633, 2398710.46, 0.00696, 0.006534, 0.007174, 0.006463, 732332.95, 0.006815, 0.006963, 0.007111, 0.006704, 447982.6, 0.007635 
0.006898, 0.006751, 0.006971, 0.006641, 369108.77, 0.006742, 0.007182, 0.007292, 0.006633, 2398710.46, 0.00696, 0.006534, 0.007174, 0.006463, 732332.95, 0.006815, 0.006963, 0.007111, 0.006704, 447982.6, 0.006808, 0.006736, 0.006844, 0.006591, 538823.17, 0.007644 
0.006742, 0.007182, 0.007292, 0.006633, 2398710.46, 0.00696, 0.006534, 0.007174, 0.006463, 732332.95, 0.006815, 0.006963, 0.007111, 0.006704, 447982.6, 0.006808, 0.006736, 0.006844, 0.006591, 538823.17, 0.006778, 0.007033, 0.007142, 0.006705, 851430.63, 0.007852 
0.00696, 0.006534, 0.007174, 0.006463, 732332.95, 0.006815, 0.006963, 0.007111, 0.006704, 447982.6, 0.006808, 0.006736, 0.006844, 0.006591, 538823.17, 0.006778, 0.007033, 0.007142, 0.006705, 851430.63, 0.007113, 0.008218, 0.008366, 0.007076, 3365777.01, 0.007608 
0.006815, 0.006963, 0.007111, 0.006704, 447982.6, 0.006808, 0.006736, 0.006844, 0.006591, 538823.17, 0.006778, 0.007033, 0.007142, 0.006705, 851430.63, 0.007113, 0.008218, 0.008366, 0.007076, 3365777.01, 0.008135, 0.007515, 0.008245, 0.007369, 1568317.65, 0.007665 
0.006808, 0.006736, 0.006844, 0.006591, 538823.17, 0.006778, 0.007033, 0.007142, 0.006705, 851430.63, 0.007113, 0.008218, 0.008366, 0.007076, 3365777.01, 0.008135, 0.007515, 0.008245, 0.007369, 1568317.65, 0.007683, 0.007758, 0.007982, 0.007609, 615527.02, 0.007345 
0.006778, 0.007033, 0.007142, 0.006705, 851430.63, 0.007113, 0.008218, 0.008366, 0.007076, 3365777.01, 0.008135, 0.007515, 0.008245, 0.007369, 1568317.65, 0.007683, 0.007758, 0.007982, 0.007609, 615527.02, 0.007421, 0.007635, 0.007635, 0.007171, 473046.61, 0.007373 
0.007113, 0.008218, 0.008366, 0.007076, 3365777.01, 0.008135, 0.007515, 0.008245, 0.007369, 1568317.65, 0.007683, 0.007758, 0.007982, 0.007609, 615527.02, 0.007421, 0.007635, 0.007635, 0.007171, 473046.61, 0.007644, 0.007644, 0.007965, 0.00743, 547287.72, 0.007273 
0.008135, 0.007515, 0.008245, 0.007369, 1568317.65, 0.007683, 0.007758, 0.007982, 0.007609, 615527.02, 0.007421, 0.007635, 0.007635, 0.007171, 473046.61, 0.007644, 0.007644, 0.007965, 0.00743, 547287.72, 0.007708, 0.007852, 0.008177, 0.007636, 755861.17, 0.006941 
0.007683, 0.007758, 0.007982, 0.007609, 615527.02, 0.007421, 0.007635, 0.007635, 0.007171, 473046.61, 0.007644, 0.007644, 0.007965, 0.00743, 547287.72, 0.007708, 0.007852, 0.008177, 0.007636, 755861.17, 0.007787, 0.007608, 0.00818, 0.007358, 758490.64, 0.006836 
0.007421, 0.007635, 0.007635, 0.007171, 473046.61, 0.007644, 0.007644, 0.007965, 0.00743, 547287.72, 0.007708, 0.007852, 0.008177, 0.007636, 755861.17, 0.007787, 0.007608, 0.00818, 0.007358, 758490.64, 0.007665, 0.007665, 0.007809, 0.007449, 420410.62, 0.007246 
0.007644, 0.007644, 0.007965, 0.00743, 547287.72, 0.007708, 0.007852, 0.008177, 0.007636, 755861.17, 0.007787, 0.007608, 0.00818, 0.007358, 758490.64, 0.007665, 0.007665, 0.007809, 0.007449, 420410.62, 0.007632, 0.007345, 0.007667, 0.007237, 324011.88, 0.006628 
0.007708, 0.007852, 0.008177, 0.007636, 755861.17, 0.007787, 0.007608, 0.00818, 0.007358, 758490.64, 0.007665, 0.007665, 0.007809, 0.007449, 420410.62, 0.007632, 0.007345, 0.007667, 0.007237, 324011.88, 0.007373, 0.007373, 0.007553, 0.007049, 339035.32, 0.00675 
0.007787, 0.007608, 0.00818, 0.007358, 758490.64, 0.007665, 0.007665, 0.007809, 0.007449, 420410.62, 0.007632, 0.007345, 0.007667, 0.007237, 324011.88, 0.007373, 0.007373, 0.007553, 0.007049, 339035.32, 0.007308, 0.007273, 0.00738, 0.00713, 184420.48, 0.006842 
0.007665, 0.007665, 0.007809, 0.007449, 420410.62, 0.007632, 0.007345, 0.007667, 0.007237, 324011.88, 0.007373, 0.007373, 0.007553, 0.007049, 339035.32, 0.007308, 0.007273, 0.00738, 0.00713, 184420.48, 0.007045, 0.006941, 0.007149, 0.006665, 291184.23, 0.006623 
0.007632, 0.007345, 0.007667, 0.007237, 324011.88, 0.007373, 0.007373, 0.007553, 0.007049, 339035.32, 0.007308, 0.007273, 0.00738, 0.00713, 184420.48, 0.007045, 0.006941, 0.007149, 0.006665, 291184.23, 0.006871, 0.006836, 0.006973, 0.006631, 134289.97, 0.006691 
0.007373, 0.007373, 0.007553, 0.007049, 339035.32, 0.007308, 0.007273, 0.00738, 0.00713, 184420.48, 0.007045, 0.006941, 0.007149, 0.006665, 291184.23, 0.006871, 0.006836, 0.006973, 0.006631, 134289.97, 0.006934, 0.007246, 0.007628, 0.0069, 798561.8, 0.006654 
0.007308, 0.007273, 0.00738, 0.00713, 184420.48, 0.007045, 0.006941, 0.007149, 0.006665, 291184.23, 0.006871, 0.006836, 0.006973, 0.006631, 134289.97, 0.006934, 0.007246, 0.007628, 0.0069, 798561.8, 0.007177, 0.006628, 0.007383, 0.006491, 498381.2, 0.00645 
