@RELATION HistUtility
@ATTRIBUTE open0 NUMERIC
@ATTRIBUTE close0 NUMERIC
@ATTRIBUTE high0 NUMERIC
@ATTRIBUTE low0 NUMERIC
@ATTRIBUTE volumeto0 NUMERIC
@ATTRIBUTE open1 NUMERIC
@ATTRIBUTE close1 NUMERIC
@ATTRIBUTE high1 NUMERIC
@ATTRIBUTE low1 NUMERIC
@ATTRIBUTE volumeto1 NUMERIC
@ATTRIBUTE open2 NUMERIC
@ATTRIBUTE close2 NUMERIC
@ATTRIBUTE high2 NUMERIC
@ATTRIBUTE low2 NUMERIC
@ATTRIBUTE volumeto2 NUMERIC
@ATTRIBUTE open3 NUMERIC
@ATTRIBUTE close3 NUMERIC
@ATTRIBUTE high3 NUMERIC
@ATTRIBUTE low3 NUMERIC
@ATTRIBUTE volumeto3 NUMERIC
@ATTRIBUTE open4 NUMERIC
@ATTRIBUTE close4 NUMERIC
@ATTRIBUTE high4 NUMERIC
@ATTRIBUTE low4 NUMERIC
@ATTRIBUTE volumeto4 NUMERIC
@ATTRIBUTE next_close NUMERIC

@DATA
0.4805, 0.4891, 0.4891, 0.4765, 2134.93, 0.4668, 0.4782, 0.4894, 0.463, 6314.28, 0.4644, 0.4739, 0.4755, 0.4532, 5098.6, 0.476, 0.477, 0.4786, 0.4704, 2454.1, 0.4833, 0.4867, 0.4867, 0.4709, 4752.62, 0.6275 
0.4668, 0.4782, 0.4894, 0.463, 6314.28, 0.4644, 0.4739, 0.4755, 0.4532, 5098.6, 0.476, 0.477, 0.4786, 0.4704, 2454.1, 0.4833, 0.4867, 0.4867, 0.4709, 4752.62, 0.544, 0.5368, 0.5488, 0.5261, 21377.72, 0.6717 
0.4644, 0.4739, 0.4755, 0.4532, 5098.6, 0.476, 0.477, 0.4786, 0.4704, 2454.1, 0.4833, 0.4867, 0.4867, 0.4709, 4752.62, 0.544, 0.5368, 0.5488, 0.5261, 21377.72, 0.5761, 0.5631, 0.5795, 0.5535, 35759.94, 0.6801 
0.476, 0.477, 0.4786, 0.4704, 2454.1, 0.4833, 0.4867, 0.4867, 0.4709, 4752.62, 0.544, 0.5368, 0.5488, 0.5261, 21377.72, 0.5761, 0.5631, 0.5795, 0.5535, 35759.94, 0.5532, 0.5715, 0.5826, 0.5445, 34394.88, 0.632 
0.4833, 0.4867, 0.4867, 0.4709, 4752.62, 0.544, 0.5368, 0.5488, 0.5261, 21377.72, 0.5761, 0.5631, 0.5795, 0.5535, 35759.94, 0.5532, 0.5715, 0.5826, 0.5445, 34394.88, 0.6612, 0.6477, 0.6848, 0.6287, 44496.89, 0.6352 
0.544, 0.5368, 0.5488, 0.5261, 21377.72, 0.5761, 0.5631, 0.5795, 0.5535, 35759.94, 0.5532, 0.5715, 0.5826, 0.5445, 34394.88, 0.6612, 0.6477, 0.6848, 0.6287, 44496.89, 0.6088, 0.5886, 0.6228, 0.5881, 42506.71, 0.6072 
0.5761, 0.5631, 0.5795, 0.5535, 35759.94, 0.5532, 0.5715, 0.5826, 0.5445, 34394.88, 0.6612, 0.6477, 0.6848, 0.6287, 44496.89, 0.6088, 0.5886, 0.6228, 0.5881, 42506.71, 0.6365, 0.6275, 0.6554, 0.6219, 54659.66, 0.6567 
0.5532, 0.5715, 0.5826, 0.5445, 34394.88, 0.6612, 0.6477, 0.6848, 0.6287, 44496.89, 0.6088, 0.5886, 0.6228, 0.5881, 42506.71, 0.6365, 0.6275, 0.6554, 0.6219, 54659.66, 0.6975, 0.6717, 0.7006, 0.6541, 53200.16, 0.6157 
0.6612, 0.6477, 0.6848, 0.6287, 44496.89, 0.6088, 0.5886, 0.6228, 0.5881, 42506.71, 0.6365, 0.6275, 0.6554, 0.6219, 54659.66, 0.6975, 0.6717, 0.7006, 0.6541, 53200.16, 0.7193, 0.6801, 0.7228, 0.6494, 22609.18, 0.6409 
0.6088, 0.5886, 0.6228, 0.5881, 42506.71, 0.6365, 0.6275, 0.6554, 0.6219, 54659.66, 0.6975, 0.6717, 0.7006, 0.6541, 53200.16, 0.7193, 0.6801, 0.7228, 0.6494, 22609.18, 0.6324, 0.632, 0.6534, 0.602, 12750.58, 0.6166 
0.6365, 0.6275, 0.6554, 0.6219, 54659.66, 0.6975, 0.6717, 0.7006, 0.6541, 53200.16, 0.7193, 0.6801, 0.7228, 0.6494, 22609.18, 0.6324, 0.632, 0.6534, 0.602, 12750.58, 0.6398, 0.6352, 0.6483, 0.6107, 37839.78, 0.6492 
