@RELATION HistUtility
@ATTRIBUTE open0 NUMERIC
@ATTRIBUTE close0 NUMERIC
@ATTRIBUTE high0 NUMERIC
@ATTRIBUTE low0 NUMERIC
@ATTRIBUTE volumeto0 NUMERIC
@ATTRIBUTE open1 NUMERIC
@ATTRIBUTE close1 NUMERIC
@ATTRIBUTE high1 NUMERIC
@ATTRIBUTE low1 NUMERIC
@ATTRIBUTE volumeto1 NUMERIC
@ATTRIBUTE open2 NUMERIC
@ATTRIBUTE close2 NUMERIC
@ATTRIBUTE high2 NUMERIC
@ATTRIBUTE low2 NUMERIC
@ATTRIBUTE volumeto2 NUMERIC
@ATTRIBUTE open3 NUMERIC
@ATTRIBUTE close3 NUMERIC
@ATTRIBUTE high3 NUMERIC
@ATTRIBUTE low3 NUMERIC
@ATTRIBUTE volumeto3 NUMERIC
@ATTRIBUTE open4 NUMERIC
@ATTRIBUTE close4 NUMERIC
@ATTRIBUTE high4 NUMERIC
@ATTRIBUTE low4 NUMERIC
@ATTRIBUTE volumeto4 NUMERIC
@ATTRIBUTE next_close NUMERIC

@DATA
6.651e-05, 6.651e-05, 6.88e-05, 6.192e-05, 52109.88, 6.597e-05, 6.597e-05, 7.052e-05, 6.37e-05, 66150.45, 6.533e-05, 6.533e-05, 6.533e-05, 6.307e-05, 28509.66, 5.505e-05, 5.315e-05, 5.505e-05, 5.125e-05, 90173.83, 5.487e-05, 5.095e-05, 5.487e-05, 5.095e-05, 132388.59, 5.67e-05 
6.597e-05, 6.597e-05, 7.052e-05, 6.37e-05, 66150.45, 6.533e-05, 6.533e-05, 6.533e-05, 6.307e-05, 28509.66, 5.505e-05, 5.315e-05, 5.505e-05, 5.125e-05, 90173.83, 5.487e-05, 5.095e-05, 5.487e-05, 5.095e-05, 132388.59, 5.186e-05, 5.385e-05, 5.385e-05, 4.986e-05, 89281.84, 5.477e-05 
6.533e-05, 6.533e-05, 6.533e-05, 6.307e-05, 28509.66, 5.505e-05, 5.315e-05, 5.505e-05, 5.125e-05, 90173.83, 5.487e-05, 5.095e-05, 5.487e-05, 5.095e-05, 132388.59, 5.186e-05, 5.385e-05, 5.385e-05, 4.986e-05, 89281.84, 5.265e-05, 5.265e-05, 5.46e-05, 5.07e-05, 39743.58, 5.742e-05 
5.505e-05, 5.315e-05, 5.505e-05, 5.125e-05, 90173.83, 5.487e-05, 5.095e-05, 5.487e-05, 5.095e-05, 132388.59, 5.186e-05, 5.385e-05, 5.385e-05, 4.986e-05, 89281.84, 5.265e-05, 5.265e-05, 5.46e-05, 5.07e-05, 39743.58, 5.692e-05, 5.902e-05, 6.113e-05, 5.692e-05, 86509.88, 5.734e-05 
5.487e-05, 5.095e-05, 5.487e-05, 5.095e-05, 132388.59, 5.186e-05, 5.385e-05, 5.385e-05, 4.986e-05, 89281.84, 5.265e-05, 5.265e-05, 5.46e-05, 5.07e-05, 39743.58, 5.692e-05, 5.902e-05, 6.113e-05, 5.692e-05, 86509.88, 5.886e-05, 5.886e-05, 6.727e-05, 5.676e-05, 23912.08, 5.701e-05 
5.186e-05, 5.385e-05, 5.385e-05, 4.986e-05, 89281.84, 5.265e-05, 5.265e-05, 5.46e-05, 5.07e-05, 39743.58, 5.692e-05, 5.902e-05, 6.113e-05, 5.692e-05, 86509.88, 5.886e-05, 5.886e-05, 6.727e-05, 5.676e-05, 23912.08, 5.813e-05, 5.605e-05, 6.02e-05, 5.605e-05, 30898.19, 5.5e-05 
5.265e-05, 5.265e-05, 5.46e-05, 5.07e-05, 39743.58, 5.692e-05, 5.902e-05, 6.113e-05, 5.692e-05, 86509.88, 5.886e-05, 5.886e-05, 6.727e-05, 5.676e-05, 23912.08, 5.813e-05, 5.605e-05, 6.02e-05, 5.605e-05, 30898.19, 6.075e-05, 5.67e-05, 6.075e-05, 5.467e-05, 43797.88, 5.479e-05 
5.692e-05, 5.902e-05, 6.113e-05, 5.692e-05, 86509.88, 5.886e-05, 5.886e-05, 6.727e-05, 5.676e-05, 23912.08, 5.813e-05, 5.605e-05, 6.02e-05, 5.605e-05, 30898.19, 6.075e-05, 5.67e-05, 6.075e-05, 5.467e-05, 43797.88, 5.68e-05, 5.477e-05, 5.883e-05, 5.477e-05, 35006.63, 5.634e-05 
5.886e-05, 5.886e-05, 6.727e-05, 5.676e-05, 23912.08, 5.813e-05, 5.605e-05, 6.02e-05, 5.605e-05, 30898.19, 6.075e-05, 5.67e-05, 6.075e-05, 5.467e-05, 43797.88, 5.68e-05, 5.477e-05, 5.883e-05, 5.477e-05, 35006.63, 5.537e-05, 5.742e-05, 5.947e-05, 5.537e-05, 46796.75, 5.491e-05 
5.813e-05, 5.605e-05, 6.02e-05, 5.605e-05, 30898.19, 6.075e-05, 5.67e-05, 6.075e-05, 5.467e-05, 43797.88, 5.68e-05, 5.477e-05, 5.883e-05, 5.477e-05, 35006.63, 5.537e-05, 5.742e-05, 5.947e-05, 5.537e-05, 46796.75, 5.734e-05, 5.734e-05, 6.348e-05, 5.734e-05, 39036.96, 5.475e-05 
6.075e-05, 5.67e-05, 6.075e-05, 5.467e-05, 43797.88, 5.68e-05, 5.477e-05, 5.883e-05, 5.477e-05, 35006.63, 5.537e-05, 5.742e-05, 5.947e-05, 5.537e-05, 46796.75, 5.734e-05, 5.734e-05, 6.348e-05, 5.734e-05, 39036.96, 5.701e-05, 5.701e-05, 5.904e-05, 5.497e-05, 87846.57, 5.704e-05 
