@RELATION HistUtility
@ATTRIBUTE open0 NUMERIC
@ATTRIBUTE close0 NUMERIC
@ATTRIBUTE high0 NUMERIC
@ATTRIBUTE low0 NUMERIC
@ATTRIBUTE volumeto0 NUMERIC
@ATTRIBUTE open1 NUMERIC
@ATTRIBUTE close1 NUMERIC
@ATTRIBUTE high1 NUMERIC
@ATTRIBUTE low1 NUMERIC
@ATTRIBUTE volumeto1 NUMERIC
@ATTRIBUTE open2 NUMERIC
@ATTRIBUTE close2 NUMERIC
@ATTRIBUTE high2 NUMERIC
@ATTRIBUTE low2 NUMERIC
@ATTRIBUTE volumeto2 NUMERIC
@ATTRIBUTE open3 NUMERIC
@ATTRIBUTE close3 NUMERIC
@ATTRIBUTE high3 NUMERIC
@ATTRIBUTE low3 NUMERIC
@ATTRIBUTE volumeto3 NUMERIC
@ATTRIBUTE open4 NUMERIC
@ATTRIBUTE close4 NUMERIC
@ATTRIBUTE high4 NUMERIC
@ATTRIBUTE low4 NUMERIC
@ATTRIBUTE volumeto4 NUMERIC
@ATTRIBUTE next_close NUMERIC

@DATA
0.1342, 0.133, 0.1357, 0.1321, 591946.35, 0.1262, 0.1221, 0.1267, 0.1219, 508255.37, 0.1196, 0.1174, 0.1201, 0.1154, 529293.29, 0.1173, 0.1233, 0.1272, 0.1167, 505867.69, 0.1241, 0.1223, 0.1267, 0.1219, 531950.33, 0.1655 
0.1262, 0.1221, 0.1267, 0.1219, 508255.37, 0.1196, 0.1174, 0.1201, 0.1154, 529293.29, 0.1173, 0.1233, 0.1272, 0.1167, 505867.69, 0.1241, 0.1223, 0.1267, 0.1219, 531950.33, 0.1333, 0.1324, 0.1359, 0.1314, 565005.89, 0.1678 
0.1196, 0.1174, 0.1201, 0.1154, 529293.29, 0.1173, 0.1233, 0.1272, 0.1167, 505867.69, 0.1241, 0.1223, 0.1267, 0.1219, 531950.33, 0.1333, 0.1324, 0.1359, 0.1314, 565005.89, 0.1387, 0.1395, 0.1398, 0.1366, 590475.15, 0.1719 
0.1173, 0.1233, 0.1272, 0.1167, 505867.69, 0.1241, 0.1223, 0.1267, 0.1219, 531950.33, 0.1333, 0.1324, 0.1359, 0.1314, 565005.89, 0.1387, 0.1395, 0.1398, 0.1366, 590475.15, 0.1402, 0.1432, 0.1527, 0.1395, 1047521.14, 0.155 
0.1241, 0.1223, 0.1267, 0.1219, 531950.33, 0.1333, 0.1324, 0.1359, 0.1314, 565005.89, 0.1387, 0.1395, 0.1398, 0.1366, 590475.15, 0.1402, 0.1432, 0.1527, 0.1395, 1047521.14, 0.1586, 0.1835, 0.1936, 0.1563, 2331726.38, 0.162 
0.1333, 0.1324, 0.1359, 0.1314, 565005.89, 0.1387, 0.1395, 0.1398, 0.1366, 590475.15, 0.1402, 0.1432, 0.1527, 0.1395, 1047521.14, 0.1586, 0.1835, 0.1936, 0.1563, 2331726.38, 0.1729, 0.1581, 0.1738, 0.155, 1041224.43, 0.1454 
0.1387, 0.1395, 0.1398, 0.1366, 590475.15, 0.1402, 0.1432, 0.1527, 0.1395, 1047521.14, 0.1586, 0.1835, 0.1936, 0.1563, 2331726.38, 0.1729, 0.1581, 0.1738, 0.155, 1041224.43, 0.164, 0.1655, 0.1693, 0.1629, 755963.21, 0.1637 
0.1402, 0.1432, 0.1527, 0.1395, 1047521.14, 0.1586, 0.1835, 0.1936, 0.1563, 2331726.38, 0.1729, 0.1581, 0.1738, 0.155, 1041224.43, 0.164, 0.1655, 0.1693, 0.1629, 755963.21, 0.164, 0.1678, 0.17, 0.164, 681037.13, 0.1567 
0.1586, 0.1835, 0.1936, 0.1563, 2331726.38, 0.1729, 0.1581, 0.1738, 0.155, 1041224.43, 0.164, 0.1655, 0.1693, 0.1629, 755963.21, 0.164, 0.1678, 0.17, 0.164, 681037.13, 0.1709, 0.1719, 0.1757, 0.1695, 943295.91, 0.1634 
0.1729, 0.1581, 0.1738, 0.155, 1041224.43, 0.164, 0.1655, 0.1693, 0.1629, 755963.21, 0.164, 0.1678, 0.17, 0.164, 681037.13, 0.1709, 0.1719, 0.1757, 0.1695, 943295.91, 0.1615, 0.155, 0.1618, 0.1506, 596006.25, 0.1537 
0.164, 0.1655, 0.1693, 0.1629, 755963.21, 0.164, 0.1678, 0.17, 0.164, 681037.13, 0.1709, 0.1719, 0.1757, 0.1695, 943295.91, 0.1615, 0.155, 0.1618, 0.1506, 596006.25, 0.1556, 0.162, 0.1671, 0.1554, 747052.24, 0.1626 
0.164, 0.1678, 0.17, 0.164, 681037.13, 0.1709, 0.1719, 0.1757, 0.1695, 943295.91, 0.1615, 0.155, 0.1618, 0.1506, 596006.25, 0.1556, 0.162, 0.1671, 0.1554, 747052.24, 0.1535, 0.1454, 0.154, 0.1452, 510947.98, 0.1685 
0.1709, 0.1719, 0.1757, 0.1695, 943295.91, 0.1615, 0.155, 0.1618, 0.1506, 596006.25, 0.1556, 0.162, 0.1671, 0.1554, 747052.24, 0.1535, 0.1454, 0.154, 0.1452, 510947.98, 0.1575, 0.1637, 0.1714, 0.1564, 754786.11, 0.1571 
